,character,line #,line
0,CAB DRIVER,0,Where to?
1,WELLES,1,"Follow that limousine.  Don't get
too close, don't let it get too far
away.  Just keep with it."
2,CAB DRIVER,2,You kidding?
3,WELLES,3,Nope.
4,CAB DRIVER,4,"Uh, listen... you're not supposed to
be smoking in here.  I'm sorry,
that's company policy..."
5,WELLES,5,"How about this... every cigarette I
smoke, I give you five dollars?"
6,CAB DRIVER,6,"Okay... okay, yeah, that'd be good..."
7,OLDER WOMAN,7,Thank you.
8,AMY,8,Welcome home.
9,WELLES,9,Do you know how much I missed you?
10,AMY,10,"What's this... have you been
smoking... ?"
11,WELLES,11,Smoking?  I'm not smoking.
12,AMY,12,Your clothing reeks of it.
13,WELLES,13,"You know, Amy, I've been sitting
around in bars and everywhere
following this guy... I mean, is
this what I get first thing?  Before
you even ""hello,"" you accuse me... ?"
14,AMY,14,I'm not accusing you...
15,WELLES,15,"Well, I'm not smoking, okay?"
16,AMY,16,"Okay, I believe you."
17,WELLES,17,"We've been all through that.  I've
been on my best behavior."
18,WELLES,18,"Hello, pumpkin-head, did you miss
me?  I sure missed you..."
19,WELLES,19,"Let's get my bags and get the hell
out of here."
20,AMY,20,How's the detective business?
21,WELLES,21,"Business was fine.  I'll tell you
what, you couldn't pay me enough to
live down there."
22,AMY,22,"You better not be smoking, that's
all I can say."
23,WELLES,23,"Honey, I'm not, please..."
24,AMY,24,I love you.
25,WELLES,25,I love you.
26,WELLES,26,"What's all the trouble, Cinderella?
What are you crying about, huh?"
27,WELLES,27,"Your son-in-law dealt with the dry
cleaning franchise during the day,
saw that woman every night."
28,WELLES,28,"The specifics are in the report, and
information about the woman.  It's
unpleasant, I know.  I apologize..."
29,POLITICIAN,29,"None too discreet, is he?"
30,WELLES,30,"No, sir, he is not."
31,POLITICIAN,31,"He's an imbecile.  I tried to warn
my daughter, but what can you do?"
32,WELLES,32,"The um... you'll find my invoice in
the envelope. If that's all..."
33,POLITICIAN,33,"Yes, Mister Welles, thank you."
34,WELLES,34,"Certainly, Senator.  If I can ever
be of further assistance."
35,AMY,35,"You think you'll have time for the
water heater this weekend?"
36,WELLES,36,Sure.  I'll call the guy.
37,AMY,37,"You're not using the same guy who
tried to fix it?"
38,WELLES,38,"I'm not using him again for
anything.  He was worthless."
39,WELLES,39,You have bridge here Saturday?
40,AMY,40,"Betty's out of town so we're playing
next week."
41,WELLES,41,"Hello.  Yes... could you hold on a
minute...?"
42,WELLES,42,"Okay, I've got it."
43,WELLES,43,"Hello... sorry, I was switching
phones.  It's a pleasure to make
your acquaintance, Mrs. Christian."
44,WELLES,44,"Yes.  Yes, I understand... tomorrow
evening should be fine..."
45,MRS CHRISTIAN,45,Mister Welles. You're very prompt.
46,WELLES,46,I try to be.
