,character,line #,line
0,VOICE,0,Shhhhh.
1,LITTLE GIRL,1,"Mommy, the men on the mountain...!"
2,MOM,2,"Shhhh. Gone, all gone now."
3,MOM,3,"I'm here. Mommy's always here and no
one can ever hurt you. Safe now...
safe and warm... snug as a bug in a
rug."
4,MOM,4,"I'll sit with you, think you can
sleep?"
5,LITTLE GIRL,5,Turn on the nightlight.
6,MOM,6,Close your eyes now. I love you.
7,SAMANTHA,7,How you holdin' up?
8,EARL,8,Freezing my nuts off.
9,SAMANTHA,9,*Put that away*.
10,BURNOUT,10,Ow! Mrs. Claus is HOT!
11,SAMANTHA,11,"I can't take it, Earl, this dumb
costume is giving me a wedgie. Driving
me crazy, but there's these *kids*
here --"
12,EARL,12,"Right, you don't wanna be rootin' --"
13,SAMANTHA,13,"In front of little Billy, age four,
yeah. ""Look, Mommy, Mrs. Claus chooses
to go butt-mining."""
14,EARL,14,This is little Billy talking?
15,SAMANTHA,15,"Age four, kid's unbelievable."
16,SAMANTHA,16,"I'm too old for this, Earl."
17,EARL,17,"Yeah, yeah. Spare me, I got a prostate
the size of a melon."
18,EARL,18,"Seriously, half my life's a doctor's
hand up my ass, I should marry the
fucker."
19,SAMANTHA,19,"Say that a little louder, there's a
kid in back didn't catch it."
20,EARL,20,"It's not that fucking little Billy
again, is it?"
21,SAMANTHA (V.O.),21,"Eight years. I keep hiring detectives,
but they never find anything."
22,SAMANTHA (V.O.),22,"I was born 3000 days ago on the beach
in New Jersey. I entered the world
fully grown, wearing clothes I don't
remember buying. Nothing in the
pockets but a single key, filed
smooth."
23,SAMANTHA (V.O.),23,"I'm married now. Nice guy, early
forties. I stand naked in the mirror
and try to guess my age. Thirty-five,
maybe. I have lots of scars."
24,SAMANTHA,24,"Hal, I gotta tell you, of all the
Christmas pageants I've seen, this
was by far the most recent."
25,HAL,25,"Aw, honey, I had teenage girls playing
the wise men, what'd you expect?"
26,SAMANTHA,26,Teenage boys?
27,HAL,27,"Well, I thought they did fine."
28,SAMANTHA,28,"Just fine? Come on, it was ground
breaking stuff. The first Nativity
where Joseph stares at the wise men's
tits all night."
29,SAMANTHA,29,"Hey, you!"
30,SAMANTHA (V.O.),30,"Her name is Caitlin. She's my daughter
and when I woke up on that long-ago
day, she was two months grown in my
belly. I don't know who put her there.
I may never. I just know she's mine,
and she's about to turn eight."
31,SAMANTHA (V.O.),31,"3000 days. I teach now, fifth grade.
I have the key, I wear it around my
neck for luck. Except for that, and
my name, all traces of my prior life
are lost."
32,SAMANTHA (V.O.),32,"Was I in love ever...? Did someone
look in my eyes, did I say, ""Darling,
I'll never forget you...?"""
33,SAMANTHA (V.O.),33,"Because fuck me, darling, I managed."
34,CAITLIN,34,"His name is Mr. Perkins, my Mom named
him for me."
35,GIRL #1,35,That's her?
36,GIRL #2,36,That's who?
37,GIRL #1,37,"Her Mom, she's got amnesia."
38,GIRL #2,38,Swear?
39,CAITLIN,39,Swear.
40,GIRL #2,40,Too weird.
41,SAMANTHA,41,Excuse me.
42,SAMANTHA,42,"Hello, girls. Caitlin, I'm going to
help Dad with the refreshments."
43,SAMANTHA,43,Which one's Dad? I forget.
44,SAMANTHA,44,*Kidding*.
45,YOUNG MAN,45,POLICE. DON'T MOVE.
46,MAN ON BED,46,What the hell is this...?!!
47,YOUNG MAN,47,"Don't give me an attitude, sir. You're
assuming I won't shoot your sorry
ass, and everyone knows when you
make an assumption, you make an ass
out of u and mption. I'm Sergeant
Madigan, Vice, and if you cop a 'tude,
jerkoff, I will see to it you spend
the next ten years in prison getting
ass-fucked, and if the case is thrown
out because my arrest is too violent,
then I will personally HIRE men to
ass-fuck you for ten years. So if
you're an ass-fucking fan, go ahead
and mouth off, but meanwhile you're
under arrest for the crime of
prostitution, now shut the fuck up
before I cut out your kneecaps and
use 'em as ashtrays."
48,YOUNG MAN,48,"Officer Donleavy, read him his rights."
49,MAN ON BED,49,"Please, this is my first, I... I've
never done this before, I'll do
anything...!"
50,YOUNG MAN,50,"Sir, listen to me. I understand you're
not a wealthy man, but in light of
the damage this arrest will cause
you, we might be able to make an
arrangement --"
51,MAN IN BED,51,Is he all right...?
52,GIRL,52,We gotta stop using bums.
53,MITCH,53,"Forget it. They looked like cops. We
pulled it off, didn't we?"
54,GIRL,54,It was embarrassing.
55,MITCH,55,"You want I should hire actors, for
Chrissake? These guys are cheap,
they work for food."
56,GIRL,56,"Uh-huh. So, when they puke all over
you is that, like, a refund?"
57,MITCH,57,"Trin, I'm pissin' myself over here,
you're so funny. What's this?"
58,TRIN,58,"New case, honest to God chick with
amnesia. You want the job?"
59,HENESSEY,59,"Yep. Yep, yep, yep."
60,TRIN,60,"Wasn't there a lady on TV named
Samantha? Had a magic nose or
something."
61,HENESSEY,61,"'Bewitched', yeah. Good show. Chick
lived with a faggy guy, then in the
last season it was a different faggy
guy. Okay. Here's what we do; get on
the horn to amnesia chick, tell her
yes. Then tell her in 1967 she
promised to give me a blow job. Worth
a try, right?"
62,HAL,62,"Christ, guy's all over you like a
cheap suit."
63,SAMANTHA,63,"That's funny, there's a cheap suit
all over him like a cheap suit."
64,HAL,64,"Oh, boy. Someone's gotta take my
father home. I'm plowed."
65,SAMANTHA,65,This is all I ever wanted.
66,CAITLIN,66,How would you know?
67,NEWS ANCHOR (ON T.V.),67,"...So much for the flame-swallowing
Santa of Boone County. Meanwhile,
KTVA news journeyed to Upper Sandusky,
where Santa's own *Mrs*. Kringle
turned out to celebrate her hubby's
worldwide tour. After one look at
her, I'm thinking Santa got what he
wanted this Christmas."
68,ONE-EYED JACK,68,"Gotta be fuckin' kidding. No. No
way. SHIIIT!!"
69,EARL,69,"You're married what now, five
years...?"
70,EARL,70,"You and Hal, how often you two...?"
71,SAMANTHA,71,"Stick our fingers in out hands and
pull them out again? Every chance we
get. Shut your piehole."
72,EARL,72,Don't get all snippy...
73,SAMANTHA,73,"Earl, do me a favor. Every few words
say ""hic"" and have bubbles come out
your mouth, okay?"
74,EARL,74,"Goddamnit, I'm not drunk. Would a
drunk man have this much raw talent?"
75,HENESSEY,75,"...and here's the jail here, see...?
Escape chute for the Borian, he's a
dinosaur guy, Moves quick, don't
take no shit neither. See, you can
make him shoot the guard -- ah, hell,
look, I played with it a little
myself, I'm sorry."
76,VOICE (O.S.),76,"TODD, TIME FOR DINNER. NOW."
77,HENESSEY,77,"Hey, you go ahead, um... hope you
like the present."
78,TODD,78,"It's awesome, Dad. Mom, though, she..."
79,TODD,79,"She gets weird. On my birthday, when
you gave me the Schwinn... she called
bicycle stores to see if there'd
been any robberies."
80,HENESSEY,80,Tell her I don't steal them locally.
81,HENESSEY (V.O.),81,"Dear Ma: Filled out the child support
stuff last week. Office got pissed,
under ex-spouse I put ""Spawn of Satan,
Dweller in Eternal Dark."" Just being
honest, Ma, lady wants me to die."
82,HENESSEY (V.O.),82,"I'd go without a ripple, that's the
truth. Ex-con. Ex-husband. Expired.
Thanks, Ma, for hiding the truth
from me for so long. Or maybe you
believed in me. I miss you. I hope
you believed, even for a day. No one
did, Ma. No one at all. It's cold
here. I'm sorry you're dead. Your
son, Mitch."
83,HENESSEY,83,Me. What's up?
84,TRIN (O.S.),84,"Mitch, we got a bite on amnesia
chick's photo. Found a guy remembers
seeing her, fall of '87. He wants
cash, should I grease him?"
85,HENESSEY,85,"Hell, no! Use your head, girl. Let
the fucker squeeze the Charmin."
86,TRIN,86,"You kidding? Guy's hideous. I'll do
it, but we're talking time and a
half. Plus a night on the town when
I get back, and *no cockfights this
time*."
87,SAMANTHA,87,"I want a cigarette, why do I want a
cigarette...?"
88,SAMANTHA,88,What... what do you want...?
89,REFLECTION,89,I want a cigarette.
90,SAMANTHA,90,I don't smoke.
91,REFLECTION,91,You used to.
92,REFLECTION,92,"Relax, you can drop the act. Nice
and smooth, take another hit. There
you go. See how easy it comes back?"
93,REFLECTION,93,"*I'm* coming back. You know that,
don't you? Name's Charly, by the
way. You're gonna love me."
94,HAL,94,"Honey, you can't cook, I'm not wrong
about this."
95,SAMANTHA,95,"I'm *remembering*, Hal. Things are
coming back. Trust me, I'm a chef, I
know it."
96,CAITLIN,96,"Daddy, make her stop!"
97,SAMANTHA,97,"Hush. Go to the garage and get me
something, anything. A veggie, go,
man, go! I'm hot to trot."
98,HAL,98,Tomato.
99,CAITLIN,99,Tomato.
100,HAL,100,"Onion, flying in."
101,SAMANTHA,101,More. Faster.
102,CAITLIN,102,Tomato. Tomato. Tomato.
103,SAMANTHA,103,Uh... chefs do that.
104,MAN,104,"Please, man... I don't know why you
gotta kill me... But use the gun,
not the knife. Please. As a fucking
favor, I'm begging you..."
105,TIMOTHY,105,It'll be over soon.
106,MAN,106,"Jesus, man... I... I'm scared of the
knife... Shit, I can't handle getting
shots at the doctors, man, PLEASE...!"
107,TIMOTHY,107,"Last chance. What do you know about
a town called Santa Claus?"
108,MAN,108,"What is this, *what the fuck is
this*?? I'm FBI, for Chrissake, you
can't do this to me. I don't know
ANYTHING."
109,TIMOTHY,109,No. You don't.
110,TIMOTHY,110,"I can always tell, you know... If
someone's lying to me. A little skill
of mine, something to trot out at
parties."
111,TIMOTHY,111,Timothy.
112,VOICE (O.S.),112,Message from Mr. Daedalus.
113,TIMOTHY,113,I'm listening.
114,VOICE (O.S.),114,"He says he's sorry, but he needs you
right away. Something's come up."
115,TIMOTHY,115,"Nix. I'm just finishing up here.
Then I'm going bunjee jumping."
116,VOICE (O.S.),116,"He's aware of your weekend plans,
and he apologizes."
117,TIMOTHY,117,"All right, what's so fucking
important?"
118,VOICE (O.S.),118,"Your old colleague, One-Eyed Jack...?
Recently escaped from a high-security
prison, as you're aware. But listen
to this: prior to his escape, seems
he saw something on TV that disturbed
him. So much he had to be sedated."
119,TIMOTHY,119,"I saw it, too. It's called ""Empty
Nest."" How the fuck is it my business?"
120,VOICE (O.S.),120,"The man was overheard talking to
himself under sedation."
121,VOICE (O.S.),121,"He said Charly Baltimore's alive,
sir."
122,SUIT,122,"I know it's incredible, sir, but...
if she were alive, I'm thinking she
might be in contact with the old man
in Pennsylvania. Should I --"
123,TIMOTHY,123,"Tap his phone, yes. And tell Daedalus
I'm on my way. Timothy out."
124,SAMANTHA,124,They were on sale.
125,CANADIAN #1,125,"Ooh, j'aimerais la baiser. (Subtitle:
I'd like to fuck her.)"
126,CHECKER,126,"Don't you love hearing people speak
French?"
127,CANADIAN #2,127,"Oui, j'veux etirer celle-la autour
d'une chaise. Comme je le vois, une
femme c'est comme Gumby avec des
seins. (Subtitle: I'll stretch her
over a chair, women are merely Gumbys
with tits.)"
128,HAL,128,Beautiful language.
129,SAMANTHA,129,"*Allez, Gumby etiriait le cou, fils
de pute*."
130,SAMANTHA,130,I speak French.
131,PSYCHIATRIST,131,You do.
132,SAMANTHA,132,"You bet your life, fluent French,
whatever the fuck that means."
133,SAMANTHA,133,"Quand j'étais a l'ecole, Jai eu un
professeur qui s'est fabriqué du
dentifrice!"
