,character,line #,line
0,LEADER,0,"Internal pressure positive.  Assume
nominal hull integrity.  Hypersleep
capsules, style circa late twenties..."
1,LEADER,1,"Lights are green.  She's alive.
Well, there goes out salvage, guys."
2,MED-TECH,2,"Why don't I open the viewport?
Watch your eyes."
3,MED-TECH,3,And how are we today?
4,RIPLEY,4,Terrible.
5,MED-TECH,5,"Just terrible?  That's better
than yesterday at least."
6,RIPLEY,6,"How long have I been on
Gateway station?"
7,MED-TECH,7,"Just a couple of days.  Do you
feel up to a visitor?"
8,RIPLEY,8,Jones!
9,RIPLEY,9,"Come here Jonesy you ugly old
moose...you ugly thing."
10,MAN,10,"Nice room.  I'm Burke.  Carter Burke.
I work for the company, but other
than that I'm an okay guy.  Glad to
see you're feeling better.  I'm told
the weakness and disorientation
should pass soon.  Side effects of
the unusually long hypersleep, or
something like that."
11,RIPLEY,11,"How long was I out there?  They
won't tell me anything."
12,BURKE,12,"Well, maybe you shouldn't worry
about that just yet."
13,RIPLEY,13,How long?
14,BURKE,14,"All right.  My instinct says
you're strong enough to handle
this...Fifty-seven years."
15,RIPLEY,15,"Fifty-seven...oh, Christ..."
16,BURKE,16,"You'd drifted right through the
core systems.  It's blind luck that
deep-salvage team caught you when
they...are you all right?"
17,MED-TECH,17,"Code Blue!  415.  Code Blue!
4-1-5!"
18,RIPLEY,18,No...noooo!
19,DOCTOR,19,"Hold her...Get me an airway, stat!
And fifteen cc's of...Jesus!"
20,MED-TECH,20,"Bad dreams again?  Do you want
something to help you sleep?"
21,RIPLEY,21,No.. I've slept enough.
22,RIPLEY,22,"We made it, Jones.  We made it."
23,RIPLEY,23,Dumbshit.
24,BURKE,24,"Sorry...I've been running behind
all morning."
25,RIPLEY,25,"Have they located my daughter
yet?"
26,BURKE,26,"Well, I was going to wait
until after the inquest..."
27,RIPLEY,27,Is she...?
28,BURKE,28,"Amanda Ripley-McClaren.  Married
name, I guess.  Age:  sixty-six
...at time of death.  Two years
ago."
29,BURKE,29,I'm sorry.
30,RIPLEY,30,Amy.
31,BURKE,31,"Cancer.  Hmmmm.  They still haven't
licked that one.  Cremated.  Interred
Parkside Repository, Little Chute,
Wisconsin.  No children."
32,RIPLEY,32,"I promised her I'd be home for
her birthday.  Her eleventh
birthday.  I sure missed that
one."
33,RIPLEY,33,"Well...she has already learned
to take my promises with a grain
of salt.  When it came to flight
schedules, anyway."
34,RIPLEY,34,"You always think you can make it
up to somebody...later, you know.
But now I never can.  I never
can."
35,BURKE,35,"The hearing convenes at 0930.  You
don't want to be late."
36,RIPLEY,36,"You read my deposition...it's
complete and accurate."
37,BURKE,37,"Look, I believe you, but there are
going to be some heavyweights in
there.  You got Feds, you got
interstellar commerce commission,
you got colonial administration,
insurance company guys..."
38,RIPLEY,38,I get the picture.
39,BURKE,39,"Just tell them what happened.  The
important thing is to stay cool
and unemotional."
40,RIPLEY,40,"Do you people have earwax, of
what?  We have been here three
hours.  How many different ways
do you want me to tell the same
story?"
41,VAN LEUWEN,41,"Look at it from our perspective.
You freely admit to detonating the
engines of, and thereby destroying,
an M-Class star-freighter.  A
rather expensive piece of hardware..."
42,INSURANCE INVESTIGATOR,42,"Forty-two million in adjusted dollars.
That's minus payload, of course."
