,character,line #,line
0,WOODWARD,0,"No, no trouble, Harry, be right down."
1,WOODWARD,1,Son of a bitch.
2,ROSENFELD,2,"Where's that cheery face we've come
to know and love?"
3,WOODWARD,3,"You call me in on my day off because
some idiots have broken into local
Democratic Headquarters--tell me,
Harry, why should I be smiling?"
4,ROSENFELD,4,"As usual, that keen mind of yours
has pegged the situation perfectly."
5,ROSENFELD,5,"Except (a) it wasn't local Democratic
Headquarters, it was National
Democratic Headquarters--"
6,ROSENFELD,6,"--and (b) these weren't just any
idiots, these were special idiots,
seeing as when they were arrested at
2:30 this morning, they were all
wearing business suits and Playtex
gloves and were carrying--"
7,ROSENFELD,7,"--a walkie-talkie, forty rolls of
film, cameras, lock picks, pen-sized
tear gas guns, plus various bugging
devices."
8,ROSENFELD,8,"Not to mention over two thousand
dollars, mostly in sequenced hundred
dollar bills."
9,WOODWARD,9,"Preliminary hearing at Superior
Courthouse?"
10,ROSENFELD,10,"Two o'clock, work the phones 'til
you go."
11,WOODWARD,11,"Could you give me the names of the
lawyers for the men arrested in the
Watergate."
12,CLERK,12,These two were appointed--
13,CLERK,13,"--only now it turns out the burglars
got their own counsel."
14,FIRST ANGRY LAWYER,14,"When you gonna stop thinking it's so
funny."
15,SECOND ANGRY LAWYER,15,"We wouldda done a terrific job
protecting those guys."
16,FIRST ANGRY LAWYER,16,"You think we're not as good as some
hotshot fancy lawyer?--"
17,WOODWARD,17,"Mr. Caddy? My name's Bob Woodward,
I'm from the Post and I wanted to
ask about how you happened to come
on this case--"
18,CADDY,18,--I'm not here.
19,WOODWARD,19,OK.
20,WOODWARD,20,"Douglas Caddy, the attorney of record,
when questioned about his presence
in the courtroom, denied he was in
the courtroom, ""I'm not here,"" Mr.
Caddy said."
21,CADDY,21,"Clearly, I am here, but only as an
individual, I'm not the attorney of
record."
22,CADDY,22,"Mr. Rafferty has that position.
Whatever you want, you'll have to
get from him, I have nothing more to
say."
23,WOODWARD,23,"Mr. Rafferty was very helpful. Four
Cuban-Americans and this other man,
James McCord."
24,CADDY,24,"Look, I told you inside--"
25,WOODWARD,25,"--you have nothing more to say, I
understand that."
26,WOODWARD,26,"What I don't understand is how you
got here."
27,CADDY,27,"I assure you, there's nothing
mysterious involved."
28,WOODWARD,28,"Probably you're right, but a little
while ago, I was talking to a couple
of lawyers who'd been assigned to
represent the burglars."
29,CADDY,29,So?
30,WOODWARD,30,"Well, they never would have been
assigned if anyone had known the
burglars had arranged for their own
counsel. And that could only mean
the burglars didn't arrange for their
own counsel--they never even made a
phone call."
31,WOODWARD,31,"So if they didn't ask for you to be
here, how did you know to come?"
32,WOODWARD,32,"Did you know to come because one of
the other men involved in the break-
in called you?"
33,CADDY,33,"There is no reason to assume other
people were involved."
34,WOODWARD,34,"Your clients were arrested with a
walkie-talkie; they didn't need that
to talk among themselves."
35,CADDY,35,They are not my clients.
36,WOODWARD,36,You're a lawyer and you're here--
37,CADDY,37,"--I met one of the defendants, Mr.
Barker, at a social occasion once--"
38,CADDY,38,--I have nothing more to say.
39,WOODWARD,39,A Miami social occasion?
40,WOODWARD,40,"Mr. Rafferty told me the Cubans were
from Miami."
41,CADDY,41,"Barker's wife called me at three
this morning; her husband apparently
had told her to call if he hadn't
called her by then."
42,WOODWARD,42,"It was really nice of you to come,
since you'd only met him once."
43,CADDY,43,"Are you implying you don't believe
me?"
44,WOODWARD,44,I have nothing more to say.
45,CADDY,45,"You don't mind getting on people's
nerves, do you?"
46,WOODWARD,46,Nope.
47,JUDGE,47,"Will you please state your
professions."
48,BARKER,48,Anti-Communists.
49,JUDGE,49,Anti-Communists?
50,JUDGE,50,"That, sir, is not your average
occupation."
51,JUDGE,51,"Your name, please."
52,MCCORD,52,James McCord.
53,JUDGE,53,"Will you step forward, sir."
54,JUDGE,54,"And what is your occupation, Mr.
McCord?"
55,MCCORD,55,Security consultant.
56,JUDGE,56,Where?
57,MCCORD,57,Government. Recently retired.
58,JUDGE,58,Where in government?
59,MCCORD,59,"...Central... Intelligence...
Agency..."
60,JUDGE,60,Where?
61,MCCORD,61,The C.I.A.
62,WOODWARD,62,Holy shit.
63,UNION POST EMPLOYEE,63,"""Five men, one of whom said he is a
former employee..."""
64,UNION POST EMPLOYEE,64,Schmucks.
65,FIRST VOICE (V.O.),65,"Hurry it, huh, Bachinski?"
66,BACHINSKI,66,You said I could look at it--
67,COP,67,"--I said look, not memorize--"
68,BACHINSKI,68,"--almost done, give it a rest, all
right..."
69,COP (V.O.),69,What'd you find?
70,BACHINSKI (V.O.),70,"Beats me. These notebooks belonged
to Cuban guys?"
71,COP (V.O.),71,S'right.
72,BACHINSKI (V.O.),72,"It's gotta mean either White House
or whore house, one or the other."
73,WOODWARD,73,Bachinski?
74,WOODWARD,74,What?--hold it--
75,WOODWARD,75,"--OK, go on, go on..."
76,ROSENFELD,76,"...go on, go on..."
77,WOODWARD,77,"That's everything Bachinski had, I
think it's worth following up."
78,ROSENFELD,78,"Don't know; who the hell's Howard
Hunt?"
79,ROSENFELD,79,"It's probably nothing but check it
out. Just go easy, it could be crazy
Cubans."
80,SIMONS,80,Anything?
81,ROSENFELD,81,"Woodward's onto a new wrinkle with
the break-in thing--absolute page
one stuff--"
82,SIMONS,82,"--in other words, you got nothing,
you're thumbsucking."
83,ROSENFELD,83,Could develop.
84,SIMONS,84,"Let me see what you get, but don't
jump--The New York Times thinks it's
crazy Cubans."
85,ROSENFELD,85,"OK, get on this W.House guy and do a
better job then you did on McCord."
86,WOODWARD,86,I did all right on McCord.
87,ROSENFELD,87,"Then how come the Associated Press
were the ones found out that Mr.
McCord is security coordinator for
the Committee to Re-elect the
President, otherwise known as CREEP?"
88,WOODWARD,88,"The head of security for the
reelection of a Republican President
got caught bugging the national
offices of the Democrats? What the
hell does that mean?"
89,ROSENFELD,89,"Mr. John Mitchell, the head of CREEP,
says it means nothing."
90,ROSENFELD,90,"""...This man and the other people
involved were not operating on either
our behalf or with our consent. These
is no place in our campaign or in
the electoral process for this type
of activity, and we will not forget
it or condone it."""
91,WOODWARD,91,You can't believe that.
92,ROSENFELD,92,"As a rough rule of thumb, as far as
I can throw Bronco Nagurski, that's
how much I trust John Mitchell..."
93,ROSENFELD,93,What'd you get on W.House?
94,WOODWARD,94,Lotsa hints--
95,ROSENFELD,95,I can't sell hints to Simons--
96,ROSENFELD,96,--you called everyone you know?
97,ROSENFELD,97,Call someone you don't know.
98,WHITE HOUSE OPERATOR (V.O.),98,White House.
99,WOODWARD,99,"Howard Hunt, please."
100,WHITE HOUSE OPERATOR (V.O.),100,Mr. Hunt does not answer.
101,WOODWARD,101,"Thanks, anyway--"
102,WHITE HOUSE OPERATOR (V.O.),102,"I'll bet he's in Mr. Colson's office.
Let me connect you."
103,SECRETARY (V.O.),103,Charles Colson's wire.
104,WOODWARD,104,"Howard Hunt, please."
105,SECRETARY (V.O.),105,Mr. Hunt isn't here just now.
106,WOODWARD,106,"Thanks, anyway."
107,SECRETARY (V.O.),107,"Have you tried Mullen and Company
Public Relations? He works at Mullen
and Company Public Relations as a
writer. The number is 555-1313. I'm
sorry I couldn't be more helpful."
108,WOODWARD,108,"Listen, forget it."
109,WOODWARD,109,Who's Charles Colson?
110,ROSENFELD,110,"I would liken your query to being in
Russia half a century ago and asking
someone, ""I understand who Lenin is
and Trotsky I got too, but who's
this yokel Stalin?"""
111,WOODWARD,111,"Who's Colson, Harry?"
112,ROSENFELD,112,"The most powerful man in America is
President Nixon, probably you've
heard his name."
113,ROSENFELD,113,"The second most powerful man is Robert
Haldeman. Just below him are a trio:
Mr. Erlichman is Haldeman's friend,
and they protect the President from
everybody which is why they are
referred to as either The German
Shepherds or the Berlin Wall. Mr.
Mitchell we've already discussed.
Mr. Colson is the President's special
counsel."
114,WOODWARD,114,"Thanks, Harry."
115,WOODWARD,115,Know anything about Colson?
116,ROSENFELD,116,"Just that on his office wall there's
a cartoon with a caption reading,
""When you've got them by the balls,
their hearts and minds will follow."""
117,WOODWARD,117,"Hello, I'm Bob Woodward of the Washing
Post and..."
118,WOODWARD,118,"Mullen and Company Public Relations?
Could you tell me when you expect
Mr. Hunt?"
119,WOODWARD,119,He is?
120,HUNT (V.O.),120,Howard Hunt here.
121,WOODWARD,121,"Hi, I'm Bob Woodward of the Post and--"
122,HUNT (V.O.),122,"--yes, yes, what is it?"
