,character,line #,line
0,ROOKIE COP,0,Cooool.
1,ARTHUR,1,"Evening, Constable!"
2,OLDER COP 1,2,"(seen it all before)
Hi, Arthur."
3,ARTHUR,3,"Are you familiar with the
expression `I can explain
everything'?"
4,OLDER COP 1,4,"Out of the car, please.
2."
5,ARTHUR,5,"Terribly sorry, but in the film
they used a different model to show
the old Batchap getting in and out.
This one has no doors, so I'd have
to squeeze out the back arsehole
first. Which nobody wants..."
6,(TO COP 2),6,"Apart from you, cheeky monkey!"
7,(BEAT),7,"It's a joke! Okay, okay."
8,OLDER COP 1,8,"Okay, explain everything."
9,ARTHUR,9,"Well. What with having spunked 1.6
million fat Alberts on this little
runaround, I thought why not take
it a step further and try to
actually collar a few ne-er do
wells? It worked for the
billionaire Bruce Wayne, why not
the future billionaire Arthur Bach-
Templemead? Will I have to do
traffic school?"
10,OLDER COP 2,10,"How much have you drunk, Arthur?"
11,ARTHUR,11,"To use the technical medical term -
megabloodyshitloads. Either that or
I've had a stroke! But fret not, I
have a designated driver."
12,HOMELESS ROBIN,12,Where's my five thousand dollars?
13,ARTHUR,13,"The Boy Homeless here neglected to
say he'd never driven."
14,(MORE),14,3.
15,ARTHUR (CONT'D),15,"Or that the only reason he's sober
is to be ready for the conspiracy
of leopards about to seize
Manhattan."
16,HOMELESS ROBIN,16,It's LIZARDS! English prick!
17,ARTHUR,17,"I trust this will cover all repairs
to New York and any inconvenience
to your good selves?"
18,ARTHUR (CONT'D),18,"Up up and away! Ah, no, that's the
other chap."
19,JAY,19,Then the crazy motherfucker cut me!
20,ARTHUR,20,Goodness. Why?
21,JAY,21,"Said I cut the bombita with pig
killer!"
22,ARTHUR,22,"Rude man. And who threw hot
Americano in whose face again?"
23,JAY,23,"I did in his. No half and half
neither. That shit burnt!"
24,JAY,24,4.
25,GARY,25,I burnt my sister's hair.
26,JAY,26,"(high fiving him)
Cool..."
27,GARY,27,"Ho wanted to evict me, just 'cause
I don't fit her definition of
hygiene. Plenty of places to take a
shit, toilet's just one of them.
Just ask the a-rabs."
28,ARTHUR,28,"It's like a chat show, this.
(looking into an imaginary"
29,CAMERA),29,"It's been said of my next guest, by
Jay the bandaged lunatic, that
she's `a sick-ass, whacked-out,
whacked-up asswipe'.
(to a PROSTITUTE)
Carmella, when did you first dream
of becoming a crack whore?"
30,PROSTITUTE,30,Mother died when I was six.
31,ARTHUR,31,"Oh G-d, I hate when that happens."
32,PROSTITUTE,32,"My father raped me when I was
twelve."
33,ARTHUR,33,"Sounds like you had six relatively
good years."
34,JAY,34,What do you do?
35,ARTHUR,35,"I model riding boots, I spend
money, I sleep with women. But I
have weekends off and I am my own
boss."
36,OLDER COP 1,36,"Hey, The Drunk Knight. Your Fairy G-
d-lawyer's here.
5."
37,"ARTHUR
(STANDING)",37,"I never thought New York's
underbelly could be quite such
agreeable company. I shall never
forget you. Farewell."
38,DEVERE,38,"I don't think your mother will be
pleased, Arthur."
39,ARTHUR,39,"Really, Elverton - if a chap can't
help out a few chums, whatever
their station in life."
40,ARTHUR (CONT'D),40,"Each has given his or her word to
put the criminal life behind them."
41,ARTHUR,41,"I am the Batman. Gotham can sleep
easy tonight."
42,JAY,42,"(points at A CAMERAMAN)
Don't point that shit at me, bitch!
I will FUCK YOU UP!"
43,HOMELESS ROBIN,43,Yes! Yes! Kill the lizards!
44,PRESS,44,"Arthur! What will your mother say?
Didn't she send you here to get you
out of the British papers? Arthur!
6."
45,ARTHUR,45,"Anyone need a job? My last driver
resigned after I filled his limo
with squirrels. Preferably sober,
clean driving licence?"
46,ARTHUR,46,"ARTHUR (O.S.)
Anyone know a good bar?"
47,ARTHUR,47,JUMP CUT TO:
48,ARTHUR,48,Stand back!
49,ARTHUR,49,7.
50,"CARMELLA
(LAUGHING)",50,"Oh, man. Nobody tell you about the
recession?"
51,ARTHUR,51,The what?
52,ARTHUR,52,"Roll up, roll up, folks, let's fix
this thing right now.
(to his first customer)
How much, sir?"
53,FIRST MAN,53,Um. $800 please.
54,ARTHUR,54,"Coming right up.
(keys it in)
Fries with that?"
55,ARTHUR (CONT'D),55,"Congratulations everyone! THE
RECESSION'S OVER!"
56,ARTHUR (CONT'D),56,"Pierre? Arthur Bach-Templemead. Can
you squeeze me in for a little
snack? Yeah, just me and a couple
of mates."
57,ARTHUR (CONT'D),57,8.
58,ARTHUR,58,"Pierre! We'd like 182 pate de foie
gras, 182 chateaubriand steaks, a
motherlode of chips and your entire
wine cellar please."
59,ERICA,59,Arthur?
60,"ARTHUR
(TAKEN ABACK)",60,"Erica? Fancy meeting you here!
Er...Everybody, this is Erica - the
very best friend forever of my
girlfriend Susan. And Erica's
parents Ernest and Margaret.
(to Erica and her parents)
Are you familiar with the
expression `I can't explain
anything'?"
61,ERICA,61,"Who are the women with you, Arthur?"
62,ARTHUR,62,"Oh, um, this is Sofia. I believe
she works for Avis. Checks the cars
for dings, dead people in the
trunk, that sort of thing. And
this is Carmella. Anyway..."
63,ERICA'S FATHER,63,"What do you do, Carmella?"
64,CARMELLA,64,"Whatever you want. But no
penetration without a rubber."
65,ARTHUR,65,"Carmella's joking. She's actually
a...queen. Of a very small country."
66,ERICA'S FATHER,66,Is she now?
67,ARTHUR,67,"It's terribly small.
9."
68,ERICA'S FATHER,68,I see.
69,ARTHUR,69,"Rhode Island could beat the crap
out of it in a war."
70,ERICA'S FATHER,70,"Yes, it's a small place."
71,ARTHUR,71,"85 cents in a cab from one end of
the country to the other. I'm
talking small."
72,ERICA'S FATHER,72,"I think I understand how small it
is."
73,ARTHUR,73,"Just had the entire country
carpeted, this is not a big place."
74,ERICA'S FATHER,74,"You need to grow up, Arthur."
75,ARTHUR,75,"That's easy for you to say, you
haven't got 50 pairs of short
trousers hanging in your closet.
Maybe we should go somewhere else."
76,ERICA,76,Maybe you should.
77,ARTHUR,77,"Could I have all those lobsters to
go, please?"
78,ARTHUR,78,10.
79,ARTHUR,79,GIRL (O.S.)
80,(PANTING),80,More British!
81,ARTHUR,81,"Cup of tea? Nice hot cup of hot
Rosy Lee right up your fanny?"
82,ARTHUR,82,11.
83,ARTHUR,83,"Hugh Grant Mr Bean self deprecation
mad cow disease Yorkshire pudding
bad teeth rain rain rain rain!"
84,ARTHUR,84,"(brightly, as he humps)
Morning, Hobson!"
85,HOBSON,85,"Morning, Arthur."
86,HOBSON (CONT'D),86,"I'm afraid your impromptu stimulus
package failed to reignite the
economy.
(reading a receipt)
De Cache Cocktail Lounge: $23,897?"
87,ARTHUR,87,Umm...Celebration of Kwanzaa.
88,HOBSON,88,"The African heritage festival
celebrated five months from now?"
89,HOBSON,89,12.
90,ARTHUR,90,"(noticing Sofia's stopped
having sex with him)
Why are you stopping? Oh, sorry.
How impolite of me. Sofia, this is
Hobson, my nanny."
91,SOFIA,91,Nanny?
92,HOBSON,92,He's merely shaped like an adult.
93,SOFIA,93,Is she going to stay here?
94,ARTHUR,94,"Hobson, could you come back in a
minute and a half please?"
95,HOBSON,95,"Negative. You're seeing your mother
this morning."
96,ARTHUR,96,Nobody told me.
97,HOBSON,97,"Actually I did, on the other side
of the vast moat of champagne known
as `last night'."
98,HOBSON (CONT'D),98,"I wouldn't recommend letting him
get used to your breasts, dear.
Addictive personality. He was at
mine until he was six."
99,ARTHUR,99,Hobson! Really...
100,HOBSON,100,"I had to dab Tabasco sauce on the
nipples to see him off..."
101,SOFIA,101,I can't do this.
102,SOFIA,102,13.
103,HOBSON,103,"I support your decision 100%. Will
you be requiring a taxi, or just be
getting in a random passing car?"
104,HOBSON (CONT'D),104,"Say goodbye to your new friends,
Arthur. They have to go back to the
recession now."
105,ARTHUR,105,"Cancel my mother please, Hobson.
I'll work from bed today."
106,ARTHUR (CONT'D),106,"Not the death metal, please!"
