,character,line #,line
0,PADMÉ,0,Cordé...
1,CORDÉ,1,"... I'm sorry, m'lady... I'm... not sure I..."
2,AMIDALA,2,No!... No!... No!...
3,AMIDALA,3,I should not have come back.
4,CAPTAIN TYPHO,4,"M'Lady, you are still in danger."
5,CAPTAIN TYPHO,5,"This vote is very important. You did
your duty and Cordé did hers. Now
come. (she doesn't respond) M'Lady,
please!"
6,MAS AMEDDA,6,"Order! We shall have order! The motion
for the Republic to commission an army
takes precedent, and that is what we
will vote on at this time."
7,PALPATINE,7,"...My esteemed colleagues, excuse
me... I have just received some
tragic and disturbing news. Senator
Amidala of the Naboo system... Has
been assassinated!"
8,"PALPATINE
(continued)",8,"This grievous blow is especially
personal to me. Before I became
Chancellor, I served Amidala when
she was Queen. She was a great
leader who fought for justice, not
only in this honourable assembly,
but also on her home planet. She
was so loved she could have been
elected queen for life. She
believed in public service, and
she fervently believed in
democracy. Her death is a great
loss to us all. We will all mourn
her as a relentless champion of
freedom... and as a dear friend."
9,SENATOR ASK AAK,9,"How many more Senators will die
before this civil strife ends! We
must confront these rebels now,
and they need an army to do it."
10,AMBASSADOR DARSANA,10,"Why weren't the Jedi able to stop
this assassination? We are no
longer safe, under their protection."
11,ORN FREE TAA,11,"The Republic needs more security
now! Before it comes to war."
12,PALPATINE,12,"Must I remind the Senator from
Malastare that negotiations are
continuing with the separatists.
Peace is our objective here... not
war."
13,AMIDALA,13,"My noble colleagues, I concur with
the Supreme Chancellor. At all
costs, we do not want war!"
14,PALPATINE,14,"It is with great surprise and
joy the chair recognises the
Senator from Naboo, Padmé Amidala."
15,PADMÉ,15,"Less than an hour ago, an
assassination attempt was made
against my life. One of my
bodyguards and six  others were
ruthlessly and senselessly
murdered. I was the target but,
more importantly, I believe this
security measure before you, was
the target. I have led the
opposition to build an army... but
there is someone in this body who
will stop at nothing to assure it's
passage..."
16,PADMÉ,16,"I warn you, if you vote to create
this army, war will follow. I
have experienced the misery of war
first-hand; I do not wish to do it
again."
17,PADMÉ,17,"Wake up, Senators... you must wake
up! If you offer the separatists
violence, they can only show us
violence in return! Many will
lose their lives. All will lose
their freedom. This decision
could very well destroy the very
foundation of our great Republic.
I pray you do not let fear push
you into a disastrous decision.
Vote down this security measure,
which is nothing less than a
declaration of war! Does anyone
here want that? I cannot believe
they do."
18,ORN FREE TAA,18,"My motion to defer the vote must
be dealt with first. That is the
rule of law."
19,PALPATINE,19,"Due to the lateness of the hour
and the seriousness of this
motion, we will take up these
matters tomorrow. Until then, the
Senate stands adjourned."
20,PALPATINE,20,"I don't know how much longer I can
hold off the vote, my friends.
More and more star systems are
joining the separatists."
21,MACE WINDU,21,If they do break away -
22,PALPATINE,22,No! I will not let that happen!
23,MACE WINDU,23,"But if they do, you must realise
there aren't enough Jedi to
protect the Republic. We are
keepers of the peace, not soldiers."
24,PALPATINE,24,"Master Yoda, do you think it will
really come to war?"
25,YODA,25,"Worse than war, I fear... Much
worse."
26,PALPATINE,26,What?
27,MACE WINDU,27,"What do you sense, Master?"
28,YODA,28,"Impossible to see ... The Dark Side
clouds everything. But this I am
sure of -"
29,(opens his eyes),29,Do their duty the Jedi will.
30,DAR WAC,30,"The loyalist committee has arrived,
my Lord."
31,PALPATINE,31,Send them in.
32,YODA,32,"With you the force is strong...
young Senator. To see you alive
brings warm feeling to my heart."
33,PADMÉ,33,"Thank you, Master Yoda. Do you
have any idea who was behind
the attack?"
34,MACE WINDU,34,"Our intelligence points to
disgruntled spice miners, on
the moons of Naboo."
35,PADMÉ,35,"I don't wish to disagree but I
think that Count Dooku was behind
it."
36,MACE WINDU,36,"You know, M'Lady, Count Dooku
was once a Jedi. He wouldn't
assassinate anyone, it is not in
his character."
37,KI-ADI-MUNDI,37,"He is a political idealist, not
a murderer."
38,YODA,38,"In dark times nothing is what it
appears to be, but the fact remains
Senator, in grave danger you are."
39,PALPATINE,39,"Count Dooku has always avoided
any kind of conflict. It appears
he has no desire to start a war.
Why would he kill you? To what end?"
40,PADMÉ,40,"I don't know, but everything in my
being tells me he was behind it..."
41,PALPATINE,41,"Master Jedi, may I suggest that
the Senator be placed under the
protection of your graces."
42,BAIL ORGANA,42,"Do you think that is a wise use
of manpower during these stressful
times?"
43,PADMÉ,43,"Chancellor, if I may comment, I
do not believe the..."
44,PALPATINE,44,"...""situation is that serious.""
No, but I do, Senator."
45,PADMÉ,45,"Chancellor, please! I don't want
any more guards!"
46,PALPATINE,46,"I realise all too well that
additional security might be
disruptive for you, but perhaps
someone you are familiar with... an
old friend like... Master Kenobi..."
47,MACE WINDU,47,"That's possible. He has just
returned from a Border dispute on
Ansion."
48,PALPATINE,48,"You must remember him, M'Lady...
he watched over you during the
blockade conflict."
49,PADMÉ,49,"This is not necessary, Chancellor."
50,PALPATINE,50,"Do it for me, M'Lady, please. I
will rest easier. We had a big
scare today. The thought of
losing you is unbearable."
51,MACE WINDU,51,"I will have Obi-Wan report to you
immediately, M'Lady."
52,YODA,52,"Too little about yourself you
worry, Senator, and too much about
politics. Be mindful of your
danger, Padmé. Accept our help."
53,PALPATINE,53,"I will not like this Republiv, that
has stood for over a thousand
years, be split in two"
54,JAR JAR,54,"Obi! Obi! Obi! Mesa sooo smilen
to see'en yousa. Wahoooooo!"
55,OBI-WAN,55,"It's Good to see you, too, Jar Jar."
56,JAR JAR,56,"Oops! Wheresa mesa manners?
Excuse me, Master Obi-Wan. I
completely forgot myself for
a moment there. I have had to learn
Diplodiaclect... speak it like a
native now. Don't really see the
point, actually, but members of
the Senate seem to prefer it..."
57,"JAR JAR
(continuing)",57,"...and this, I take it, is your
apprentice... Nooooooooo! Annie?
Noooooooo! Little Bitty Annie?"
58,(Looks at Anakin),58,"Nooooooo! Yousa so biggen!
Yiyiyiyyi! Annie!! Mesa no
believen."
59,ANAKIN,59,"Hi, Jar Jar."
60,JAR JAR,60,Annie! Annie! Yiyiyiyiyiyiiii!
61,JAR JAR,61,"Lookie... lookie... Oops!... Oh,
dear, I'm afraid I've forgotten
myself again."
62,OBI-WAN,62,"It's a great pleasure to see you again,
M'Lady."
63,PADMÉ,63,"It has been far too long Master
Kenobi. I'm so glad our paths
have crossed again... but I must
warn you that I think your
presence here is unnecessary."
64,OBI-WAN,64,"I'm sure the Jedi Council have
their reasons."
65,PADMÉ,65,Annie??
66,(stares),66,My goodness you've grown.
67,"ANAKIN
(trying to be smooth)",67,"So have you... grown more
beautiful, I mean... and much
shorter... for a Senator, I mean."
68,PADMÉ,68,"Oh Annie, you'll always be that
little boy I knew on Tatooine."
69,OBI-WAN,69,"Our presence will be invisible,
M'Lady."
70,CAPTAIN TYPHO,70,"I am very grateful you are here,
Master Kenobi. The situation is
more dangerous than the Senator
will admit."
71,PADMÉ,71,"I don't need more security, I need
answers. I want to know who is
trying to kill me."
72,"OBI-WAN
(frowning)",72,"We're here to protect you
Senator, not to start an
investigation."
73,ANAKIN,73,"We will find out who is trying to
kill you Padmé, I promise you."
74,OBI-WAN,74,"We are not going to exceed our
mandate, my young Padawan learner."
75,ANAKIN,75,"I meant in the interest of
protecting her, Master, of course."
76,OBI-WAN,76,"We are not going through this
exercise again, Anakin. You will
pay attention to my lead."
77,ANAKIN,77,Why?
78,OBI-WAN,78,What??!!
79,ANAKIN,79,"Why else do you think we were
assigned to her, if not to find
the killer? Protection is a job
for local security... not Jedi.
It's overkill, Master.
Investigation is implied in our
mandate."
80,OBI-WAN,80,"We will do as the Council has
instructed, and you will learn
your place, young one."
81,PADMÉ,81,"Perhaps with merely your presence,
the mysteries surrounding this
threat will be revealed.  Now if
you will excuse me I will retire."
82,CAPTAIN TYPHO,82,"Well, I know I feel a lot better
having you here.
I'll have an officer on every
floor and I'll be at the command
centre downstairs."
83,JAR JAR,83,"Mesa busten wit happiness seein
Yousa again, Annie. Deesa bad
times, bombad times."
84,ANAKIN,84,"She didn't even recognise me, Jar
Jar. I thought about her every
day since we parted... and she's
forgotten me completely."
85,JAR JAR,85,"Shesa happy. Happier den mesa
see-en her in longo time."
86,OBI-WAN,86,"Anakin, you're focusing on the
Negative again. Be mindful of your
thoughts. She was glad to see us.
Now lets check the security here."
87,ANAKIN,87,"Yes, my master."
88,MACE WINDU,88,"Why couldn't we see this attack on
the Senator?"
89,YODA,89,"Masking the future, is this
disturbance in the Force."
90,MACE WINDU,90,"The propecy is coming true, the
Dark Side is growing."
91,YODA,91,"And only those who have turned to
the Dark Side can sense the
possibilities of the future. Only
going through the Dark Side can we
see."
92,MACE WINDU,92,"It's been ten years, and the Sith
still have no shown themselves.
Do you think they are behind this?"
93,YODA,93,"...Out there, they are. A
certainty that is."
94,MACE WINDU,94,"Do you think Obi-Wan's apprentice
will be able to bring balance to
the Force?"
95,YODA,95,"Only if he chooses to follow his
destiny."
96,OBI-WAN,96,"Captain Typho has more than enough
men downstairs. No assassin will
try that way. Any activity up
here?"
97,ANAKIN,97,"Quiet as a tomb. I don't like
just waiting here for something to
happen to her."
98,OBI-WAN,98,What's going on?
99,ANAKIN,99,"She covered that camera. I don't
think she liked me watching her."
100,OBI-WAN,100,What is she thinking?
101,ANAKIN,101,"She programmed Artoo to warn us if
there's an intruder."
102,OBI-WAN,102,"It's not an intruder I'm worried
about. There are many other ways
to kill a Senator."
103,ANAKIN,103,"I know, but we also want to catch
this assassin. Don't we, Master?"
104,OBI-WAN,104,You're using her as bait??
105,ANAKIN,105,"It was her idea... No harm will
come to her. I can sense
everything going on in that room.
Trust me."
106,OBI-WAN,106,"It's too risky... and your senses
aren't that attuned, young
apprentice."
107,ANAKIN,107,And yours are?
108,OBI-WAN,108,Possibly.
109,OBI-WAN,109,You look tired.
110,ANAKIN,110,"I don't sleep well, anymore."
111,OBI-WAN,111,Because of your mother?
112,ANAKIN,112,"I don't know why I keep dreaming
About her now. I haven't seen her
since I was little."
113,OBI-WAN,113,Dreams pass in time.
114,ANAKIN,114,"I'd rather dream of Padmé. Just
Being around her again is...
intoxicating."
115,OBI-WAN,115,"Mind your thoughts, Anakin, they
betray you. You've made a
commitment to the Jedi order... a
commitment not easily broken...
and don't forget she's a
politician. They're not to be
trusted."
116,ANAKIN,116,"She's not like the others in the
Senate, Master."
117,OBI-WAN,117,"It's been my experience that
Senators are only focused on
pleasing those who fund their
campaigns... and they are more
than willing to forget the
niceties of democracy to get those
funds."
118,ANAKIN,118,"Not another lecture, Master. Not
on the economics of politics....
It's too early in the morning... and
besides, you're generalising. The
Chancellor doesn't appear to
be corrupt."
119,OBI-WAN,119,"Palpatine's a politician, I've
observed that he is very clever at
following the passions and
prejudices of the Senators."
120,ANAKIN,120,"I think he is a good man. My
instincts are very positive
about..."
121,OBI-WAN,121,"I sense it, too."
122,ANAKIN,122,Stay here!
123,OBI-WAN,123,I have a bad feeling about this.
124,ANAKIN,124,"That was wacky! I almost lost you
in the traffic."
125,OBI-WAN,125,What took you so long?
126,ANAKIN,126,"Oh, you know, Master, I couldn't
find a speeder I really liked,
with an open cockpit... and with
the right speed capabilities...
and then you know I had to get a
really gonzo color..."
