,character,line #,line
0,GREGG'S MOTHER,0,TOM!!!
1,COLLEGE BOY,1,"Louise? Where's Jeffrey? His mother's on
the phone - it's an emergency."
2,LOUISE,2,"He disappeared to the men's room a little
while ago. I'm getting very tired of
waiting - let's go find him."
3,LOUISE,3,"Hey, shit head. Leave her alone. Don't
force girls!"
4,COLLEGE BOY,4,"Jeffrey, your mother's on the phone. It's
an emergency."
5,LOUISE,5,Thanks for keeping me waiting so long.
6,JEFFREY,6,"Hello. Mom? What's wrong with Dad?.
What's happening?. Come home? Sure I will."
7,MRS. BEAUMONT,7,"I mean, for good, Jeffrey."
8,JEFFREY,8,"For good?. I can't. Mom. Not right in
the middle of the term."
9,"MRS. BEAUMONT
(now looks very tired and",9,"Jeffrey. honey. Your father's condition
is serious. It's going to cost so much.
We just won't have the money to keep you
in school. I'm telling you this now, so
that you can get your things together and
check out of school, honey, or whatever you
have to do. it'll save you another trip back.
You're going to have to work at the store."
10,JEFFREY,10,Can't you come to the damn airport?
11,LOUISE,11,"Jeffrey. I can't. I really can't. I
have to go to that class tonight. I can't
get out of it. I really can't. I love
you, Jeffrey. I'll miss you."
12,JEFFREY,12,"Alright. I'll call you in a couple of days,
you know. I'll let you know how things are."
13,LOUISE,13,"Okay. I'll be here. You better git-going. I
gotta go too sweetie. I hope your father's
okay. I love you. I'm sorry, Jeffrey."
14,JEFFREY,14,"I love you too, Louise. Damn it. I'll see you."
15,JEFFREY,15,Hi Mom. Hi Aunt Barbara.
16,MRS. BEAUMONT,16,"Where's all your things, Jeffrey?"
17,JEFFREY,17,This is it.
18,JEFFREY,18,"I sent a trunk home yesterday. This is
all I have."
19,JEFFREY,19,"You look good, Jeffrey. Did you have a nice
flight?"
20,JEFFREY,20,Yeah. How's Dad?
21,MRS. BEAUMONT,21,He's alright. We'll tell you on the way home.
22,MRS. BEAUMONT,22,"He had a cerebral hemorrhage and they think
there's some sort of clot, or tumor, or
something in there. They're doing all sorts
of tests. On the surface, he looks pretty
good, but there are problems. They think he
may have to stay in two weeks now, at least.
You can go see him though tomorrow, Jeffrey."
23,MRS. BEAUMONT,23,"They tore down the A & P, Jeffrey. Did you
see that?"
24,JEFFREY,24,Aunt Barbara that was 5 years ago.
