,character,line #,line
0,ELI,0,"Dear Lord, thank you for your
generosity in providing us today
with this bountiful feast."
1,ELI,1,"Thank you for the many gifts that
you have given me. Thank you for
your protection and your guidance.
Thank you for bringing me this far.
I know my long journey's end is
near. I ask now only for the
strength and the courage to
complete the task that you in your
infinite wisdom saw fit to bestow
upon me over all men. I won't let
you down. Amen."
2,ELI,2,Hey. You hungry?
3,ELI,3,Come on now.
4,YOUNG WOMAN,4,"Oh. Please don't hurt me. Here,
take anything you want. You want
some food? Take it."
5,ELI,5,I'm not going to hurt you.
6,YOUNG WOMAN,6,That's what the last guys said.
7,ELI,7,Here.
8,YOUNG WOMAN,8,"Could you help me? The wheel came
off. I can't fix it. Maybe if I
could get it out of the ditch. But
I can't."
9,ELI,9,"One good thing about no soap any
more. You can smell the road agents
a mile off."
10,BANDIT LEADER,10,Dumb bitch. What did we tell you?
11,BANDIT LEADER,11,What you got there in the pack?
12,ELI,12,Nothing.
13,BANDIT LEADER,13,"Yeah, that's what they all say. How
about you take it off real slow and
tip it out so's we can take a look?"
14,BANDIT #2,14,He's got a gun.
15,BANDIT LEADER,15,"Shit, it ain't loaded. They never
are. Ain't that right, old man?"
16,BANDIT LEADER,16,Open the fucking pack or die.
17,ELI,17,I can't do that.
18,BANDIT LEADER,18,"Want us to do it for you? We can
get it off real easy after we've
hacked your fucking arms off."
19,ELI,19,"It's real important you boys listen
to me and understand. The man I
work for, you do not want to cross
him. See, I'm under his protection.
You stand in my way, you stand in
his. And he will cut you down with
a righteous fury - through me. For
I am his faithful instrument."
20,BANDIT LEADER,20,"What the hell are you, some kinda
preacher?"
21,ELI,21,Something like that.
22,BANDIT LEADER,22,"Well I got news for you, preacher
man. Whatever kinda God you reckon
yourself to be working for, he left
these parts a long time ago. He
ain't here to protect your ass. Now
take off the pack and set it on the
ground."
23,BANDIT LEADER,23,You fucking listening to me?
24,ELI,24,"I hear you. You lay that hand on me
again and you will not get it back."
25,BANDIT LEADER,25,"All right, I had just about enough
of this shit..."
26,BANDIT LEADER,26,"What... you just... he just cut my
fucking hand off! My fucking hand!"
27,BANDIT LEADER,27,"What you standin' around for? Kiss
him!"
28,BANDIT #3,28,"What's he talkin' about, kiss him?"
29,ELI,29,"He's in shock. He means ""kill him""."
30,ELI,30,"I told you you wouldn't be getting
that back."
31,BANDIT LEADER,31,Who are you?
32,ELI,32,My name is Eli.
33,ELI,33,"Take it and go on your way. And
don't fall in with men like these
again. No good can come."
34,YOUNG WOMAN,34,Why are you doing this?
35,ELI,35,"God, the father of mercies, through
the death and resurrection of his
son has reconciled the world to
himself and sent the holy spirit
among us for the forgiveness of
sins."
36,ELI,36,"Through the ministry of the church
may he give you pardon and peace,
and I absolve you from your sins in
the name of the father, and of the
son, and of the holy spirit. Amen."
37,YOUNG WOMAN,37,Thank you. You're... a good man.
38,ELI,38,There are no good men on the road.
39,YOUNG WOMAN,39,Where are you going?
40,ELI,40,West.
41,YOUNG WOMAN,41,Can... can I come with you?
42,ELI,42,No.
43,ELI,43,"It ain't your concern. Stay on the
path. It ain't your concern. Stay
on the path."
44,ELI,44,"You got an engineer or a fuelman
around here?"
45,ELI,45,Thanks.
46,CHAIN GANG BOSS,46,"Come on, move it!"
47,ENGINEER,47,I don't know you.
