,character,line #,line
0,MONSIGNOR,0,"Thank you Father Macklepenny, for
coming all the way across town to be
our guest speaker today. I hope you
found our little parish to your
liking."
1,ANNABELLE MACMANUS (V.O.),1,"They've never been like anyone else.
From the moment they were born, of
the same womb, on the same day, they
just had their own way, my boys did.
And I always knew that one day they
would do something of true greatness.
I just never expected they would
bring about such a... such a
reckoning."
2,MONSIGNOR,2,"...and I am reminded of this holy
day of the sad story of Kitty
Geneviese. This poor soul cried out
time and time again for help but no
person answered her calls. Though
many saw, not one so much as called.
Her assailant wiped the bloody knife
off on her lifeless little body.
They watched as he simply walked
away. Nobody wanted to get involved.
Nobody wanted to take a stand... We
must fear evil men and deal with
them accordingly but what we must
truly guard against, what we must
fear most"
3,MONSIGNOR,3,Is the indifference of good men.
4,CONNOR,4,"I do believe the Monsignor finally
got a point."
5,MURPHY,5,Aye.
6,CONNOR,6,What?
7,MCGERKIN,7,"Boys this is Rose, Baum, Gurtle...
Gurtle."
8,ROZ,8,Rozengurtle Baumgartner.
9,MCGERKIN,9,"You'll be training her today, and do
a good job."
10,BOTH BOYS,10,Aye.
11,CONNOR,11,Pleased ta meet ya Rozie.
12,ROZ,12,"I prefer to be called Rozengurtle by
men."
13,CONNOR,13,Okay then... let's get ya started.
14,MURPHY,14,"Christ, that's the largest woman
I've ever seen."
15,MCGERKIN,15,"It's self-imposed affirmative action.
If we hire big, fat, angry lesbians,
then the leftist groups representing
big, fat angry lesbians, won't think
we're violating their rights."
16,MURPHY,16,"Well, how politically correct you
are. That's good stuff."
17,MCGERKIN,17,"Hey, those people can shut ya down.
They'll sue you into the ground
claiming they were put under mental
duress, inner pain. and sufferin'."
18,MURPHY,18,"Well, as long as we're hirin' fat
lesbians, give your ma a call."
19,MCGERKIN,19,Fuck you Murphy.
20,CONNOR,20,"Okay, just cut off as much fat as
you can as it goes by and the rule
of thumb here is..."
21,ROZ,21,Rule of thumb?
22,CONNOR,22,Yeah?
23,ROZ,23,"Do you know where that term comes
from? In the early 1900's it was
legal for men to beat their wives as
long as they used a stick no wider
than their thumb."
24,CONNOR,24,"Can't do much damage with that.
Perhaps, it shoulda been the rule of
wrist. Ha!"
25,CONNOR,25,Rule of wrist.
26,CONNOR,26,Hey Murphy?
27,MURPHY,27,Aye.
28,CONNOR,28,"How many feminists does it take to
screw in a light bulb?"
29,MURPHY,29,How many?
30,CONNOR,30,"Two. One ta screw it in and one ta
suck my cock."
31,ROZ,31,"I knew you two pricks would give me
problems. Give me shit cause I'm a
woman. I'm not gonna take your male
dominance bullshit!"
32,CONNOR,32,"Oh, come on now Rozengurtle. I was
just tryin' ta get a rise outta ya."
33,MURPHY,33,"Yeah. Just tryin' ta break the ice
is all."
34,ROZ,34,Fuck you...
35,ROZ,35,...and fuck you!
36,MURPHY,36,"Oh, come on its St. Patty's Day.
It's all in good fun."
37,ROZ (V.O.),37,"Baumgartner sound Irish to you, fuck
face?"
38,CONNOR,38,"Now look Rozengurtle, we're sorry.
Just relax."
