,character,line #,line
0,CASS,0,"I'm working, Stewart."
1,STEWART,1,"Come on, take a break. (enticing)
I've got Kahlua..."
2,CASS,2,Cassidy Daley. Talk to me.
3,JIMMY (O.S.),3,It's Jimmy. Tell me you love me.
4,CASS,4,Depends on what you got.
5,JIMMY (O.S.),5,"I've got a confirmed place and
time."
6,CASS,6,"I love you! So, when? Where?"
7,JIMMY (O.S.),7,"You think I'm gonna say this shit
over the phone? I could get killed.
Just meet me at the usual place.
Oh, and Cass? This one's gonna cost
an extra hundred."
8,STEWART,8,Where ya going?
9,CASS,9,"Hooters. I go there for the hot
wings."
10,STEWART,10,"Please. Nobody goes there for the
hot wings. You got a tip."
11,CASS,11,You got a hundred bucks on you?
12,STEWART,12,Now are you gonna let me in on it?
13,CASS,13,"Sorry. No can do. I have to protect
my source."
14,STEWART,14,"You know what? We need to talk
about our relationship."
15,CASS,15,"We don't have a relationship. We
made out 3 years ago in the copy
room. I was drunk. I was broken-
hearted. I would have made out with
the xerox machine."
16,STEWART,16,"Yes, but you made out with me."
17,CASS,17,I have to go.
18,STEWART,18,I want in on that story!
19,CASS,19,"Hey, Jimmy, I..."
20,CASS,20,Jimmy?
21,CASS,21,"Let go of me, I'm a reporter, I'm
warning you..."
22,VOICE,22,Milo!
23,CRYSTAL,23,What did I say about the fires?
24,MILO,24,"You said ""please set fires in my
bar"". Wait, no, that's not right.
""Please don't set fires in my bar"".
(off her look) Ok, jeez, you try to
get in the holiday spirit..."
25,CRYSTAL,25,Shouldn't you be working?
26,MILO,26,"That's the beauty of my job,
Crystal. Tracking down idiots is
something you can do pretty much
anywhere. See, there's one..."
27,MILO,27,And there's another one...
28,MILO,28,And there's...
29,MILO,29,"I don't believe it. That idiot. (to
Crystal) Save my seat."
30,DWIGHT,30,"There you are, you dipshit."
31,MILO,31,"Yeah, you. Rudolph. Come here, you
fucking ding-dong."
32,DWIGHT,32,We have to stop meeting this way.
33,MILO,33,"Not now, Dwight."
34,DWIGHT,34,You owe my boss money.
35,MILO,35,"Hey, I owe everybody money."
36,MILO,36,I am so happy you did that.
37,BOY,37,That man is killing Rudolph!
38,GELMAN,38,Release the reindeer!
39,GELMAN,39,"Hands behind your head, asshole!"
40,MILO,40,"Take it easy, skippy, I'm just
doing my job."
41,GELMAN,41,"Bounty hunter. Figures. Why don't
you get a real job?"
42,MILO,42,"So I can be like you patrol boys
and sit around all day with my
thumb up my ass?"
43,GELMAN,43,What did you just say?
44,BOBBY,44,Milo Boyd. I shoulda known.
45,GELMAN,45,"Sarg, you know this asshole?"
46,BOBBY,46,"Yeah. I know this asshole. Guy used
to be one of us."
47,BOBBY,47,"Look, Milo, I know this is a tough
time of year for you..."
48,MILO,48,"This isn't a tough time of year for
me. It's Christmas. Who doesn't
love Christmas?"
49,BOBBY,49,"...and I try to be sensitive to
your situation..."
50,MILO,50,"What situation? Being a man who
works his own hours and has his
freedom and lives the high life?"
51,BOBBY,51,"...because I realize you're
unhappy."
52,MILO,52,"Unhappy? Are you kidding me, Bob?
Look at me: I'm the happiest man
alive."
53,BOBBY,53,That sign is pretty hard to see.
54,MILO,54,AAAHHH!
55,RUDOLPH,55,Take me to jail. Please?
56,BOBBY,56,"Ok, I got one for ya: why doesn't
Santa have any children? Cause he
only comes once a year and when he
does, it's down a chimney."
57,BOBBY,57,So. Have you talked to her lately?
58,MILO,58,Talked to who?
59,BOBBY,59,"Katie Couric, motherfucker, who do
you think?"
60,MILO,60,"I haven't talked to her in three
years, why would I talk to her now?"
61,BOBBY,61,"Well, for one thing, so you can
stop taking out your rage on
innocent bystanders."
62,RUDOLPH,62,"Talk to her, man. For real."
63,BOBBY,63,"Do what you want. But this kind of
shit will eat a hole in your
intestines, you don't deal with it."
64,BOBBY,64,"Hey, why don't you come by the
precinct tomorrow for our Xmas
bash?"
65,MILO,65,"I'm not invited. I'm not a cop
anymore, remember?"
66,BOBBY,66,"Fuck that, I'm inviting you."
67,MILO,67,"I don't know, Bob. I'm sorta busy."
68,BOBBY,68,"That's what I'm worried about.
(sighing) Just...take it easy, Ok?"
69,RUDOLPH,69,"You should go to that party, man.
Seriously. You need it."
70,MILO,70,"Do I look like I need advice from a
grown man in antlers?"
71,VOICE,71,Milo. Hey. Princess...
72,SID,72,You're drooling on my sofa.
73,SID,73,"You do have an apartment, don't
you? With a bed of some kind?"
74,SID,74,"Heard you shut down 5th Street
yesterday. Gave every kid in the
county the gift of nightmares."
75,MILO,75,"Hey, I'm a giving kind of guy.
Anyway, what do you care? I brought
your guy in, right?"
76,SID,76,"You gonna give me a hand, or just
stand there killing your liver?"
77,MILO,77,Is that a trick question?
78,SID,78,"So I told her, fine, I'd handle
Xmas this year. I mean, what's to
handle? You buy a tree, some gifts,
cook a ham, hang some lights. An
idiot could do it."
79,MILO,79,"Well, we'll soon find out."
80,SID,80,You have plans for the holiday?
81,MILO,81,The usual.
82,SID,82,"Gonna drink some cheap whiskey and
put your fist through a wall?"
83,MILO,83,Jealous?
84,SID,84,Then forget it.
85,MILO,85,Forget what?
86,SID,86,"I've got an open bond, but your
thing sounds like more fun. I'll
give it to Doug instead."
87,MILO,87,"Whoa. Hold up, Heidi. What the
fuck. I want the job, I'm in the
hole."
88,SID,88,You're always in the hole.
89,MILO,89,What's your point?
90,SID,90,"The truth is, I'm not sure you're
the right person for this job. It
could be a total disaster. On the
other hand, when one friend sees
another friend stagnating in his
own filth, he has to do something,
right?"
91,MILO,91,"Hey. I just woke up. I was gonna
shower."
92,SID,92,Ok. But remember: you asked for it.
93,MILO,93,No.
94,SID,94,Yes.
95,MILO,95,No.
96,SID,96,Yes.
97,MILO,97,No.
98,SID,98,Are we done yet?
99,MILO,99,"Is this a joke? Because if it is,
I'm gonna have to kill you."
100,SID,100,It's not a joke.
101,MILO,101,"She got arrested? And then she
jumped bail?"
102,SID,102,"Apparently the whole thing started
with some reckless driving, and
ended with her assaulting a police
officer."
103,SID,103,She bit him.
104,MILO,104,"Yeah. That sounds like her.
But here's my question: why the
hell did you post her bail?"
105,SID,105,"Hey, I know she dumped you..."
106,MILO,106,"Whoa. She did not ""dump me""."
107,SID,107,"Ok, whatever, I..."
108,MILO,108,"No, not ""whatever"". I dumped her."
109,SID,109,"The point is, I'm aware you guys
have issues, but I'm running a
business here. A person needs bail,
I don't have time to check with you
first."
110,MILO,110,"Well, had you checked with me
first, you wouldn't be out of a
bond right now."
111,SID,111,"I'm not out of a bond if you go
pick her up. It's five grand to
bring her back by 9am, Xmas day."
112,MILO,112,"You're telling me it's five grand
to go pick up my ex-wife and bring
her to jail. (beat) On Xmas."
113,SID,113,You're a good listener.
114,SID,114,I take it you're interested.
115,MILO,115,"I love you! You're the best friend
a guy could ever have!"
116,SID,116,"Ok, take it easy..."
117,TERESA,117,"Sid, you got a DUI on line one.
(off their looks) What's going on?"
118,TERESA,118,Ok. (beat) Can I have my gum back?
119,MILO,119,Right. Sorry.
120,MILO,120,"You know what this is, don't you?
Karma! Payback! You know how they
say ""What goes around comes
around""? Turns out it's true!"
121,MILO (cont'd),121,"(checking the paper) That middle
initial stands for Rhonda, by the
way. She tells people it stands for
""Rachel"", but that's a lie."
122,SID,122,"I can't believe you guys broke up
over a stupid article."
123,MILO,123,"We didn't break up over a stupid
article. We broke up because she is
a cheating, manipulative liar."
124,SID,124,Are you sure you can handle this?
125,MILO,125,"Why wouldn't I be able to handle
this?"
126,SID,126,"Let's face it: you're not exactly
rational around her. I mean, if I
was a cop working a case and some
reporter came snooping around, I'd
say ""no comment"". Not ""no comment,
but care for a cocktail""? And then
a month later, running off to some
love shack called ""Caveman's Cabin""
and tying the knot? Who does that?"
127,MILO,127,"That's not even close to what
happened. For one thing, it was
called ""Cupid's Cabin"". And for
another, that was before I knew how
conniving she was. Now I know. So
all I have to do is track her down,
cuff her up, and bring her in.
(checking his watch) And I've got,
what, two days? Shit, man. Easy as
pie."
128,LORRAINE,128,"You tell him I know where he lives.
I know where his bimbo wife takes
her yoga classes, I know where his
idiot son shoplifts after school,
so he can pay me my money or..."
129,LORRAINE,129,What the hell happened to you?
130,DWIGHT,130,Milo Boyd. Fucker head-butted me.
131,LORRAINE,131,Yeah? Did you get the money?
132,MILO,132,Luck be a lady...
133,MILO,133,Toooo....NIIIIIGHT!
134,MILO,134,I told you this day would come.
135,CASS,135,Jimmy?
136,MILO,136,"You better run, you crazy bitch."
137,SID,137,"Yeah. He took the job. But if this
thing goes bad, I'm blaming you."
138,MILO,138,Nice dog. Very compact.
139,MILO,139,Candygram.
