,character,line #,line
0,OLD KIM,0,"Snuggle in, sweetie. It's cold out there."
1,GRANDDAUGHTER,1,"Why is it snowing, grandma? Where does it come
from?"
2,OLD KIM,2,"Oh, that's a long story, sweetheart."
3,GRANDDAUGHTER,3,I want to hear.
4,OLD KIM,4,"Oh, not tonight. Go to sleep."
5,GRANDDAUGHTER,5,"I'm not sleepy. Tell me, please."
6,OLD KIM,6,"Well, all right. Let's see. I guess it would
have to start with scissors."
7,GRANDDAUGHTER,7,Scissors?
8,OLD KIM,8,"Well, there are all kinds of scissors. And once
there was even a man who had scissors for
hands."
9,GRANDDAUGHTER,9,A man?
10,OLD KIM,10,Yes.
11,GRANDDAUGHTER,11,"Hands, scissors?"
12,OLD KIM,12,"No, scissorhands. You know the mansion on top
of the mountain?"
13,GRANDDAUGHTER,13,It's haunted.
14,OLD KIM,14,"Well, a long time ago, an inventor lived in
that mansion. He made many things, I suppose.
He also created a man. He gave him inside, a
heart, a brain, everything. Well, almost
everything. You see, the inventor was very old.
He died before he got to finish the man he
invented. So the man was left by himself,
incomplete and all alone."
15,GRANDDAUGHTER,15,He didn't have a name?
16,OLD KIM,16,"Of course, he had a name. His name was Edward."
17,PEG,17,Avon calling.
18,HELEN,18,Weren't you just here?
19,PEG,19,"No, not since last season. Today I've come to
show you our exquisite new line of soft colors
in shadows, blushes and lipstick. Everything
you need to accent and highlight your changing
looks."
20,HELEN,20,My changing looks? That's good.
21,PEG,21,"Well, it goes that saying and I also have a
complete selection of your old favorites, those
tried-and-true products we've all come to
depend on year-in and year-out."
22,HELEN,22,"Come on, Peg. I never buy anything from you.
You know that?"
23,PEG,23,"I know. Bye, Helen."
24,REPAIRMAN,24,"You know, you didn't have to call me, ma'am.
You could have taken care of this by yourself."
25,JOYCE,25,I could? I don't think so.
26,REPAIRMAN,26,"Yeah, you see, it's easy. The food trap's
clogged. That's all. You see this bolt here?
You just unscrew this. OK? And out she pops."
27,JOYCE,27,"You know, on TV they say you repairmen are
lonely bunch of people. Housewives get lonely
too. Although you may not realize it since they
haven't made a commercial on the subject."
