,character,line #,line
0,VOICE (O.S.),0,Hey.
1,JACK,1,Hey.
2,GIRL,2,Whatcha doin' over there?
3,JACK,3,Gotta go.
4,GIRL,4,How come?
5,JACK,5,Job.
6,GIRL,6,Funny hours.
7,JACK,7,Funny job.
8,GIRL,8,Will I see you again?
9,JACK,9,No.
10,GIRL,10,"You weren't wearing that, were
you? Earlier."
11,JACK,11,Brought it.
12,GIRL,12,"Shit, thank God.  You look like a creep."
13,JACK,13,Thanks.
14,GIRL,14,"I mean, I'd hate to think I'd pick up someone
who wore that shit."
15,GIRL,15,Hey.
16,GIRL,16,You got great hands.
17,DOORMAN,17,"Hey, Jackie!"
18,JACK,18,"How goes it, Tommy?"
19,TOMMY (DOORMAN),19,"Ah, you know. Howsa pooch?"
20,JACK,20,Losing his teeth.
21,TOMMY,21,"No shit. It's the goddamn water. Kill an ox.
I buy bottled for my Danny. You can't trust
the taps."
22,JACK,22,Yeah.
23,JACK,23,"Jesus, you look like fucking
royalty, Tommy."
24,TOMMY,24,"Yeah.  The big boys sent it down
yesterday."
25,JACK,25,"Another five years, huh?"
26,TOMMY,26,"Like clockwork.  You got a good
memory, Jackie."
27,JACK,27,"It ain't always a blessing.  My
brother here?"
28,TOMMY,28,He's got blood in his eye.
29,FRANK,29,"Great.  Terrific.  Glad you could
make it."
30,JACK,30,How we doing?
31,FRANK,31,"How we ... ? What, are you kidding
me?"
32,JACK,32,Am I late?
33,FRANK,33,That's not the point.
34,JACK,34,What's the point?
35,FRANK,35,"You cannot continue to walk in at
the last moment, Jack."
36,JACK,36,"You want me to show up late a few
nights?"
37,FRANK,37,Jack.
38,JACK,38,Frank.
39,FRANK,39,Jack.
40,JACK,40,"Frank.  I'm here.  I always get
here.  Don't sweat it."
41,FRANK,41,"Christ, will you look at your hair?"
42,JACK,42,What's wrong with it?
43,FRANK,43,"You look like you just crawled out
of bed."
44,JACK,44,"No one's gonna be looking at my
hair.  Come on, we're on."
45,JACK,45,"Careful, Frank.  When you get angry your
tie starts to spin."
46,FRANK,46,"Thank you.  Thank you.  Good evening and welcome
to the Starfire lounge.  My name is Frank Baker
and eighty-eight keys across from me is my
little brother, Jack."
47,FRANK,47,"You know, my brother and I have been playing
together, gosh, I don't know.  How long has it
been, Jack?"
48,JACK,48,"Twenty-eight years, Frank."
49,FRANK,49,"That's a lot of water under the
bridge, eh, Jack?"
50,JACK,50,Lotta water.
51,FRANK,51,"Of course, back then, things were a little
different.  I was eight, Jack was seven, just
about the only song we knew was 'My Bonnie
Lies Over the Ocean', and the only one who would
listen to us was the family cat, Cecil."
52,FRANK,52,"We must have shaved three lives off that cat,
eh, Jack?"
53,FRANK,53,"But seriously.  It's been fifteen years since
Jack and I first stepped on the stage as
professionals. Three states, sixty-eight cities,
and more-grayhairs-then-we'd-like-to-admit later...
well, believe me, we've seen our share of this
crazy country of ours.  But even though we've
played some of the finest venues in the world ..."
54,FRANK,54,"... There's one place that's always been, for us,
a very special place, and that place is... this
place, the Starfire lounge."
55,FRANK,55,"Why?  Well, I guess you could just say it's
the ..."
56,FRANK,56,... people.
57,FRANK,57,"Thank you.  Remember, room service is available"
58,FRANK,58,"Don't make trouble, all right?"
59,JACK,59,Who's gonna make trouble?
60,JACK,60,"Hey, amigo!"
61,MAN,61,Jack!
62,MAN,62,Frank.
63,FRANK,63,"Yeah, hi, Hector."
64,HECTOR (MAN),64,For Eddie.  I wrap.
65,JACK,65,Gracias.
66,FRANK,66,"I mean it, Jack.  Behave."
67,JACK,67,Like an angel.
68,LLOYD (YOUNG MAN),68,"Terrific, boys.  Really.  Terrific."
69,FRANK,69,"Thanks, Lloyd."
70,LLOYD,70,"Yes, sir.  You're just what we needed on a night
like this."
71,FRANK,71,Uh ... thanks.
72,LLOYD,72,"Only, Jack, do me a favor, will ya, pal?  If you
wanna smoke, put on a pair of sunglasses and go
play with the niggers on State Street.  These
blisters from the midwest don't wanna watch some
guy dripping ash all over himself while he's
playing 'The Sound of Music.'"
73,LLOYD,73,"Okay, boys, that ought to buy you a few more"
74,FRANK,74,Uh ... You don't know when you'll be wanting us
75,LLOYD,75,I'll call you.
76,FRANK,76,"Uh, well, you know, the way our schedule is, I"
77,LLOYD,77,I'll call you.
78,JACK,78,Count it.
79,FRANK,79,Huh?
80,JACK,80,Count it.
81,FRANK,81,Jack...
82,JACK,82,"Count the fucking money, Frank."
83,FRANK,83,It's all here.
84,FRANK,84,"I'll be talking to you, Lloyd."
85,FRANK,85,"You mind telling me what that was about in there?
Was that planned?
Or were you just bored and decided
to get creative?"
86,JACK,86,Fuck him.
87,FRANK,87,"This isn't the Pine Tree Inn on
Route 81, Jack."
88,JACK,88,Fuck him.
89,FRANK,89,Fuck him.  Great.  Terrific.  Fuck him.
90,JACK,90,So we on tomorrow night?
91,FRANK,91,"Maybe Thursday.  I hear the harpist at the
Sheraton's got appendicitis."
92,FRANK,92,Hey.
93,FRANK,93,"Listen ... why don't you come out to the house
this weekend.  Say hello to the kids.
They've grown."
94,JACK,94,"I hate your kids, Frank."
95,FRANK,95,You're their uncle.
96,JACK,96,"Only by relation.  Besides, they hate me, too."
97,FRANK,97,They don't.  They're always asking about you.
98,JACK,98,"They tried to electrocute me, Frank."
99,FRANK,99,It was an accident.
100,JACK,100,"It was no fucking accident, Frank. The little
one ..."
101,FRANK,101,Cindy.
102,JACK,102,"She threw a goddamn radio into the bathtub.
How do you explain that?"
103,FRANK,103,"She didn't know what she was doing.
You're too sensitive."
104,JACK,104,"You got weird kids, Frank."
105,FRANK,105,"Look, I just thought if you came out you might
see what you're missing."
106,FRANK,106,"Just think about it, all right?
Consider it a standing offer."
107,FRANK,107,"You want a ride, Jack?  No, Frank,
I'll walk.  Okay, Jack, good night.
Good night, Frank."
108,JACK,108,"Hi, pal.  Thought you were gonna clean the
apartment."
109,JACK,109,"Take it easy, will ya?  You're becoming a regular
Johhny Appleseed the way you're dropping teeth
around here."
110,FRANK,110,"What happened to the two Clays, Willie?"
111,WILLIE,111,Out.
112,FRANK,112,When they coming in?
113,WILLIE,113,"Wednesday next.
Frank looks across the room at Jack."
114,FRANK,114,"What d'ya got?,"
115,JACK,115,Bosen black.
116,JACK,116,Flat.
117,FRANK,117,"What d'you say, Willie?  Tighten her up?"
118,WILLIE,118,What's the gig?
119,FRANK,119,Two nights.
120,FRANK,120,What d'ya got?
121,JACK,121,Yamaha white.  Nice.
122,FRANK,122,What do you think?
123,JACK,123,Try the black Knable.
124,FRANK,124,"Tag 'em, Willie.  The Regency downtown,
Thursday-Friday.  Thanks."
125,WILLIE,125,My pleasure.
126,FRANK,126,"You know, I think it's been five years since I
saw you eat anything. That's the God's truth."
127,JACK,127,"Trust me, you're not missing anything."
128,FRANK,128,You look awful.
129,JACK,129,Thanks.
130,FRANK,130,Really.  You sleeping?
131,JACK,131,Only on odd days.
132,FRANK,132,Seeing anyone in particular?
133,JACK,133,Why the interest?
134,FRANK,134,"Because I'm your brother.  Because I care about
you. Because sometimes it seems like the most
significant relationship in your life is with
that goddamn dog of yours."
135,JACK,135,I'm not seeing anyone.  In particular.
136,FRANK,136,What about that waitress at the Ambassador?
137,JACK,137,Uh-uh.  How about you?  You seeing anyone?
138,FRANK,138,Funny.
139,FRANK,139,Strike a bell?
140,JACK,140,It's only a ring.  Not a collar.
141,FRANK,141,It's more than that.
142,FRANK,142,"By the way, we gotta go see Ma tomorrow."
143,JACK,143,No thanks.
144,FRANK,144,"No, I mean it."
145,JACK,145,So do I.
146,FRANK,146,"We gotta go, Jack."
147,JACK,147,"No, you gotta go 'cause if you don't get up
there every couple weeks you feel guilty.
I won't feel guilty, so I don't gotta go."
148,FRANK,148,This time you gotta go.
149,JACK,149,I don't gotta go.
150,FRANK,150,You gotta go.
151,JACK,151,Says who?
152,FRANK,152,Your older brother.
153,JACK,153,"You're thirteen months older than me, Frank.
That might've meant something in the Apache
clubhouse, but it don't cut too deep anymore."
