,character,line #,line
0,JACK (V.O.),0,"People were always asking me, did I
know Tyler Durden."
1,TYLER,1,One minute.
2,TYLER,2,"This is the beginning.  We're at
ground zero.  Maybe you should say a
few words, to mark the occasion."
3,JACK,3,... i... ann....iinn.. ff....nnyin...
4,JACK (V.O.),4,"With a gun barrel between your teeth,
you only speak in vowels."
5,JACK,5,I can't think of anything.
6,JACK (V.O.),6,"With my tongue, I can feel the
rifling in the barrel.  For a second,
I totally forgot about Tyler's whole
controlled demolition thing and I
wondered how clean this gun is."
7,TYLER,7,It's getting exciting now.
8,JACK (V.O.),8,"That old saying, how you always hurt
the one you love, well, it works both
way."
9,JACK (V.O.),9,"We have front row seats for this
Theater of Mass Destruction.  The
Demolitions Committee of Project
Mayhem wrapped the foundation columns
of ten buildings with blasting
gelatin.  In two minutes, primary
charges will blow base charges, and
those buildings will be reduced to
smoldering rubble.  I know this
because Tyler knows this."
10,TYLER,10,Look what we've accomplised.
11,TYLER,11,Thirty seconds.
12,JACK (V.O.),12,"Somehow, I realize all of this -- the
gun, the bombs, the revolution -- is
really about Marla Singer."
13,JACK (V.O.),13,Bob had bitch tits.
14,JACK (V.O.),14,"This was a support group for men with
testicular cancer.  The big moosie
slobbering all over me was Bob."
15,BOB,15,We're still men.
16,JACK,16,Yes.  We're men.  Men is what we are.
17,JACK (V.O.),17,"Six months ago, Bob's testicles were
removed.  Then hormone therapy.  He
developed bitch tits because his
testosterone was too high and his
body upped the estrogen.  That was
where my head fit -- into his huge,
sweating tits that hung enormous, the
way we think of God's as big."
18,BOB,18,"They're gonna have to open my pec's
again to drain the fluid."
19,BOB,19,Okay.  You cry now.
20,JACK (V.O.),20,Wait.  Back up.  Let me start earlier.
21,JACK (V.O.),21,For six months.  I could not sleep.
22,JACK (V.O.),22,"With insomnia, nothing is real.
Everything is far away.  Everything
is a copy of a copy of a copy."
23,JACK (V.O.),23,"When deep space exploration ramps up,
it will be corporations that name
everything.  The IBM Stellar Sphere.
The Philip Morris Galaxy.  Planet
Starbucks."
24,BOSS,24,"I'm going to need you out-of-town a
little more this week.  We've got
some ""red-flags"" to cover."
25,JACK (V.O.),25,"It must've been Tuesday.  he was
wearing his ""cornflower-blue"" tie."
26,JACK,26,"You want me to de-prioritize my
current reports until you advise of
a status upgrade?"
27,BOSS,27,"You need to make these your primary
""action items."""
28,JACK (V.O.),28,"He was full of pep.  Must've had his
grande latte enema."
29,BOSS,29,"Here are your flight coupons.  Call
me from the road if there are any
snags.  Your itinerary..."
30,JACK (V.O.),30,"Like everyone else, I had become a
slave to the IKEA nesting instinct."
31,JACK,31,"Yes.  I'd like to order the Erika
Pekkari slip covers."
32,JACK (V.O.),32,"If I saw something like clever coffee
table sin the shape of a yin and
yang, I had to have it."
33,JACK (V.O.),33,"Like the Johanneshov armchair in the
Strinne green stripe pattern..."
34,JACK (V.O.),34,"Or the Rislampa wire lamps of
environmentally-friendly unbleached
paper."
35,JACK (V.O.),35,"Even the Vild hall clock of
galvanized steel, resting on the
Klipsk shelving unit."
36,JACK (V.O.),36,"I would flip through catalogs and
wonder, ""What kind of dining set
defines me as a person?""  We used to
read pornography.  Now it was the
Horchow Collection."
37,JACK,37,"No, I don't want Cobalt.  Oh, that
sounds nice.  Apricot."
38,JACK (V.O.),38,"I had it all.  Even the glass dishes
with tiny bubbles and imperfections,
proof they were crafted by the
honest, simple, hard-working
indigenous peoples of wherever."
39,INTERN,39,"No, you can't die of insomnia."
40,JACK,40,"Maybe I died already.  Look at my
face."
41,INTERN,41,You need to lighten up.
42,JACK,42,Can't you give me something?
43,JACK (V.O.),43,"Red-and-blue Tuinal, lipstick-red
Seconals."
44,INTERN,44,"You need healthy, natural sleep.
Chew valerian root and get some more
exercise."
45,JACK,45,I'm in pain.
46,INTERN,46,"You want to see pain?  Swing by First
Methodist Tuesday nights.  See the
guys with testicular cancer.  That's
pain."
47,SPEAKER,47,"I... wanted three kids.  Two boys and
a girl.  Mindy wanted two girls and
one boy.  We never could agree on
anything."
48,SPEAKER,48,"Well, she had her first child a month
ago, a girl, with her new husband...
And, Thank God.  I'm glad for her,
because she deserves..."
49,LEADER,49,"Everyone, let's thank Thomas for
sharing himself with us."
50,EVERYONE,50,"Thank you, Thomas."
51,LEADER,51,"I look around this room and I see a
lot of courage.  And it gives me
strength.  We give each other
strength."
52,LEADER,52,"It's time for the one-on-one.  Let's
follow Thomas's example and open
ourselves."
53,LEADER,53,Can everyone find a partner?
54,JACK (V.O.),54,"The big moosie, his eyes already
shrink-wrapped in tears.  Knees
together, invisible steps."
55,JACK (V.O.),55,"Bob was a champion bodybuilder.  You
know that chest expansion program you
see on TV?  That was his idea."
56,BOB,56,"...using steroids.  I was a juicer.
Diabonol, then, Wisterol -- it's for
racehorses, for Christsake.  Now I'm
bankrupt, divorced, my two grown kids
won't return my calls..."
57,JACK (V.O.),57,"Strangers with this kind of honesty
make me go a big rubbery one."
58,BOB,58,"Go ahead, Cornelius.  You can cry."
59,JACK (V.O.),59,"Then... something happened.  I was
lost in oblivion -- dark and silent
and complete."
60,JACK (V.O.),60,"I found freedom.  Losing all hope was
freedom."
