,character,line #,line
0,VOICE (O.S.),0,"One two, Freddie's coming for
you..."
1,WOMAN'S VOICE (O.S.),1,"You okay, Tina?"
2,TINA,2,"Just a dream, Ma..."
3,TINA,3,"Damn dream, is all..."
4,TINA'S MOTHER,4,"Some dream, judging from that."
5,MAN (OS),5,"You coming back to the sack or
what?"
6,TINA'S MOTHER,6,Hold your horses.
7,TINA'S MOTHER,7,"You gotta cut your nails or stop
that kind of dreaming, Tina.  One
or the other."
8,TINA,8,"Oh, shit."
9,CHILDREN (OS),9,"One two, Freddie's coming for you...
Three four better lock your door
Five six grab your crucifix..."
10,ROPE JUMPERS,10,"Seven eight, gonna stay up late!
Nine ten -- never sleep again!"
11,TINA,11,"That's what it reminded me of --
that old jump rope song."
12,TINA,12,"Worst nightmare I ever had.
You wouldn't believe it."
13,NANCY,13,"Matter of fact I had a bad dream
last night myself..."
14,ROD,14,"Had a hardon this morning when
I woke up, Tina.  Had your name
written all over it."
15,TINA,15,"There's four letters in my name,
Rod.  How could there be room
on your joint for four letters?"
16,ROD,16,"Hey, up yours with a twirling lawn
mower!"
17,TINA,17,Rod says the sweetest things.
18,NANCY,18,He's nuts about you.
19,TINA,19,"Yeah, nuts."
20,TINA (CONTD),20,"Anyway, I'm too tired to worry
about the creep.  Couldn't get
back to sleep at all."
21,TINA (CONTD),21,So what you dream?
22,NANCY,22,"Forget it, the point is,"
23,NANCY,23,"body has nightmares once in a while.
No biggy."
24,GLEN,24,"Next time you have one, just
tell yourself that's just all
it is, right while you're having
it, y'know?  That's the trick.
Once you do that, you wake right
up.  At least it works for me."
25,TINA,25,Hey!  You have a nightmare too?
26,TINA (CONTD),26,"Maybe we're gonna have the Big
Earthquake.  They say things get
weird just before that..."
27,TINA,27,"I can't believe his mother let him
come over here."
28,NANCY,28,"Right.  Well, she didn't, exactly..."
29,GLEN,29,"See, I got this cousin who lives
near the airport, that it's okay
for me to stay with, right?  So I
found this sound effects tape at
Licorice Pizza, and..."
30,GLEN (CONTD),30,"Hello, Mom?"
31,GLEN (CONTD),31,"Yeah, out here at Barry's."
32,GLEN (CONT),32,"Huh?  Yeah, noisy as usual.  Glad
we don't live here -- huh?  Yeah,
Aunt Eunice says hello."
33,GLEN (CONT),33,"Right, right -- I'll call you in the
morning!  Right!  Huh?  Yeah, sure,
I, huh?..."
34,GLEN (CONT),34,"Uh... some kid's drag racing
outside, I think..."
35,GLEN (CONT),35,"Listen, Mom, I got to go -- I
think there's been an accident out
front -- I --"
36,GLEN (CONT),36,"Right.  I'll call the police.  No,
just some neighbors having a fight,
I guess.  I'm fine, I'm fine!
Call you in the morning!"
37,NANCY,37,Worked like a charm.
38,GLEN,38,Jesus.
39,NANCY,39,Nice to have a fire.
40,TINA,40,Really.  Turn 'er up a little.
41,NANCY,41,"Maybe we should call Rod, have him
come over too.  He might get jealous."
42,TINA,42,"Rod and I are done.  He's too much
of a maniac."
43,GLEN,43,"He should join the Marines, they
could make something out of him.
Like a hand grenade."
44,NANCY,44,"See?  You've forgotten the bad
dream.  Didn't I tell you?"
45,TINA,45,"All day long I been seeing that
guy's weird face, and hearing
those fingernails..."
46,NANCY,46,Fingernails?
47,NANCY,47,"That's amazing, you saying that.
It made me remember the dream I
had last night."
48,TINA,48,What you dream?
49,NANCY,49,"I dreamed about this guy in a
dirty red and yellow sweater;
I dream in color, y'know; he
walked into the room I was in,
right, right through the wall,
like it was smoke or something,
and just stared at me.  Sort of
...obscenely.  Then he walked
out through the wall on the
other side.  Like he'd just
come to check me out..."
50,TINA,50,So what about the fingernails?
51,NANCY,51,"He scraped his fingernails
along things -- actually, they
were more like fingerknives or
something, like he'd made them
himself?  Anyway, they made
this horrible nose --"
52,TINA,52,"Nancy.  You dreamed about the
same creep I did, Nancy..."
53,GLEN,53,That's impossible.
54,TINA,54,What?
55,GLEN,55,Nothing.
56,TINA,56,"There's somebody out there,"
57,NANCY,57,I didn't hear anything...
58,GLEN,58,"I'm gonna punch out your ugly
lights, whoever you are."
59,GLEN,59,It's just a stupid cat.
60,NANCY,60,"Then bring us back its tail
and whiskers."
61,TINA,61,"Anyway, I don't have a cat..."
62,GLEN,62,Kitty-kitty?  Chow chow chow?
63,ROD,63,"And it's number thirty-six, Rod
Lane, bringing Lantz down just
three yards from the goal with a
brilliant tackle!  And the fans
go wild!"
64,TINA,64,What the hell you doing here?
65,ROD,65,"Came to make up, no big deal.
Your ma home?"
66,TINA,66,Of course.  What's that?
67,ROD,67,"Intense, huh?"
68,ROD,68,"So what's happening, an orgy or
something?"
69,GLEN,69,"Maybe a funeral, you dickhead."
70,NANCY,70,"-- Just a sleep-over date, Rod.
Just Tina and me.  Glen was just
leaving."
71,ROD,71,You see his face?
72,ROD,72,"Your ma ain't home,"
73,ROD,73,Me and Tina got stuff to discuss.
74,NANCY,74,Rod...
75,ROD,75,"We got her mother's bed.
You two got the rest."
76,NANCY,76,We should get her out of here...
77,TINA,77,"Hey -- you guys're hanging around --
right?"
78,TINA,78,"Don't leave me alone with this
lunatic -- Pleeeeze, NANCY!"
79,GLEN,79,"So we'll guard her together.
Through the night."
80,GLEN,80,"In each others' arms like
we always said."
81,NANCY,81,"Glen.  Not now.  I mean,
we're here for Tina now,
not for ourselves."
82,GLEN,82,"Why's she so bothered by a
stupid nightmare, anyway?"
83,NANCY,83,"Because he was scary, that's
why."
84,GLEN,84,Who was scary?
85,NANCY,85,"Don't you think it's weird, her
and me dreaming about the same
guy?"
86,NANCY,86,"You didn't have a bad dream
last night, did you?"
87,GLEN,87,Me?  I don't dream.
88,GLEN,88,Morality sucks.
89,TINA,89,"I knew there was sometihng
about you I liked..."
90,ROD,90,"You feel better now, right?"
91,TINA,91,Jungle man fix Jane.
92,ROD,92,No more fights?
93,TINA,93,No more fights.
94,ROD,94,"Good.  No more nightmares for
either of us then."
95,TINA,95,When did you have a nightmare?
96,ROD,96,"Guys can have nightmares too,
y'know.  You ain't got a corner
on the fucking market or something."
97,TINA,97,"Where'd you get this snotty old
thing?"
98,TINA,98,ROD...
99,TINA,99,"Who the fuck you think you are,
whoever you are?"
100,TINA,100,Somebody there?
101,VOICE,101,Tina.
102,TINA,102,Who the hell
103,TINA,103,"Oh, shit, please God..."
104,TINA,104,Nancy!  Open the door -- Nancy!
105,MAN,105,"She's still awake.  Nancy can't
hear you."
106,ROD,106,T-tina!?
107,ROD,107,"What the hell's going ON here!
Tina!"
108,ROD,108,Tina --
109,ROD,109,for that!
110,GLEN,110,What the hell's going on!?
111,NANCY,111,"Oh -- jeez -- Glen!  Rod's
gone ape!"
112,ROD (OS),112,I'll kill you!
113,GLEN,113,Rod?
114,GLEN,114,"Rod, you better not hurt Tina..."
115,GLEN,115,You okay?
116,NANCY,116,"Yeah.  Something slippering all
over here..."
117,NANCY,117,Tina?
118,GLEN,118,"Oh, shit..."
119,GLEN (CONTD),119,I...I'm gonna call the cops --
120,PARKER,120,"Lieutenant Thompson.  Sorry to
wake you, but --"
121,LT THOMPSON,121,"I'd've canned your ass if you
hadn't.  What you got?"
122,PARKER,122,"Her name was Tina Gray.  It
was her home.  Father abandoned
ten years ago, mother's in
Vegas with a boyfriend.  We're
trying to reach her now."
123,LT THOMPSON,123,What's the Coroner got to say?
124,PARKER,124,"Something like a razor was
the weapon, but nothing
found on the scene."
125,SERGEANT GARCIA,125,Leautenant.  You know who --
126,LT THOMPSON,126,Where is she?
127,SERGEANT GARCIA,127,I put her in your office...
