,character,line #,line
0,HAYES,0,"... last few years have brought many
advances in the interests of women
in naval service, particularly in
the land-based maritime specialties.
What's more, the Navy has instituted
special sensitivity courses with an
eye on --"
1,DEHAVEN,1,"Whoa, whoa, whoa.  ""Land-based
maritime specialties."" Gimme a
second here to de-euphemize that..."
2,DEHAVEN,2,"Would that be anything like
""typing""?  ""Restocking the
cupboards""?  That sort of thing, Mr.
Hayes?"
3,HAYES,3,"Hardly the case, Senator."
4,DEHAVEN,4,"Well, I'm just an old dame without
much time left, so you'll pardon me
if I jump right in here before they
discontinue my blood-type.  I am
deeply concerned over the Navy's
seemingly incontrovertible attitude
toward women in the military.  Case
in point..."
5,DEHAVEN,5,"""The Lark Report."""
6,HAYES,6,"Madam Senator... this is an internal
document of the U.S. Navy.  I must
seriously question whether --"
7,DEHAVEN,7,"The Navy's conclusion regarding the
crash of an F-14 aboard an aircraft
carrier.  Female aviator, it just so
happens."
8,DEHAVEN,8,"You're familiar with this report and
its conclusion, am I right?"
9,HAYES,9,"I was one member of the investigating
commission."
10,DEHAVEN,10,"Yes, I see your signature right here
-- twice the size of everyone
else's.  And your conclusion was
""pilot error,"" hmm?"
11,HAYES,11,"I'm really not prepared for any kind
of in-depth review of --"
12,DEHAVEN,12,"I'd like to think our next Secretary
of the Navy would be prepared for
anything, Mr. Hayes."
13,HAYES,13,"The commission concluded that the
aviator in question failed to
execute a proper approach to the
carrier."
14,DEHAVEN,14,"That aside for the moment, I'm
struck by the tenor, the ill-spirit
of your report... the degrading
remarks by other aviators...
innuendo about her performance in
unrelated situations... even a
reference to her sexual activity the
weekend prior."
15,DEHAVEN,15,"In my seven years on this committee,
I've never seen a downed aviator
treated like this.  Never.  I'm
deeply disturbed by this report, Mr.
Hayes.  Not just what it bodes for
women in the military -- but for
your own confirmation as well."
16,DEHAVEN,16,"... a full 35 percent of all jobs in
the U.S. military are still, to this
day, off-limits to women.  And
that's simply gotta change."
17,PRESS #1,17,"What about those who say women
aren't suited for all jobs?  That
they're physically weaker... they
have less stamina..."
18,DEHAVEN,18,"Sure.  And we're gonna hog the
bathroom, too."
19,DEHAVEN'S AIDE,19,"White House boys want a private
meeting."
20,DEHAVEN,20,I'll act surprised.
21,WHITE HOUSE #1,21,"... to reassure you that he has
every faith in the ability of Mr.
Hayes to guide the Navy into the
next century.  The task, as the
Administration sees it, is to
acknowledge changing realities
without losing traditional values."
22,DEHAVEN,22,"'Zat it?  Ten minutes, nothin' on
the table?  Sweetcakes, you best go
back to the President and tell him
to open up the phone book and start
lookin' for his next nominee."
23,WHITE HOUSE #2,23,"Administration's plan for 100
percent integration.  If female
candidates measure up in a series of
test cases, the President will
support full integration within
three years' time."
24,WHITE HOUSE #2,24,"It's your gender-blind Navy,
Senator.  Surely you're not going to
balk now."
25,DEHAVEN,25,"Well, it's just that askin' you all
to integrate the Navy is like
sending a man to do a woman's job."
26,DEHAVEN,26,"How do you propose to handle the
Combat Exclusion Laws?"
27,WHITE HOUSE #2,27,"Keep narrowing the definitions.
Keep redefining."
28,WHITE HOUSE #1,28,We got around it in Saudi Arabia.
29,DEHAVEN,29,"By calling women ""Honorary Men.""
Ingenious."
30,WHITE HOUSE #2,30,"C'mon, Senator, President's pitchin'
right down the center of your plate.
If women measure up to men, they've
got the job.  You going to take a
swing?  Or step out of the box?"
31,HAYES,31,Well?
32,WHITE HOUSE #2,32,"Congratulations, Mr. Secretary."
33,HAYES,33,"So she picks the women, we pick the
programs.  Seals?"
34,FLAG OFFICER #1,34,"I'd go Special Reconnaissance.
Every bit as tough -- and we have a
60 percent drop-out rate among the
men."
35,HAYES,35,Then I suggest we start there.
36,FLAG OFFICER #1,36,"Doesn't matter who she picks.  No
woman is going to last one week in a
commando training course.  And I
don't care who it is."
37,JORDAN,37,Lieutenant O'Neil.
38,ROYCE (V.O.),38,"Gotta situation here.  Where are
you?  Stuck in traffic?"
39,JORDAN,39,"Not due in for 22 minutes, sir.
Watcha got?"
40,ROYCE,40,"All right, stand by, we're going to
switch over to COMSAT..."
41,TACTICAL OFFICER,41,Voice-system now secure...
42,ROYCE,42,"Okay, fresh stuff:  Lost a NATO
plane over the Sea of Japan.  ELB
signals leads us to believe the
pilot is alive and has made his way
to the North Korean shore, near a
fishing village, ""Tamyung."""
43,JORDAN (V.O.),43,"Do we know it's him using the
beacon?  Not a decoy?"
44,ROYCE,44,"Signals received only sparingly, in
such a pattern that leads us to
conclude it is a downed aviator
trying to conserve his batteries."
45,JORDAN (V.O.),45,Chances of recovery?
46,ROYCE,46,"You're the analyst for East China,
O'Neil.  Analyze."
47,JORDAN,47,"North Korean beaches are the best
protected, most heavily monitored in
the world.  The civilian population
is so propagandized that it acts as
an Early Warning system.  Extraction
team has to be small and silent --
I'd go with Seals over Delta Force.
Problem is, don't want to hold a
conventional sub off-shore for
target practice.  Where's The Polk?"
48,ROYCE,48,"Halfway 'round the world.  So that's
the problem -- we can get the team
in, just not out."
49,JORDAN,49,Unless you Whiskey Run.
50,ROYCE,50,"Blank faces here, O'Neil."
51,JORDAN,51,"Quick-hit technique used by Capone.
Rigged a getaway car with running
boards and handles.  All his guys
had to do was jump on and take a
ride.  Check the files -- DPRK-57 --
I doped it out as a contingency
plan:  Seal Team infiltrates, picks
up the package, links up with
recovery sub.  But don't waste time
opening and closing hatches.  They
just grab the periscope and hang on
for neutral waters."
52,ROYCE,52,"You expect the extraction team to
ride the sub bare-back?  Is that
correct, O'Neil?"
53,JORDAN,53,"Only four minutes to neutral waters,
sir.  Why not?"
54,ROYCE,54,"All right, sending the
recommendation across the river.
Royce out."
55,JORDAN,55,"No, thank you, sir."
56,ROYCE,56,"That was good headwork, lieutenant."
57,JORDAN,57,"Thank you, sir.  We hear back from
the Pentagon?"
58,ROYCE,58,Probably hear back from CNN first.
59,JORDAN,59,"Hate this part.  Just sweating it
out on the sidelines."
60,ROYCE,60,"Intel has its own glory, lieutenant
-- no matter how subtle."
61,ROYCE,61,"By the way, I'll need that option
paper by 11-hundred today so I can
review it with Admiral Hanover.  And
do we have any of that breakfast tea
around here?"
62,JORDAN,62,"Is this my glory, sir?"
63,N.I.C. SECRETARY,63,"Excuse me, but I have Senator
DeHaven on the line for you."
64,ROYCE,64,"Jesus God, what now?"
65,N.I.C. SECRETARY,65,"I'm sorry, sir no -- she asked to
speak with Lieutenant O'Neil."
66,DEHAVEN,66,"So everyone I talk to says you're
top drawer with silk stockings
inside."
67,JORDAN (V.O.),67,"Thank you, ma'am.  Um, may I ask
what this is regarding?"
68,DEHAVEN,68,"High-school pentathlete... ROTC
scholarship, graduated with
honors... top marks in Basic
Training... and, as it just so
happens, a constituent of my home
state of Virginia.  Oh, the things
I'll do for one extra vote."
69,DEHAVEN,69,"Lieutenant O'Neil, I am prepared to
nominate you for the Navy's Special
Reconnaissance program.  Should you
accept, you'll ship out to Coronado
next week and join in the big
testosterone festival.  Complete the
course, and you'll have a fast
ticket to any assignment you want.
That's my personal promise to you."
70,JORDAN,70,"""Coronado."""
71,DEHAVEN,71,California.
72,JORDAN,72,"I know that, sir.  Ma'am.  It's just
that... Beggin' your pardon,
Senator, but... do you understand
that this involves combat training?"
73,DEHAVEN,73,"This is just a test case, O'Neil.
But if it works out -- if you work
out -- it could well change the
Navy's official policy on women in
combat.  Or, actually, its official
non-policy.  Now who's your
immediate superior there?"
74,JORDAN,74,Captain Dwyer.  Technically.
75,DEHAVEN,75,"My office will fill him in and help
expedite.  Look forward to meeting
you at the proper time.  Jumping off
now..."
76,JORDAN,76,"Uh, question, ma'am."
77,DEHAVEN,77,"Yes, dear."
78,JORDAN,78,"Would I be the only one?  The only
woman?"
79,DEHAVEN,79,"There'll be more to follow -- but
yes, dear, right now you're the pick
of a very large litter.  And your
success would mean a lot.  Jumping,
now..."
80,JORDAN,80,"Well, shit-a-doodle-do..."
81,JORDAN (O.S.),81,"... well, I survived Basic Training
and three brothers -- so I know how
to fight.  What scares me are the
sexual politics.  I don't want to be
turned into some poster girl for
women's rights."
82,ROYCE,82,"So why're you even considering it?
Are you?"
83,JORDAN,83,Just like you would be.
84,ROYCE,84,"Spec-Recon.  Those guys are world-
class warriors.  And they will not
want you there, Jordan."
85,JORDAN,85,I take it you don't either.  Feet.
86,ROYCE,86,"Well, you're doin' shit-hot at
Intel."
87,JORDAN,87,"Royce.  We're the same age, we
started the same time -- and now
you're sitting in the upperdecks
while I'm still down in the bullpen.
What does that tell you about the
Navy?"
88,ROYCE,88,She's haze grey and underway...
89,JORDAN,89,"You need operational duty to really
advance... you need combat training
to go operational... yet combat
training is off-limits to people
with tits.  I'm topped out at Intel.
Forget the glass ceiling -- I'm
beating my head on a big brass
ceiling."
90,ROYCE,90,So dump on me.
91,JORDAN,91,This has nothing to do with you.
92,ROYCE,92,"Well, guess I don't even need to be
here..."
93,JORDAN,93,"Get your dick back here.  It has
everything to do with you."
94,ROYCE,94,"You're such a ball-breaker
sometimes.  Especially at night."
95,JORDAN,95,Sorry.  But after our days...
96,JORDAN,96,"So if I try this thing... if I ship
out to Coronado... what happens
here?"
97,ROYCE,97,"I'll try to keep the door open.  If
you wash out, I make it so that --"
98,JORDAN,98,"Wai', wait.  What happens if it
works?  Four months of training,
three years of operational duty.
What then?"
99,ROYCE,99,"I don't feel like doing an option
paper on the rest of my life,
Jordan.  Maybe we should just let it
happen."
100,JORDAN,100,Which is guy-speak for...
101,ROYCE,101,"Sounded lame as soon as it came out
of my mouth.  But I'm trying to be
honest, okay?  Three years is a long
time.  Don't ask me to predict how
I'll feel then, Jordan, because I
don't know.  And either do you."
102,JORDAN,102,"You know, right up until you said
that -- I thought I did know."
103,ROYCE,103,Jordan...
104,JORDAN,104,"Thank you, Royce.  It was shaping up
like such a tough call -- and then
you go and make it so goddamn easy.
Really, thank you so much."
105,JORDAN,105,"Excuse me, lieutenant.  I was told
this is where I check in."
106,DUTY OFFICER,106,So you're the one.
107,JORDAN,107,"Still don't have my bearings yet.
Direct me to the officer's quarters?"
108,DUTY OFFICER,108,"You'll proceed directly to the
infirmary for eye tests, blood
tests, urinalysis, pregnancy test.
Uniform issue adjacent.  Then you're
to report to the Base Commander.
He'd like a word with you."
109,JORDAN,109,Fine.  And the officer's quarters?
110,DUTY OFFICER,110,"C.O.'s office can supply you with
directions.  Enjoy your visit,
lieutenant."
111,BLONDELL,111,"B.O.Q., south side.  Take a
starboard tack out the door."
112,JORDAN,112,"Thank you, ensign."
113,BLONDELL,113,"No problem, lieutenant."
114,C.O.,114,Come.
115,YEOMAN,115,"Lieutenant j.g. O'Neil reporting,
sir."
116,C.O.,116,"Yes, of course.  Please, have a
seat, lieutenant..."
117,JORDAN,117,"Thank you, sir."
118,C.O.,118,Would you care for a beverage?  Tea?
119,JORDAN,119,"I'm fine, sir."
120,C.O.,120,"So.  We're still coming to terms
with the exact protocol for this --
for integrating the Spec-Recon
training.  It may not always be
smooth, but we're trying to make it
as painless as possible for you."
121,JORDAN,121,"Thank you, sir.  But I expect a
certain amount of pain."
122,JORDAN,122,"Barber was my next stop, sir.
Would've had it regulation sooner,
only --"
123,C.O.,123,"Don't worry about it.  If it's off
your collar and out of your eyes,
that's all I'm going to ask."
124,JORDAN,124,"Really, I have no problem with --"
125,C.O.,125,"I'm not out to change your sex,
lieutenant.  You'll have separate
beds, separate heads.  If you have
specific medical needs, inform the
infirmary.  If a classmate or
superior acts in an harassing or
otherwise unbecoming manner, please
inform me immediately so I can deal
with it immediately.  Questions?"
126,JORDAN,126,"None at this time, sir."
127,C.O.,127,"Then that's all I have to say.
Dismissed."
128,JORDAN,128,"Sir, I just want you to know... I'm
not here to make a statement.  I
don't want to make men look foolish.
All I care about is completing the
training and getting operational
experience -- just like everyone
else, I suspect."
