,character,line #,line
0,ROB (V.O.),0,"What came first?  The music or the
misery?  People worry about kids
playing with guns and watching violent
videos, we're scared that some sort
of culture of violence is taking
them over..."
1,ROB (V.O.),1,"But nobody worries about kids
listening to thousands -- literally
thousands -- of songs about broken
hearts and rejection and pain and
misery and loss."
2,ROB,2,"Did I listen to pop music because I
was miserable, or was I miserable
because I listened to pop music?"
3,LAURA,3,I don't really know what I'm doing.
4,ROB,4,"You don't have to go this second.
You can stay until whenever."
5,LAURA,5,"We've done the hard part now.  I
might as well, you know..."
6,ROB,6,"Well stay for tonight, then."
7,ROB,7,"My desert-island, all-time, top five
most memorable break-ups, in
chronological order are as follows:
Alison Ashworth, Penny Hardwick,
Jackie Allen, Charlie Nicholson,
Sarah Kendrew."
8,ROB,8,"Those were the ones that really hurt.
Can you see your name in that list,
Laura?  Maybe you'd sneak into the
top ten, but there's no place for
you in the top five.  Sorry.  Those
places are reserved for the kind of
humiliations and heartbreaks that
you're just not capable of delivering."
9,ROB,9,"That probably sounds crueler than
it's meant to, but the fact is, we're
too old to take each other miserable.
Unhappiness used to mean something.
Now it's just a drag like a cold or
having no money."
10,ROB,10,"If you really wanted to mess me up,
you should have got to me earlier."
11,ROB (V.O.),11,"Which brings us to number one.  Alison
Ashworth."
12,ROB (V.O.),12,"My relationship with Alison Ashworth
lasted six hours."
13,ROB (V.O.),13,"The two hours after school and before
The Rockford Files, three days in a
row.  On the fourth afternoon."
14,ROB (V.O.),14,Kevin Bannister.
15,ROB (V.O.),15,"It would be nice to think that since
I was fourteen, times have changed,
relationships have become more
sophisticated, females less cruel,
skins thicker, but there still seems
to be an element of that afternoon
in everything that has happened to
me since.  All my other romantic
stories seem to be a scrambled version
of that first one."
16,ROB,16,"Number two.  Penny Hardwick.  Penny
was great-looking, and her top five
recording artists were Carly Simon,
Carole King, James Taylor, Cat
Stevens, and Elton John..."
17,ROB (V.O.),17,"Everybody liked her.  She was nice.
Nice manners.  Nice grades.  Nice-
looking."
18,ROB (V.O.),18,"She was so nice, in fact, that she
wouldn't let me put my hand
underneath, or even on top of, her
bra."
19,ROB (V.O.),19,"Penny was nice, but I wasn't
interested in nice, just breasts,
and therefore she was no good to me.
And so I was finished with her."
20,ROB,20,"What's the point?  It never goes
anywhere."
21,ROB,21,"She cried, and I hated her for it,
because she made me feel bad.  I
started dating a girl who everybody
said would put out, and Penny went
with this asshole Chris Thompson who
told me that he had sex with her
after something like three dates.
How had Penny gone from a girl who
wouldn't do anything to a girl who
would do everything?"
22,ROB,22,"My store's right up here.  It's called
The Record Exchange.  It's carefully
placed to attract the bare minimum
of window shoppers."
23,ROB,23,"I get by because of the people who
make a special effort to shop here
on Saturday young men, always young
men, who spend a disproportionate
amount of their time looking for
deleted Smiths singles and ""original
not rereleased"" underline Frank Zappa
albums."
24,ROB,24,"The fetish properties are not unlike
porn.  I would feel guilty taking
their money if I wasn't, kind of,
well, one of them."
25,ROB,25,"'Morning, Dick."
26,DICK,26,"Oh, hi.  Hi, Rob."
27,ROB,27,Good weekend?
