,character,line #,line
0,FIRST MAN,0,MacLeod.
1,MOTHER,1,"My, but are you the
picture."
2,CONOR,2,"(surveying himself)
It's a bit tight."
3,FATHER,3,"Ah, Conor, how you look
a man."
4,MOTHER,4,"Have you time for some-
thing to eat?"
5,CONOR,5,"No, Mother.  They'll be
here shortly."
6,FATHER,6,"Your grandfather wore
that in his service to
the King, and I to fight
for the Duke."
7,MOTHER,7,Must he go?
8,FATHER,8,"Aye.  It is his duty.  All
of ours."
9,MOTHER,9,"But Ian, he's still but a boy."
10,FATHER,10,He's a MacLeod.
11,CONOR,11,I'll be fine Mother.
12,CLANSMAN,12,They march.
13,KNIGHT,13,Is the boy among them?
14,CLANSMAN,14,Aye.
15,VASSAL #1,15,Is a bad day for this.
16,VASSAL #2,16,"The Duke has been compro-
mised.  He will have his due."
17,VASSAL #1,17,"By day's end he will have
our heads."
18,VASSAL #2,18,"We ride against the Suther-
lands.  That is all that
matters."
19,VASSAL #1,19,This makes no sense to me.
20,FRIEND,20,"The fog is bad.  We cannot
even see the sides of our
own ranks."
21,FRIEND,21,Is this your first?
22,CONOR,22,Aye.
23,FRIEND,23,It's begun.
24,KNIGHT,24,There can be but one.
25,VASSAL #1,25,Leave him!
26,OFFICER #1,26,Kevin!  Get is a backup.
27,TAUPIN,27,"I was merely walking by
when-"
28,OFFICER #1,28,Don't move.
29,OFFICER #2,29,They're on their way.
30,OFFICER #2,30,Christ.
31,PRIEST,31,"...Libera Domine Animan
servi tui sicut libertasi
David de manu regis Saul..."
32,PRIEST,32,"...In mamus tuas domine
commendo spiritum meum..."
33,VASSAL #1,33,Has the boy died?
34,CLANSMAN,34,"He is having the last rites
now.  It should be over by
morning."
35,VASSAL #1,35,"Never seen anybody cut as
bad live so long.  He should
have died on the field."
36,CLANSMAN,36,"Tonight or tomorrow, it's
all the same."
37,PRIEST,37,"...Auditorium nostrum in
nomine domini..."
38,VASSAL #1,38,This has been a dark day.
39,PRIEST,39,...Requiescant in pace...
40,EXAMINER,40,"Real clean.  No sawing
action at all.  Whatever
it was did it in one
swipe."
41,EXAMINER,41,Like the other one.
42,MORAN,42,What about that?
43,EXAMINER,43,Hasn't any blood on it.
44,MORAN,44,"About the only thing
that doesn't."
45,EXAMINER,45,"I'll give it a closer
look when I get back."
46,OFFICER #3,46,"Come on Brenna, you know
better than that."
47,BRENNA,47,I'm invited.
48,BRENNA,48,Mr. Levine...
49,EXAMINER,49,"Hope this isn't past your
bedtime."
50,BRENNA,50,"Doesn't have a head,
does he?"
51,EXAMINER,51,This one came unassembled.
52,MORAN,52,"Just show her what she came
for, Tom."
53,EXAMINER,53,"Come on, this is more
your line of work."
54,EXAMINER,54,"How's your uncle?  I hardly
ever see him anymore."
55,BRENNA,55,Fine.
56,EXAMINER,56,There you go.
57,EXAMINER,57,"Didn't look like it came from
""Toys-Are-Us"", that's why I
called you."
58,BRENNA,58,"Didn't think it was my
buddy over there."
59,EXAMINER,59,"Figured you knew more about
swords than I did."
60,BRENNA,60,Claymore.
61,EXAMINER,61,Huh?
62,BRENNA,62,"Scottish claymore.  Take
a French epee, add twenty
pounds of ballast so it
means business, and you've
got a claymore."
63,EXAMINER,63,You're the expert.
64,BRENNA,64,It's in good condition.
65,MORAN,65,This your present address?
66,TAUPIN,66,Yes.
67,MORAN,67,"Mr.-
(looks at license)
Taupin, what were you
doing in that alley?"
68,TAUPIN,68,"I was walking by when I
heard a shout.  Your men
came right after."
69,MORAN,69,Did you know the victim?
70,TAUPIN,70,No.
71,MORAN,71,"His name was Iman Fasil
if that jogs your memory."
72,TAUPIN,72,It doesn't.
73,MORAN,73,"He was carrying a Syrian
passport and had been in
the country less than a week."
74,MORAN,74,"Two days ago a Bulgarian
national was murdered the
same way.  He'd also been
in the country less than a
week."
75,(beat),75,What is your citizenship?
76,TAUPIN,76,American.
77,MORAN,77,"Do you make a habit of
hanging out in that neigh-
borhood at night?"
78,TAUPIN,78,What are you getting at?
79,MORAN,79,"Let's just say that in my
years with this department
I've seen more than one well
dressed business man look for
a hand job on 14th Street."
80,MORAN,80,What were _you_ looking for?
81,TAUPIN,81,That's none of your business.
82,MORAN,82,You're wrong.
83,MORAN,83,Do you know what this is?
84,TAUPIN,84,I presume it's a sword.
85,MORAN,85,"A claymore to be exact.  You
wouldn't know anything about
it would you?"
86,TAUPIN,86,Your murder weapon?
87,MORAN,87,"It was covered with Mr.
Fasil's fingerprints, but
none of his blood."
88,TAUPIN,88,A mystery.
89,MORAN,89,For the moment.
90,MORAN,90,"All right Mr. Taupin, we'll be in
touch."
91,MOTHER,91,"Ah Steven, it is good to see you."
92,TRAVELLER,92,"I only just heard of Conor.  I came
up from Catroch as soon as I could."
93,MOTHER,93,You're a kind man to be sure.
94,TRAVELLER,94,"I thought it only proper to pay
me last respects to the family."
95,MOTHER,95,"Steven, Conor didn't die."
96,TRAVELLER,96,"But I had heard his wounds were
mortal."
97,MOTHER,97,"They were Steven, they were.  It's
been a miracle it has.  He lasted
right through and healed.  No one
in the village has ever seen anything
like it.  Ever."
98,CONOR,98,You're pretty today.
99,CONOR,99,"I'm your future husband, remember?"
100,MARA,100,I have no future husband.
101,CONOR,101,"I don't understand.  Not a week
ago your father gave us his blessing."
102,MARA,102,"My future husband died in battle
against the Sutherlands."
103,CONOR,103,"What are you saying?  I'm standing
here as real as you."
104,MARA,104,"You cannot be real, Conor.  You had
the last rites.  No man has been cut
half as bad and lived."
105,CONOR,105,But I did live.
106,MARA,106,"Live?  In less than a week you're
prancing about the country like a
squirrel."
107,CONOR,107,"So why the crazy talk?  It's a
miracle it is.  Saint Andrew has
smiled on me.  On us."
108,MARA,108,Some think not.
109,CONOR,109,Who?
110,MARA,110,"There's rumor in the village.
Some call it magic."
111,CONOR,111,"That's mad.  Surely you don't
take their word?"
112,MARA,112,"I don't know, Conor.  It's not
natural.  Maybe something has
touched you."
113,CONOR,113,"You're sounding like that mad
woman, Widow Baggins."
114,MARA,114,"Me father has taken back my
hand."
115,CONOR,115,"Ah, Lassie..."
116,MARA,116,"Please not be touching me, Conor."
117,CONOR,117,"I'll not take that kind of talk
from you.  From those others
below, maybe.  But not from you."
118,MARA,118,"Leave me alone, Conor.  Please."
119,CONOR,119,"You're not talking sense, Mara!"
120,CONOR,120,I'm sorry.
121,CONOR,121,"If you send me away now, Mara,
I'll not come looking for you."
122,MARA,122,Do what you must.
123,RECEPTIONIST,123,"Mrs. Thompson agreed to settle for
fifteen, Melvin's wants to make a
pick-up at three o'clock, the coffee
machine's broken, and there's a
Miss Cartwright from the Smithsonian
in your office."
124,BRENNA,124,Do you play?
125,TAUPIN,125,Yes.
126,BRENNA,126,Very traditional.
127,TAUPIN,127,"Miss Cartwright, what is it I can
do for you?"
128,BRENNA,128,"I'd like to ask you about the
claymore."
129,TAUPIN,129,It's not mine.
130,BRENNA,130,"It's quite rare you know, some-
thing so common in its time so
well looked after all these years."
131,TAUPIN,131,"Miss Cartwright, unless you have
come here to sell the sword,
there's very little I can help
you with.  Now if you will excuse
me, I have a great deal of work
to do."
132,BRENNA,132,Byzantine?
133,TAUPIN,133,Basil the II.
