,character,line #,line
0,1ST OPERATOR,0,"This is the Morning Post... The City
Room? Just a moment, I'll connect
you."
1,2ND OPERATOR,1,"Morning Post... Sports Department?
Just a moment --"
2,OFFICE BOY,2,What's a seven-letter word for --?
3,REPORTER,3,"Don't ask me! If I knew any seven-
letter words, I'd be something better
than a reporter!"
4,REPORTER,4,Hey! Down! Down!
5,HILDY,5,"Hello, Skinny. Remember me?"
6,OFFICE BOY,6,Hildy Johnson!
7,HILDY,7,"Hello, Maisie."
8,MAISIE,8,Hello -- Hildy! You coming back?
9,HILDY,9,"No, just visiting. Tell me, is the
lord of the universe in today?"
10,MAISIE,10,"He is -- and in a very bad humor. I
think somebody stole one of his crown
jewels. Shall I announce you?"
11,HILDY,11,"No, never mind -- I'll blow my own
trumpet."
12,HILDY,12,"I won't be more than ten minutes, I
promise you."
13,BRUCE,13,"Even ten minutes is a long time to
be away from you."
14,HILDY,14,"What did you say, Bruce?"
15,BRUCE,15,"I said -- uh -- I said even ten
minutes -- is a long time -- to be
away from you."
16,HILDY,16,"Don't be embarrassed, Bruce. I heard
it, but I just wanted to hear it
again. I can stand being spoiled a
little. The gentleman I'm going to
have a chat with did very little
spoiling."
17,BRUCE,17,"I'd like to spoil him just once.
Sure you don't want me to go in with
you?"
18,HILDY,18,"My job, Bruce. I started it -- and
I'll finish it."
19,BRUCE,19,"I suppose you're right -- but if it
gets rough, remember I'm here."
20,HILDY,20,"I'll come a-running, pardner."
21,HILDY,21,"Thanks, Bruce."
22,HILDY,22,"Hello, Beatrice. How's ""Advice to
the Lovelorn""?"
23,BEATRICE,23,"Hildy! I'll be a monkey's uncle!
What are you doing here?"
24,HILDY,24,"Point of information -- what does a
girl say on meeting her divorced
husband? OR:"
25,BEATRICE,25,"My advice is duck and cross with
your right."
26,LOUIE,26,"A little more round the chin, Boss."
27,BURNS,27,What do you want?
28,HILDY,28,"Why, I'm surprised, Mr. Burns. That's
no way to talk to your wife -- even
if she's no longer your wife."
29,BURNS,29,"Hello, Hildy!"
30,HILDY,30,"Hello, Walter."
31,HILDY,31,"Hi, Louie -- how's the slotmachine
king?"
32,LOUIE,32,"Oh, I ain't doing that any more. I'm
retired. I'm one of you fellas now --
a newspaper man."
33,HILDY,33,Editorials?
34,BURNS,34,"Get going, Louie. I got company."
35,DUFFY,35,Walter!
36,BURNS,36,"I'm busy, Duffy."
37,DUFFY,37,"Well, you're not too busy to know
that the Governor hasn't signed that
reprieve!"
38,BURNS,38,What?
39,DUFFY,39,"And that means Earl Williams dies
tomorrow morning and makes a sucker
out of us!"
40,BURNS,40,You're crazy. Where's Mac?
41,DUFFY,41,He's on my phone. He just called me.
42,BURNS,42,They can't do that to me!
43,BURNS,43,"Give me that call on Duffy's wire!
Hello -- Mac? Burns. Where's the
Governor? -- What do you mean, you
can't locate him?"
44,BURNS,44,"Mac, you know what this means. We're
the only paper in town defending
Earl Williams and if he hangs tomorrow
we're washed up! Find the Governor
and when you find him tell him we
want that reprieve!... Tell him I
elected him and I can have him
impeached! Sure, you can do it, Mac --
I know you can. I always said you
were the greatest reporter in the
country and now you can prove it.
Get going! Attaboy!"
45,BURNS,45,"The greatest reporter in the country!
First I gotta tell him what news to
get! Gotta tell him how to get it --
then I gotta write it for him
afterward! Now if you were a decent
City Editor --"
46,DUFFY,46,"Don't blame me. I'm City Editor in
name only. You do all the hiring
around here."
47,BURNS,47,"Yeah! Well, I do the firing, too.
Remember that, Duffy, and Keep a
civil tongue in your head."
48,HILDY,48,"I don't like to interfere with
business, but would you boys pardon
us while we have a little heart-to-
heart talk?"
49,DUFFY AND LOUIE,49,Well -- But I gotta --
50,BURNS,50,"Scram, you guys."
51,HILDY,51,"You won't miss anything. You'll
probably be able to hear him just as
well outside as here."
52,HILDY,52,Mind if I sit down?
53,BURNS' VOICE,53,I said scram!
54,HILDY,54,"May I have a cigarette, please?"
55,HILDY,55,Thanks. A match?
56,BURNS,56,How long is it?
57,HILDY,57,How long is what?
58,BURNS,58,"You know what. How long since we've
seen each other?"
59,HILDY,59,"Let's see. I was in Reno six weeks --
then Bermuda... Oh, about four months,
I guess. Seems like yesterday to me."
60,BURNS,60,"Maybe it was yesterday. Been seeing
me in your dreams?"
61,HILDY,61,"No -- Mama doesn't dream about you
any more, Walter. You wouldn't know
the old girl now."
62,BURNS,62,"Oh, yes I would. I'd know you any
time --"
63,BURNS AND HILDY,63,"-- any place, anywhere --"
64,HILDY,64,"You're repeating yourself! That's
the speech you made the night you
proposed."
65,HILDY,65,"""-- any time -- any place --
anywhere!"""
66,BURNS,66,I notice you still remember it.
67,HILDY,67,"I'll always remember it. If I hadn't
remembered it, I wouldn't have
divorced you."
68,BURNS,68,"You know, Hildy, I sort of wish you
hadn't done it."
69,HILDY,69,Done what?
70,BURNS,70,"Divorced me. It sort of makes a fellow
lose faith in himself. It almost
gives him a feeling he wasn't wanted."
71,HILDY,71,"Holy mackerel! Look, Walter, that's
what divorces are for."
72,BURNS,72,"Nonsense. You've got the old-fashioned
idea that divorces are something
that last forever -- till 'death us
do part'. Why, a divorce doesn't
mean anything today. It's only a few
words mumbled over you by a judge.
We've got something between us nothing
can change."
73,HILDY,73,"I suppose that's true in a way. I am
fond of you, Walter. I often wish
you weren't such a stinker."
74,BURNS,74,"Now, that's a nice thing to say."
75,HILDY,75,"Well, why did you promise me you
wouldn't fight the divorce and then
try and gum up the whole works?"
76,BURNS,76,"Well, I meant to let you go -- but,
you know, you never miss the water
till the well runs dry."
77,HILDY,77,"A fellow your age, hiring an airplane
to write:"
78,HILDY,78,"'Hildy: Don't be hasty -- remember
my dimple. Walter.! It held things
up twenty minutes while the Judge
ran out to watch it."
79,BURNS,79,"Well, I don't want to brag, but I've
still got the dimple -- and in the
same place -- I just acted like any
husband who doesn't want to see his
home broken up."
80,HILDY,80,What home?
81,WALTER,81,"What home? Don't you remember the
home I promised you?"
82,HILDY,82,"Oh, yes -- we were to have it right
after our honeymoon -- honeymoon!"
83,BURNS,83,"Was it my fault? Did I know that
coal mine was going to have another
cave-in? I meant to be with you on
our honeymoon, Hildy -- honest I
did."
84,HILDY,84,"All I know is that instead of two
weeks in Atlantic City with my
bridegroom, I spent two weeks in a
coal mine with John Kruptzky -- age
sixty-three -- getting food and air
out of a tube! You don't deny that.
Do you?"
85,BURNS,85,"Deny it! I'm proud of it! We beat
the whole country on that story."
86,HILDY,86,"Well, suppose we did? That isn't
what I got married for. What's the
good of -- Look, Walter, I came up
here to tell you that you'll have to
stop phoning me a dozen times a day --
sending twenty telegrams -- all the
rest of it, because I'm --"
87,BURNS,87,"Let's not fight, Hildy. Tell you
what. You come back to work on the
paper and if we find we can't get
along in a friendly way, we'll get
married again."
88,HILDY,88,What?!!
89,BURNS,89,I haven't any hard feelings.
90,HILDY,90,"Walter, you're wonderful in a
loathesome sort of way. Now, would
you mind keeping quiet long enough
for me to tell you what I came up
here for?"
91,BURNS,91,"Sure, come on. We'll have some lunch
and you can tell me everything."
92,HILDY,92,I have a lunch date. I just want --
93,BURNS,93,"You can break it, can't you?"
94,HILDY,94,"No, I can't."
95,BURNS,95,Sure you can. Come on.
96,HILDY,96,"Don't tell me what to do! We're
divorced -- I'm a free woman. You're
not my husband and you're not my
boss! And what's more, you're not
going to be my boss."
97,BURNS,97,What do you mean by that?
98,HILDY,98,Just what I said. That's what I --
99,BURNS,99,"You mean you're not coming back to
work here?"
100,HILDY,100,"That's the first time you've been
right today. That's what I --"
101,BURNS,101,"You've had a better offer, eh?"
102,HILDY,102,You bet I've got a better offer.
103,BURNS,103,"Well, go on and take it. Work for
somebody else! That's the gratitude
I get for --"
104,HILDY,104,"I know, Walter, but I --"
105,BURNS,105,"What were you when you came here
five years ago? A little college
girl from a School of Journalism! I
took a little doll-faced mugg --"
106,HILDY,106,"You wouldn't have taken me if I hadn't
been doll-faced!"
107,BURNS,107,"Why should I? I thought it would be
a novelty to have a face around here
a man could look at without
shuddering."
108,HILDY,108,"Listen, Walter --"
109,BURNS,109,"I made a great reporter out of you,
Hildy, but you won't be half as good
on any other paper, and you know it.
You need me and I need you -- and
the paper needs both of us."
110,HILDY,110,"Well, the paper'll have to learn to
do without me. And so will you. It
just didn't work out, Walter."
