,character,line #,line
0,ATTENDANT,0,"He was delirious. But he asked for
you by name. And..."
1,ATTENDANT,1,Show him.
2,SECURITY GUARD,2,He was carrying nothing but this...
3,SECURITY GUARD,3,...and this.
4,ELDERLY JAPANESE MAN,4,Bring him here. And some food.
5,ELDERLY JAPANESE MAN,5,Are you here to kill me?
6,ELDERLY JAPANESE MAN,6,I know what this is.
7,ELDERLY JAPANESE MAN,7,"I've seen one before. Many, many
years ago..."
8,ELDERLY JAPANESE MAN,8,"It belonged to a man I met in a
half-remembered dream..."
9,ELDERLY JAPANESE MAN,9,"A man possessed of some radical
notions..."
10,COBB (V.O.),10,What's the most resilient parasite?
11,COBB,11,A bacteria? A virus?
12,COBB,12,An intestinal worm?
13,ARTHUR,13,What Mr. Cobb is trying to say-
14,COBB,14,An idea.
15,COBB,15,"Resilient, highly contagious. Once
an idea's taken hold in the brain
it's almost impossible to
eradicate. A person can cover it
up, ignore it- but it stays there."
16,SAITO,16,But surely-to forget...?
17,COBB,17,"Information, yes. But an idea?
Fully formed, understood? That
sticks..."
18,COBB,18,"In there, somewhere."
19,SAITO,19,For someone like you to steal?
20,ARTHUR,20,"Yes. In the dream state, conscious
defenses are lowered and your
thoughts become vulnerable to
theft. It's called extraction."
21,COBB,21,"But, Mr. Saito, we can train your
subconscious to defend itself from
even the most skilled extractor."
22,SAITO,22,How can you do that?
23,COBB,23,"Because I am the most skilled
extractor. I know how to search
your mind and find your secrets. I
know the tricks, and I can teach
them to your subconscious so that
even when you're asleep, your guard
is never down."
24,COBB,24,"But if I'm going to help you, you
have to be completely open to me.
I'll need to know my way around
your thoughts better than your
wife, your analyst, anyone."
25,COBB,25,"If this is a dream and you've got a
safe full of secrets, I need to
know what's in that safe. For this
to work, you have to let me in."
26,SAITO,26,"Gentlemen. Enjoy your evening as I
consider your proposal."
27,ARTHUR,27,He knows.
28,ARTHUR,28,What's going on up there?
29,ARTHUR,29,Saito knows. He's playing with us.
30,COBB,30,"I can get it here. The
information's in the safe- he
looked right at it when I mentioned
secrets."
31,ARTHUR,31,"What's she doing here, Cobb?"
32,COBB,32,"You just get to your room. I'll
take care of the rest."
33,ARTHUR,33,"See that you do. We're here to
work."
34,MAL,34,"If I jumped, would I survive?"
35,COBB,35,"With a clean dive, perhaps. Mal,
why are you here?"
36,MAL,36,"I thought you might be missing
me..."
37,COBB,37,"I am. But I can't trust you
anymore."
38,MAL,38,So what?
39,MAL,39,Looks like Arthur's taste.
40,COBB,40,"Actually, Mr. Saito is partial to
postwar British painters."
41,COBB,41,Would you sit down?
42,MAL,42,Tell me...
43,MAL,43,Do the children miss me?
44,COBB,44,You can't imagine.
45,MAL,45,What're you doing?
46,COBB,46,Getting some air.
47,COBB,47,Stay seated. Please.
48,SAITO (O.S.),48,Turn around.
49,MAL,49,"The gun, Dom."
50,MAL,50,Please.
51,SAITO,51,"Now the envelope, Mr. Cobb."
52,COBB,52,"Did she tell you, or have you known
all along?"
53,SAITO,53,That you're here to steal from me?
54,SAITO,54,Or that we're actually asleep?
55,SAITO,55,"I want to know who your employer
is."
56,COBB,56,"No point threatening him in a
dream."
57,MAL,57,"That depends on what you're
threatening. Killing him would just
wake him up... but pain? Pain is in
the mind..."
58,MAL,58,"And, judging by the decor, we're in
your mind, aren't we, Arthur?"
59,NASH,59,What're you doing?! It's too soon-
60,ARTHUR,60,"I know! We have to reconnect the
loop before they wake up!"
61,MAL,61,He was close. Very close.
62,SAITO,62,Stop him!
63,ARTHUR,63,"I'm not going to make it! Wake
Cobb!"
64,NASH,64,He won't wake!
65,ARTHUR,65,Dunk him!
66,COBB,66,You came prepared.
67,SAITO,67,"I bring the gun because not even my
head of security knows this
apartment. How did you find it?"
68,COBB,68,"Hard for a man in your position to
keep a love nest totally secret...
particularly when there's a married
woman involved."
69,SAITO,69,She would never...
70,COBB,70,"And yet, here we are."
71,COBB,71,With a dilemma.
72,SAITO,72,You got what you came for.
73,COBB,73,"Not quite. The key piece of
information wasn't there, was it,
Mr. Saito?"
