,character,line #,line
0,LAO,0,Dr. Jones.
1,INDIANA,1,Lao She.
2,LAO,2,Nee chin lie how ma?
3,INDIANA,3,"Wah hung how, nee nah?  Wah hwey
hung jing chee jah loo nee kao
soo wah shu shu."
4,LAO,4,"You never told me you spoke my
language, Dr. Jones."
5,INDIANA,5,I don't like to show off.
6,LAO,6,"For this special occasion, I
ordered champagne and caviar."
7,LAO,7,"So, it is true, Dr. Jones?  you
found Nurhachi?"
8,INDIANA,8,"Sure, I found him.  Then last
night I had a little trouble.
Somebody tried to slit my throat."
9,INDIANA (Cont'd),9,"It was dark, but I think one of
your sons tried to get Nurhachi
without paying for him."
10,LAO,10,You have insulted my son.
11,INDIANA,11,"Next time I'll cut off more than
his finger."
12,LAO,12,Dr. Jones -- I want Nurhachi.
13,INDIANA,13,"As I recall the deal was consid-
erably more."
14,"WILLIE
(to Lao)",14,"Aren't you going to introduce
us?"
15,LAO,15,This is Willie Scott.
16,LAO,16,"And this is Indiana Jones, the
famous archaeologist."
17,LAO (Cont'd),17,"Dr. Jones found Nurhachi for me
and is about to deliver him --
now."
18,WILLIE,18,"Well -- I thought archaeologists
were always funny little men
searching for their mummies --"
19,WILLIE,19,Aaahhh!
20,WILLE (Cont'd),20,"I was only kidding, can't you
take a joke -- ?"
21,WILLE (Cont'd),21,"Lao, he's got a knife!"
22,INDIANA,22,"Put the gun away, sonny."
23,INDIANA,23,"Now I suggest you pay me what you
promised -- or your girlfriend
here is going to be squealing a
new tune."
24,INDIANA,24,"Try again Lao -- the deal was
more."
25,INDIANA (Cont'd),25,"Bingo...you see, Lao, with a
but of persuasion, even you can
be an honest fellow."
26,WILLIE,26,"Look at this!  He put a hole
in my dress from Paris!"
27,LAO,27,Sit down!
28,LAO (Cont'd),28,"To your health, Dr. Jones."
29,INDIANA,29,What's that?
30,LAO,30,"A bonus, Dr. Jones.  That is
poison.  You just drank the
rest of it."
31,LAO (Cont'd),31,"There is an antidote for this
poison.  You give me Nurhachi --
I give you the antidote."
32,LAO (Cont'd),32,"The poison works fast, Dr. Jones.
Where is Nurhachi?"
33,WILLIE,33,This Nurhachi's a very small guy.
34,INDIANA,34,"Inside are the remains of Nur-
hachi -- the first Emperor of the
Manchu Dynasty."
35,INDIANA (Cont'd),35,"Now what about the antidote,
Lao."
36,LAO,36,"At last I have the ashes of my
sacred ancestor!"
37,WILLIE,37,"So, what's the big deal?  Let
me see it --"
38,LAO,38,You fool!
39,WILLIE,39,"Ow, you're hurting me, you miser-
able little hood!"
40,INDIANA,40,"Let go of her, Lao.  And give me
the antidote."
41,INDIANA (Cont'd),41,I like the service here.
42,WILLIE,42,"Hey, he's not a waiter..."
43,INDIANA,43,"No, Wu Han's an old friend I
brought along."
44,(to Lao),44,"So, the game's not over. Put
the antidote on the table, Lao."
45,INDIANA,45,"Wu Han  --  listen to me  --  I'm
going to get you out of here."
46,WU HAN,46,"Not this time, my friend..."
47,WU HAN,47,"I followed you on many adventures --
but into the great Unknown Mystery,
I go first, Indy..."
48,LAO,48,"Don't be sad, Dr. Jones -- you
will soon join him."
49,INDIANA,49,The antidote -- !
50,INDIANA,50,"Look out, damn it, I need that
antidote!"
51,WILLIE,51,Who cares?  Where's that diamond!
52,WILLIE,52,"Excuse me, but I believe that's
my diamond!"
53,WILLIE,53,Aw nuts!
54,INDIANA (O.S.),54,"Hey,doll!  Don't move!"
55,INDIANA (Cont'd),55,"Hey, don't go away!  I need that!"
56,INDIANA (Cont'd),56,"If I wasn't dying, I'd kill her..."
57,SHORT ROUND,57,Wow!  Holy smoke!  Crash landing!
58,INDIANA,58,"Step on it, Short Round!"
59,SHORT ROUND,59,"Okey doke, Indy!  Hold onto your
potatoes!"
60,WILLIE,60,"For crying out loud, a kid's driv-
ing the car?!"
61,INDIANA,61,"Relax, I've been giving him lessons."
62,WILLIE,62,"Listen, we just met for crissake!
I'm not that kind of gril!"
63,INDIANA,63,"Don't get your hopes up -- where's
the antidote?"
64,WILLIE,64,You don't look very good.
65,INDIANA,65,Poison never agrees with me.
66,INDIANA,66,"Pull a right, Short Round, and
head for the Wang Poo bridge!"
67,SHORT ROUND,67,Check!  Gotcha!
68,WILLIE,68,"Look at what you've done to me!
I'm a mess!  My lipstick's smeared,
I broke two nails, I've got an aw-
ful run in my stocking -- !"
69,INDIANA,69,"Somehow I think you've got bigger
problems."
70,INDIANA (Cont'd),70,"There, Shorty!  Through the
tunnel!"
71,WILLIE,71,"What're we going to do?!  Where're
we going?!"
72,INDIANA,72,"The airport...No, look out,
Short Round!  Left, left!"
73,INDIANA,73,"You got the tickets, Short Round?"
74,SHORT ROUND,74,"Sure, Indy -- three tickets!
You, me and Wu Han --"
75,"INDIANA
(sadly)",75,"Wu Han's not coming, Shorty."
76,SHORT ROUND,76,"Don't worry, Indy.  Short Round
number one bodyguard now!"
77,WILLIE,77,I'll take the extra ticket.
78,WILLIE,78,Where's this plane going anyway?
79,INDIANA,79,Siam.
80,WILLIE,80,"Siam?  But I'm not dressed for
Siam..."
81,WEBER,81,"No, no, they're all right!
Let them through please."
82,INDIANA,82,"Thanks, Weber."
