,character,line #,line
0,CHARLOTTE,0,"Sadie, wake up."
1,SADIE,1,Oh my gosh.
2,CHARLOTTE,2,"Daddy, wake up."
3,PETE,3,"Okay, I'm up."
4,PETE,4,KNOCKED UP - 2.
5,DEBBIE,5,"I need you to take the kids to school
this morning."
6,PETE,6,"Oh, I would, but I'm supposed to work
out."
7,DEBBIE,7,What?
8,PETE,8,"I got an appointment with a trainer. I
can't cancel now, he'll charge me."
9,DEBBIE,9,"Well, you didn't tell me."
10,PETE,10,"Yeah I did. Last week, I told you."
11,DEBBIE,11,You didn't tell me.
12,PETE,12,"I did. And then I wrote it on the
calendar like you told me to."
13,DEBBIE,13,"No, you didn't tell me."
14,PETE,14,I did tell you.
15,DEBBIE,15,"Well, you didn't, but what are we
going to do? Because I have an
appointment so you're taking the kids
to school."
16,DEBBIE (CONT'D),16,"Don't use the baby to cover your
tracks."
17,ALISON,17,"I can drive them. I'll drive them to
school."
18,PETE,18,Thank you very much.
19,DEBBIE,19,"Great. Good. You turned my sister into
a limo driver."
20,ALISON,20,I don't mind.
21,"PETE
(TO CHARLOTTE)",21,"It all worked out!
KNOCKED UP - 3."
22,ALISON,22,What are you giggling about?
23,"SADIE
(TO CHARLOTTE)",23,Be quiet. You're starting to annoy me.
24,CHARLOTTE,24,Poo poo.
25,ALISON,25,Ladies. Nice.
26,SADIE,26,You know what I did the other day?
27,ALISON,27,What?
28,SADIE,28,"I Googled ""murder."""
29,ALISON,29,"You Googled ""murder?"""
30,SADIE,30,Yeah.
31,ALISON,31,Why? I mean what did it say?
32,SADIE,32,"It didn't say anything. It just showed
pictures of people lying dead on the
floor and...blood everywhere and
ugh..."
33,ALISON,33,That was just ketchup.
34,(BEAT),34,Who wants to hear some music?
35,SADIE,35,"I want to hear ""Rent."""
36,CHARLOTTE,36,I want to hear Green Day!
37,SADIE,37,"No, we're listening to ""Rent."""
38,CHARLOTTE,38,"Well, I want to listen to Green Day."
39,SADIE,39,"Well, I got your baby!
KNOCKED UP - 4."
40,ALISON,40,Don't taunt her. Come on.
41,SADIE,41,Here.
42,ALISON,42,Sadie!
43,"CHARLOTTE
(CRYING)",43,Ow!
44,ALISON,44,"Why did you just do that? Don't throw
things at your sister!"
