,character,line #,line
0,MAYOR (V.O.),0,"Ladies and gentlemen, I give you
the future of Los Angeles!"
1,MAYOR,1,"The Arroyo Seco freeway is just
the beginning.  We're planning
freeways from Downtown to Santa
Monica, from the South Bay to the
San Fernando Valley.  Twenty
minutes to work or play is the
longest you'll have to travel."
2,REPORTER,2,"How many bodies you think Mickey
Cohen'll be able to hide in all
that cement?"
3,HUDGEONS (V.O.),3,"Meyer Harris Cohen, Mickey C to
his fans.  He's the big moocher,
local L.A. color to the nth
degree.  You know Mickey.  He runs
dope, rackets and prostitution.
He kills a dozen people a year.
But who you may not know is
bodyguard Johnny Stompanato."
4,HUDGEONS (V.O.),4,"Johnny's handsome, ladies, but the
real attraction is below the belt.
Second only to Steve Cochran, he's
sometimes known as 'Oscar' because
of his Academy Award-size
appendage."
5,HUDGEONS (V.O.),5,"Remember, dear readers, you heard
it here first, off the record, on
the Q.T. and very"
6,MAYOR,6,"We're selling an image, gentlemen.
Beautiful weather.  Affordable
housing."
7,MAYOR,7,"Trouble-free transportation.  And
the best police department in the
world to keep it all running
smoothly."
8,CHASE (V.O.),8,"My name?  Joe Reno.  The city?
Los Angeles.  A big town.  Full of
all sorts of people.  It's my job
to help them.  I like what I do.
I'm a cop."
9,MAYOR,9,"But with a second rate Al Capone
out there, L.A. looks like Chicago
in the '30s.  Something has to be
done."
10,POLICE OFFICER,10,"Mr. Cohen, you're under arrest."
11,COHEN,11,Bullshit.  What's the charge?
12,POLICE OFFICER,12,Non-payment of federal income tax.
13,REPORTER,13,"How's your bullshit now, Mickey?!"
14,LOEW,14,"Today is an auspicious one for the
city of Los Angeles.  Mickey Cohen
has just been sentenced to ten
years in federal prison for
failure to pay income tax.
As the District Attorney for Los
Angeles County, it is my pleasure
to declare our great city
organized crime free.  It is truly
the dawning of a new day."
15,STOMPANATO,15,"Officer White.  I heard you got a
hard-on for wife beaters."
16,BUD,16,"And you fuck people up for a
living.  That don't make me you."
17,STENSLAND,17,"Bud ain't in the mood for small
talk, Stompanato."
18,STOMPANATO,18,"Look, Mickey C's doing time and
half the other guys who'd hire me
are dead or left town.  I need
money.  If your snitch-fund's
green, I'll get you some fucking-A
collars."
19,STOMPANATO,19,"There's this guy.  He's blond and
fat, about forty.  Likes the
ponies.  Been pimping his wife to
cover his losses.  Knocks her
around to keep her in line."
20,STOMPANATO,20,"I figure the address is worth
twenty."
21,STOMPANATO,21,"Yuletide cheer, fellas."
22,BUD,22,"Happy New Year, greaseball."
23,STENSLAND,23,"Leave it for later, Bud.  We got
to pick up the rest of the booze
and get back to the precinct."
24,BUD,24,"Central, this is 4A-31.  Send a
prowler to 1486 Evergreen.  White
male in custody.  Code 623 point
one.  Domestic assault and
battery.  I won't be here, but
they'll see him."
25,BUD,25,"Touch her again and I'll know
about it.  Understand?  Huh?"
26,BUD,26,You got someplace you can go?
27,BUD,27,Go get yourself fixed up.
28,WIFE,28,"Merry Christmas, huh?"
29,STENSLAND,29,"You and women, partner.  What's
next?  Kids and dogs?"
30,ACTRESS,30,"Brett Chase told me you're the cop
who busted Bob Mitchum."
31,ACTRESS,31,"These 'Badge of Honor' guys like
to pretend, but being the real
thing must be a thrill."
32,JACK,32,"Let's go someplace quiet.  I'll
give you the low-down on Mitchum."
33,ACTRESS,33,You got your handcuffs with you?
34,JACK,34,Two sets.
35,ACTRESS,35,I'll get my coat.
36,HUDGEONS,36,"Big V Jack Vincennes!  May I have
this dance?"
37,JACK,37,"Karen, this is Sid Hudgeons from"
38,ACTRESS,38,I know who he is.
39,HUDGEONS,39,"We did a piece last year.
'Ingenue Dykes In Hollywood.'  Her
name got mentioned."
40,JACK,40,Is she?
41,HUDGEONS,41,"Beats me.  Look, Jackie-Boy, a
friend of mine just sold some
reefer to Matt Reynolds.  He's
tripping the light fantastic with
Tammy Jordan at 2245 Maravilla,
Hollywood Hills.  It's right
around the corner."
42,JACK,42,"You lost me, Sid.  Who?"
43,HUDGEONS,43,"Contract players at Metro.  You
pinch 'em.  I do you up feature in
the next issue.  Plus the usual
fifty cash.  Tell me, am I fucking
Santa Claus?"
44,JACK,44,"I need an extra fifty.  Two
patrolmen at twenty apiece and a
dime for the watch commander at
Hollywood Station."
45,HUDGEONS,45,Jack!  It's Christmas!
46,JACK,46,"No.  It's felony possession of
marijuana."
47,HUDGEONS,47,"They're sitting in the dark,
goofing on the Christmas tree."
48,JACK,48,"Stand there with your camera.
I'll stop here so you get
Grauman's Chinese in the
backgrouns."
49,HUDGEONS,49,I like it!  I like it!
50,JACK,50,Police!
51,HUDGEONS,51,Cut!  Wrap it!
52,HUDGEONS,52,"It's Christmas morning in the City
of Angels, and while decent
citizens sleep the sleep of the
righteous, hopheads prowl for
marijuana, not knowing that a man
is coming to stop them.  The free-
wheeling, big-time Big V,
celebrity crime-stopper, Jack
Vincennes, the scourge of
grasshoppers and junk fiends
everywhere.  You like it, Jackie-
Boy?"
53,JACK,53,"Yeah, it's subtle."
54,HUDGEONS,54,"Remember: you heard it first here,
off the record, on the Q.T. and
very"
55,EXLEY,55,What's on the call sheet?
56,YOUNG OFFICER,56,"A guy dressed as Santa has been
exposing himself to kids in Los
Feliz.  Apparently, sir, he's
decorated himself."
57,EXLEY,57,Decorated?
58,YOUNG OFFICER,58,"With tinsel and plastic icicles
and... on his penis, sir."
59,EXLEY,59,"I get the idea.  You got a
description?"
60,YOUNG OFFICER,60,"Of his penis, sir?"
61,LYNN,61,"A case each of gin, Scotch, and
rum.  Everything top shelf.  None
of that watered-down stuff you
push on Errol Flynn."
62,OWNER,62,Sounds like a helluva party.
63,OWNER,63,You want it delivered?
64,LYNN,64,Before five tomorrow.
65,OWNER,65,"I'll be right with you, Lynn."
66,BUD,66,Merry Christmas.
67,LYNN,67,"Merry Christmas yourself,"
68,BUD,68,"That obvious, huh?"
69,LYNN,69,"It's practically stamped on your
forehead."
70,MEEKS,70,Get lost why don't you?
71,MEEKS,71,I got a license for that.
72,MEEKS,72,"Cut me some slack.  I used to be a
cop."
73,BUD,73,Turner Meeks?  Never heard of you.
74,LYNN,74,We just call him Buzz.
75,BUD,75,You okay?
76,PATCHETT,76,She's fine.
77,BUD,77,I'm not asking you.
78,BUD,78,Somebody hit you?
79,LYNN,79,It's not what you think.
80,BUD,80,What is it then?
81,SUSAN,81,"You got the wrong idea, Mister.
I'm fine."
82,LYNN,82,But it's nice to know you care.
83,STENSLAND,83,What's going on?
84,BUD,84,You know him?
85,STENSLAND,85,"Seen him around.  He used to be a
cop."
86,REPORTER,86,"Captain Smith, I --"
87,DUDLEY,87,"Drop the formalities; it's
Christmas Eve.  Call me Dudley."
88,REPORTER,88,"Dudley, I came up with a title for
the story.  I'm calling it ""Silent
Night with the L.A.P.D."""
89,DUDLEY,89,Excellent.  How's this?
90,DUDLEY,90,"The sanctity of the night is an
invitation to the darker criminal
element.  Our vigilance will not
be diminished."
91,DUDLEY,91,That's Smith with an S.
92,DUDLEY,92,"This way, gentlemen."
93,YOUNG OFFICER,93,"Two police officers were assaulted
in a bar.  Brown and Helenowski."
94,DUDLEY,94,"This is Sergeant Ed Exley.  Son of
the legendary Preston Exley.  He's
the watch commander tonight and a
damn fine job."
95,DUDLEY,95,"I was fortunate enough to be
partnered with his father when I
was a rookie.  It makes a man feel
old.  That's a fact."
96,DUDLEY,96,"Feel free to get a feel for the
place."
97,DUDLEY,97,"A word with you, lad."
98,DUDLEY,98,To the memory of your father.
99,DUDLEY,99,"The day he got the Medal of Valor.
A simpler time."
100,EXLEY,100,"To the solving of crimes that
require absolute justice."
101,DUDLEY,101,That was his favorite toast.
102,DUDLEY,102,"I saw the test results on the
lieutenant's exam.  You placed
first out of twenty-three."
103,EXLEY,103,"The youngest applicant by eight
years."
104,DUDLEY,104,"You'll make lieutenant inside a
year.  Patrol division?"
105,EXLEY,105,I was thinking Detective Bureau.
106,DUDLEY,106,"You don't have the eye for human
weakness to be a good detective.
Or the stomach.  You're a
political animal, Edmund."
107,EXLEY,107,You're wrong.
108,DUDLEY,108,"Am I...?  Would you be willing to
plant corroborative evidence on a
suspect you knew was guilty in
order to ensure an indictment?"
109,EXLEY,109,"Dudley, we've been over this."
110,DUDLEY,110,Answer yes or no.
111,EXLEY,111,I... No.
112,DUDLEY,112,"Would you be willing to rig crime
scene evidence to support a
prosecuting attorney's working
hypothesis...?  Yes or no, Edmund."
113,EXLEY,113,No.
114,DUDLEY,114,"Would you be willing to beat
confessions out of suspects you
knew to be guilty?"
115,EXLEY,115,No.
116,DUDLEY,116,"Would you be willing to shoot
hardened criminals in the back to
offset the chance --"
117,EXLEY,117,No.
118,DUDLEY,118,"Then for God's sake, don't be a
detective.  Stick to assignments
where you won't have to make those
choices.  Patrol, Internal
Affairs, but not the Bureau."
119,EXLEY,119,"I know you mean well, Dudley, but
I don't need to do it the way you
did.  Or my father."
120,DUDLEY,120,"At least get rid of the glasses.
I can't think of one Bureau man
who wears them."
121,STENSLAND,121,"Hey, partner.  Grab a cup."
122,BUD,122,I got to write my report first.
123,PASSING COP #1,123,"Hear about Helenowski and Brown?
They got into a helluva scrap with
six taco benders at some bar.
Helenowski lost six pints of
blood.  Brown's in a coma."
124,PASSING COP #2,124,"We ought to teach Paco and his
friends a lesson."
125,WOMAN (V.O.),125,Whatever you desire.
126,JACK,126,"Hi... I'd like to get a delivery
to Beverly Hills."
127,WOMAN (V.O.),127,I don't think I know you.
128,WOMAN (V.O.),128,Whatever you desire.
129,JACK,129,"Look, a friend of mine gave me
this number.  I just --"
130,OPERATOR (V.O.),130,Pacific Coast Bell.
131,JACK,131,"This is Sgt. Vincennes.
Requesting a name and address on a
phone number.  Hollywood zero-one-
two-three-nine."
132,OPERATOR (V.O.),132,"Please hold the line... No such
number is assigned."
133,JACK,133,I just called it.
134,OPERATOR (V.O.),134,"No, Sergeant.  I checked twice."
135,JACK,135,A bootleg...
136,EXLEY,136,"All right, men.  You've had your
fun.  Time to break it up."
137,STENSLAND,137,"Fucking Exley.  Guy's got a pole
so far up his ass, every time he
farts the flag waves."
138,EXLEY,138,What's going on?
139,COP,139,"They got the spics who japped
Helenowski and Brown.  Helenowski
lost an eye and Brown's got brain
damage."
140,EXLEY,140,"I have the report right here.
They're home with bruises and
muscle pulls -- Oh shit..."
141,STENSLAND,141,"For ours, Pancho. And you're
getting off easy."
142,JACK,142,"White, you better get a lease on
Stens before he kills someone."
143,GARCIA,143,"Fuck you,"
144,BUD,144,Yeah yeah...
145,GARCIA,145,And fuck your mother too.
146,EXLEY,146,"Stop, Officer!  That's an order!"
147,EXLEY,147,"You're going in my report!  All of
you!"
148,EXLEY (V.O.),148,Let me out!  That's an order!
149,CHIEF,149,"Officer White, you've refused to
cooperate with Internal Affairs.
But you should know this is bigger
than a police board.  Indictments
may be handed down.  Quite
frankly, we need police witnesses
to offset the damage done to the
Department's image.  Will you
testify?"
150,BUD,150,"No, sir.  I won't."
151,CHIEF,151,District Attorney Loew.
152,LOEW,152,"Bloody Christmas.  The press love
to label.  You and Officer
Stensland brought the liquor into
the precinct.  Stensland was
already drunk.  Do you see how
appearing as a voluntary witness
against him could offset the
damage you've done to yourself?"
153,BUD,153,I won't do it.
154,BUD,154,"I won't testify against my partner
or anyone else."
155,LOEW,155,This man is a disgrace.
156,CHIEF,156,"Your badge and gun, Officer."
157,CHIEF,157,"This is the new L.A.P.D., White.
You're suspended from duty and
dismissed."
