,character,line #,line
0,MARK,0,"Ladies, please, we're doing
everything we can to handle the
situation. Nothing is more
important to us than the safety of
our shoppers. Now in the
meantime, feel free to check out
some of our wonderful back-to-
school sales. Excuse me for a
minute."
1,MARK,1,Have you seen Ronnie?
2,RECEPTIONIST,2,I haven't seen him all morning.
3,MARK,3,"Ramon, have you seen Ronnie?"
4,JANITOR,4,"No, senor."
5,MARK,5,Where is Ronnie?
6,RONNIE,6,"Pull over to the sidewalk, NOW!"
7,STEVIE,7,"Fuck off, Ronnie, it's just a
parking lot."
8,RONNIE,8,"Sir, pull over to the sidewalk,
NOW!"
9,HECTOR,9,Leave us alone.
10,STEVIE,10,"Yeah, skating's not a crime, dick."
11,RONNIE,11,"Skateboarding is not allowed on
mall premises. Pull over now!"
12,STEVIE,12,We're not leaving.
13,HECTOR,13,"Yeah, fuck you!"
14,STEVIE,14,What the fuck are you doing?
15,RONNIE,15,"I was driving in reverse and
trying to get you to flip into the
back seat."
16,STEVIE,16,What?
17,RONNIE,17,"That way I could handcuff you
smoothly and take you in. You
know, never mind, just get in the
goddamn golf cart."
18,RONNIE,18,"It seems like we go through this
every day. What's it going to
take for you all to realize that I
won't tolerate this horseplay and
just do whatever you want to and
don't worry about the rules
attitude?"
19,STEVIE,19,"Ronnie, I hear what you're saying
and I just want you to know that
personally, it pains me to see you
all worked up and I just want you
to know that I'm really sorry
because you can't do shit and you
can take your little rules and
stick'em up your ass, you fuckin'
rent-a-cop."
20,HECTOR,20,"Yeah, suck my dick."
21,RONNIE,21,"That's funny, guys. I try to be a
mentor to the youth, but it seems
like you boys have gone straight
past boydom to the land of street-
hardened criminals. I'm left with
no choice. You call me rent-a-
cop, but I call myself the law's
right hand. I see the crime...
and I phone it in. And that's
what I'm getting ready to do right
now."
22,RONNIE,22,"317, this is Ronnie Barnhardt over
at Carolina Mall. Come in, over."
23,WALKIE VOICE (V.O.),23,"This is Officer Douglas, what do
you wish to report? Over."
24,RONNIE,24,"I've got a couple of trespassers
who have been found skateboarding
on mall property. Can you send a
black and white over to take these
boys into processing? Over."
25,WALKIE VOICE (V.O.),25,"Uh... Yeah, Ronnie, we're kind of
busy today. I mean, we got like
three car accidents."
26,RONNIE,26,"What do you mean? I've got these
guys red-handed. I'm gonna need a
car over here pronto. I can't
hold them all day by myself.
Over."
27,WALKIE VOICE (V.O.),27,"Copy. Yeah, like I said, we're
awfully busy right now. I think
you should probably just make'em
promise not to do it again and
threaten to call their parents or
something. That'll get them.
Over."
28,RONNIE,28,"Sir, I don't think you understand,
their parents don't care about
them. This is a 911 from one of
your soldiers. Officer needs
assistance! Over!"
29,WALKIE VOICE (V.O.),29,"Yeah, it's not gonna happen..."
30,RONNIE,30,"So as you can see, the law is just
one little call away. But I'm
gonna choose not to use that
tactic today. I'm gonna do
something that I like to do from
time to time, and that's called
handle shit myself."
31,RONNIE,31,"While I won't have you arrested
today, I am going to suspend each
of you for one week. For those of
you who don't know how this works,
here it is. This is official
documentation. If you step foot
on mall property, it is considered
trespassing. At that point, I
call the police, they come down,
you go directly to jail."
32,RONNIE,32,"You accepted it originally, so it
still counts."
