,character,line #,line
0,ELIZABETH SWANN,0,Will...!
1,ELIZABETH SWANN,1,Why is this happening?
2,WILL TURNER,2,I don't know. You look beautiful.
3,ELIZABETH SWANN,3,"I think it's bad luck for the groom
to see the bride before the wedding."
4,LORD CUTLER BECKETT,4,"Governor Weatherby Swann, it's been
too long."
5,LORD CUTLER BECKETT,5,His Lord now... actually.
6,LORD CUTLER BECKETT,6,"In fact, I *do*. Mister Mercer! The
warrant for the arrest of one William
Turner."
7,LORD CUTLER BECKETT,7,"Oh, is it? That's annoying. My mistake.
Arrest her."
8,ELIZABETH SWANN,8,On what charges?
9,WILL TURNER,9,No!
10,LORD CUTLER BECKETT,10,"Ah-ha! Here's the one for William Turner.
And I have another one for a Mister
James Norrington. Is he present?"
11,ELIZABETH SWANN,11,*What are the charges?*
12,LORD CUTLER BECKETT,12,"I don't believe that's the answer to
the question I asked."
13,WILL TURNER,13,"Lord Beckett! In the category of questions
*not* answered..."
14,ELIZABETH SWANN,14,"We are under the jurisdiction of the
King's governor of Port Royal, and you
will tell us what we are charged with."
15,LORD CUTLER BECKETT,15,"For which the punishment, regrettably,
is *also* death. Perhaps you remember
a certain pirate named Jack Sparrow."
16,ELIZABETH SWANN,16,*Captain* Jack Sparrow.
17,LORD CUTLER BECKETT,17,"Captain Jack Sparrow. Yes, I thought
you might."
18,GIBBS,18,"Fifteen men on a dead man's chest.
Yo ho ho, and a *bottle* of rum. Drink
and the devil had done for the rest.
Yo ho ho, and a *bottle* of rum. Ha-ha-ha-ha-ha!"
19,JACK SPARROW,19,"Sorry, mate."
20,JACK SPARROW,20,"Mind if we make a little side trip?
I didn't think so."
21,GIBBS,21,Not *quite* according to plan.
22,JACK SPARROW,22,"Complications arose, ensued, were overcome."
23,GIBBS,23,"You got what you went in for, then?"
24,JACK SPARROW,24,Mm-hmm!
25,GIBBS,25,"Captain, I think the crew, meaning me
as well, were expecting something a
bit more... *shiny*. What with the Isla
de Muerta going all pear shaped, reclaimed
by the sea, and the treasure with it."
26,LEECH,26,"And the Royal Navy chasing us all around
the Atlantic."
27,MARTY,27,And the hurricane!
28,CREW,28,Aye.
29,GIBBS,29,"All in all, it's seems some time since
we did a speck of honest pirating."
30,JACK SPARROW,30,Shiny?
31,GIBBS,31,"Aye, shiny."
32,JACK SPARROW,32,"Is that how you're all feeling, then?
Perhaps dear old Jack is not serving
your best interests as captain?"
33,COTTON'S PARROT,33,Awk! Walk the plank!
34,JACK SPARROW,34,What did the bird say?
35,LEECH,35,"Do not blame the bird. Show us what
is on that piece of cloth there."
36,JACK SPARROW,36,Ohhh!
37,GIBBS,37,Know that don't do no good.
38,JACK SPARROW,38,It does me.
39,MARTY,39,It's a key!
40,JACK SPARROW,40,"No! Much more better. It is a *drawing*
of a key."
41,JACK SPARROW,41,"Gentlemen, what do keys do?"
42,LEECH,42,Keys... unlock... *things*?
43,GIBBS,43,"And whatever this key unlocks, *inside*
there's something valuable. So, we're
setting out to find whatever this key
unlocks!"
44,JACK SPARROW,44,"No! If we don't have the key, we can't
open whatever it is we don't have that
it unlocks. So what purpose would be
served in finding whatever need be unlocked,
which we don't have, without first having
found the key what unlocks it?"
45,GIBBS,45,So - We're going after this key!
46,JACK SPARROW,46,"You're not making any sense at all.
Any more questions?"
47,MARTY,47,So... Do we have a heading?
48,JACK SPARROW,48,"Hah! A heading. Set sail in a... mmm...
a general... in *that* way - direction."
49,GIBBS,49,Cap'n?
50,JACK SPARROW,50,"Come on, snap to and make sail, you
know how this works. Come on, ?oy/?quick,
?oy/?quick, hey!"
51,MARTY,51,"Have you noticed lately... The captain
seems to be actin' a bit strange...
-er."
52,GIBBS,52,"Settin' sail without knowing his own
headin'? Somethin's got Jack vexed.
Mark my words, what bodes ill for Jack
Sparrow bodes ill for us all."
53,GUARD,53,"Lord Beckett. The prisoner as ordered,
Sir."
54,LORD CUTLER BECKETT,54,Those won't be necessary.
55,LORD CUTLER BECKETT,55,"The East India Trading Company has need
of your services.  We wish for you to
act as our agent in a business transaction
with our mutual friend: Captain Sparrow."
56,WILL TURNER,56,"More acquaintance than friend. How do
you know him?"
57,LORD CUTLER BECKETT,57,"We've had dealings in the past.  And
we've each left our mark... on the other."
58,WILL TURNER,58,What mark did he leave on you?
59,LORD CUTLER BECKETT,59,"By your efforts Jack Sparrow was set
free. I would like you to go to him,
and recover a certain property in his
possession."
60,WILL TURNER,60,Recover. At the point of a sword?
61,LORD CUTLER BECKETT,61,*Bargain*!
62,LORD CUTLER BECKETT,62,"Letters of Marque. You will offer what
amounts to a full pardon. Jack will
be free, a privateer in the employ of
England."
63,WILL TURNER,63,"Somehow I doubt Jack will consider employment
the same as being free."
64,LORD CUTLER BECKETT,64,"Freedom.  Jack Sparrow is a dying breed.
The world is shrinking, the blank pages
of the map filled in. Jack must find
his place in the new world or perish.
Not unlike you, Mister Turner. You and
your fiancée face the hangman's noose."
65,WILL TURNER,65,"So you get both Jack *and* the Black
Pearl."
66,LORD CUTLER BECKETT,66,The Black Pearl?
67,WILL TURNER,67,The property you want that he possesses.
68,LORD CUTLER BECKETT,68,"A ship? Hardly. The item in question's
considerably smaller and far more valuable.
Something Sparrow keeps on his person
at all times. A compass.  Ah, you know
it. Bring back that Compass, or there's
no deal."
69,JACK SPARROW,69,Why is the rum always gone?
70,JACK SPARROW,70,Oh! *That's* why.
71,JACK SPARROW,71,"As you were, gents."
72,JACK SPARROW,72,Ah!
73,JACK SPARROW,73,Bootstrap. Bill Turner.
74,JACK SPARROW,74,Is this a dream?
75,JACK SPARROW,75,"I thought not. If it were, there'd be
rum."
76,JACK SPARROW,76,"I had some help retrieving the Pearl,
by the way."
77,JACK SPARROW,77,Your son.
78,JACK SPARROW,78,"And to what do I owe the pleasure of
your carbuncle?"
79,JACK SPARROW,79,Who?
80,JACK SPARROW,80,"Ah. So it's you, then.  He shanghaied
you into service, eh?"
81,JACK SPARROW,81,"It's funny what a man will do to forestall
his final judgment -"
82,JACK SPARROW,82,Technic -
83,JACK SPARROW,83,"Yes, but the Flying Dutchman already
*has* a captain, so there's re -"
84,JACK SPARROW,84,"Any idea when Jones might release said
terrible beastie?"
85,JACK SPARROW,85,"On deck all hands! Make fast the bunt
gasket! On deck! Scurry! ?Scurry-on/?Marty,
I want movement!"
86,JACK SPARROW,86,*I want movement!*
87,GIBBS,87,Lift the skin up!
88,JACK SPARROW,88,"All on deck! Run! And keep running!
Run as if the devil himself and itself
is upon us!"
89,GIBBS,89,Do we have a heading?
90,JACK SPARROW,90,Ah! Ooh! Run! Land.
91,JACK SPARROW,91,Oh! Euh!
92,GIBBS,92,Which port?
93,JACK SPARROW,93,Didn't say port. I said land. Any land.
94,JACK SPARROW,94,Agh!
95,GIBBS,95,Jack's hat! Bring 'er about!
96,JACK SPARROW,96,No no! Leave it! Run!
97,GIBBS,97,Back to your stations! The lot o' ya!
98,GIBBS,98,Jack?
99,JACK SPARROW,99,Shhh!
100,GIBBS,100,"For the love of mother and child, Jack,
what's coming after us?"
101,JACK SPARROW,101,Nothing.
102,TURKISH FISHERMAN,102,"Heh-heh-heh.?tupayHey! ?Fo
?pes ?sa ?kapazun kapitan ?de ?la ?mezande,
huh?"
103,GREEK FISHERMAN,103,?Etora.
104,GREEK FISHERMAN,104,"arrive, huh?"
105,GREEK FISHERMAN,105,Ah! ?Vangas ?da ?eroro ###
106,GREEK FISHERMAN,106,kapitan ###
107,CARRUTHERS,107,Here now. He can't be here.
108,CARRUTHERS,108,"Mister Swann, -"
109,ELIZABETH SWANN,109,"Jack's Compass. What does Beckett want
with that?"
110,WILL TURNER,110,"Does it matter? I'm to find Jack and
convince him to return to Port Royal.
In exchange the charges against us will
be dropped."
111,WILL TURNER,111,"Is that lack of faith in Jack, or in
me?"
112,ELIZABETH SWANN,112,"I have faith in you. Both of you. Where
will you find him?"
113,WILL TURNER,113,"Tortuga. I'll start there, and I won't
stop searching 'til I find him. And
then I intend to return here, to marry
you."
114,ELIZABETH SWANN,114,Properly?
115,WILL TURNER,115,"Eagerly, if you'll still have me."
116,ELIZABETH SWANN,116,"If it weren't for these bars I'd have
you already."
117,ELIZABETH SWANN,117,I'll wait for you.
118,WILL TURNER,118,Keep a weather eye on the horizon.
119,WEATHERED SAILOR,119,"*Captain* Jack Sparrow? Owes me four
dubloons. Heard he was dead."
120,HALF-BLIND FISHERMAN,120,"Singapore. That's what I heard. Drunk
with a smile on his face. Sure as the
tide, Jack Sparrow... will turn up in
Singapore."
121,GISELLE,121,Jack Sparrow!
122,SCARLETT,122,I haven't seen 'im in a month.
123,GISELLE,123,"When you find him, will you give him
a message?"
124,SHRIMPER,124,"Cannot say about Jack Sparrow. But dere's
a island, just south of de straits,
where I trade spice for... mmm... delicious
long pork. Cannot say about Jack. But
you find a ship dere. A ship wit' black
sails."
125,CANNIBAL ISLAND,125,beach
126,SHRIMPER,126,My brother will take you ashore.
127,WILL TURNER,127,What's wrong? The beach is right there.
128,SHRIMPER'S BROTHER,128,"?: Ne bougeais pas, c'est trop dangereux."
129,WILL TURNER,129,What?
130,SHRIMPER'S BROTHER,130,"?: Je ne peux, c'est trop dangereux,
j'avais le dit. Bon voyage, monsieur."
131,WILL TURNER,131,Jack! Jack Sparrow!
132,WILL TURNER,132,Marty! Cotton! Anybody?
133,COTTON'S PARROT,133,Awk!
134,WILL TURNER,134,Ah! A familiar face!
135,COTTON'S PARROT,135,Rawk! Don't eat me!
136,WILL TURNER,136,I'm not gonna eat you.
137,COTTON'S PARROT,137,Don't eat me! No! Don't eat me! Akkk!
138,WILL TURNER,138,Gibbs.
139,WILL TURNER,139,"Euh! Unh! Ya! Come on! Let's go! Euh!
Ya! Come on! Who wants it? Unh! I could
do this all day! Euh! Euh! Hah!"
140,CANNIBAL ISLAND,140,throne
141,CANNIBAL ISLAND,141,Hurry-hurry tan daga!
142,WILL TURNER,142,"Jack? Jack Sparrow! I can honestly say
I'm glad to see you!"
143,WILL TURNER,143,Jack! It's me! Will Turner!
144,JACK SPARROW,144,"?: Wa-say kohn.
Een dah-lah. Eeseepi."
145,CANNIBAL CROWD,145,Eeseepi.
146,WILL TURNER,146,Tell 'em to let me down.
147,JACK SPARROW,147,"Kay-lay lam. Lam piki-piki. Lam eensy
weensy. Lam say-say... eunuchy. Snip-snip."
148,CANNIBAL CROWD,148,Ahhh... eunuchy!
149,WILL TURNER,149,"Jack! The Compass! That's all I need,
Elizabeth is in danger. We were arrested
for trying to help *you*. She faces
the gallows!"
150,JACK SPARROW,150,"Say-say lam shoop-shoop sha smalay-lama
shoo-koo. Savvy? Ball licky-licky."
151,CANNIBAL CROWD,151,Ball licky-licky!
152,CANNIBAL CROWD,152,"?Boom-shoo-boom, ?boom-shoo-boom, ?boom-shoo-boom..."
153,JACK SPARROW,153,Save me!
