,character,line #,line
0,MR. PINK,0,"""Like a Virgin"" is all about a
girl who digs a guy with a big
dick.  The whole song is a
metaphor for big dicks."
1,MR. BLUE,1,"No it's not.  It's about a girl
who is very vulnerable and she's
been fucked over a few times.
Then she meets some guy who's
really sensitive--"
2,MR. PINK,2,"--Whoa...whoa...time out Greenbay.
Tell that bullshit to the
tourists."
3,JOE,3,"Toby...who the fuck is Toby?
Toby...Toby...think...think...
think..."
4,MR. PINK,4,"It's not about a nice girl who
meets a sensitive boy.  Now
granted that's what ""True Blue"" is
about, no argument about that."
5,MR. ORANGE,5,"Which one is ""True Blue?"""
6,NICE GUY EDDIE,6,"You don't remember ""True Blue?""
That was a big ass hit for
Madonna.  Shit, I don't even
follow this Tops In Pops shit, and
I've at least heard of ""True
Blue."""
7,MR. ORANGE,7,"Look, asshole, I didn't say I
ain't heard of it.  All I asked
was how does it go?  Excuse me
for not being the world's biggest
Madonna fan."
8,MR. BROWN,8,I hate Madonna.
9,MR. BLUE,9,"I like her early stuff.  You know,
""Lucky Star,"" ""Borderline"" - but
once she got into her ""Papa Don't
Preach"" phase, I don't know, I
tuned out."
10,MR. PINK,10,"Hey, fuck all that, I'm
making a point here.  You're gonna
make me lose my train
of thought."
11,JOE,11,"Oh fuck, Toby's that little china
girl."
12,MR. WHITE,12,What's that?
13,JOE,13,"I found this old address book in a
jacket I ain't worn in a coon's
age.  Toby what?  What the fuck
was her last name?"
14,MR. PINK,14,Where was I?
15,MR. ORANGE,15,"You said ""True Blue"" was about a
nice girl who finds a sensitive
fella.  But ""Like a Virgin"" was a
metaphor for big dicks."
16,MR. PINK,16,"Let me tell ya what ""Like a
Virgin""'s about.  It's about some
cooze who's a regular fuck
machine.
I mean all the time, morning, day,
night, afternoon, dick, dick,
dick, dick, dick,
dick, dick, dick, dick, dick,
dick."
17,MR. BLUE,17,How many dicks was that?
18,MR. WHITE,18,A lot.
19,MR. PINK,19,"Then one day she meets a John
Holmes motherfucker, and it's
like, whoa baby.  This mother
fucker's like Charles Bronson in
""The Great Escape.""  He's diggin
tunnels.  Now she's gettin this
serious dick action, she's feelin
something she ain't felt since
forever.  Pain."
20,JOE,20,Chew?  Toby Chew?  No.
21,MR. PINK,21,"It hurts.  It hurts her.  It
shouldn't hurt.  Her pussy should
be Bubble-Yum by now.  But when
this cat fucks her, it hurts.  It
hurts like the first time.  The
pain is reminding a fuck machine
what is was like to be a virgin.
Hence, ""Like a Virgin."""
22,JOE,22,Wong?
23,MR. PINK,23,"Fuck you, wrong.  I'm right!  What
the fuck do you know about it
anyway?  You're still listening to
Jerry-fucking-Vale."
24,JOE,24,"Not wrong, dumb ass, Wong!  You
know, like the Chinese name?"
