,character,line #,line
0,CLARICE,0,Freeze! FBI!
1,BRIGHAM (O.S.),1,"Okay, people, good exercise..."
2,BRIGHAM,2,"Starling's reaction time was
excellent. Let's break. Critique in
five."
3,ARDELIA,3,"Damn, Clarice, how'd you make me?"
4,CLARICE,4,Never cock. Just squeeze.
5,ARDELIA,5,I love it when you talk dirty.
6,BRIGHAM,6,"What're you laughin' at, Junior G-
Man? She got off four rounds to your
two."
7,BRIGHAM,7,"One hundred reps, each hand, every
day. Now tidy up, the Section Chief
wants to see you."
8,CLARICE,8,What'd I do?
9,ARDELIA,9,"Stay cool. Just remember to call him
""God."""
10,CRAWFORD,10,"Starling, Clarice M., good morning."
11,CLARICE,11,"Good morning, Mr. Crawford."
12,CRAWFORD,12,"Your instructors tell me you're doing
well. Top quarter of the class."
13,CLARICE,13,"I hope so. They haven't posted
anything."
14,CRAWFORD,14,"A job's come up and I thought about
you. Not really a job, more of - an
interesting errand. Walk me to my
car, Starling."
15,CRAWFORD,15,"We're trying to interview all of the
serial killers now in custody, for a
psychobehavioral profile. Could be a
big help in unsolved cases. Most of
them have been happy to talk to us.
They have a compulsion to boast,
these people... Do you spook easily,
Starling?"
16,CLARICE,16,Not yet.
17,CRAWFORD,17,"You see, the one we want most refuses
to cooperate. I want you to go after
him again today, in the asylum."
18,CLARICE,18,Who's the subject?
19,CRAWFORD,19,"The psychiatrist - Dr. Hannibal
Lecter."
20,CLARICE,20,The cannibal...
21,CLARICE,21,"Yes, well... Okay, right. I'm glad
for the chance, sir, but - why me?"
22,CRAWFORD,22,"You're qualified and available. And
frankly, I can't spare a real agent
right now."
23,CRAWFORD,23,"I don't expect him to talk to you,
but I have to be able to say we
tried... Lecter was a brilliant
psychiatrist, and he knows all the
dodges."
24,CRAWFORD,24,"Dossier on him, copy of our
questionnaire, special ID for you...
If he won't talk, then I want straight
reporting. How's he look, how's his
cell look, what's he writing? The
Director himself will see your report,
over your own signature - if I decide
it's good enough. I want that by
0800 Wednesday, and keep this to
yourself."
25,CRAWFORD,25,"Now. I want your full attention,
Starling. Are you listening to me?"
26,CLARICE,26,Yes sir.
27,CRAWFORD,27,"Be very careful with Hannibal Lecter.
Dr. Chilton at the asylum will go
over the physical procedures used
with him. Do not deviate from them,
for any reason. You tell him nothing
personal, Starling. Believe me, you
don't want Hannibal Lecter inside
your head... Just do your job, but
never forget what he is."
28,CLARICE,28,"And what is that, sir?"
29,CHILTON (V.O.),29,"Oh, he's a monster. A pure
psychopath..."
30,CHILTON (O.S.),30,"It's so rare to capture one alive.
From a research point of view, Dr.
Lecter is our most prized asset..."
31,CHILTON,31,"You know, we get a lot of detectives
here, but I must say, I can't ever
remember one so attractive..."
32,CHILTON,32,"Will you be in Baltimore overnight...?
Because this can be quite a fun town,
if you have the right guide."
33,CLARICE,33,"I'm sure it's a great town, Dr.
Chilton, but my instructions are to
talk to Lecter and report back this
afternoon."
34,CHILTON,34,I see.
35,CHILTON,35,"Let's make this quick, then. I'm
busy."
36,CHILTON,36,"Lecter carved up nine people - that
we're sure of - and cooked his
favorite bits. We've tried to study
him, of course - but he's much too
sophisticated for the standard tests.
And my, does he hate us! Thinks I'm
his nemesis... Crawford's very clever,
isn't he? Using you."
37,CLARICE,37,"How do you mean, Dr. Chilton?"
38,CHILTON,38,"A pretty young woman, to turn him
on? I don't believe Lecter's ever
seen a woman in eight years. And oh,
are you ever his ""taste"" - so to
speak."
39,CLARICE,39,"I graduated magna from UVA, Doctor.
It's not a charm school."
40,CHILTON,40,"Good. Then you should be able to
remember the rules."
41,CHILTON,41,"Do not reach through the bars, do
not touch the bars. You pass him
nothing but soft paper - no pens or
pencils. No staples or paperclips in
his paper. Use the sliding food
carrier, no exceptions. Do not accept
anything he attempts to hold out to
you. Do you understand me?"
42,CLARICE,42,I understand.
43,CHILTON,43,"I'm going to show you why we insist
on such precautions... On the
afternoon of July 8, 1981, he
complained of chest pains and was
taken to the dispensary. His
mouthpiece and restraints were removed
for an EKG. When the nurse bent over
him, he did this to her..."
44,CHILTON,44,"The doctors managed to re-set her
jaw, more or less, and save one of
her eyes. His pulse never got over
eighty-five, even when he ate her
tongue."
45,CHILTON,45,I keep him in here.
46,CLARICE,46,"Dr. Chilton - if Lecter feels you're
his enemy - as you've said - then
maybe I'll have more luck by myself.
What do you think?"
47,CHILTON,47,"You might have suggested that in my
office, and saved me the time."
48,CLARICE,48,"But then I would've missed the
pleasure of your company."
49,CHILTON,49,"When she's finished, bring her out."
50,BARNEY,50,"Hi, I'm Barney. He told you, don't
get near the bars?"
51,CLARICE,51,"Clarice Starling. Yes, he did."
52,BARNEY,52,"Okay. Past the others, it's the last
cell. Stay to the middle. I put out
a chair for you."
