,character,line #,line
0,ATTENDANT,0,You can't smoke in here.
1,CHARLES,1,"A Mercury is a good car and that's
what I was driving that day. I've
owned a lot of cars. Different
kinds. Lots of different kinds of
cars. She was standing, this girl,
on the side of the street where
there was a chicken stand; not the
Colonel, mind you, but nevertheless
a chicken stand, and I pulled the
Mercury over and rolled down the
window by electric power. She was
wearing a leather skirt and she had
a lot of hair on her arms. I like
that. I like it a lot. It means a
big bush. I like a big bush. She
said, ""Are you dating?"" I said,
""yes,"" and she got in the car. We
pulled to a remote location, one
that she and I both felt
comfortable with and she said, ""How
much can you spend?"" I said, ""What
it takes to see your bush. I know
it's a big one."" She said ""twenty
five dollars,"" which to a working
man is not chicken feed. I produced
the money and she put it in her
shoe and pulled up her skirt. There
before me lay a thin, crooked,
uncircumcised penis. You can
imagine how badly I wanted my
twenty-five dollars back."
2,THERESA,2,"I don't know why you're so weirded
out, this is not San Quentin, it's
just a nuthouse. Most of these
people don't even know where they
are, they're not gonna hurt you."
3,MARSHA,3,"In a few minutes we're gonna be in
a room with a killer. That doesn't
bother you?"
4,THERESA,4,"Hey, you're the one that wanted to
major in journalism. Anyhow, wasn't
the guy something like twelve or
thirteen when he did it, it was
twenty-five years ago, he probably
doesn't even remember it."
5,MARSHA,5,Do you smell shit?
6,THERESA,6,Yeah.
7,GUARD,7,"These are the people from that
newspaper deal."
8,WOOLRIDGE,8,"Oh yeah, from the college?"
9,MARSHA,9,Yes sir.
10,WOOLRIDGE,10,My name's Jerry Woolridge.
11,MARSHA,11,"Nice to meet you. I'm Marsha
Dwiggins and this is Theresa Evans.
She's here to take the pictures."
12,WOOLRIDGE,12,"Y'all have a seat. Is this all of
you?"
13,MARSHA,13,Yes sir.
14,WOOLRIDGE,14,"I think there must have been a
little mix up. I told your sponsor
or teacher or whatever he is, there
couldn't be any pictures. It's
s'posed to be just a little story
or article or something, isn't that
right?"
15,MARSHA,15,"Well, yeah, it's for the school
newspaper. But it has pictures. I
mean it's a regular paper, you
know."
16,WOOLRIDGE,16,"Karl's real sensitive about having
his picture made. He wouldn't even
be on the bulletin board for the
Easter Collage."
17,WOOLRIDGE,17,"Melvin, would you get me a good hot
cup with two sugar substitutes? You
girls want some coffee?"
18,MARSHA,18,No thank you.
19,WOOLRIDGE,19,"The other thing is I told your boss
on the phone to send a man. Karl
won't talk to women."
20,CHARLES,20,"There was a young man named John
Liggit Hunter who was in the
filling station business and a good
filling station business. He was
one of those young men that we run
across so often in life. I'm sure
you've run across them, that didn't
deserve the things he had. One of
those things was his beautiful
bride, Sarah. She was a Georgia
Peach. As a matter of fact she
looked more like the picture I've
had in my head than any woman I've
ever seen. I took it upon myself to
take her away from John Liggit
Hunter, who didn't deserve her. I'm
not sure if I mentioned that he was
a Frenchman who claimed to be an
Englishman. It took some very
strong nylon cord to take her away
from him. She was a fighter as well
as a Georgia Peach."
21,WOOLRIDGE,21,"I don't know what to tell you. I'm
sorry. I made myself pretty clear I
thought. He probably got busy and
wasn't thinking. I know how that
is. I used to teach shop and eighth
grade science."
22,MARSHA,22,"Well, what do we do? We drove all
the way out here."
23,THERESA,23,"Let's just go, Marsha."
24,MARSHA,24,"No, we have to get this story."
25,THERESA,25,I thought you'd be happy to leave.
26,MARSHA,26,Why won't he talk to women?
27,WOOLRIDGE,27,"He has problems. You know. With all
that. He won't hardly talk to
anybody really. Just certain
people. He's very troubled."
28,CHARLES,28,"A shovel just makes too goddamn
much racket."
29,WOOLRIDGE,29,"I don't think he's talked to a
woman in twenty-five or so years.
That I know of anyway. That's why I
said to send a man. At least maybe
he'd answer a question or two for a
man. I'm all for helping the
college out, believe me. It might
be a real good article or story."
30,MARSHA,30,"Can't you talk to him? Maybe talk
him into it. I'm a real good
interviewer. Just get me in the
room with him."
31,WOOLRIDGE,31,"Melvin, go get Karl and take him
down to the old classroom."
32,WOOLRIDGE,32,"I'll talk to him and see what we
can do."
33,WOOLRIDGE,33,"You see, Karl, growing up, only
knew that sex was wrong and that
people who did it should be killed
for it. He couldn't really read
but, well, neither could his
mother. But, his father made sure
that his mother knew what the Bible
said. And she made sure Karl knew.
You know he slept in a hole in the
ground under a toolshed, right?"
34,MARSHA,34,I knew he slept in a toolshed.
35,WOOLRIDGE,35,"His mother told him that he was
their punishment. Hers and his
father's; from God, for having sex--"
36,MARSHA,36,Before they were married?
37,WOOLRIDGE,37,"I don't think so. Just period, I
think. She told him... God gave
them the ugliest creation he could
think of. Karl has an entire book --
a notebook. On every page it says
""Franklin Chapter 1 Verse number
1."" He wrote that a few years ago
after he'd learned to write. His
father's name was Franklin."
38,MARSHA,38,"That's really strange. What does it
mean?"
39,WOOLRIDGE,39,"One of his Daddy's Bible lessons I
imagine. Y'all pull up a chair.
I'll go out and talk to him."
40,CHARLES,40,"You have to make something explode
to truly understand it. You have to
examine the tiny particles while
they're on fire."
41,MELVIN,41,"Karl, I gotta take you down to the
old classroom. Mr. Woolridge has
some people for you to see down
there. Come on. Let's go."
42,WOOLRIDGE,42,"Karl, you know, do you remember
when I told you about those people
from that newspaper?"
43,WOOLRIDGE,43,"They want to ask you some questions
about your release. They think it
would make an interesting story.
Will you talk to 'em? Get
interviewed."
44,WOOLRIDGE,44,"Now, they're women. I think it
might be good for you to. You're
gonna be seein' all kinds of people
when you go on the outside. This'll
help you I believe."
45,WOOLRIDGE,45,"Well, it surprised the dickens out
of me. He said he'll talk to you."
46,WOOLRIDGE (CONT'D),46,"But, here's the thing. He'll only
talk to you. He doesn't want you to
ask him anything. And you shouldn't
stare at him."
47,MARSHA,47,"How am I going to conduct an
interview if I can't ask him any
questions?"
48,WOOLRIDGE,48,"It's the best you're gonna get. I'm
sorry."
49,MARSHA,49,"Can I ask you a question? If he's
so troubled, why are you letting
him out? What if he does it again?
It happens all the time."
50,WOOLRIDGE,50,"He's free. His time's up. That's
the rules. He's been treated and
reevaluated. He doesn't show any
signs any more."
51,MARSHA,51,Signs?
52,WOOLRIDGE,52,"Homicidal signs. Oh, we're gonna
change the light in here for Karl.
I hope you can see to write."
53,WOOLRIDGE (CONT'D),53,You'll have to step outside.
54,WOOLRIDGE (CONT'D),54,Please.
55,THERESA,55,"Can I just sneak in there? I won't
take any pictures, I promise. I
just want to listen."
56,MELVIN,56,No ma'am. I'm sorry you can't.
57,MELVIN (CONT'D),57,You can't smoke in here. I'm sorry.
58,KARL,58,"Well, I reckon what you're a
wanting to know is what I'm doing
in here. I reckon the reason I'm in
here is 'cause I killed somebody.
But I reckon what you was a wanting
to know is how come me to kill
somebody. Well, I reckon I'll start
at the front and tell you."
59,KARL,59,"I lived most of my life out behind
my mother and father's house in a
little old shed and my daddy'd
built for me. They didn't too much
want me up there in the house with
the rest of 'em. I mostly just set
around out there in the shed all
the time a lookin' at the ground.
It didn't have no floor but I had
me a hole dug out to lay down in
and a quilt or tow that I put down
there."
60,KARL,60,"My daddy was a hard workin' man
most of his life, not that I can
say the same fer myself. I most
just set around the shed and
tinkered around with a lawn mower
or two and went to school off and
on from time to time but the
children there made quite a bit of
sport of me, made fun of me quite a
bit. Some of 'em roughed me up
sometimes so mostly I stayed out
back there in the shed. My daddy
worked down at the sawmill there,
down there at the planer mill for
an old man named Dixon.
Old man Dixon was a very cruel
feller, he didn't treat his
employees very well, didn't pay 'em
much of a wage, didn't pay my daddy
much of a wage, just barely enough
to get by on. But I reckon he got
by all right, they come out one or
the other of 'em, usually my
mother, and fed me pretty regular.
At least I know he made enough for
me to have mustard and biscuits
three or four times a week. Old man
Dixon had a boy named Jesse Dixon.
Jesse was really more cruel than
his daddy. He made quite a bit of
sport of me and takened advantage
of the little girls around the
neighborhood quite a bit."
61,KARL,61,"He used to say my mother was a very
pretty woman. He said it quite a
bit from time to time, when I was
at the school house. Well, I reckon
you want me to get on and tell you
what happened so I reckon I'll tell
you. I was settin' out in the shed
one evenin' not doin' too much,
just kindly starin' at the wall and
a waitin' fer my mother to come out
and give me my Bible lesson and I
heared a commotion up in the house
there so I got up and run up on the
screened-in porch there to see what
was a goin' on, and I looked in the
kitchen window and I seen my mother
a layin' there on the floor without
any clothes on."
62,KARL,62,"And seen Jesse Dixon a layin' on
top of her having his way with her."
63,KARL,63,"Well, I just seen red. I picked up
a kaiser blade that was a layin'
there by the screen door, some
folks calls it a sling blade, I
call it a kaiser blade. It's just a
long handle like a axe handle with
a long blade on it that's shaped
kind of like a banana. Sharp on one
edge and dull on the other. It's
what the highway boys use to cut
down weeds and whatnot.
I went in the kitchen there and I
hit Jesse Dixon up side the head
with it and knocked him off my
mother. I reckon that didn't quite
satisfy me so I hit him again in
the neck with the sharp edge and
just plumb near cut his head off.
Killed him. Well, my mother, she
jumped up from there and started
yellin', ""What did you kill Jesse
fer? What did you kill Jesse fer?"""
64,KARL,64,"Well, come to find out my mother
didn't really mind what Jesse was a
doin' to her. I reckon that made me
madder than what Jesse had made me.
I takened the kaiser blade, some
folks calls it a sling blade, I
call it a kaiser blade and hit my
mother up side the head with it an'
killed her."
65,KARL,65,"Some folks has asked me if I had it
to do over again would I do the
same thing. I don't know, I reckon
I would. Anyhow, they seen fit to
put me in here and here I've been
for a great long while. I've
learned to read some; took me four
years to read the Bible. I reckon I
understand a good deal of it. It
wasn't what I expected in a lot of
places. I've slept in a good bed
for a great long while. They've
seen fit to put me out now. They
tell me they're a settin' me free
today. Anyhow, I reckon that's all
you need to know. If you want any
more details I reckon I can tell
'em to you. I don't know if that's
enough for your newspaper or not."
66,MARSHA,66,"Will you ever kill anybody again,
Karl?"
67,KARL,67,"I don't reckon I got no reason to
kill nobody."
68,MARSHA,68,Is he leaving right this minute?
69,WOOLRIDGE,69,"We've got some paperwork to take
care of. Pretty soon. Don't worry,
you won't run into him in the
parking lot."
70,MARSHA,70,I didn't mean that.
71,WOOLRIDGE,71,"I hope the best for you, Miss
Dwiggins, with your school and your
paper and all."
72,MARSHA,72,Where will he go?
73,WOOLRIDGE,73,"Wherever he wants to. I think he's
going back to Millsburg where he's
from. It's just about twenty miles
from here."
74,MARSHA,74,Will he be supervised?
75,WOOLRIDGE,75,"As much as anybody else is, I
guess. Y'all have a good rest of
the day now."
76,KARL,76,Thank you.
77,MARSHA,77,Thank you.
78,KARL,78,"I reckon I'm gonna have to get used
to looking at pretty people."
79,WOOLRIDGE,79,"Yes, I guess you are."
80,KARL,80,"I reckon I'm gonna have to get used
to them lookin' at me, too."
81,WOOLRIDGE,81,You better go get your things.
82,KARL,82,I ain't got nothing but them books.
83,WOOLRIDGE,83,You better go get 'em.
84,KARL,84,All right then.
85,BOY,85,Can I help you?
86,KARL,86,"I was kindly wantin' somethin' or
'nother d'eat."
87,BOY,87,"Well, what did you want?"
88,KARL,88,You have any biscuits for sale?
89,BOY,89,"Naw, we don't have biscuits."
90,BOY (CONT'D),90,"Did you decide, sir?"
91,KARL,91,What you got that's good to eat?
