,character,line #,line
0,FRANKY FOUR FINGERS,0,How much further do we have to go?
1,RUSSIAN,1,Pass him the money.
2,RUSSIAN (CONT'D),2,"Franky you know you have no choice.
So please can we get on with it?"
3,RUSSIAN (CONT'D),3,"If you need a man in London then
call this number."
4,. FRANKY FOUR FINGERS,4,Boris?
5,RUSSIAN,5,"Boris, Boris can get you anything
you need."
6,TOMMY,6,It's a bit heavy isn't it Boris?
7,BORIS,7,"Heavy is good. Heavy is reliable.
If it doesn't work you can hit him
with it."
8,TOMMY,8,Yes Gorgeous?
9,GORGEOUS GEORGE,9,"Sorry Tommy, I hope that I am not
interrupting."
10,TOMMY,10,"Oh of course you're not interrupting
Gorgeous, I put the do not disturb
sign on the door because I wanted
you to join us."
11,GORGEOUS GEORGE,11,What are you doing Tommy?
12,TOMMY,12,"I am baking a cake Gorgeous, not
that i t ' s any of your business. Put
the takings down, and be a good chap."
13,TOMMY (CONT'D),13,"Is there anything else Gorgeous, a
cup of tea perhaps? No? Well in
that could you kindly fuck off and
shut the door behind you?"
14,TOMMY (CONT'D),14,"Not too bright but he hits like a
train. OK I ' l l take it. You're a
gambling man Boris, so I'll toss you
for it. Heads it's mine, tails I'll
give you twice the price."
15,BORIS,15,I ' l l toss the coin.
16,HANDS,16,Twenty carats?
17,FRANKY FOUR FINGERS,17,Best stone I've seen in years.
18,HANDS,18,"Good man Franky, you done a good
job. What time you back?"
19,FRANK Y FOUR FINGERS,19,"I gotta move the smaller stones here;
it shouldn't take me long. I ' l l be
a couple of days."
20,HANDS,20,Speak to my cousin Doug.
21,FRANKY FOUR FINGERS,21,Doug the Head?
22,HANDS,22,"Yeah, Doug the Head. But get some
security. I mean it, get it today,
speak to those Russians, they can
get you anything. And. . ."
23,FRANKY FOUR FINGERS,23,And what?
24,HANDS,24,"No fuckin around in any casinos, you
hear me? You've done a good job
Franky, don't go and fuck it up."
25,FRANKY FOUR FINGERS,25,I hear ya Hands. I see ya Hands.
26,HANDS,26,He's got it.
27,RUSSIAN,27,"Yes he's got it. He might call, he
might not, but if he does be ready."
28,BORIS,28,I' l l see what I can do.
29,RUSSIAN,29,"He can't know that it's you Boris.
We do too much business together.
You're gonna have to get someone
else to hit him and there is no way
it can relate to us. You understand?"
30,BORIS,30,Yes I understand.
31,RUSSIAN,31,"One more thing, he loves to gamble."
32,BRICK TOP,32,"Two hundred and sixty pounds, that's
fucking pedigree pal."
33,BRICK TOP (CONT'D),33,He doesn't look bad does he?
34,GARY,34,"Oh no Mr Mclean, he looks great."
35,LIAM,35,Yeah great.
36,GARY,36,"He'll kill him, he'll do you proud
governor."
37,BRICK TOP,37,"Do you reckon that's what people
should do for me, do you Gary, do me
proud?"
38,GARY,38,That's what you deserve Mr Mclean.
39,BRICK TOP,39,"Pull your tongue out of my arsehoie
Gary. Dogs do that, and you're not
a dog, are you Gary?"
40,GARY,40,"Err no, I am not."
41,BRICK TOP,41,"However, you do have all of the
characteristics of a dog Gary, all
except loyalty."
