,character,line #,line
0,THREEPIO,0,"Did you hear that? They've shut down
the main reactor. We'll be destroyed
for sure. This is madness!"
1,THREEPIO,1,We're doomed!
2,THREEPIO,2,"There'll be no escape for the Princess
this time."
3,THREEPIO,3,What's that?
4,THREEPIO,4,"I should have known better than to
trust the logic of a half-sized
thermocapsulary dehousing assister..."
5,LUKE,5,"Hurry up! Come with me! What are you
waiting for?! Get in gear!"
6,THREEPIO,6,"Artoo! Artoo-Detoo, where are you?"
7,THREEPIO,7,At last! Where have you been?
8,THREEPIO,8,"They're heading in this direction.
What are we going to do? We'll be
sent to the spice mine of Kessel or
smashed into who knows what!"
9,THREEPIO,9,"Wait a minute, where are you going?"
10,IMPERIAL OFFICER,10,"The Death Star plans are not in the
main computer."
11,VADER,11,"Where are those transmissions you
intercepted?"
12,VADER,12,What have you done with those plans?
13,REBEL OFFICER,13,"We intercepted no transmissions.
Aaah... This is a consular ship.
Were on a diplomatic mission."
14,VADER,14,"If this is a consular ship... were
is the Ambassador?"
15,VADER,15,"Commander, tear this ship apart until
you've found those plans and bring
me the Ambassador. I want her alive!"
16,TROOPER,16,There she is! Set for stun!
17,TROOPER,17,"She'll be all right. Inform Lord
Vader we have a prisoner."
18,THREEPIO,18,"Hey, you're not permitted in there.
It's restricted. You'll be deactivated
for sure.."
19,THREEPIO,19,"Don't call me a mindless philosopher,
you overweight glob of grease! Now
come out before somebody sees you."
20,THREEPIO,20,"Secret mission? What plans? What are
you talking about? I'm not getting
in there!"
21,THREEPIO,21,I'm going to regret this.
22,CHIEF PILOT,22,There goes another one.
23,CAPTAIN,23,"Hold your fire. There are no life
forms. It must have been short-
circuited."
24,THREEPIO,24,"That's funny, the damage doesn't
look as bad from out here."
25,THREEPIO,25,Are you sure this things safe?
26,WOMAN,26,I've told you kids to slow down!
27,FIXER,27,"Did I hear a young noise blast through
here?"
28,CAMIE,28,It was just wormie on another rampage.
29,LUKE,29,Shape it up you guys!... Biggs?
30,LUKE,30,"I didn't know you were back! When
did you get in?"
31,BIGGS,31,"Just now. I wanted to surprise you,
hot shot. I thought you'd be here...
certainly didn't expect you to be
out working."
32,LUKE,32,"The Academy didn't change you
much...but you're back so soon? Hey,
what happened, didn't you get your
commission?"
33,BIGGS,33,"Of course I got it. Signed aboard
The Rand Ecliptic last week. First
mate Biggs Darklighter at your
service..."
34,BIGGS,34,"...I just came to say good-bye to
all you unfortunate landlocked
simpletons."
35,LUKE,35,"I almost forgot. There's a battle
going on! Right here in our system.
Come and look!"
36,DEAK,36,Not again! Forget it.
37,LUKE,37,There they are!
38,BIGGS,38,"That's no battle, hot shot... they're
just sitting there! Probably a
freighter-tanker refueling."
39,LUKE,39,"But there was a lot of firing
earlier..."
40,LUKE,40,"Hey, easy with those..."
41,CAMIE,41,"Don't worry about it, Wormie."
42,FIXER,42,"I keep telling you, the Rebellion is
a long way from here. I doubt if the
Empire would even fight to keep this
system. Believe me Luke, this planet
is a big hunk of nothing..."
43,LEIA,43,"Lord Vader, I should have known.
Only you could be so bold. The
Imperial Senate will not sit for
this, when they hear you've attacked
a diplomatic..."
44,VADER,44,"Don't play games with me, Your
Highness. You weren't on any mercy
mission this time. You passed directly
through a restricted system. Several
transmissions were beamed to this
ship by Rebel spies. I want to know
what happened to the plans they sent
you."
45,LEIA,45,"I don't know what you're talking
about. I'm a member of the Imperial
Senate on a diplomatic mission to
Alderaan..."
46,VADER,46,"You're a part of the Rebel Alliance...
and a traitor. Take her away!"
47,COMMANDER,47,"Holding her is dangerous. If word of
this gets out, it could generate
sympathy for the Rebellion in the
senate."
48,VADER,48,"I have traced the Rebel spies to
her. Now she is my only link to find
their secret base!"
49,COMMANDER,49,"She'll die before she tells you
anything."
50,VADER,50,"Leave that to me. Send a distress
signal and then inform the senate
that all aboard were killed!"
51,SECOND OFFICER,51,"Lord Vader, the battle station plans
are not aboard this ship! And no
transmissions were made. An escape
pod was jettisoned during the
fighting, but no life forms were
aboard."
52,VADER,52,"She must have hidden the plans in
the escape pod. Send a detachment
down to retrieve them. See to it
personally, Commander. There'll be
no one to stop us this time."
53,COMMANDER,53,"Yes, sir."
54,THREEPIO,54,"How did I get into this mess? I really
don't know how. We seem to be made
to suffer. It's our lot in life."
55,THREEPIO,55,"I've got to rest before I fall apart.
My joints are almost frozen."
