,character,line #,line
0,LUKE,0,"Echo Three to Echo Seven.  Han,
old buddy, do you read me?"
1,HAN,1,"Loud and clear, kid.  What's up?"
2,LUKE,2,"Well, I finished my circle.  I
don't pick up any life readings."
3,HAN,3,"There isn't enough life on this
ice cube to fill a space cruiser.
The sensors are placed, I'm going
back."
4,LUKE,4,"Right.  I'll see you shortly.
There's a meteorite that hit the
ground near here.  I want to check
it out.  It won't take long."
5,LUKE,5,"Hey, steady girl.  What's the
matter?  You smell something?"
6,LUKE,6,Aaargh!
7,HAN,7,Chewie!
8,HAN,8,"All right, don't lose your temper.
I'll come right back and give you
a hand."
9,RIEEKAN,9,Solo?
10,RIEEKAN,10,Commander Skywalker reported in yet?
11,HAN,11,"No.  He's checking out a meteorite
that hit near him."
12,screen),12,"With all the meteor activity in this
system, it's going to be difficult
to spot approaching ships."
13,HAN,13,"General, I've got to leave.  I
can't stay anymore."
14,RIEEKAN,14,I'm sorry to hear that.
15,HAN,15,"Well, there's a price on my head.
If I don't pay off Jabba the Hut,
I'm a dead man."
16,RIEEKAN,16,"A death mark's not an easy thing
to live with.  You're a good
fighter, Solo.  I hate to lose you."
17,HAN,17,"Thank you, General."
18,HAN,18,"Well, Your Highness, I guess this
is it."
19,LEIA,19,That's right.
20,HAN,20,"Well, don't get all mushy on me.
So long, Princess."
21,LEIA,21,Han!
22,HAN,22,"Yes, Your Highnessness?"
23,LEIA,23,I thought you decided to stay.
24,HAN,24,"Well, the bounty hunter we ran
into on Ord Mantell changed my
mind."
25,LEIA,25,"Han, we need you!"
26,HAN,26,We?
27,LEIA,27,Yes.
28,HAN,28,"Oh, what about you need?"
29,LEIA,29,"I need?  I don't know what you're
talking about."
30,fed up),30,You probably don't.
31,LEIA,31,"And what precisely am I supposed
to know?"
32,HAN,32,"Come on!  You want me to stay
because of the way you feel about
me."
33,LEIA,33,"Yes.  You're a great help to us.
You're a natural leader..."
34,HAN,34,"No!  That's not it.  Come on.
Aahhh - uh huh!  Come on."
35,HAN,35,"Am I?  Then why are you following
me?  Afraid I was going to leave
without giving you a goodbye kiss?"
36,LEIA,36,I'd just as soon kiss a Wookiee.
37,HAN,37,"I can arrange that.  You could use
a good kiss!"
38,THREEPIO,38,"Don't try to blame me.  I didn't
ask you to turn on the thermal
heater.  I merely commented that it
was freezing in the princess'
chamber.  But it's supposed to be
freezing.  How are we going to dry
out all her clothes?  I really don't
know."
39,THREEPIO,39,"Oh, switch off."
40,HAN,40,"Why do you take this apart now?
I'm trying to get us out of here
and you pull both of these."
41,THREEPIO,41,"Excuse me, sir."
42,HAN,42,Put them back together right now.
43,THREEPIO,43,"Might I have a word with you,
please?"
44,HAN,44,What do you want?
45,THREEPIO,45,"Well, it's Princess Leia, sir.
She's been trying to get you on
the communicator."
46,HAN,46,"I turned it off.  I don't want to
talk to her."
47,THREEPIO,47,"Oh.  Well, Princess Leia is wondering
about Master Luke.  He hasn't come
back yet.  She doesn't know where he
is."
48,HAN,48,I don't know where he is.
49,THREEPIO,49,Nobody knows where he is.
50,HAN,50,"What do you mean, ""nobody knows""?"
51,THREEPIO,51,"Well, uh, you see..."
52,HAN,52,Deck Officer.  Deck Officer!
53,THREEPIO,53,"Excuse me, sir.  Might I inqu..."
54,DECK OFFICER,54,"Yes, sir?"
55,HAN,55,"Do you know where Commander
Skywalker is?"
56,DECK OFFICER,56,"I haven't seen him.  It's possible
he came in through the south entrance."
57,HAN,57,"It's possible?  Why don't you go
find out?  It's getting dark out there."
58,DECK OFFICER,58,"Yes, sir."
59,THREEPIO,59,"Excuse me, sir.  Might I inquire
what's going on?"
60,HAN,60,Why not?
61,THREEPIO,61,"Impossible man.  Come along, Artoo,
let's find Princess Leia.  Between
ourselves, I think Master Luke is
in considerable danger."
62,DECK OFFICER,62,"Sir, Commander Skywalker hasn't
come in through the south entrance.
He might have forgotten to check in."
63,HAN,63,Not likely.  Are the speeders ready?
64,DECK OFFICER,64,"Not yet.  We're having some trouble
adapting them to the cold."
65,HAN,65,"Then we'll have to go out on
Tauntauns."
66,DECK OFFICER,66,"Sir, the temperature's dropping too
rapidly."
67,HAN,67,"That's right.  And my friends out
in it."
68,ASSISTANT OFFICER,68,"I'll cover sector twelve.  Have
com-control set screen alpha."
69,DECK OFFICER,69,"Your Tauntaun'll freeze before you
reach the first marker."
70,HAN,70,Then I'll see you in hell!
71,THREEPIO,71,"You must come along now, Artoo.
There's really nothing more we can
do.  And my joints are freezing up."
72,THREEPIO,72,"Don't say thing like that!  Of
course we'll see Master Luke again.
He'll be quite all right, you'll see."
73,THREEPIO,73,"Stupid little short-circuit.  He'll
be quite all right."
74,LIEUTENANT,74,"Sir, all the patrols are in.
There's still no contact from
Skywalker or Solo."
75,THREEPIO,75,"Mistress Leia, Artoo says he's been
quite unable to pick up any signals,
although he does admit that his own
range is far too weak to abandon
all hope."
76,DERLIN,76,"Your Highness, there's nothing
more we can do tonight.  The shield
doors must be closed."
77,DERLIN,77,Close the doors.
78,LIEUTENANT,78,"Yes, sir."
79,THREEPIO,79,"Artoo says the chances of survival
are seven hundred seventy-five...
to one."
80,THREEPIO,80,"Actually, Artoo has been known to
make mistakes... from time to time.
Oh, dear, oh, dear.  Don't worry
about Master Luke.  I'm sure he'll
be all right.  He's quite clever,
you know... for a human being."
81,BEN,81,Luke... Luke.
82,LUKE,82,Ben?
83,BEN,83,You will go to the Dagobah system.
84,LUKE,84,Dagobah system?
85,BEN,85,"There you will learn from Yoda,
the Jedi Master who instructed me."
86,LUKE,86,Ben... Ben.
87,HAN,87,"Luke!  Luke!  Don't do this, Luke.
Come on, give me a sign here."
88,HAN,88,Not much time.
89,LUKE,89,Ben... Ben...
90,HAN,90,"Hang on, kid."
91,LUKE,91,Dagobah system...
92,odor),92,Whew...
93,LUKE,93,Dagobah...
94,HAN,94,"This may smell bad, kid..."
95,LUKE,95,Yoda...
96,HAN,96,"...but it will keep you warm...
til I get the shelter built."
97,"Luke inside the
carcass)",97,"Ooh... I thought they smelled bad
on the outside!"
98,ZEV,98,"Echo Base... I've got something!  Not
much, but it could be a life form."
99,ZEV,99,"This is Rogue Two.  this is Rogue
Two.  Captain Solo, so you copy?
Commander Skywalker, do you copy?
This is Rogue Two."
100,Zev's receiver),100,"Good morning.  Nice of you guys
to drop by."
101,ZEV,101,"Echo Base... this is Rogue Two.  I
found them.  Repeat, I found them."
102,THREEPIO,102,"Master Luke, sir, it's so good
to see you fully functional again."
103,THREEPIO,103,"Artoo expresses his relief, also."
104,HAN,104,"How are you feeling, kid?  You
don't look so bad to me.  In
fact, you look strong enough to
pull the ears off a Gundark."
105,LUKE,105,Thanks to you.
106,HAN,106,"That's two you owe me, junior."
107,HAN,107,"Well your Worship, looks like
you managed to keep me around for
a little while longer."
108,LEIA,108,"I had nothing to do with it.  General
Rieekan thinks it's dangerous for
any ships to leave the system until
we've activated the energy shield."
109,HAN,109,"That's a good story.  I think you
just can't bear to let a gorgeous
guy like me out of your sight."
110,LEIA,110,"I don't know where you get your
delusions, laser brain."
111,HAN,111,"Laugh it up, fuzzball.  But you
didn't see us alone in the south
passage."
112,HAN,112,"She expressed her true feelings
for me."
113,LEIA,113,"My...!  Why, you stuck up,... half-
witted... scruffy-looking ...nerf-
herder!"
114,HAN,114,Who's scruffy-looking?
115,HAN,115,"I must have hit pretty close to
the mark to get her all riled up
like that, huh, kid?"
116,LEIA,116,"Why, I guess you don't know
everything about women yet?"
117,ANNOUNCER,117,"Headquarters personnel, report to
command center."
118,HAN,118,Take it easy.
119,THREEPIO,119,"Excuse us, please."
120,RIEEKAN,120,Princess... we have a visitor.
121,RIEEKAN,121,"We've picked up something outside
the base in zone twelve, moving
east."
122,SENIOR CONTROLLER,122,It's metal.
123,LEIA,123,"Then it couldn't be one of those
creatures that attacked Luke."
124,HAN,124,"It could be a speeder, one of ours."
125,SENIOR CONTROLLER,125,"No.  Wait - there's something very
weak coming through."
126,THREEPIO,126,"Sir, I am fluent in six million
forms of communication.  This signal
is not used by the Alliance.  It
could be an Imperial code."
127,HAN,127,"It isn't friendly, whatever it is.
Come on, Chewie, let's check it out."
128,RIEEKAN,128,"Send Rogues Ten and Eleven to
station three-eight."
129,HAN,129,Afraid there's not much left.
130,LEIA,130,What was it?
131,HAN,131,"Droid of some kind.  I didn't hit
it that hard.  It must have had a
self-destruct."
