,character,line #,line
0,VOICE,0,Ready?
1,SECOND VOICE (LENNY),1,Yeah.  Boot it.
2,OUR VOICE,2,Okay.  It's goin'.  I'm recording.
3,LANE,3,"Good one, dickhead.  Thanks for
waitin' till I get this fuckin thing
on.  You tryin' ta I.D. me, or
what?"
4,LANE,4,Next alley... just pull in slow.
5,LANE,5,Hurry up will ya.  Here.
6,LANE,6,Let's go.
7,OUR VOICE,7,"Don't move, don't talk, don't do
nothing."
8,LANE,8,Don't stop!
9,LENNY,9,"This is great... the doors are all
locked.  Who are these losers,
friends of yours?"
10,LENNY (V.O.),10,"Wow... the gas tank is a nice touch.
Oh, oh, end of the line boys."
11,LANE,11,Come on!  Fucking jump man!
12,LENNY,12,"Goddamnit!  You know I don't deal in
snuff.  How many times I hafta tell
you?!"
13,TICK,13,"Don't have a fucking coronary, Lenny."
14,LENNY,14,"Well you could've at least warned
me.  You know I hate the zap... when
they die.  It just brings down your
whole day.  Jeez, Tick."
15,TICK,15,Sorry.
16,LENNY,16,"How'd you get the tape?  Why didn't
the cops put it in evidence?"
17,TICK,17,"With all the blood I guess they
didn't see the rig.  Guy had it
under a wig."
18,LENNY,18,"Yeah, but how'd it get to you?"
19,TICK,19,"I got ways, Lenny, I got ways."
20,TICK,20,"Okay, okay... I got a deal with some
a the paramedics.  My guy pages me
and I pick it up at the morgue.  So
whaddya think?  This clip's gotta be
worth at least a grand.  Right?"
21,LENNY,21,"Tick.  Not to dash your hopes, but I
don't deal this kind of product, you
know that.  I'll give you four for
it, cause I've gotta cut off the
last bit.  And my customers want
uncut."
22,TICK,22,"Fuck that!  The last part's the
best.  You dry-dive six stories and
blammo!  Jack right into the Big
Black."
23,LENNY,23,"I don't deal black-jack clips!  It's
policy.  I got ethics here."
24,TICK,24,"Yeah, when did that start?  Come on,
man!  It's what people want to see,
and you know it."
25,LENNY,25,So lay it off to somebody else.
26,TICK,26,"Come on, Lenny.  I got expenses.  I
got to get this rig fixed.  Look at
it..."
27,TICK,27,"Give me six at least.  This's a good
clip, here.  Gets you pumpin'."
28,LENNY,28,"Yeah, well, the first part's okay.
Better than the usual soaps you
bring me."
29,TICK,29,"Now that is cold, Lenny.  I always
bring you choice."
