,character,line #,line
0,ADDISON'S VOICE,0,"The Sarah Siddons Award for
Distinguished Achievement is
perhaps unknown to you. It has been
spared the sensational and
commercial publicity that attends
such questionable ""honors"" as the
Pulitzer Prize and those awards
presented annually by the film
society..."
1,ADDISON'S VOICE,1,"The distinguished looking gentleman
is an extremely old actor. Being an
actor - he will go on speaking for
some time. It is not important what
you hear what he says."
2,ADDISON'S VOICE,2,"However it is important that you
know where you are, and why you are
here. This is the dining room of
the Sarah Siddons Society.
The occasion is its annual banquet
and presentation of the highest
honor our Theater knows - the Sarah
Siddons Award for Distinguished
Achievement."
3,ADDISON'S VOICE,3,"These hollowed walls, indeed many
of these faces, have looked upon
Modjeska, Ada Rehan and Minnie
Fiske; Mansfield's voice filled the
room, Booth breathed this air. It
is unlikely that the windows have
been opened since his death."
4,ADDISON'S VOICE,4,"The minor awards, as you can see,
have already been presented. Minor
awards are for such as the writer
and director - since their function
is merely to construct a tower so
that the world can applaud a light
which flashes on top of it and no
brighter light has ever dazzled the
eye than Eve Harrington. Eve... but
more of Eve, later. All about Eve,
in fact."
5,ADDISON'S VOICE,5,"To those of you who do not read,
attend the Theater, listen to
uncensored radio programs or know
anything of the world in which we
live - it is perhaps necessary to
introduce myself. My name is
Addison deWitt.
My native habitat is the Theater -
in it I toil not, neither do I
spin. I am a critic and
commentator. I am essential to the
Theater - as ants are to a picnic,
as the ball weevil to a cotton
field..."
6,ADDISON'S VOICE,6,"This is Karen Richards. She is the
wife of a playwright, therefore of
the Theater by marriage. Nothing in
her background or breeding should
have brought her any closer the
stage than row E, center..."
7,ADDISON'S VOICE,7,"... however, during her senior year
in Radcliffe, Lloyd Richards
lectured on drama. The following
year Karen became Mrs. Lloyd
Richards. Lloyd is the author of
'Footsteps on the Ceiling' - the
play which has won for Eve
Harrington the Sarah Siddons
Award..."
8,ADDISON'S VOICE,8,"There are two types of theatrical
producers. One has a great many
wealthy friends who will risk a tax
deductible loss. This type is
interested in Art."
9,ADDISON'S VOICE,9,"The other is one to whom each
production mean potential ruin or
fortune. This type is out to make a
buck. Meet Max Fabian. He is the
producer of the play which has won
Eve Harrington the Sarah Siddons
Award..."
10,ADDISON'S VOICE,10,"Margo Channing is the Star of the
Theater. She made her first stage
appearance, at the age of four, in
'Midsummer Night's Dream'. She
played a fairy and entered - quite
unexpectedly - stark naked. She has
been a Star ever since."
11,ADDISON'S VOICE,11,"Margo is a great Star. A true Star.
She never was or will be anything
less or anything less...
(slight pause)
... the part for which Eve
Harrington is receiving the Sarah
Siddons Award was intended
originally for Margo Channing..."
12,ADDISON'S VOICE,12,"Having covered in tedious detail
not only the history of the Sarah
Siddons Society, but also the
history of acting since Thespis
first stepped out of the chorus
line - our distinguished chairman
has finally arrived at our reason
for being here..."
13,AGED ACTOR,13,"I have been proud and privileged to
have spent my life in the Theater -
""a poor player ... that struts and
frets his hour upon the stage"" -
and I have been honored to be, for
forty years, Chief Promoter of the
Sarah Siddons Society...
(he lifts the Sarah"
14,"Siddons Award from its
altar)",14,"Thirty-nine times have I placed in
deserving hands this highest honor
the Theater knows...
(he grows a bit arch, he"
15,uses his eyebrows),15,"Surely no actor is older than I - I
have earned my place out of the
sun...
(indulgent laughter)
... and never before has this Award
gone to anyone younger than its
recipient tonight. How fitting that
it should pass from my hands to
hers..."
16,AGED ACTOR,16,"Such young hands. Such a young
lady. Young in years, but whose
heart is as old as the Theater..."
17,AGED ACTOR,17,"Some of us a privileged to know
her. We have seen beyond the beauty
and artistry-"
18,AGED ACTOR,18,"-that have made her name resound
through the nation. We know her
humility. Her devotion, her loyalty
to her art."
19,AGED ACTOR,19,"Her love, her deep and abiding love
for us-"
