,character,line #,line
0,VOICE,0,"Wow. That's hard. I'd have to say
it's the day we launched Outpost
'98."
1,DIFFERENT VOICE (DARYL),1,It's the beverages.
2,DARYL,2,"Gary always makes sure we've got the
coolest stuff to drink."
3,DIFFERENT VOICE (DIANA),3,Knowing your work means something.
4,DIANA (V.O.),4,"Knowing everywhere in the world,
this is the software people use."
5,DIANA (V.O.),5,"20 years ago, Gary had an idea, that's
all he had. And now the company's
bigger than IBM."
6,VOICE (V.O.),6,It's the people. Which is weird.
7,MITCH,7,"Big companies are s'posed to be
impersonal."
8,MITCH (V.O.),8,"There's this myth that doing a start-
up is cooler. But there's no community
with a start-up. No permanence."
9,DONNY,9,"It bums me out when the media say
we're cultish, or whatever. Why?
'Cause we care about each other?"
10,MITCH,10,"'Love you too, bro."
11,VOICE (TERRY),11,I'll tell you what's not cool.
12,TERRY,12,How Gary gets this superbad rap.
13,TERRY (V.O.),13,"There's this prejudice against super-
smart people. People like Gary."
14,GARY,14,"A kid working in his garage can create
the next Outpost, the new IBM. All
it takes is a great idea."
15,GARY,15,"That's why nobody can have a monopoly
in a business built on ideas."
16,DIFFERENT VOICE (V.O.),16,"The coolest? Gary. He's like you or
me. If we happened t'be insanely
rich."
17,LARRY,17,Can we go?
18,VOICE (FROM THE FILM),18,For me? It's Seattle!
19,LARRY,19,'Starting to get nauseated.
20,BRIAN,20,Do you mind?
21,VOICE FROM THE MOVIE,21,Did anybody mention the beverages?
22,ALICE,22,Is it over?
23,LARRY,23,"They still have to give 'em
refreshments laced with mind-altering
drugs."
24,ALICE,24,You are a fanatic.
25,LARRY,25,'Gonna wait outside.
26,LARRY (AT FIRST O.S.),26,"Alice? You gotta make him do the
start-up with Teddy and me."
27,ALICE,27,"""Make"" him?"
28,LARRY,28,You know what I mean.
29,LARRY (V.O.),29,"I'm not exactly worldly, but I'm the
Secretary of State next to him."
30,LARRY (V.O.),30,"And they're all throwing this --
stuff at him. Stock options. Pay
packages."
31,LARRY,31,I'm just screwed.
32,ALICE,32,"You know what he's like. He just
wants to work on stuff that's cool."
33,LARRY,33,"You don't wanna move, do you?"
34,ALICE,34,I can paint anywhere.
35,ALICE,35,"I'd like to stay here, yeah. And I
kind of think he should be with Teddy."
36,ALICE (V.O.),36,"I mean, nobody else can follow what
they're talking about half the time."
37,MILO/TEDDY,37,"'Could be a condition-variable in
the locking code -- If it didn't seg
fault, first!"
38,ALICE,38,"Maybe you shouldn't push it so hard.
About Outpost. No offense, you sound
insane."
39,LARRY,39,"I can't help it. I feel like they'd
do anything to keep their --"
40,ALICE,40,"Anything? That's not even credible.
If he wants to go up there? To check
it out? I think you should encourage
him."
41,ALICE,41,"It's his life. But everybody's
treating him like this -- valuable
object. You're hurting your own case."
42,BRIAN,42,"He's my god. I hear he actually calls
recruits sometimes. Or is that an
Urban Legend?"
43,REDMOND,43,"Gary's running the biggest software
company in the world, Brian. He's
being harassed by the Justice
Department, and he's got a new baby."
44,DANNY,44,Milo? I'm Danny.
45,MILO,45,Oh hi.
46,DANNY,46,Gary would like to speak to you?
47,MILO,47,...Hello?
48,GARY (ON THE PHONE),48,"Milo? Gary Boyd. I'm hoping you and
your friend can come up here. We've
made some amazing strides in digital
convergence. I'd love to show them
to you."
49,MILO,49,You would? Wow. When would we come?
50,MILO,50,'Think he hung up.
51,ALICE,51,"But how does he know that's what you
guys're working on?"
52,MILO,52,"All the companies know. The faculties
tell 'em. At the target schools."
53,LARRY,53,"In exchange for endowments. They
should just drop the pretense and
name the schools after 'em."
54,BRIAN,54,I can't believe you refused a ticket!
55,TEDDY,55,"My parents're already freaked-out
I'm staying here. 50 miles from
Chinatown."
56,BRIAN,56,"Well maybe if you told 'em how much
money you'd be making --"
57,BRIAN,57,You're going up there. Right?
58,LARRY,58,I think you should go.
59,MILO,59,You do?
60,LARRY,60,"I mean, it's your life."
61,MILO,61,"I think I kind of lost it. I was
just so thrilled to be talking to
the richest, most powerful... 'Didn't
know I even cared about that stuff."
62,ALICE,62,"C'mon, how often do you talk to
somebody who's been on the cover of
Time. Three of four times."
63,MILO,63,"A lot of what Larry says is true.
They just clone stuff, or reverse
engineer it, and everybody gets stuck
with their inferior version cause
they --"
64,ALICE,64,Then you've gotta ask him about that.
65,ALICE,65,It's important.
66,MILO,66,"If he's really a bully, he won't cop
to it, anyway."
67,ALICE,67,"Bully? Are we talking about Gary
Boyd? Or your dad."
68,MILO,68,"When I was a kid? And he was moving
us all over the place? I spent all
my time writing stuff on Outpost
1.0. I thought Gary Boyd was the
greatest."
69,ALICE,69,"But he's not quite the same guy
anymore. Don't get your hopes too
high?"
70,DANNY,70,'Couldn't convince Teddy to come?
71,MILO,71,He's pretty tight with his family.
72,DANNY,72,We could move 'em up here.
73,MILO,73,"He just likes to write code. He's
bummed there's so much secrecy and
competition, everybody trying to own
everything."
74,REDMOND,74,"Who do you mean by ""everybody."""
