,character,line #,line
0,CHARLIE,0,"... It's crazy -- sugar is up to
200 dollars a ton -- sugar !"
1,LAWYER,1,What about oil ?
2,CHARLIE,2,"Food, oil --look, let me show you
something. This is the economy of
the United States in two years --"
3,CHARLIE,3,This is West Germany.
4,bigger circle),4,This is Japan.
5,bigger circle),5,This is Italy.
6,bigger circle),6,This is Iran.
7,bigger circle),7,"And this is Saudi Arabia... In
two years ?"
8,bigger circle),8,Do you understand ?
9,ACCOUNTANT,9,What's to prevent it ?
10,CHARLIE,10,"Maybe nothing. But I'll tell you,
I didn't build a two-billion-dollar
company in the last twenty years
by doing nothing. We can protect
our interests."
11,CHARLIE,11,"We are still the most powerful
nation in the world. Militarily."
12,CHARLIE,12,"You know bodyguard; he was a
captain in Viet Nam. You talk to
him, except he won't talk. This
kind of man can kill you with his
pinky. A nice quiet fella, though."
13,CHARLIE,13,"Carries a attache case at all
times. You know what's in it ?"
14,CHARLIE,14,An Ingram Machine pistol.
15,CHARLIE,15,CHARLIE					WILLARD (V.O.)
16,WILLARD (V.O.),16,"The attache case has been empty
for three years, but it makes him
safe to think there's a machine
pistol in it.
I don't like automatic weapons.
They jam.
I saw a friend of mine get
ripped open because he flicked his
M-16 to automatic, and it jammed.
How much money did the contractors
make on the M-16 ?"
17,WILLARD (V.O.),17,"He likes to hear stories about Nam.
I tell him I can't; they're not
cleared. The truth is he wouldn't
understand."
18,WILLARD (V.O.),18,"There's no way I can tell them...
what really happened over there.
I wouldn't've believed it if
someone'd told me."
19,WILLARD (V.O.),19,"There was only one part that
mattered -- for me, anyway. I
don't even know if I remember
all of it. I can't remember
how it ended, exactly -- because
when it ended I was insane."
20,WILLARD (V.O.),20,"But I know how it started
for me -- I was on R. and R.
in Saigon; my first time south
of the DMZ in three months. I
wasn't sure, but I thought this
guy was following me."
21,CAPTAIN,21,How about a drink ?
22,WILLARD,22,"Sure, thanks."
23,CAPTAIN,23,Winning the war by yourself.
24,WILLARD,24,Part.
25,CAPTAIN,25,Which part is that ?
26,WILLARD,26,My part.
27,WILLARD,27,"Beer, with ice and water."
28,CAPTAIN,28,That's good gin.
29,WILLARD,29,"I'm sure it is, but I had hepatitis."
30,CAPTAIN,30,Delta ?
31,WILLARD,31,No.
32,CAPTAIN,32,North ?
33,WILLARD,33,Yeah. Way north.
