,character,line #,line
0,LT,0,"How many times are you gonna miss
the bus? Huh? All the other kids can
get up in the morning, but you guys
wanna be driven around like the
fucking President. I'm your goddamn
chauffeur!"
1,TWINS,1,"Shit, man. It wasn't our fault! --
You think Sis is so perfect, well,
if she hadn't hogged the fucking
bathroom, maybe we -- I thought Aunt
Lu was dead! She was in there so
long..."
2,LT,2,Shut up! Listen!
3,TWIN,3,They're gonna win the Series in four!
4,LT,4,All the way with Strawberry!
5,TWINS,5,Strawberry!
6,LT,6,"Shit, man -- there's your fucking
bus I oughtta make you late! Make
the nuns whack the shit outa ya both."
7,LT,7,Get going.
8,BET COP,8,"Two Black kids came up out of nowhere
and shot those chicks. Then they
laughed as they walked away. The
Press is gonna call it the ""Giggling
Man Murders."" I'll tell ya. What a
world."
9,BET COP,9,"But hey -- we make the best of it,
man, don't we? Huh? How about them
Mets!"
10,LT,10,"No fucking way they're gonna do it
in four games straight."
11,COP ONE,11,"You serious, man? I wanna go Mets
all the way!"
12,LT,12,"Go ahead, man.If you've got shit for
brains. But if you wanna win the
bucks, go with Oakland."
13,COP TWO,13,I thought Strawberry was gonna --
14,LT,14,"I know that nigger like he's my
brother. He ain't gonna let us off
so easy. He'll make us sweat first.
This game's going to Oakland. Not a
doubt in my mind, man."
15,BET COP,15,I'm in. Here.
16,LT,16,"I got them all going for Oakland.
With bullshit money. We'll cover the
$800."
17,LITE,17,All right. What are you gonna do?
18,LT,18,I want 15 on the Mets.
19,LITE,19,How about 7 1/2?
20,LT,20,"Hey, man. Don't give me that bullshit.
Don't pussy-out on me. The Mets are
a fucking lock. I wanna make some
money."
21,LITE,21,Are you sure?
22,LT,22,Yeah. I'm sure.
23,BUSINESSMAN,23,Police! Police! Help me! Police!
24,LT,24,"Hey, man, gimme something cooked!"
25,LT,25,"It's good shit. From when they busted
those Columbians uptown. You can cut
it in half."
26,LT,26,"I got this guy. But there's someone
across the street on the roof!"
27,JC,27,"That stuff'll kill you quick, man."
28,LT,28,"What the fuck are you? A drug
counselor or a drug dealer? And you
don't even do your own product! What
kind of businessman are you?"
29,JC,29,The rich kind.
30,JC,30,"Jeez, man. The way you smoke that
shit is suicide."
31,LT,31,Fuck you.
32,LT,32,"Just give me back a little something
for the road."
33,JC,33,"See you in a coupla days. Have the
cash ready."
34,ARIANE,34,Got something good for us?
35,ARIANE,35,"I'm gonna need some bread, man. This
ain't fair. I'm always here for you,
and you can't even take decent care
of me. My landlord is bitching like
a motherfucker! You're two months
behind on the rent, Lieutenant!"
36,LT,36,"Didya ever think of moving to a
cheaper apartment? $3,500 a month is
crazy, man!"
37,ARIANE,37,"It's nothing. This is New York, man..."
38,ARIANE,38,"Oh -- I forgot. Bowtay needs some
cash to buy her new acting headshots
out of the developers. It's a good
investment, man. She could make
serious money!"
39,ARIANE,39,"We've been rehearsing a new monologue.
From Shad's Saint Joan, you know?
Bowtay does it wonderfully well."
40,LT,40,"All right, Bowtay. Show us your stuff."
41,ARIANE,41,There's nothing!
42,ARIANE,42,Go out and get some Diet Cokes.
43,LT,43,What's going on?
44,COP,44,"Uh, Lieutenant, Sir -- The owner
says they stole cash from the
register. He was chasing them down
the block when I caught up with them."
45,YOUNG BLACK KID,45,"We didn't do nothing, man !"
46,LT,46,Shut the fuck up!
47,LT,47,"Go get me a Bud. A High Boy. And
make sure it's fucking cold."
48,LT,48,I'll straighten this out.
49,LT,49,How much did they take?
50,KOREAN OWNER,50,Five hundred dollars cash.
51,YOUNG BLACK KID,51,We didn't --
52,LT,52,"Take this guy down to the Precinct.
I need to talk to him."
53,LT,53,Gimme the money! Now!
54,YOUNG BLACK KID,54,"We told you, man. We didn't take no --"
55,LT,55,"Give me the fucking money, assholes!"
56,LT,56,"What the fuck are ya standing there
for? Be gone!"
57,LT,57,"Take over until your boss gets back.
Gimme a 6 of Diet Cokes and a 6 of
Budweiser."
58,ARIANE,58,"I got you a present. Better shit
then you got, cop!"
59,LT,59,"Brown Downtown... There hasn't been
any smoking brown on the street in --"
60,ARIANE,60,"Who said anything about the fucking
street. I've got more connects than
you have, Lieutenant..."
61,LT,61,Did I win? Shit! The game!
62,LT,62,"What's the score? What's the fucking
score?"
63,ANCIENT AUNT,63,I dunno...
64,LT,64,"Why me, man?"
65,LT,65,Shut the fuck up! Did you see that?
66,TWINS,66,It's 7-0: Oakland.
67,TWINS,67,"That nigger could have let it drop
and gone home."
68,LT,68,"Hey, Veronica baby, looking good!
What's going down?"
69,VERONICA,69,Willie got shot by one of his boys.
70,VERONICA,70,But there's a ki under the back seat.
71,LT,71,I'll put it in my trunk.
72,LT,72,I guess he was a bigtime dealer...
73,LT,73,What d'ya know... A kilo of 'caine...
74,SERGEANT,74,Where the fuck did that come from?
75,LT,75,I can't fucking believe it...
76,COP A,76,"But I still can't fucking believe
they'd rape a nun, man..."
77,LT,77,"What's this shit about a nun getting
raped?"
78,COP B,78,"Where the fuck have you been? It
happened this morning, up at St.
Dominiek's in Spanish Harlem. A coupla
punks tore up the place and then
gave it to the nuns but good."
79,LT,79,What's going on?
80,FIRST COP,80,"They raped a nun and tore up the
church -- they even took a crap on
the altar. Up in Spanish Harlem."
81,SECOND COP,81,She was only seventeen...
82,FIRST COP,82,Who the fuck could do this?!
83,OLD IRISH COP,83,"The young nun's just a kid from
Ireland. Imagine having to come here
to have that happen!"
84,SECOND COP,84,"Jesus... What's she gonna tell her
mother?"
85,OLD IRISH COP,85,I'm gonna kill those motherfuckers.
86,THIRD COP,86,"The Church already put up a $50,000
reward!"
87,FIRST COP,87,"Well, one of us is gonna get it. I
mean -- get them."
88,FIRST COP,88,Here's to payback for the nuns!
89,SECOND COP,89,"Anyone got any leads, at all?"
90,FIRST COP,90,"We got shit to go on. Only that list
of inventory -- what they stole from
the church."
91,THIRD COP,91,"Y'know they actually stole those
wacky purple robes? And they took
the chalice -- with the Host still
inside!"
92,SECOND COP,92,What did they want with the Host?
93,THIRD COP,93,"They were hungry. I dunno. They didn't
want to hock the Host, they wanted
to hock that golden chalice."
94,LT,94,"Leave it to the Catholic Church,
man. Girls get raped everyday, and
now they're gonna pay 50 G just
because these chicks wore penguin
suits!"
95,OLD IRISH COP,95,What's your fucking problem?!
96,LT,96,The Church is a racket.
97,OLD IRISH COP,97,So what. Are you a Catholic?
98,LT,98,Sure!
99,OLD IRISH COP,99,Do you believe in God?
100,BET COP,100,"To Hell with this God stuff. How's
that Strawberry? He does what ever
you want him to, huh Lieutenant?
Even strike out!"
101,BET COP,101,"I bet you won a shitload on Oakland.
How much, huh?"
102,LT,102,More than you did.
103,GAMBLER COP TWO,103,"Well, let's see some green!"
104,LT,104,"If you know what's good for you,
you'll keep staying on Oakland!"
105,BET COP,105,Oakland? Is that how you're going?
106,LT,106,"Yeah. Sure. Don't you get it? The
series has gotta last seven games.
The last two did, didn't they? It's
a racket. Do you have any idea how
much money they make selling
television-time for commercials during
the series? Especially if it's a New
York team? They won't close the gold
mine after only four games. It'll
last a full seven. Too many people
wanna milk it for what it's worth.
You'll see!"
107,BET COP,107,"All right... I'm in. After all, you're
the expert. Ain't that right, LT?"
108,LT,108,"You'll be sorry, man. But if you
wanna be a sissy, here's your bread."
109,COP ONE,109,"Strawberry? I thought we were going
with Oakland."
110,LT,110,"We are, man! That's the point! If
the Mets win, it's thanks to
Strawberry. If Oakland wins, it's
thanks to Strawberry. Nothing can
happen out there on the field that
don't gotta do with Strawberry. So
here's to Strawberry!"
111,NURSE,111,Can I help you?
112,LT,112,"I'm in charge of the investigation.
Just checking security."
113,NURSE,113,Security?
114,LT,114,"Do you want those guys coming back?
For the nun? Or for you?"
115,DOCTOR,115,"They inserted a crucifix eleven
centimeters into her vaginal aperture,
breaking the hymen membrane. Then
they pursued the same course with
their natural organs of sexual
penetration. They used a sharp object,
probably a hunting knife with a curved
blade, to carve a cross between her
shoulder blades, entering the flesh
an average of nearly one centimeter
throughout the area of the wound.
They --"
116,LT,116,"Have you ever seen a naked nun? I
tell you, man, I went to school with
the nuns, I've seen hundreds since
then and I've never even seen a nun's
belly button, you understand? But
this nun, let me tell you. What a
beautiful lady..."
117,LT,117,"And where'd the Church get the 50 G
in the first place? The fucking Church
is the biggest scam going. You know
what's the real killer? It costs
$8,000 per kid for them to go to
parochial school. I've got three
kids in there already, with two on
the way! Christ. That fucking reward
is my money, man! But that's Church
policy. The Pope is the world's
biggest bookie. Makes people bet on
their own salvation! Double or nothing
on Heaven. You go to Hell -- then go
to Hell. In the beginning was the
Word, and the Word was bullshit."
