,id,character,line #,line
0,1969,SON,0,Baba?
1,1970,FATHER,1,"Yes, my son?"
2,1971,SON,2,Tell me a story .
3,1972,FATHER,3,Which one?
4,1973,SON,4,The story of home .
5,1974,FATHER,5,"Millions of years ago , a meteorite
made of vibranium, the strongest
substance in the universe struck
the continent of Africa affecting
the plant life around it."
6,1975,FATHER (CONT'D),6,"And when the time of man came , five
tribes settled on it and called it
Wakanda. The tribes lived in
constant war with each other until
a warrior shaman received a vision
from the Panther goddess Bast who
led him to the Heart Shaped Herb, a
plant that granted him super human
strength , speed, and instincts."
7,1976,FATHER (CONT'D),7,"The warrior became King and the
first Black Panther , the protector
of Wakanda ."
8,1977,(MORE),8,2.
9,1978,FATHER (CONT'D),9,"Four tribes agreed to live under
the King's rule , but the Jabari
tribe isolated themselves in the
mountains."
10,1979,FATHER (CONT'D),10,"The Wakandans used vibranium to
develop technology more advanced
than any other nation , but as
Wakanda thrived the world around it
descended further into chaos."
11,1980,FATHER (CONT'D),11,"To keep vibranium safe , the
Wakandans vowed to hide in plain
sight, keeping the truth of their
power from the outside world."
12,1981,SON,12,And we still hide Baba?
13,1982,FATHER,13,Yes .
14,1983,SON,14,Why?
15,1984,SON,15,"COMPLEX, OAKLAND NIGHT - 1992"
16,1985,SON,16,3.
17,1986,N'JOBU,17,"Hey look , if we get in and out
quick won't be any worries . You in
the van come in through from the
west , come around the corner, land
right here. Me and the twins
pulling up right here , we leavin'
this car behind , ok? We corning ..."
18,1987,N'JOBU (CONT'D),18,Hide the straps.
19,1988,JAMES,19,Is it the Feds?
20,1989,N'JOBU,20,No.
21,1990,JAMES,21,"It's two Grace Jones looking
chicks ·.. they're holding spears . . ."
22,1991,N'JOBU,22,Open it.
23,1992,JAMES,23,You serious?
24,1993,N'JOBU,24,They won't knock again .
25,1994,"DORAMILAJE 1 (SUBTITLE)
(IN XHOSA)",25,Who are you?
26,1995,N'JOBU,26,"Prince N'Jobu , son of Azzuri .
4."
27,1996,"DORAMILAJE 1
(IN XHOSA)",27,Prove to me you are one of us .
28,1997,"N'JOBU
(IN XHOSA)",28,My King . ..
29,1998,YOUNG T'CHAKA,29,Leave us .
30,1999,N'JOBU,30,"This is James . I trust him with my
life . He stays , with your
permission , King T'Chaka ."
31,2000,N'JOBU,31,YOUNG ' CHAKA
32,2001,T,32,As yo u wish . At ease .·.
33,2002,T,33,YOUNG ' CHAKA(CONT'D)
34,2003,"T
(IN XHOSA)",34,Come baby brother .
35,2004,(IN ENGLISH),35,Le t me see how you're holding up .
36,2005,(IN ENGLISH),36,"YOUNG T'CHAKA (CONT D)
You look strong .
5."
37,2006,N'JOBU,37,"Glory to Bast . I am in good health.
How is home?"
38,2007,YOUNG T'CHAKA,38,"Not so good , baby brother. There
has been an attack."
39,2008,YOUNG T'CHAKA,39,", project a hologram image of"
40,2009,YOUNG T'CHAKA,40,"YOUNG T'CHAKA (CONT'D)
This man , Ulysses Klaue , stole a
quarter ton of vibraniurn from us
and triggered a bomb at the border
to escape . Many lives were lost . He
knew where we hid the vibranium,
and how to strike ."
41,2010,YOUNG T'CHAKA,41,"YOUNG T'CHAKA (CONT'D)
He had someone on the inside."
42,2011,N'JOBU,42,Why are you here?
43,2012,YOUNGT'CHAKA,43,"Because I want you look me in the
eyes and tell me why you betrayed
Wakanda ."
44,2013,N' JOBU,44,I did no such thing .
45,2014,N' JOBU,45,YOUNG CHAKA(SUBTITLE)
46,2015,"T'
(IN XHOSA)",46,Tell him who you are.
47,2016,JAMES,47,"Zuri, Son of Badu ."
48,2017,N'JOBU,48,"What?
6."
