,character,line #,line
0,NURSE #1,0,She's not breathing!
1,SENIOR RESIDENT,1,Intubate her!
2,RESIDENT,2,Blood-pressure's forty and falling --
3,SENIOR RESIDENT,3,"Jesus, her water's broken --"
4,SENIOR RESIDENT,4,She's going into uterine contractions --
5,DENNIS,5,So where we going?
6,RAQUEL,6,It's a surprise.
7,DENNIS,7,I likes surprises.
8,RAQUEL,8,"What do you have down there, little
man?"
9,DENNIS,9,Heat-seeker.
10,RAQUEL,10,I'll bet.
11,DENNIS,11,What the fuck are we doing here?
12,DENNIS,12,"Fuck, I need a drink!!!"
13,RAQUEL,13,"What's wrong, baby?"
14,BLADE,14,Where is Deacon Frost?
15,BLADE,15,Got something in your throat.
16,QUINN,16,"Fuck you, Day-walker, I ain't saying
shit --"
17,BLADE,17,Frost.
18,QUINN,18,"You won't stop him, Blade. The Tide's
rising, the Sleeper's gonna --"
19,DENNIS,19,Please don't --
20,ASSISTANT,20,"Brought you a baked potato, nice
and crispy. Still warm, too."
21,CURTIS,21,"Jesus, that's rank --"
22,CURTIS,22,What's his story?
23,ASSISTANT,23,"Paramedics said he was still screaming
when they found him. Looks like some
joker had stapled him to a wall."
24,CURTIS,24,Pretty.
25,KAREN,25,You took this off a DOA?
26,KAREN,26,This isn't human blood.
27,CURTIS,27,Then what is it?
28,KAREN,28,I don't know --
29,KAREN,29,Look at this blood smear --
30,KAREN,30,"The red blood cells are biconvex,
which is theoretically impossible.
They're hypochromic, there's virtually
no hemoglobin in them."
31,KAREN,31,"Look at the PMNs, they're binucleated,
they should be mononucleated."
32,CURTIS,32,What about the chemistry panel?
33,JULIE,33,"Blood sugar level is three times the
norm, phosphorous and uric acid are
off the scales."
34,JULIE,34,"Like the woman said, impossible."
35,KAREN,35,"Curtis, it's three in the morning. I'm
really not in the mood for one of your
practical jokes."
36,CURTIS,36,"It's not a joke. I've got the stiff
sitting in the morgue right now --
look, just come up and see him, okay?
Five minutes, that's all I ask."
37,KAREN,37,"I thought you promised to give me some
distance?"
38,CURTIS,38,"This is purely professional curiosity,
Karen, I swear."
39,KAREN,39,"Five minutes, not a second more. And I
don't want to hear a word about ""us""."
40,CURTIS,40,No problem.
41,KAREN,41,"You haven't started in on the internal
organs?"
42,CURTIS,42,"Just the blood sample from the
pericardial sac."
43,CURTIS,43,That's weird --
44,KAREN,44,What?
45,CURTIS,45,"He looks different now, burns are less
extreme, some of these wounds have
closed up --"
46,CURTIS,46,"Tell me something, honestly, you ever
have second thoughts about us?"
47,KAREN,47,Sometimes --
48,KAREN,48,"-- but then I remember what an
ass-hole you were and I'm snapped back
to reality."
49,CURTIS,49,"Jesus, Karen, you're breaking my heart
here --"
50,QUINN,50,-- more -- blood --
51,BLADE,51,Now don't we look dapper?
52,UNIFORM #1,52,"Hold it, ass-hole!"
53,UNIFORM #1,53,I said hold it!!!
