,character,line #,line
0,LEON,0,Okay if I talk?
1,LEON,1,"I kinda get nervous when I
take tests."
2,HOLDEN,2,Don't move.
3,LEON,3,Sorry.
4,LEON,4,"Already had I.Q. test this year --
but I don't think I never had a..."
5,HOLDEN,5,"Reaction time is a factor in this,
so please pay attention.  Answer
quickly as you can."
6,HOLDEN,6,"You're in a desert, walking along
in the sand when all of a sudden
you look down and see a..."
7,LEON,7,What one?
8,HOLDEN,8,What?
9,LEON,9,What desert?
10,HOLDEN,10,"Doesn't make any difference what
desert -- it's completely
hypothetical."
11,LEON,11,But how come I'd be there?
12,HOLDEN,12,"Maybe you're fed up, maybe you
want to be by yourself -- who
knows.  So you look down and
see a tortoise.  It's crawling
towards you..."
13,LEON,13,A tortoise.  What's that?
14,HOLDEN,14,Know what a turtle is?
15,LEON,15,Of course.
16,HOLDEN,16,Same thing.
17,LEON,17,I never seen a turtle.
18,LEON,18,But I understand what you mean.
19,HOLDEN,19,"You reach down and flip the
tortoise over on its back, Leon."
20,LEON,20,"You make these questions, Mr.
Holden, or they write 'em down
for you?"
21,HOLDEN,21,"The tortoise lays on its back,
its belly baking in the hot sun,
beating its legs trying to turn
itself over.  But it can't.  Not
without your help.  But you're
not helping."
22,LEON,22,"Whatcha mean, I'm not helping?"
23,HOLDEN,23,"I mean you're not helping!
Why is that, Leon?"
24,DECKARD (V.O.),24,"It was 97 degrees in the city and
no hope of improvement.  Not bad
if you're a lizard.  But two hours
earlier I was drinking Acquavit
with an Eskimo lady in North East
Alaska.  That's a tough change to
make.  It was so good, I didn't
want to leave, so I left a day
early."
25,DECKARD,25,"Contact.  This is Blade Runner One
calling Com-fast 27."
26,VOICE,26,"Blade Runner One, stand by please."
27,VOICE,27,Deckard.
28,DECKARD,28,"Yah, Gaff."
29,GAFF (VOICE),29,Where the hell you been?
30,DECKARD,30,"You know where I been.  I been on
vacation."
31,GAFF,31,"Next time you go on vacation,
do me a favor, let us know where
it is."
32,DECKARD,32,What's up?
33,GAFF,33,Holden got hit.
34,DECKARD,34,Bad?
35,GAFF,35,"Severed spine.  You'd better get
in here.  Bryant's waiting for you."
36,DECKARD,36,I'll see you in a minute.
37,DECKARD (V.O.),37,"I-X-4-P-D referred to as a Nexus-6,
The Tyrell Corporation's new pride
and joy.  Holden was administering
the Voight-Kampff test when one
nailed him."
38,DECKARD (V.O.),38,"The Nexus-6 must be fast because
Holden was as quick as they come.
The report said there were six of
them.  Three males and three female.
Led by a combat model called Roy
Batty."
39,DECKARD (V.O.),39,"They escaped from the colonies
two weeks ago.  Killed twenty-
three people and jumped a shuttle.
An aerial patrol found the ship
in the desert.  No crew."
40,DECKARD (V.O.),40,"Bryant's got a liver problem.  A
couple years back he handed me a
bottle and said have a drink for
another man.  I been drinking
for him ever since."
41,DECKARD,41,"Six, huh?"
42,BRYANT,42,"Five.  Three nights ago one of
them managed to break into the
Tyrell Corporation.  Killed two
guards and got as far as the
Genetic Sector before he got
fried going through an electro-
field."
43,DECKARD,43,What was he after?
44,BRYANT,44,"There wasn't much left of him,
so we can't be sure.  But bio-
chemical data and morphology records
of the Nexus-6 were reported
missing.  Going on the possibility
they might try to infiltrate we
send Holden in to run Voight-Kampff
tests on the new employees.  Guess
he found himself one."
45,DECKARD,45,You got a machine on it yet?
46,BRYANT,46,"We're using Esper -- a 231 -- that
picked up Holden's alarm.  Its
guess is that all five are in
the city."
47,DECKARD,47,Where do we start?
48,BRYANT,48,"The Tyrell Corporation has a
demo model.  Check it out on the
Voight-Kampff.  There's a chance
the Nexus-6 is beyond out ability
to detect.  If that's the case,
everybody's up shit creek."
49,DECKARD,49,"What was the cover on the one that
got Holden?"
50,BRYANT,50,Industrial refuse.
51,DECKARD,51,Garbage man?
