,character,line #,line
0,SAILOR #1,0,"-- Jesus, look at him --"
1,SAILOR #2,1,"-- what? -- you never saw a dead man
before? --"
2,SAILOR #3,2,"-- look, look he was shot --"
3,SAILOR #1,3,"-- don't, don't do that --"
4,SAILOR #2,4,"-- he's dead, you think he cares? --"
5,SAILOR #1,5,-- so have some respect -- it's a --
6,GIANCARLO,6,"-- it's here -- hang on -- it's here
somewhere -- give me a minute -- get
some blankets -- get some blankets
on him --"
7,GIANCARLO,7,-- here we go -- here it is --
8,THE CAPTAIN,8,Giancarlo.
9,THE CAPTAIN,9,"We pick him up? Okay, we have to
pick him up. But that's as far as it
goes."
10,GIANCARLO,10,He needs a doctor.
11,CAPTAIN,11,"Fuck that. He lives? He dies? I don't
care. We've wasted two hours on this
shit already. You do what you can,
but we're not going back."
12,CAPTAIN,12,You understand me?
13,GIANCARLO,13,"Yes, sir."
14,CAPTAIN,14,Let's get back to work!
15,GIANCARLO,15,You're awake. Can you hear me?
16,GIANCARLO,16,"You've been shot. I'm trying to help
you."
17,GIANCARLO,17,"You were in the water. You've been
shot. It's okay now."
18,THE MAN,18,Where am I?
19,GIANCARLO,19,"You're American. I thought so. From
your teeth -- the dental work --"
20,THE MAN,20,Where am I?
21,GIANCARLO,21,"You're on a boat. A fishing boat.
Italian flag. We're out of Vietri."
22,GIANCARLO,22,"It's the cold that saved you. The
water. The wounds are clean. I'm not
a doctor, but the wounds, it looks
okay. It's clean."
23,THE MAN,23,How did I get here?
24,GIANCARLO,24,"You we're lost at sea. They pulled
you out."
25,GIANCARLO,25,Who are you?
26,GIANCARLO,26,"You were shot -- two bullets -- in
the back. You understand me?"
27,GIANCARLO,27,Who are you?
28,THE MAN,28,I don't know.
29,THE MAN,29,What if it doesn't come back?
30,GIANCARLO,30,I told you. You need to rest.
31,THE MAN,31,"I can read. I can read that sign on
the door. I can count. I can talk..."
32,THE MAN,32,What are you doing?
33,THE MAN,33,What is that?
34,GIANCARLO,34,"It came from your hip. Under the
skin."
35,GIANCARLO,35,You have a bank in Zurich.
36,GIANCARLO,36,You remember Zurich?
37,THE MAN,37,No.
38,GIANCARLO,38,"Look, I'm just on this boat, okay?
I'm an engineer. Whatever this is,
it's not for me to be involved, okay?"
39,THE MAN,39,I don't remember Zurich.
40,GIANCARLO,40,You drink rum?
41,THE MAN,41,I don't know.
42,THE MAN,42,"I don't know who I am. Do you know
who I am? Do have any idea who I am?"
43,THE MAN,43,"Tell me who I am. If you know who I
am, please stop fucking around and
tell me."
44,GIANCARLO,44,"It's not much, but it should get you
to Switzerland."
45,THE MAN,45,I won't forget this.
46,TICKET AGENT,46,Una sola via?
47,THE MAN,47,Si. One way. Una sola via.
48,WOMBOSI,48,"...no, no, no -- the time is not
right, my enemies are too strong.
I'm telling you to wait for this,
you understand? I'm telling you this,
and I'm making a warning to all those
peoples out there that think that my
powers have become so weak that they
can play with me as they wish. You
will see -- I will tell you when the
evidence is clear. Then you will
have a story. My old friends will
hear about themselves."
49,MARSHALL,49,"That's Nykwana Wombosi speaking in
Paris the day before yesterday. I'm
sure most of you have a passing
knowledge of Mr. Wombosi. Some of
you on the African desks have worked
with him over the years. Some of you
very closely..."
50,MARSHALL,50,"...He was an irritation before he
took power. He was a problem when he
was in power. And he's been a disaster
for us in exile."
51,MARSHALL,51,"Wombosi likes to send us messages
through the European media. This is
an interview we pulled down from a
local German television station in
Dresden. We've been getting these
little broadsides every couple of
months. He knows this -- he knows
that -- he's writing a book about
the Agency's history in Africa --
he's going to name names. It's
basically a shakedown..."
52,MARSHALL,52,"This interview -- and I'll make the
tape available for anyone who wants
it -- he goes on to claim that he
has just survived an assassination
attempt. He says it's us. He says
he's got proof."
53,MARSHALL,53,"The overwhelming negative
ramifications of this should be
obvious."
54,MARSHALL,54,"The Director wants to know if there
is any possible shred of truth in
this accusation."
55,ZURICH COP #1 (O.S.),55,Can't you read the signs?
56,ZURICH COP #2,56,On your feet. Let's go. Right now.
57,ZURICH COP #1,57,"The park is closed. There's no
sleeping in the park."
58,ZURICH COP #2,58,Let's see some identification.
59,ZURICH COP #1,59,Come on. Your papers. Let's go.
60,THE MAN,60,I've lost them. I've...
