,character,line #,line
0,ACE (V.O.),0,"When you love someone, you've gotta
trust them. There's no other way.
You've got to give them the key to
everything that's yours.  Otherwise,
what's the point? And, for a while...
I believed that's the kind of love I
had."
1,ACE (V.O.),1,"Before I ever ran a casino or got
myself blown up, Ace Rothstein was a
hell of a handicapper, I can tell
you that. I was so good, that whenever
I bet, I could change the odds for
every bookmaker in the country. I'm
serious. I had it down so cold that
I was given paradise on earth. I was
given one of the biggest casinos in
Las Vegas to run, the Tangiers..."
2,ACE (V.O.),2,"...by the only kind of guys that can
actually get you that kind of money:
sixty-two million, seven-hundred
thousand dollars. I don't know all
the details."
3,NICKY (V.O.),3,Matter of fact...
4,NICKY (V.O.),4,"...nobody knew all the details, but
it should'a been perfect. I mean, he
had me, Nicky Santoro, his best
friend, watching his ass..."
5,NICKY (V.O.),5,"...and he had Ginger, the woman he
loved, on his arm.  But in the end..."
6,NICKY (V.O.),6,"...we fucked it all up. It should'a
been so sweet, too.  But it turned
out to be the last time that street
guys like us were ever given anything
that fuckin' valuable again."
7,ACE (V.O.),7,"At that time, Vegas was a place where
millions of suckers flew in every
year on their own nickel, and left
behind about a billion dollars. But
at night, you couldn't see the desert
that surrounds Las Vegas..."
8,ACE (V.O.),8,"But it's in the desert where lots of
the town's problems are solved."
9,NICKY (V.O.),9,"Got a lot of holes in the desert,
and a lot of problems are buried in
those holes. Except you gotta do it
right. I mean, you gotta have the
hole already dug before you show up
with a package in the trunk.
Otherwise you're talkin' about a
half-hour or forty-five minutes of
diggin'. And who knows who's gonna
be comin' along in that time? Before
you know it, you gotta dig a few
more holes. You could be there all
fuckin' night."
10,ACE (V.O.),10,"Who could resist? Anywhere else in
the country, I was a bookie, a
gambler, always lookin' over my
shoulder, hassled by cops, day and
night. But here, I'm 'Mr Sam
Rothstein'. I'm not only legitimate,
but running a casino. And that's
like selling dreams for cash."
11,ACE (V.O.),11,"I hired an old casino pal, Billy
Sherbert, as my manager and I went
to work."
12,SHERBERT,12,"...And this is Ronnie, who takes
care of the card room..."
13,ACE (V.O.),13,"For guys like me, Las Vegas washes
away your sins. It's a morality car
wash. It does for us what Lourdes
does for humpbacks and cripples.
And, along with making us legit..."
14,ACE (V.O.),14,"...comes cash. Tons of it. I mean,
what do you think we're doing out
here in the middle of the desert?
It's all this money. This is the end
result of all the bright lights and
the comped trips, of all the champagne
and free hotel suites, and all the
broads and all the booze. It's all
been arranged just for us to get
your money. That's the truth about
Las Vegas."
15,ACE (V.O.),15,"We're the only winners. The players
don't stand a chance. And their cash
flows from the tables to our boxes
...through the cage and into the
most sacred room in the casino ...the
place where they add up all the money
...the holy of holies ...the count
room."
16,ACE (V.O.),16,Now this place was off limits.
17,COUNTER #1,17,Verify two thousand.
18,ACE (V.O.),18,"Even I couldn't get inside, but it
was my job to keep it filled with
cash. That's for sure."
19,NICKY (V.O.),19,"They had so much fuckin' money in
there, you could build a house out
of stacks of $100 bills. And the
best part was that upstairs, the
board of directors didn't know what
the fuck was going on."
20,COUNTER #2,20,Five thousand.
21,NICKY (V.O.),21,"I mean, to them everything looked on
the up and up. Right? Wrong."
22,COUNTER #1,22,Verify five thousand.
23,NICKY (V.O.),23,The guys inside the counting room...
24,COUNT ROOM EXEC,24,Five thousand.
25,NICKY (V.O.),25,"...were all slipped in there to skim
the joint dry.  They'd do short
counts, they'd lose fill slips. They'd
even take cash right out of the drop
boxes. And it was up to this guy
right here [NANCE], standin' in front
of about two million dollars, to
skim the cash off the top without
anybody gettin' wise ...the IRS or
anybody."
26,COUNTER #1,26,Verify two hundred.
27,NICKY (V.O.),27,"Now, notice how in the count room
nobody ever seems to see anything.
Somehow, somebody's always lookin'
the other way. Now, look at these
guys [COUNTERS]. They look busy,
right?  They're countin' money. Who
wants to bother them? I mean, God
forbid they should make a mistake
and forget to steal. Meanwhile, you're
in and you're out."
28,NICKY,28,"Past the jag-off guard who gets an
extra c-note a week just to watch
the door.  I mean, it's routine.
Business as usual: in, out, hello,
goodbye. And that's all there is to
it. Just another fat fuck walkin'
out of the casino with a suitcase.
Now, that suitcase was goin' straight
to one place: right to Kansas City
...which was as close to Las Vegas
as the Midwest bosses could go without
gettin' themselves arrested."
29,NICKY (V.O.),29,"That suitcase was all the bosses
ever wanted ...and they wanted it
every month."
30,PISCANO,30,"Hey, John, how are you? How was your
ride?"
31,NICKY (V.O.),31,Now this old Mormon fuck here...
32,NICKY (V.O.),32,"...he had to fly in with suitcases
once a month, nice and easy."
33,NANCE,33,Somethin' smells good.
34,PISCANO,34,"Yeah, they made us somethin' to eat."
35,NICKY (V.O.),35,"The bosses would come from all over
the place: Detroit, Cleveland,
Milwaukee. All over the Midwest.
And they would meet in the back of
this produce market in Kansas City.
I mean, nobody even knew."
36,NICKY (V.O.),36,"One of the guys made his mother do
all the cooking."
37,BORELLI,37,"Did you ever see that guy Jerry
Steriano?"
38,FORLANO,38,Jerry Steriano?
39,BORELLI,39,Yeah.
40,NICKY (V.O.),40,"Now, these old greaseballs might not
look it, but believe me, these are
the guys who secretly controlled Las
Vegas."
41,PISCANO'S MOTHER,41,That man's here again.
42,NICKY (V.O.),42,"Because they controlled the Teamsters'
Union, and that's where you had to
go if you wanted to borrow money to
buy a casino."
43,BORELLI (O.S.),43,"When you've finished with him, I
want him."
44,PISCANO'S MOTHER,44,"Here you are, gentlemen."
45,NICKY (V.O.),45,"And nobody got a Teamsters' loan,
unless the guys in this room knew
they were gonna get their little
suitcases."
46,NICKY (V.O.),46,"Guys like this antique here [FORLANO],
out of Detroit. Or especially guys
like Remo Gaggi, the outfit's top
boss."
47,GAGGI,47,You got a round figure on it?
48,NICKY (V.O.),48,"Definitely the most important guy in
this room."
49,NANCE,49,About twenty pounds.
50,GAGGI,50,So?
51,NANCE,51,That's around seven hundred thousand.
52,GAGGI,52,"Uh-huh, good."
53,ANDY STONE,53,"I know it's a little early for Las
Vegas..."
54,STONE (O.S.),54,"...but I do want to welcome the ladies
and gentlemen of the gaming industry."
55,ACE (V.O.),55,"As far as the world was concerned
Andy Stone, the head of the Teamsters'
Pension Fund, was a legitimate guy."
56,STONE,56,This is a very auspicious occasion.
57,ACE (V.O.),57,A powerful man.
58,STONE,58,"Philip, if you would rise."
59,ACE (V.O.),59,"He even played golf with the
President."
60,STONE,60,"On behalf of the Teamsters' Pension
Fund, it is my pleasure to present
to you . . ."
61,ACE (V.O.),61,"But Andy also took orders. And when
he was told to give a pension fund
loan to Philip Green..."
62,STONE,62,"...this check for $62,700,000 for
the new Tangiers."
63,GREEN,63,Thank you.
64,ACE (V.O.),64,...he did what he was told.
65,NICKY (V.O.),65,"Now here was the perfect front man.
I mean, what the fuck else could he
be?  He didn't know too much. He
didn't want to know too much,
especially that the bosses made the
Teamsters lend him the money. He
wanted to believe the Teamsters gave
him all that fuckin' money 'cause he
was smart."
66,GREEN,66,"...I say that, knowing full well
just how much competition we have in
this great city."
67,NICKY (V.O.),67,"And where they got Green from - who
the fuck knows?  All I know is that
Green was an Arizona real estate
hustler, who barely had enough gas
money to come and pick up his own
fuckin' check..."
68,NICKY (V.O.),68,"Now, all they needed was somebody
they could trust to run the casino.
And who better than Ace?  I mean, he
was already in Vegas a couple of
years and he had the fuckin' place
clocked."
69,NICKY (V.O.),69,But typical Ace...
70,NICKY (V.O.),70,"...give him a shot at runnin' a casino
and he tries to talk you out of it."
71,ACE,71,"You know, I don't know if I could do
this even if I wanted to. The Gaming
Commission would never give me a
license. I have at least two dozen
gambling and bookmaking pinches on
me."
72,STONE,72,"You don't have to have a license to
work in a casino. All you gotta do
is apply for one. The state law says
you can work in a casino while they're
processing your application. They
got a ten-year backlog."
73,ACE,73,"But what happens when they do find
out?"
74,STONE,74,"Why would they want to find out?
We're puttin' a hundred million into
this desert here. Why would they
want to lock us out?  And besides,
they'll never find out. All you gotta
do is keep changing your job title.
Like, uh, from Casino Executive to
Food and Beverage Chairman. And what
happens it, they take your
application, they put it at the bottom
of the pile. I know guys workin'
there for thirty years, don't have a
license."
75,ACE,75,"It's a tough proposition, Andy. You,
you know, if I did it, I'd have to
run it my way."
76,STONE,76,You got it.
77,ACE,77,I'm serious. No interference.
78,STONE,78,"Nobody's gonna interfere with your
running the casino. I guarantee it."
79,NICKY (V.O.),79,"And that's how that got Ace to take
over."
80,NICKY (V.O.),80,"They wanted him because Ace ate,
slept and breathed gambling."
81,NICKY (V.O.),81,"They worked out a real cute job title
too."
82,NICKY (V.O.),82,Tangiers Public Relations Director.
83,NICKY (V.O.),83,"But the only thing he ever directed
was the casino. He made his first
bet when he was fifteen years old,
and he always made money. But he
didn't bet like you or me."
84,NICKY (V.O.),84,"You know, havin' some fun with it,
shit like that."
85,ACE,85,"Where the hell did you learn how to
deal?"
