,character,line #,line
0,FIGURE,0,"Hello...What?...No, I don't work
today...I'm playing hockey at two."
1,FIGURE (O.C.),1,"Why don't you call Randal?...
Because I'm fucking tired....I just
closed last night...."
2,FIGURE (O.C.),2,"Jesus...What time are you going to
come in?...Twelve...Be there be
twelve?...Swear..."
3,FIGURE (O.C.),3,"Swear you'll be in by twelve and
I'll do it....Twelve...Twelve or I
walk."
4,DANTE,4,"Next time, I get the bed."
5,DANTE,5,Shit.
6,DANTE,6,Shit.
7,DANTE,7,Shit!
8,DANTE,8,Thanks. Have a good one.
9,ACTIVIST,9,Do you mind if I drink this here?
10,DANTE,10,Sure. Go ahead.
11,CUSTOMER,11,Are you open?
12,DANTE,12,Yeah.
13,CUSTOMER,13,Pack of cigarettes.
14,ACTIVIST,14,Are you sure?
15,CUSTOMER,15,Am I sure?
16,ACTIVIST,16,Are you sure?
17,CUSTOMER,17,Am I sure about what?
18,ACTIVIST,18,"Do you really want to buy those
cigarettes?"
19,CUSTOMER,19,Are you serious?
20,ACTIVIST,20,How long have you been smoking?
21,CUSTOMER,21,"What is this, a poll?"
22,DANTE,22,Beats me.
23,ACTIVIST,23,How long have you been a smoker?
24,CUSTOMER,24,Since I was thirteen.
25,ACTIVIST,25,"I'd say you're about nineteen,
twenty, am I right?"
26,CUSTOMER,26,What the hell is that?
27,ACTIVIST,27,"That's your lung. By this time,
your lung looks like this."
28,CUSTOMER,28,You're shittin' me.
29,ACTIVIST,29,You think I'm shitting you...
30,CUSTOMER,30,What's this?
31,ACTIVIST,31,"It's a trach ring. It's what they
install in your throat when throat
cancer takes your voice box. This
one came out of a sixty-year-old man."
32,CUSTOMER,32,Unnhh!
33,ACTIVIST,33,"He smoked until the day he died.
Used to put the cigarette in this
thing and smoke it that way."
34,DANTE,34,"Excuse me, but..."
35,ACTIVIST,35,"This is where you're heading. A
cruddy lung, smoking through a hole
in your throat. Do you really want
that?"
36,CUSTOMER,36,"Well, if it's already too late..."
37,ACTIVIST,37,"It's never too late. Give those
cigarettes back now, and buy some
gum instead."
38,ACTIVIST,38,Here. Chewlies Gum. Try this.
39,CUSTOMER,39,It's not the same.
40,ACTIVIST,40,"It's cheaper than cigarettes. And
it certainly beats this."
41,CUSTOMER,41,Jesus!
42,ACTIVIST,42,"It's a picture of a cancer-ridden
lung. Keep it."
43,CUSTOMER,43,I'll just take the gum.
44,DANTE,44,Fifty-five.
45,ACTIVIST,45,"You've made a wise choice. Keep up
the good work."
46,DANTE,46,"Maybe you should take that coffee
outside."
47,ACTIVIST,47,"No, I think I'll drink it in here,
thanks."
48,DANTE,48,"If you're going to drink it in
here, I'd appreciate it if you'd
not bother the customers."
49,ACTIVIST,49,Okay. I'm sorry about that.
50,CUSTOMER,50,Pack of cigarettes.
51,CUSTOMER,51,What's that?
52,ACTIVIST,52,This? How long have you been smoking?
53,JAY,53,WE NEED SOME TITS AND ASS! YEAH!
54,JAY,54,"I feel good today, Silent Bob.
We're gonna make some money! And
then you know what we're going to
do? We're going to go to that party
and get some pussy! I'm gonna fuck
this bitch, that bitch..."
55,JAY,55,I'LL FUCK ANYTHING THAT MOVES!
56,JAY,56,"What you looking at?! I'll kick
your fucking ass!"
57,JAY,57,"Doesn't that motherfucker still owe
me ten bucks?"
58,JAY,58,"Tonight, you and me are going off
that fucker's head, and take out
his fucking soul! Remind me if he
tries to buy something from us, to
cut it with leafs and twigs...or
fucking shit in the motherfucker's
bag!"
59,JAY,59,Wa sup sluts?
60,JAY,60,"Damn Silent Bob! You one rude
motherfucker! But you're cute as
hell."
61,JAY,61,"I wanna go down on you, and suckle
you."
62,JAY,62,"And then, I wanna line up three
more guys, and make like a circus
seal..."
63,JAY,63,"Ewwww!  You fucking faggot! I
fucking hate guys!"
64,JAY,64,I LOVE WOMEN!
65,JAY,65,Neh.
66,GUY,66,You selling?
67,JAY,67,"I got hits, hash, weed, and later
on I'll have 'shrooms. We take
cash, or stolen MasterCard and Visa."
68,ACTIVIST,68,"You're spending what? Twenty,
thirty dollars a week on cigarettes."
69,LISTENER 1,69,Forty.
70,LISTENER 2,70,Fifty-three.
71,ACTIVIST,71,"Fifty-three dollars. Would you pay
someone that much money every week
to kill you? Because that's what
you're doing now, by paying for the
so-called privilege to smoke!"
72,LISTENER 3,72,We all gotta go sometime...
73,ACTIVIST,73,"It's that kind of mentality that
allows this cancer-producing
industry to thrive. Of course we're
all going to die someday, but do we
have to pay for it? Do we have to
actually throw hard-earned dollars
on a counter and say, ""Please,
please, Mister Merchant of Death,
sir; please sell me something that
will give me bad breath, stink up
my clothes, and fry my lungs."""
74,LISTENER 1,74,It's not that easy to quit.
75,ACTIVIST,75,"Of course it's not; not when you
have people like this mindless
cretin so happy and willing to sell
you nails for your coffin!"
76,DANTE,76,"Hey, now wait a sec..."
77,ACTIVIST,77,"Now he's going to launch into his
rap about how he's just doing his
job; following orders."
78,ACTIVIST (CONT'D),78,"Friends, let me tell you about
another bunch of hate mongers that
were just following orders: they
were called Nazis, and they
practically wiped a nation of
people from the Earth...just like
cigarettes are doing now! Cigarette
smoking is the new Holocaust, and
those that partake in the practice
of smoking or sell the wares that
promote it are the Nazis of the
nineties! He doesn't care how many
people die from it! He smiles as
you pay for your cancer sticks and
says, ""Have a nice day."""
79,DANTE,79,I think you'd better leave now.
80,ACTIVIST,80,"You want me to leave? Why? Because
somebody is telling it like it is?
Somebody's giving these fine people
a wake-up call?!"
81,DANTE,81,"You're loitering in here, and
causing a disturbance."
82,ACTIVIST,82,"You're the disturbance, pal! And
here..."
83,ACTIVIST,83,"I'm buying some...what's
this?...Chewlie's Gum. There. I'm
no longer loitering. I'm a customer,
a customer engaged in a discussion
with other customers."
84,LISTENER 2,84,"Yeah, now shut up so he can speak!"
85,ACTIVIST,85,"Oh, he's scared now! He sees the
threat we present! He smells the
changes coming, and the loss of
sales when the nonsmokers finally
demand satisfaction. We demand the
right to breathe cleaner air!"
86,LISTENER 3,86,Yeah!
87,ACTIVIST,87,"We'd rather chew our gum than
embrace slow death! Let's abolish
this heinous practice of sucking
poison, and if it means ruffling
the feathers of a convenience store
idiot, then so be it!"
88,DANTE,88,"That's it, everybody out."
89,ACTIVIST,89,"We're not moving! We have a right,
a constitutional right, to assemble
and be heard!"
90,DANTE,90,"Yeah, but not in here."
91,ACTIVIST,91,"What better place than this? To
stamp it out, you gotta start at
the source!"
92,DANTE,92,"Like I'm responsible for all the
smokers!"
93,ACTIVIST,93,"The ones in this town, yes! You
encourage their growth, their habit.
You're the source in this area, and
we're going to shut you down for
good! For good, cancer-merchant!"
94,CROWD,94,"Cancer merchant! Cancer merchant!
Cancer merchant!"
95,VERONICA,95,Who's leading this mob?
96,SOMEONE,96,That guy.
97,VERONICA (O.C.),97,Freeze.
98,VERONICA,98,Let's see some credentials.
99,VERONICA,99,Slowly...
100,VERONICA,100,"You're a Chewlie's Gum
representative?"
101,VERONICA,101,"And you're stirring up all this
antismoking sentiment
to...what?...sell more gum?"
102,VERONICA,102,Get out of here.
103,VERONICA,103,"And you people: Don't you have jobs
to go to? Get out of here and go
commute."
104,VERONICA,104,"You oughta be ashamed of yourselves.
Easily led automatons. Try thinking
for yourself before you pelt and
innocent man with cigarettes."
105,VERONICA,105,"It looked like Tiananmen Square in
here for a second."
106,VERONICA,106,"""Thank you, Veronica; you saved me
from an extremely ugly mob scene."""
107,VERONICA,107,"Okay, champ. What's wrong?"
108,VERONICA,108,"All right, stupid question. But
don't you think you're taking this
a bit too hard?"
109,DANTE,109,"Too hard?! I don't have enough
indignities in my life-people start
throwing cigarettes at me!"
110,VERONICA,110,At least they weren't lit.
111,DANTE,111,I hate this fucking place.
112,VERONICA,112,"Then quit. You should be going to
school anyway..."
113,DANTE,113,"Please, Veronica. Last thing I need
is a lecture at this point."
114,VERONICA,114,"All I'm saying is that if you're
unhappy you should leave."
115,DANTE,115,"I'm not even supposed to be here
today!"
116,VERONICA,116,"I know. I stopped by your house and
your mom said you left at like six
or something."
117,DANTE,117,"The guy got sick and couldn't come
in."
118,VERONICA,118,Don't you have a hockey game at two?
119,DANTE,119,"Yes! And I'm going to play like
shit because I didn't get a good
night's sleep!"
120,VERONICA,120,Why did you agree to come in then?
121,DANTE,121,"I'm only here until twelve, then
I'm gone. The boss is coming in."
122,VERONICA,122,"Why don't you open the shutters and
get some sunlight in here?"
123,DANTE,123,Somebody jammed the locks with gum.
124,VERONICA,124,You're kidding.
125,DANTE,125,Bunch of savages in this town.
126,VERONICA,126,"You look bushed. What time did you
get to bed?"
127,DANTE,127,"I don't know-like two-thirty, three."
128,VERONICA,128,What were you doing up so late?
129,DANTE,129,Hunhh? Nothing.
130,VERONICA,130,What were you doing?
131,DANTE,131,"Nothing! Jesus! I gotta fight with
you now?"
