,MIGUEL (V.O.),MIGUEL,MAMÁ COCO,ABUELITA,MUSICIANS,MIGUEL (V.O),MAMÁ,WOMAN,STREET VENDOR,TOUR GUIDE,DE LA CRUZ,DE LA CRUZ (CONT'D),MIGUEL (CONT'D),PLAZA MARIACHI,PLAZA MARIACHI (CONT'D),ABUELITA (O.S.),TÍO BERTO,PAPÁ,PAPÁ FRANCO,PRIMA ROSA,PRIMO ABEL,ABUELITA (CONT'D),MAMÁ COCO (CONT'D),DE LA CRUZ (FILM CLIP),NUN (FILM CLIP),LOLA (FILM CLIP),INTERVIEWER (FILM CLIP),MAMÁ (CONT'D),TÍA GLORIA,STAGE MANAGER,MUSICIAN #1,MUSICIAN #2,MUSICIAN #3,VOICES (O.S.),GROUNDSKEEPER,WOMAN (CONT'D),SKELETON HEAD,SKELETON ABUELA,PAPÁ JULIO,TÍA ROSITA,TÍA VICTORIA,PAPÁ JULIO (CONT'D),TÍO FELIPE,TÍO OSCAR,SKELETON MOTHER,CANNED LOOP (V.O.),ARRIVALS AGENT,TRAVELER,DEPARTURES AGENT,DEPARTURES AGENT (CONT'D),ELDERLY COUPLE,JUAN ORTODONCIA,HÉCTOR,OFFICER,ARRIVALS AGENT (O.S.),VOICE OVER P.A.,DISTRESSED TRAVELER,MIFFED WIFE,MAMÁ IMELDA,CASE WORKER,CLERK,MAMÁ IMELDA (CONT'D),PATROLWOMAN,PATROLMAN,CORRECTIONS OFFICER,HÉCTOR (CONT'D),CECILIA,FRIDA,FRIDA (CONT'D),GUSTAVO,RATTY GROUP,RATTY MEMBER,TÍA CHELO,OLD TIAS,CHICHARRÓN,VENDOR,EMCEE,EMCEE (CONT'D),SKELETON MUSICIAN,OPERA SINGERS,STAGEHAND,CROWD,EMCEE (O.S.),AUDIENCE MEMBER (O.S.),TÍO FELIPE/TÍO OSCAR,AUDIENCE,CROWD MEMBERS,SECURITY GUARD,GUEST,BAND LEADER,BAND MEMBER #2,MIGUEL & DE LA CRUZ,DON HIDALGO (FILM CLIP),HÉCTOR (O.S.),YOUNG DE LA CRUZ,YOUNG HÉCTOR,YOUNG DE LA CRUZ (CONT'D),HÉCTOR (V.O.),DANTE (O.S),DANTE (O.S.),FAMILY,ANNOUNCER (O.S.),CROWD MEMBER,MIGUEL (O.S.),DE LA CRUZ/MAMÁ IMELDA,TÍO OSCAR/TÍO FELIPE,AUDIENCE MEMBER,PAPÁ (O.S.),TOUR GUIDE (O.S.),TOUR GUIDE (CONT'D)
0,"Sometimes I think I'm cursed...
'cause of something that happened
before I was even born.","Holá, Mamá Coco.","How are you, Julio?",Miguel!   Eat your food.,AUNQUE LA VIDA--,"I think we're the only family in
México who hates music...","Be back by lunch, mijo!","Hola, Miguel!","De nada, Miguel!","And right here, in this very plaza,
the young Ernesto de la Cruz took
his first steps toward becoming the
most beloved singer in Mexican
history!","REMEMBER ME
THOUGH I HAVE TO SAY GOODBYE
REMEMBER ME
DON'T LET IT MAKE YOU CRY
FOR EVEN IF I'M FAR AWAY
I HOLD YOU IN MY HEART
I SING A SECRET SONG TO YOU
EACH NIGHT WE ARE APART
REMEMBER ME","THOUGH I HAVE TO TRAVEL FAR
REMEMBER ME
EACH TIME YOU HEAR A SAD GUITAR
KNOW THAT I'M WITH YOU THE ONLY WAY
THAT I CAN BE...",...If it wasn't for my family.,"Ay, ay, ay, muchacho.","Ah, mira, mira! They're setting up
for tonight. The music competition
for Día de Muertos. You wanna be
like your hero? You should sign
up!",MIGUEL!,Shame on you!,Miguel...,What's tonight?,"You have to have talent to be in a
talent show.","What are YOU going to do, shine
shoes?",Where are you going?,Papá is home...?,"I have to sing. I have to play.
The music, it's -- it's not just in
me. It is me.","Oh but Padre, he will never listen.","But my father, he will never give
his permission.","Señor de la Cruz, what did it take
for you to seize your moment?","We have to make a clear path. The
petals guide our ancestors home. We
don't want their spirits to get
lost. We want them to come, and
enjoy all the food and drinks on
the ofrenda, sí?","...Fills his head with crazy
fantasies!",You got an instrument?,"Sorry, muchacho.",No.,"Get outta here, kid!","The guitar! It's gone! Somebody
stole de la Cruz's guitar! The
window's broken, look.","Alright, who's in there?","Here, let me help you.",Do you mind?,Look how big she's getting!,Miguel?!,Miguel?,Miguel?,And you can see us?!,"(huffing)
Oye!",It's Mamá Imelda--,"Mija, it's not nice to stare at--","Welcome back to the Land of the
Dead. Please have all offerings
ready for re-entry. We hope you
enjoyed your holiday!",Welcome back! Anything to declare?,Some churros... from my family.,"Next family, please!","Oh, your photos are on your son's
ofrenda. Have a great visit!",Gracias.,Grashiash!,"Yes, it is I. Frida Kahlo.",Upsy-daisy...,Next!,"Paging Marta Gonzales-Ramos. Marta
Gonzales-Ramos, please report to
Level 7.","C'mon! Help us out amigo... We
gotta get to a dozen ofrendas
tonight...","We are NOT visiting your ex-wife's
family for Día de Muertos!","I demand to speak to the person in
charge!","I'm sorry, señora, it says here no
one put up your photo--",You the Rivera family?,"I give you my blessing to go
home...","We got a family looking for a
LIVING BOY.","Hold it, muchacho.","...disturbing the peace, fleeing an
officer, falsifying a unibrow...","And amigos, they help their amigos.
Listen, you get me across that
bridge tonight and I'll make it
worth your while.","You better have my dress, Héctor!",You!    How did you get in here?,"Or maybe he's just a dog.        Come!    I
need your eyes!","It's the hot ticket. But if you're
not on the guest list you're never
getting in, Chorizo...",COUSIN HÉCTOR!!,HÉCTOR!!,Héctor!,Muchas gracias!,"I don't want to see your stupid
face, Héctor.",Llévelo!   T-shirts!    Bobble-heads!,"Bienvenidos a todos!     Who's ready
for some música?","It's a battle of the bands, amigos!
The winner gets to play for the
maestro himself, Ernesto de la
Cruz, at his fiesta tonight!","REMEMBER ME, THOUGH I HAVE TO TRAVEL FAR,
REMEMBER ME...","REMEMBER ME!
DON'T LET IT MAKE YOU CRY!",De la Cruzcito? You're on standby!,LOS CHACHALACOS!,"We have one more act, amigos!",Bring back the singing dogs!,"We're looking for a living kid...
about 12?",Otra!   Otra! Otra!,"It's him! / It's that living boy! /
I heard about him. / Look! / He's
alive! / The boy's alive.",Have a good time.,"Oh, how exciting!","Hey guys, it's Poco Loco!",You were on fire tonight!,"FOR THIS MUSIC IS MY LANGUAGE
AND THE WORLD ES MI FAMILIA",To our friendship!...,"We had a deal, chamaco!","I can't do this without your songs,
Héctor--","I'm going home, Ernesto.","To our friendship. I would move
Heaven and Earth for you, mi amigo.
Salud!",You walked me to the train station.,Rooo-rooo-roooooooo!,Roooooo-roo-roo-rooo!,"Miguel! / Miguelito! / Ay, gracias
a Dios! / It's Miguel! / He's all
right! / Oh thank goodness! /
Gracias, Dios mío!","Ladies and gentlemen... the one,
the only... ERNESTO DE LA CRUZ!",Nesto!,Sing!,"AY DE MÍ, LLORONA, LLORONA
LLORONA DE AZUL CELESTE...",Miguel!,Get off the stage!,"Miguel, open this door!","And right over here, one of Santa
Cecilia's greatest treasures...","The home of the esteemed songwriter
Héctor Rivera! The letters Héctor
wrote home for his daughter Coco
contain the lyrics for all of your
favorite songs, not just ""Remember
Me""."
1,"See, a long time ago there was this
family.",I used to run like this...,Papá?,"Aw, you're a twig, mijo.         Have some
more.","Hey, it's Chorizo! / Choricito!","I know I'm not supposed to love
music -- but it's not my fault!","You know how Abuelita feels about
the plaza.","Dios mío!    Little boy, are you
okay?", , ,"UNTIL YOU'RE IN MY ARMS AGAIN
REMEMBER ME!","You and I, we are artists, Miguel!
We cannot belong to one family.
The world is our family!","You're gonna get me in trouble,
boy. Someone could hear me!","I asked for a shoe shine, not your
life story.","C'mon.    What did de la Cruz always
say?",Miguel!,"How many times have we told you --
that plaza is crawling with
mariachis!","If Abuelita says no more plaza,
then no more plaza.", , , ,"I'm hard on you because I care,
Miguel.",Papá?,"When life gets me down, I play my
guitar.","But what can we do? It is
hopeless...", , , , ,"Musicians gotta bring their own
instruments...", , , , ,There's nobody here!, ,Ahhh!, ,You're here! HERE here!,Our Migueli-ti-ti-ti-ti-to!,He doesn't seem entirely dead., ,--She couldn't cross over!,She's stuck--,Ay! Santa Maria!,"...If you are experiencing travel
issues, agents at the Department of
Family Reunions are available to
assist you.",How wonderful! Next!, ,Next!,"Your photo's on your dentist's
ofrenda. Enjoy your visit!", , ,"Shall we skip the scanner? I'm on
so many ofrendas, it'll just
overwhelm your blinky thingie...", , , , , ,"My family always -- ALWAYS -- puts
my photo on the ofrenda! That
devil box tells you nothing but
lies!", ,"Well, you're cursed.","To put my photo back on the
ofrenda...", ,Ahh!,"VERY illegal. You need to clean up
your act, amigo.","Oh, you like de la Cruz? He and I
go way back! I can get you front
row seats to his Sunrise
Spectacular Show!","Ya lo sabía! I gotta dress forty
dancers by sunrise and thanks to
you, I'm one Frida short of an
opening number!","Oh, the mighty Xolo dog...! Guider
of wandering spirits...!","And they go to drink from the milk
of their mother who is a cactus,
but who is also me. And her milk
is not milk but tears.","Oh, this guy's famous! Go on, go
on, ask him how he died!", , ,"In the bungalow. I don't know if
he's in the mood for visitors...", ,Get out of here..., ,Let the competition begin!, , , ,"Los Chachalacos, you're up next!","Look, it's Frida!","Damas y caballeros! De la
Cruzcito!", , , , ,Oh!  El Santo!,"Look, it's Ernesto!","Enjoy the party, little músico!", , , , ,"Oh, I could never hate you. If you
must go, then I'm... I'm sending
you off with a toast!","Hate me if you want, but my mind is
made up.", ,"But I felt a pain in my stomach. I
thought it must have been something
I ate...", , , , ,Look!,And that man is your Papá Julio...,"Y AUNQUE LA VIDA ME CUESTE, LLORONA,
NO DEJARÉ DE QUERERTE.", , ,Miguel!, , 
2,"The papá, he was a musician.","But now I run like this which is
way faster!",Papá is coming home?,"I asked if you would like more
tamales.", ,It's his: Ernesto de la Cruz...,...Sign up?, , , ,"Are you all right, niño?","Ooo, the fireworks have begun!",I wish someone wanted to hear me...,"Look, if I were you I'd march right
up to my family and say, ""Hey! I'm
a musician. Deal with it!""", , ,A musician's shoes!,"Mamá, where should we put this
table?", , , ,Miguel... Miguel?, ,"The rest of the world may follow
the rules, but I must follow my
heart!","Oh but Padre, he will never listen.", , , , ,"You find a guitar, kid, I'll put
you on the list.", , , , , , , , ,Hola.,"We're your family, mijo!","I have a feeling this has something
to do with you.", ,--On the other side!,"Oh, hey Miguel.", ,"...And remember to return before
sunrise. Enjoy your visit!","Welcome back, amigos! Anything to
declare?", ,Next!, , , ,"Okay, when I said I was Frida...
just now? That... that was a lie.
And I apologize for doing that.", , , , , ,"Oh, mi familia! They wouldn't let
me cross the bridge! Tell this
woman and her devil box that my
photo is on the ofrenda.", ,"Día de los Muertos is a night to
GIVE to the dead. You STOLE from
the dead.",And to never play music again!, ,I've found that living boy!,Uh--,"Wait, wait, wait, wait, wait.
Wait, wait...", ,"And whose spirit have you guided to
me?",Is it too obvious?,He choked on some CHORIZO!, , , , ,My guitar?!, ,"Damas y caballeros, I have an
emergency announcement.", , , ,"De la Cruzcito, you're on now!",Murder?,"...If anyone has information,
please contact the authorities.", , , , ,I'm a big fan., , , , , , ,"Perhaps it was that chorizo my
friend...", , ,Or something I... drank., , , , ,He's alright!,"SAY THAT I'M CRAZY
OR CALL ME A FOOL", , , , , , 
3,"He and his family would sing, and
dance, and count their blessings...","And the winner is... Luchadora
Coco!",Who are you?,That's what I THOUGHT you said., ,"...The greatest musician of all
time.","No, no, no, no, no.", , , ,"It's you... you, you are that boy,
the one who came from the Land of
the Living.","It has been an honor. I am sorry
to see you go, Miguel. I hope you
die very soon.",Other than you...,"You ARE a musician, no?", , ,"It's all that time he spends in the
plaza...",You want it down by the kitchen?, , , ,"What are we going to do with that
boy...?", ,"You know that feeling? Like
there's a song in the air and it's
playing just for you...", , , , , , , , , , , , , , ,"We need Mamá Imelda. She'll know
how to fix this!",Sí!,You thought we weren't?, ,"Watch your step, they make caquitas
everywhere.","REAL alebrijes. Spirit
creatures...", , , , ,"Well shoot. Looks like no one put
up your photo, Frida...", , , ,"You know what, I'm just gonna zip
right over, you won't even know I'm
gone.", , , , , ,What?!, ,"ACHOO! I am sorry, whose alebrije
is that?",Come back!     Miguel!, ,"Uh whoa, excuse me, excuse me
folks! Excuse me--","I should lock you up for the rest
of the holiday...","Wait, no, wait, wait, wait. Wait,
wait, wait, wait, wait, wait?", ,"Ah-ah-ah. The alebrijes of this
world can take many forms... They
are as mysterious as they are
powerful...", ,"Well, if you really want to get to
Ernesto, there IS that music
competition at the Plaza de la
Cruz. Winner gets to play at his
party...", , , , ,"My prized, beloved guitar...?", ,"Please be on the lookout for a
living boy, answers to the name of
Miguel. Earlier tonight he ran
away from his family. They just
want to send him back to the Land
of the Living...", , , ,"Come on, let's go!",Boo!    Murderer!, , , , , ,You mind if I--, , , , , , , , , , , , , , , ,"BUT LAST NIGHT IT SEEMED
THAT I DREAMED ABOUT YOU", , , , , , 
4,"But he also had a dream... to play
for the world.","I have a dimple on this side, but
not on this side. Dimple. No
dimple. Dimple. No dimple--",Papá?,No music!, ,I wanna be just like him.,Miguel!   Get down from there!, , , ,"You are all anyone has been talking
about! Why have you come here?",You know what I mean.,Perfecto!,"Did de la Cruz become the world's
best musician by hiding his sweet,
sweet skills? No! He walked out
onto that plaza and he played out
loud!", , , ,Miguel..., , , ,"You're right. That's just what he
needs!", ,"A FEELING SO CLOSE
YOU COULD REACH OUT AND TOUCH IT
I NEVER KNEW I COULD
WANT SOMETHING SO MUCH
BUT IT'S TRUE...", , , , , , , , , , , , , , ,"...Then we are going to her!
Vámonos!",He's not quite alive either...,"Miguel, vitamins are a real thing.", ,"...Or a sausage someone dropped in
a barbershop.",I miss my nose..., , , , ,"No photo on an ofrenda, no crossing
the bridge.", , , ,Ha HA!, , , , , ,Miguel?, ,"Whatever he is, I am -- ACHOO! --
terribly allergic.",I am trying to save your life!, , ,"But my shift's almost up, and I
wanna visit my living family... so
I'm letting you off with a warning.","Yes! You're going back to the Land
of the Living?!", ,You are the audience., , , , , , ,"Like the time you promised to bring
back my van?", , , , , ,"Places, señor, you're on in 30
seconds!", , , , , , ,"Gracias, señor!", , , , , , , , , , , , , , , ,"WHEN I OPENED MY MOUTH
WHAT CAME OUT WAS A SONG
AND YOU KNEW EVERY WORD
AND WE ALL SANG ALONG", , , , , , 
5,"And one day he left with his
guitar... and never returned.","No, gracias.",Papá!   Papá!,No music!!, , ,Miguel--, , , ,I... have a great-great grandson?,Miguel. I give you my bles--,"I'm gonna play in Mariachi Plaza if
it kills me!","Look, if you're too scared, then,
well... have fun making shoes.", , , ,"Your Abuelita had the most
wonderful idea!", , , ,"You'll craft huaraches just like
your Tía Victoria.", ,"You must have faith, sister.", , , , , , , , , , , , , , ,"Come on, Miguel. It's ok.","But if Mamá Imelda can't come to
us...",Listen to your Mamá Imelda., ,...and a half.,"He just looks like a plain old
dog...", , , , ,Next!, , , ,"Almost there, just a little
further...!", , , , , ,What is going on?, ,"And I don't have a nose, and yet
here we are -- ACHOO!!","We each made a sacrifice to get
what we wanted. Now you must make
a choice.", , ,"Uh, no.",Dead as a doorknob., ,"Darkness. And from the darkness...
A giant PAPAYA!", , , , , , ,Or my mini-fridge?, , , , , , , , , , , , ,Invitation?, , , , , , , , , , , , , , , ,"TO A MELODY PLAYED
ON THE STRINGS OF OUR SOULS
AND A RHYTHM THAT RATTLED US
DOWN TO THE BONE
OUR LOVE FOR EACH OTHER
WILL LIVE ON FOREVER
IN EVERY BEAT
OF MY PROUD CORAZÓN", , , , , , 
6,"And the mamá...? She didn't have
time to cry over that walkaway
musician!",S-sí?,"Elena?   What's wrong, mija?",NO MUSIC!!!, , ,Miguel!, , , ,"My boy, with a talent like yours,
how could I not listen?","Oh, Frida!     I thought you couldn't
make it.","Mamá -- Papá, I--","Show me what you got, muchacho.
I'll be your first audience.", , , ,"We've all decided -- it's time you
joined us in the workshop!", , , ,"Come. You'll feel better after you
eat with your family.", ,He will listen... to MUSIC!, , , , , , , , , , , , , , ,"As a matter of fact, yes.","They guide souls on their
journey...",Pronated., , ,She's just looking out for you., , , , ,"Enjoy your visit, Héctor!", , , ,"Fine, okay. Fine, who cares...
Dumb flower bridge!", , , , , ,Guitar...?, ,"Well, since it's a family matter...","AY DE MÍ, LLORONA, LLORONA,
LLORONA DE AZUL CELESTE...", , , ,"So listen, Miguel: this place runs
on memories. When you're well-
remembered, people put up your
photo and you get to cross the
bridge and visit the living on Día
de Muertos.", ,"Dancers emerge from the papaya and
the dancers are all me!", , , , , , ,"Or my good napkins? My lasso?    My
femur?!", , , , , , , , , , , , ,"Ooo, the competition winners!
Congratulations chicos!", , , , , , , , , , , , , , , , , , , , , , 
7,"After banishing all music from her
life...","Love you, Mamá!",My papá used to sing me that song.,What are you doing here?, , ,"We're all together now, that's what
matters.", , , ,I HAVE A GREAT-GREAT GRANDSON!,"We made a great team but -- you
died and I -- I only sang your
songs because I wanted to keep a
part of you alive.","No, no, no, no, no! No...","Doña, please -- I was just getting
a shine!", , , ,"No more shining shoes -- you will
be making them! Every day after
school!", , , , , ,"ONLY A SONG
ONLY A SONG
HAS THE POWER TO CHANGE A HEART...", , , , , , , , , , , , , , ,Mamá Imelda?,"I don't know what I'd do if no one
put up my photo.",Find Héctor's photo., , ,Size seven..., , , , , , , , ,That's illegal?, , , , , ,"Ah-ah-ah! We do not speak of
that...", ,"The way to undo a family curse is
to get your family's blessing.","To go home... to put up our
photos...", , , ,Unless you're me., ,"And... what if everything was on
fire? Yes! Fire everywhere!", , , , , , ,Where's my femur?! You--, , , , , , , , , , , , ,"It is an honor, señora!", , , , , , , , , , , , , , , , , , , , , , 
8,"She found a way to provide for her
daughter...",Hola!,"I kept... his letters... poems he
wrote me... and...",You leave my grandson alone!, , ,Look..., , , ,"Hey Negrete! Infante! Have you
met my great-great-grandson?","Take care of Miguel. He'll be
extending his stay.","It's him! I know who my great-
great grandfather was!", , , , ,"And wingtips, like your Papá Julio--", , , , , ,"Never underestimate the power of
music...", , , , , , , , , , , , , , ,"Well, we never made it to the
ofrenda...","Oh!   Come mijo, it's our turn.", , , , , , , , , , , , ,Amigo?, , , , , ,"...musician! He is DEAD to this
family!", ,"Get your family's blessing, and
everything SHOULD go back to
normal. But you gotta do it by
sunrise!",And to never..., , , ,"...It's not gonna be easy, you
know? He's a busy man.", ,Inspired!, , , , , , ,"I'm fading, Héctor. I can feel it.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,"She rolled up her sleeves and she
learned to make shoes.",Muchas gracias!,"Papá was a musician. When I was a
little girl, he and Mamá would sing
such beautiful songs...","I know your tricks, mariachi!", , , , , , ,My great-great grandson!, ,"That man was Ernesto de la Cruz!
The greatest musician of all time!", , , , ,"Ah, Migue... You have your family
here to guide you...", , , , , ,"I am done asking permission. When
you see your moment you mustn't let
it pass you by, you must seize it!", , , , , , , , , , , , , , ,We ran into... um...,"He sure doesn't look like an
alebrije.", , , , , , , , , , , , ,"Oh, that's so nice, to hear you say
that, because...", , , , , ,"But none of this explains why I
couldn't cross over.", ,"But not to worry! Your family's
here, you can get your blessing
right now.", , , , ,What are you doing?, ,"You... you have the spirit of an
artist!", , , , , , ,"I couldn't even play that thing if
I wanted to.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
