,character,line #,line
0,MOTHER,0,"Now remember, keep your shoulders back."
1,PHOTOGRAPHER,1,"Okay, put your arm around your brother.
That's it. And breathe in."
2,PHOTOGRAPHR,2,"Okay, one more."
3,TEACHER,3,"Now just to review, you're going to
follow along the procession until you
get to the headmaster. At that point
he will indicate to you to light the
candles of the boys."
4,MAN,4,"All right boys, let's settle down."
5,MAN,5,Banners up.
6,MR NOLAN,6,"Ladies and gentlemen, boys, the light
of knowledge."
7,MR NOLAN,7,"One hundred years ago, in 1859, 41 boys sat in this
room and were asked the same question that greets
you at the start of each semester. Gentlemen, what
are the four pillars?"
8,BOYS,8,"Tradition, honor, discipline, excellence."
9,MR NOLAN,9,"In her first year, Welton Academy graduated five
students. Last year we graduated fifty-one. And
more than seventy-five percent of those went on to
the Ivy League. This, this kind of accomplishment is
the result of fervent dedication to the principles taught
here. This is why you parents have been sending us
your sons. This is why we are the best preparatory
school in the United States."
10,MR NOLAN,10,"As you know, our beloved Mr. Portius of the English
department retired last term. You will have the
opportunity later to meet his replacement, Mr. John
Keating, himself a graduate of this school. And who,
for the past several years, has been teaching at the
highly regarded Chester School in London."
11,MR NOLAN,11,Glad you could come by.
12,MR ANDERSON,12,Thrilling ceremony as usual Dr. Nolan.
13,MR NOLAN,13,You've been away too long.
14,MRS ANDERSON,14,Hello Dr. Nolan.
15,MR NOLAN,15,Good to have you back.
16,MRS ANDERSON,16,"This is our youngest, Todd."
17,MR NOLAN,17,"Mr. Anderson.You have some big shoes to fill,
young man. Your brother was one of our finest."
18,TODD,18,Thank you.
19,WOMAN,19,Lovely ceremony.
20,MR NOLAN,20,Thank you. So glad you liked it.
21,MR PERRY,21,Gale
22,MR NOLAN,22,Tom
23,MR PERRY,23,Good to see you again.
24,NEIL,24,Hello Mr. Nolan.
25,MR NOLAN,25,Neil. We expect great things from you this year.
26,NEIL,26,"Thank you, sir."
27,MR PERRY,27,Well he won't disappoint us. Right Neil?
28,NEIL,28,I'll do my best sir.
29,FATHER,29,"Hey, come on son."
30,MOTHER,30,Chin up.
31,FATHER,31,No tears now.
32,BOY,32,Okay.
33,MOTHER,33,Chin up.
34,BOY,34,I don't want to go here.
35,MOTHER,35,You be a good boy and do your lessons.
36,NEIL,36,"Hey, I hear we're gonna be roommates."
37,NEIL,37,I'm Neil Perry.
38,TODD,38,Todd Anderson.
39,NEIL,39,Why'd you leave Balincrest?
40,TODD,40,My brother went here.
41,NEIL,41,"Oh, so you're that Anderson."
42,FATHER,42,"This is for sinuses. Oh, and if he can't swallow you
give him one of these. And if he had trouble breathing
you can give him some of those."
43,HAGER,43,All right fine.
44,FATHER,44,Did you remember your vaporizer?
45,SPAZ,45,"Yes, I put it in my room."
46,KNOX,46,"Hey, how's it going Neil?"
47,NEIL,47,Hey Knox.
48,CAMERON,48,"Neil, study group tonight?"
49,NEIL,49,"Yeah, sure."
50,CAMERON,50,"Business as usual, huh? Hey, I hear you got the new
kid. Looks like a stiff!"
51,CAMERON,51,Oops!
52,NEIL,52,"Listen, don't mind Cameron. He was born with his
foot in his mouth. You know what I mean?"
53,CHARLIE,53,"Rumor has it, you did summer school."
