,character,line #,line
0,RANDOLPH,0,"'Friends come in all sizes
That's a fact! It's True!
All colors of the rainbow"
1,RANDOLPH (CONT'D),1,"Their names may not be different
and their shoes may not match
One might say 'grasp' while the
other says 'snatch'
Some like to toss while others
like to caaaaatch... Beeee-
caaaause...
Friends come in all sizes
Take it from me! Golly Gee! Size
never matters when you want some
friendly patter
From a pal who is true and can
lift you when you're blue
You can count on him and he can
count on yoooouuuu!
It's true... that..."
2,RANDOLPH (CONT'D),2,Friends come in all sizes!'
3,HUSBAND,3,"So... uh... you'll make sure my
boy dances up front, right? Where
he'll get the most camera time?"
4,RANDOLPH,4,You want your kid on the show?
5,HUSBAND,5,Of... of course.
6,WIFE,6,"Yes, very much."
7,RANDOLPH,7,"Then don't tell me how to run my
fucking business."
8,HUSBAND,8,"No, no, we were just --"
9,RANDOLPH,9,I'll call you if a spot opens up.
10,HUSBAND,10,"Freeze, you cocksucker!"
11,WIFE,11,Drop the briefcase!
12,STOKES,12,"(addressing the brass)
Gentlemen, let me be the first to
say, in all sobriety, that I'm as
shocked and outraged as all of --"
13,STOKES,13,"Save it for the papers, Stokes.
We've got nervous sponsors and an
angry public -- a combination
uglier than two monkeys fucking.
What are you doing about it?"
14,STOKES,14,"Well, sir, I'm currently in the
process of compiling a list of
viable replacements and it's my
hope..."
15,STOKES,15,"Clean replacements?    With
background checks? I assure you,
Mr. Stokes, this network cannot
survive another Rainbow Randolph.
The goddamn P.R. department looks
like the Jim Jones camp."
16,STOKES,16,"Remember, Stokes, this was your
dog that crapped on our rug."
17,EXECUTIVE #2,17,"We trusted you, Frank. And now
we're in a tight spot. We have to
post our quarterly earnings next
month, for Christ's sake."
18,CEO,18,"Whoever takes that slot has to be
a straight arrow. Clean as a
whistle."
19,CEO,19,"Right. Someone who'll take the
heat off. One of those sweater
types. Any chance of luring Fred
Rogers away from P.B.S.?"
20,EXECUTIVE #4,20,"Yeah, if we back up the Brinks
truck."
21,EXECUTIVE #1,21,"No way. The idea now is to stop
the hemorrhaging."
22,EXECUTIVE #2,22,"You better fix this, Stokes. Get
us a white bread replacement,
fast. Bland, milk toast. Not a
speck of controversy."
23,CEO,23,Squeaky fucking clean.
24,STOKES,24,Bumble Bee Billy?
25,NORA,25,Wife beater.
26,STOKES,26,Square Dance Danny?
27,NORA,27,"Still appealing the mail fraud
thing."
28,STOKES,28,Skippy Black and the Tippy Trolls?
29,NORA,29,"Black was deported, and the
trolls... well, who gives a shit."
30,NORA,30,"This is impossible. If I ever see
that Rainbow Randolph again I'll
strangle him. Choke the life out
of him. Squeeze his scrawny neck
until his eyes pop out of his
skull and bounce off the walls..."
31,STOKES,31,"Before indulging such cheery
fantasies, let's just concentrate
on saving my job. Shall we?"
32,NORA,32,"Sorry, Frank."
33,STOKES,33,"What's going on with Sheldon Mopes
these days."
34,NORA,34,"Oh my God. Have we sunk to that
level already? Smoochy the Rhino?
What a sap."
35,STOKES,35,"Sap's just the pill we need right
now. Mopes is a straight arrow.
Always has been."
36,NORA,36,"The guy can't get arrested, Frank.
He can't even break into the
birthday party circuit. Last I
heard he was working hospitals and
nursing homes. He's a joke."
37,STOKES,37,"The truth of the matter is, a
successful children's show has
always depended on two simple
elements: a fuzzy costume and a
lot of hype. Strip away the foam
rubber and the network money and
they're all jokes. Marginal
talents.. cabaret acts... off-
Broadway runoff..."
38,NORA,38,"I probably have ten acts in my
development file -- acts I've been
cultivating -- that are more
deserving than Sheldon Mopes."
39,STOKES,39,"And each one a moral question
mark. Something I can't risk at
the moment."
40,NORA,40,"We can do better than this guy,
Frank. He brings nothing to the
table."
41,STOKES,41,"Except ethics. With Mopes,
there's never been a whiff of
controversy. The man's an
ethical, harmless, cornball. In
short, a glass of milk on two
legs."
42,NORA,42,"Don't ask me to do it. You know
I'll do anything for you, but
please... not this..."
43,STOKES,43,Go find Smoochy.
44,SMOOCHY (SHELDON),44,"'We'll get that monkey off your
back,
Yes we will, yes we will
We'll get that monkey off your
back,
Yes we will...'
'We'll get that monkey off your
back
And get your life right back on
track
If you'll just give up the smack
Yes you will, yes you will!!'"
45,SMOOCHY,45,"Thanks, fellas. I'm rooting for
you!"
46,NORA,46,Mr. Mopes?
47,SHELDON,47,Yeah?
48,NORA,48,"I, uh, saw your performance
tonight. Very..."
49,NORA,49,... spirited.
50,SHELDON,50,"Really? Thanks. I would've done
a longer set if that guy hadn't
pulled a knife on the security
guard. Once the pepper spray
starts flyin', that's it for the
encores."
51,NORA,51,"Yes, that did put a damper on the
evening, didn't it?"
52,SHELDON,52,"Are you a new patient?   On the
juice, as we say?"
53,NORA,53,"Ah, no. But it's sweet of you to
assume so."
54,SHELDON,54,"'Nora Bishop. V.P. of
Development. Kidnet.'"
55,SHELDON,55,Good gravy. You work for Kidnet?
56,NORA,56,As stated.
57,SHELDON,57,"Well, it's a pleasure to meet you,
Nora. A real honor. Hey, you
hungry?"
58,SHELDON,58,"Soy dogs... never thought I'd
live to see the day. Organic,
rich in natural protein, and
nobody gets killed. Although I
do feel bad for the beans. Just
kidding. Sure you don't want one?"
59,NORA,59,"Believe it or not, no."
60,SHELDON,60,"So anyway, like I was saying,
people always tell me, 'You gotta
network, Sheldon... you gotta sell
yourself... or you'll be playing
the drug clinics and shopping
centers the rest of your life.'
And you know what I tell 'em?"
61,NORA,61,I haven't the foggiest.
62,SHELDON,62,"I tell 'em, it's not about the old
handshake and back slap game.
It's not about adding fuel to the
shlock machine. It's about doing
good work. Having integrity.
Making people happy and delivering
a positive message. Foundations
are built with concrete, not
plaster of Paris!"
63,SHELDON,63,"This is concrete!   This is
integrity!"
64,NORA,64,I can see that.
