,character,line #,line
0,ANDY,0,"What floor is Elias-Clarke? Human
Resources."
1,GUARD,1,"Honey, you want West 57th."
2,CLACKER #1,2,"You look awesome today. I can't wear
cropped pants. I look like a whale."
3,CLACKER #2,3,"Oh, please. I look terrible. I almost
called in fat today."
4,ANDY,4,"This article was about the Take Back
the Night march. This was a four-part
series on the impact of busing on the
public schools..."
5,SHERRY,5,"I have two positions available. One is
assistant to the road test editor of
Auto Universe magazine."
6,ANDY,6,And the other one--?
7,ANDY,7,"Hi, I have an appointment with Emily
Charlton--"
8,EMILY (O.S.),8,Andrea Sachs?
9,EMILY (CONT'D),9,"Human Resources certainly has a
bizarre sense of humor."
10,EMILY (CONT'D),10,Follow me.
11,EMILY,11,"Okay, so... I was Miranda's second
assistant, but her first assistant
recently got promoted so now I'm the
first..."
12,ANDY,12,And you're replacing yourself.
13,EMILY,13,"I'm trying. Miranda sacked the last
two girls after only a few weeks. We
need to find someone who can survive
here. Do you understand?"
14,ANDY,14,Yes. Of course. Who's Miranda?
15,EMILY,15,"You didn't just ask me that. She's the
editor in chief of Runway. Not to
mention a legend. Work a year for her
and you can get a job at any magazine
you want. A million girls would kill
for this job."
16,ANDY,16,"Sounds great. I'd love to be
considered."
17,EMILY,17,"Andrea, Runway is a fashion magazine.
An interest in fashion is crucial."
18,ANDY,18,"What makes you think I'm not
interested in fashion?"
19,EMILY,19,"Oh my God. No. No, no, no."
20,ANDY,20,What's wrong?
21,EMILY,21,She's on her way -- tell everyone!
22,NIGEL,22,I thought she was coming in at 9.
23,EMILY,23,"Her driver text-messaged. Her
facialist ruptured a disk. God, these
people!"
24,EMILY (CONT'D),24,I can't even talk about it.
25,NIGEL,25,"All right, everyone. Man your battle
stations!"
26,NIGEL,26,Did somebody eat an onion bagel?
27,CLACKER,27,"Sorry, Miranda."
28,EMILY,28,Oh no. You're still here. Go.
29,EMILY (CONT'D),29,"No, stay. I don't want you walking
past her. Just sit there and I'll pray
she doesn't notice you marring the
area."
30,ANDY,30,"Wow, this is like self-esteem camp."
31,MIRANDA,31,"I don't understand why it's so
difficult to confirm an appointment."
32,EMILY,32,"I'm so sorry, Miranda. I did confirm
last night, but--"
33,MIRANDA,33,"The details of your incompetence do
not interest me."
34,MIRANDA (CONT'D),34,"Tell Simone I'm not approving the girl
she sent in for the Brazil layout. I
wanted clean, athletic, and smiling
not dirty, tired and paunchy..."
35,MIRANDA (CONT'D),35,"RSVP yes to the Michael Kors party --
the car will drop me at 9:30 and wait
until I leave at 9:45... Tell Natalie
at Glorious Foods for the fortieth
time -- no, I don't want the tortes
filled with warm rhubarb compote. I
want the chopped almonds."
36,MIRANDA (CONT'D),36,"Call my ex-husband and remind him the
Parent-Teacher conferences at Dalton
are tonight. Then call my husband and
tell him to meet me for dinner at that
place I went with Massimo..."
37,EMILY,37,Right.
38,MIRANDA,38,"And tell Richard I saw the pictures of
for the feature on female paramedics
and they're all so unattractive. I
don't understand. How hard is it to
find a decent-looking paramedic?...
Also, I need to see what Nigel has
called in for Gwyneth's second cover
try..."
39,MIRANDA (CONT'D),39,Who is that?
40,EMILY,40,"Nobody. Human resources sent her up
about the assistant job and I was pre-
interviewing her for you, but--"
41,MIRANDA,41,"I'll do it. The last two you sent me
were total disappointments. Send her
in."
42,EMILY,42,She wants to see you.. Go go go....
43,MIRANDA,43,Who are you?
44,ANDY,44,"My name is Andy Sachs. I recently
graduated from--"
45,MIRANDA,45,What are you doing here?
46,ANDY,46,"I think I could do a good job as your
assistant and--"
47,ANDY (CONT'D),47,"(fast, blurting)
I came to New York to be a journalist
and I sent letters to everyone and I
finally got a call from Elias-Clarke
and met with Sherry in Human Resources
and basically it's this or Auto
Universe."
48,MIRANDA,48,So you don't read Runway?
49,ANDY,49,No.
50,MIRANDA,50,"And before today, you had never heard
of me?"
51,ANDY,51,No.
52,MIRANDA,52,"And you have no style or sense of
fashion."
53,ANDY,53,That depends on--
54,MIRANDA,54,That wasn't a question.
55,ANDY,55,"I was Editor in Chief of the Daily
Northwestern. I won a national
competition for college journalists
with a series on the janitor's union --"
56,MIRANDA,56,That's all.
57,ANDY,57,--that uncovered the exploitation of--
58,ANDY (CONT'D),58,"Okay, you're right. I don't fit in
here. I'm not glamorous or skinny and
I don't know much about fashion. But
I'm smart, I learn fast and I will
work very hard."
59,NIGEL,59,"We got the exclusive on the yellow
Cavalli for Gwyneth, the one he showed
with a huge feathered headpiece, but
she'll look like she's working the
mainstage at the Golden Nugget, so
instead..."
60,ANDY,60,Thank you for your time.
61,NIGEL,61,"Who IS that sad little person? Are we
doing a Before and After piece I don't
know about?"
62,EMILY,62,Andrea!
63,NATE,63,"Wow. You got a job at a fashion
magazine."
64,NATE,64,Was it a phone interview?
65,ANDY,65,Don't be a jerk.
66,DOUG,66,"Miranda Priestly is famous for being
unpredictable."
67,ANDY,67,"Okay, how is it that you know who she
is and I didn't?"
68,DOUG,68,I'm actually a girl.
69,LILY,69,That would explain so much.
70,DOUG,70,"Seriously, Miranda is a huge deal. I
bet a million girls would kill for
that job."
71,ANDY,71,"Yeah, it's just that I'm not one of
them."
72,LILY,72,"You have to start somewhere. Look at
this dump Nate works in. Paper
napkins? Hello?"
73,NATE,73,And Lily works at that gallery doing--
74,NATE,74,What the hell is it that you do?
75,DOUG,75,"Lucky for me, I have my dream job."
76,NATE,76,You're a corporate research analyst.
77,DOUG,77,"-- which totally rocks. The free
bagels on Thursday? The booze? The
whores?"
78,DOUG (CONT'D),78,"You're right. There are no bagels. And
only a few whores."
79,ANDY,79,"You should see the way the girls dress
at Runway. I'm not sure I have
anything to wear to work."
80,NATE,80,"You're going to be answering phones
and getting coffee. You need a
ballgown for that?"
81,ANDY,81,I think I might.
82,NATE,82,I think you look great. Always.
83,ANDY,83,You are so full of it.
84,NATE,84,"Come on. Let's go home. I can think of
something you can do without clothes."
85,NATE (CONT'D),85,Asshole!
86,ANDY,86,Hello? Now?
87,EMILY,87,"Miranda decided to kill the Autumn
Jacket story for September -- she's
pulling up the Sedona shoot from
October. You need to go into the
office right this second. Pick up her
coffee order on the way. Write this
down."
88,EMILY,88,Where are you?
89,ANDY,89,I'm almost there.
90,NIGEL,90,No...
91,ANDY,91,Yes. She gave me the job.
92,NIGEL,92,Clearly my opinion means nothing.
93,NIGEL,93,"Nigel Kipling. Fashion Director. Let's
see what we're working with."
94,NIGEL,94,"Wow. It's like Oklahoma and New Jersey
had a baby out of wedlock."
95,ANDY,95,"Actually, I'm from Cincinnati."
96,NIGEL,96,"No, it's not possible. Not you."
