,character,line #,line
0,LLOYD,0,"Excuse me, can you tell me how to
get to the medical school? I'm
supposed to be giving a lecture in
twenty minutes and my driver's a bit
lost."
1,YOUNG WOMAN,1,"Go straight aheads and makes a left
over za bridge."
2,LLOYD,2,"I couldn't help noticing the accent.
You from Jersey?"
3,YOUNG WOMAN,3,Austria.
4,LLOYD,4,Austria? You're kidding.
5,LLOYD,5,"Well, g'day, mate. What do you say
we get together later and throw a
few shrimp on the barbie."
6,LLOYD (CONT'D),6,"Guess I won't be going Down Under
tonight..."
7,"DISPATCHER
(v.o.)",7,"Carr 22, come in, car 22..."
8,LLOYD,8,This is 22.
9,DISPATCHER,9,"22, where the hell are you, Lloyd?
You're running late on the East Side
pick-up."
10,LLOYD,10,"Cool your jets, Arnie. I'm on my
way."
11,"DISPATCHER
(v.o.)",11,"Well hurry it up. And make sure you
park legally. One more ticket and
your ass is history."
12,HARRY,12,"Okay, gang, single file. You know
the rules: No pushing, no humping,
and no sniffing heinies..."
13,PALMER,13,"Hey, why aren't those mutts on
leashes?"
14,HARRY,14,"The same reason you're not on a leash,
sir because it's demeaning and it
chafes like hell."
15,PALMER,15,"Just get them in here now! They all
have to be bathed and clipped in an
hour."
16,HARRY,16,You kids stay right here...
17,"HARRY (CONT'D)
(at truck)",17,"Hey, wait a minute!"
18,MARY,18,Hello.
19,(beat),19,I'll be just a minute...
20,LLOYD,20,"Why you going to the airport? Flying
somewhere?"
21,"MARY
(dead-pan)",21,How'd you guess?
22,LLOYD,22,"Well, I saw your luggage, then when
I noticed the airline ticket, I put
two and two together."
23,(beat),23,So where you heading?
24,MARY,24,Aspen.
25,LLOYD,25,"Oh, you're gonna love it. I hear
California's beautiful this time of
year."
26,LLOYD (CONT'D),26,Name's Christmas. Lloyd Christmas.
27,MARY,27,I'm Mary.
28,LLOYD,28,"Uh, this isn't my real job, you know.
It's only temporary."
29,MARY,29,Oh?
30,LLOYD,30,"Yeah, you see, my friend Harry and I
are saving up our money so we can
open our own pet store."
31,MARY,31,That's nice.
32,"LLOYD
(smiling)",32,I got worms.
33,MARY,33,I beg your pardon?
34,LLOYD,34,"That's what we're gonna call it: I
Got Worms. We're gonna specialize in
selling worm farms you know, like
ant farms. A lot of people don't
realize that worms make much better
pets than ants. They're quiet,
affectionate, they don't bite, and
they're super with the kids."
35,MARY,35,"Aren't ants quiet, too?"
36,LLOYD,36,"Uh... well, sure but they aren't half
as affectionate. And if you cut an
ant's head off, it won't grow back."
37,MARY,37,I see.
38,LLOYD,38,"And best of all, worm farming is a
seventy-five-thousand-dollar-a-year
industry. I wouldn't mind having a
piece of that pie, if you know what
I mean."
39,LLOYD (CONT'D),39,"What's the matter? Little tense about
the flight?"
40,"MARY
(beat)",40,Something like that.
41,LLOYD,41,"It's really nothing to worry about,
Mary. Statistically, they say you're
more likely to get killed on the way
to the airport. You know, like in a
head-on crash, or something."
42,MARY,42,"Um, Lloyd, could please keep your
eyes on the road."
43,LLOYD,43,"Good thinking. There's a lot of bad
rivers out there."
44,MARY,44,Here you go.
45,LLOYD,45,Keep it. It was my pleasure.
46,LLOYD (CONT'D),46,"Relax, Mary. Just get trashed and
pass out. You'll be there before you
know it."
47,MARY,47,Thanks Lloyd.
48,(beat),48,And good luck with your worms.
49,POLICE OFFICER,49,"Come on, move it, you're in a red
zone."
50,ARMANI SUIT,50,"She's gonna leave the briefcase at
the foot of the escalator. You make
the pick-up."
51,PLAID SPORTCOAT,51,Piece of cake.
52,"LLOYD
(to car's driver)",52,"Drive around me, you pinhead!"
53,LLOYD,53,Damn!
54,LLOYD,54,You can't do this! I'll lose my job!
55,MENTAL,55,"Who the hell do you figure this guy's
working for?"
56,SHAY,56,"I don't know, but we'd better find
out..."
57,SHAY (CONT'D),57,Your ulcer?
58,MENTAL,58,It ain't gonna kill me.
59,HARRY,59,I got fired again.
60,LLOYD,60,"I don't mean to be harsh, Harry, but
let's face it, you are one pathetic
loser. No offense."
61,HARRY,61,"None taken. Were you shitcanned,
too?"
62,LLOYD,62,Of course not.
63,(beat),63,I quit.
64,HARRY,64,Why'd you quit?
65,LLOYD,65,"I had a hunch Arnie was gonna fire
me."
66,HARRY,66,"Why didn't you wait and see if your
suspicions were well-founded?"
67,LLOYD,67,"Winners control their own destiny,
Har."
68,HARRY,68,"You know, the thing that really chaps
my ass is that I just spent my life
savings turning my van into a poodle."
69,(beat),69,The alarm alone cost me two hundred.
70,LLOYD,70,"Big deal. That car's an old bomb
anyway."
71,HARRY,71,"What are you talking about? It's
only six years old."
72,LLOYD,72,That's forty-two in dog years.
73,HARRY,73,What's with the briefcase?
74,LLOYD,74,It's a love memento.
75,HARRY,75,Huh?
76,LLOYD,76,"The most beautiful woman alive. Her
name was Mary. I drove her to the
airport. Sparks flew, emotions ran
high, breasts heaved. She left this
case in the terminal and flew to
Aspen and out of my life. End of
story."
77,HARRY,77,What's in it?
78,LLOYD,78,"DO you really expect me to go snooping
around in someone else's private
property?"
79,HARRY,79,Why not?
80,"LLOYD
(beat)",80,It's locked.
81,"LLOYD (CONT'D)
(WHISPERING to Harry)",81,Friend or foe?
82,"HARRY
(WHISPERING)",82,We don't have any friends.
83,HARRY (CONT'D),83,"Can't recognize them. Could be student
loan thugs again, or the IRS, or
maybe somebody pissed off about that
case of Girl Scout cookies you bounced
a check on."
84,LLOYD,84,"Hey, I ordered Mystic Mint. The little
swindlers gave me Peanut Butter
Praline."
85,HARRY,85,"Well, whoever they are, they look
serious. One of them's even wearing
plaid."
86,"LLOYD
(cringing)",86,"That's a hostile pattern. I say we
bail and get down to unemployment."
87,GRABNER,87,"Gentlemen, I'm delighted to say that
neither I nor the unemployment
epartment of the state of Rhose Island
can do anything for you."
88,(beat),88,"You've run out of chances. You're
unemployable. Remember last year?
Middle of winter I busted my butt to"
89,LLOYD,89,"Blew it? For your information, we
only missed three days in two months."
90,HARRY,90,"Yeah, and that was because of a
blizzard"
91,"GRABNER
(exploding)",91,YOU WERE SNOW PLOW OPERATORS!
92,HARRY,92,"Come on, Stan. I'm sure you can find
something else for us. How about
another crack at that Suicide Hotline?"
93,GRABNER,93,OUT!!!!!
94,MENTAL,94,"The briefcase ain't here. He must've
taken it with him."
95,J.P. SHAY,95,Shit.
96,(beat),96,Well he's gotta come home sometime.
97,MENTAL,97,"Maybe we should leave him a little
message to let 'em know we're playing
hardball."
98,"MENTAL (CONT'D)
(a la Tweety Bird)",98,I taut I taw a puddy cat.
99,"MENTAL (CONT'D)
(still Tweety)",99,"I did, I did..."
100,LLOYD,100,"Give me what's left of our dough.
I'll go to the corner and buy a few
necessities."
101,LLOYD (CONT'D),101,"What's cheaper, Thunderbird or Night
Train?"
102,HARRY,102,Get Robitussin it's a better buzz.
103,LLOYD,103,"Excuse me, little old lady, do you
have change for a dollar?"
104,ELDERLY WOMAN,104,"Change? No, I'm sorry, I don't..."
105,LLOYD,105,"Well could you do me a favor and
guard this while I go break a dollar?
My wallet's locked in this machine."
106,ELDERLY LADY,106,"Of course, young man..."
107,HARRY,107,Where's the booze?
108,LLOYD,108,"It's gone. I got robbed by Grandma
Walton. She got my wallet, too."
109,LLOYD (CONT'D),109,"Come on, man, cheer up. We've been
own before. I'm sure we'll land on
our heads somewhere."
110,HARRY,110,"It gets worse, Lloyd. My parakeet
Petey he's... he's dead."
111,LLOYD,111,"Oh man, I'm sorry, Harry. What
happened?"
112,HARRY,112,His head fell off.
113,LLOYD,113,His head fell off?
114,HARRY,114,"Yeah, he was pretty old."
115,"LLOYD
(hopeful)",115,I don't suppose he had a warranty...?
116,HARRY,116,"Nah, I bought him used."
117,LLOYD,117,"That's it! I've had it with this
ump! We don't have food, we don't
have jobs, our pets' heads are falling
off, we're surrounded by roving gangs
of larcenous old"
118,HARRY,118,"Okay, calm down."
119,LLOYD,119,No I won't calm down.
120,LLOYD (CONT'D),120,"What the hell are we doing here
anyway, Harry? We've got to get out
of this town."
121,HARRY,121,"Yeah, and go where?"
122,LLOYD,122,"I'll tell you where: someplace warm,
a place where the beer flows like
wine, where beautiful women
instinctively flock like the salmon
of Capistrano."
123,(dramatic PAUSE),123,I'm talking about Aspen.
124,HARRY,124,Aspen?
125,LLOYD,125,"That's right, Aspen."
126,HARRY,126,"I don't know, Lloyd, the French are
assholes."
127,LLOYD,127,"Let me ask you something: do you
want to end up like Petey dead in
some flea-ridden apartment, face-
down on a Dear Abby column, with a
soggy sunflower seed pressed against
your beak? Or do you want to enjoy
your life?"
128,(beat),128,"Come on, Harry, don't let Petey's
eath be in vain. Don't you see what
he was saying? Spread your wings,
man. he was saying? Spread your wings,
man. Fly."
129,"HARRY
(confused)",129,"What are you talking about, Lloyd?
His head fell off."
130,(dawning realization),130,"Wait a second, I know what you're up
to. You just wanna go to Aspen so
you can find that girl who lost her
briefcase and you need me to drive
you there."
131,LLOYD,131,That's bullshit. I'll drive.
132,(beat),132,"And what's so wrong about going
someplace where we know someone who
can plug us into the social pipeline?"
133,"HARRY
(torn)",133,"I don't know, Lloyd. I think we should
stay here, hunt for jobs, and keep
saving money for the worm store. I'm
getting a little sick and tired of
always running from creditors."
134,LLOYD,134,"You know what I'm sick and tired of,
Harry? I'm sick and tired of having
to eek my way through life. I'm sick
and tired of being a nobody."
135,"LLOYD (CONT'D)
(beat)",135,"But most of all, I'm sick and tired
of having nobody."
136,HARRY,136,"Come on, Lloyd. Give us a kiss."
137,LLOYD,137,"On the other hand, maybe you're right,
Harry. Maybe we should stay here and
try our luck in bankruptcy court.
With all those lawsuits against us,
I'm sure we'll win at least one. It
could be a boost to our egos."
138,HARRY,138,"Petey, I made a promise to you once,
man..."
139,HARRY,139,"...and I'll be damned if I can remember
what it was."
140,LLOYD & HARRY,140,"""We've got to get out of this place,
If it's the last thing we ever do,
We've got to get out of this place,
Girl, there's a better life, for me
and you..."""
141,LLOYD,141,"Well, we're finally doing it. Do you
realize that in all the years we've
known each other, this is the first
time we've done this together."
142,HARRY,142,Been run out of town?
143,LLOYD,143,Taken a trip.
144,LLOYD (CONT'D),144,Why'd you do that?
145,HARRY,145,What?
146,LLOYD,146,Take your seatbelt off.
147,HARRY,147,"Because we just cleared the danger
zone."
148,LLOYD,148,Huh?
149,HARRY,149,"Don't you know anything, Lloyd? Ninety
percent of all accidents happen within
five miles of home. We've already
traveled 6.3 miles."
150,LLOYD,150,"Well what about the people who live
around here? What if we got into an
accident with one of them?"
151,HARRY,151,Where'd you get those?
152,LLOYD,152,Bought 'em when we filled up.
153,HARRY,153,"Lloyd, I thought we agreed to confer
on all expenditures. We're on a tight
budget, remember?"
154,LLOYD,154,"This didn't come out of our travel
fund. I was able to scrape up twenty-
five bucks before we left. You know,
so we could live in style."
155,HARRY,155,"Where'd you get twenty-five extra
bucks?"
156,LLOYD,156,I sold some stuff to Billy in 4-C.
157,HARRY,157,You mean the blind kid?
158,LLOYD,158,That's right.
159,HARRY,159,"What did you sell him, Lloyd?"
160,LLOYD,160,Just some odds and ends.
161,HARRY,161,Specifically?
