,character,line #,line
0,TRACY (VO),0,"None of this would have happened if Mr.
McAllister hadn't meddled the way he
did.  He should have just accepted
things as they are instead of trying to
interfere with destiny.  You see, you
can't interfere with destiny.  That's
why it's destiny.  And if you try to
interfere, the same thing's going to
happen anyway, and you'll just suffer."
1,JIM,1,"Morning, Lowell"
2,JIM,2,Twenty-one... twenty-two.
3,"MOTHER
(distant)",3,Good luck!
4,TRACY,4,"Good morning, Mr. McAllister."
5,JIM,5,"Not wasting any time, are you, Tracy?"
6,"TRACY
(chirping)",6,"You know what they say about the early
bird."
7,JIM,7,"Yes, I do."
8,JIM,8,"Well, good luck there, Tracy"
9,TRACY,9,"Thanks, Mr. M."
10,TRACY (VO),10,"No matter what he says, Mr. McAllister
had it out for me from the start.  Oh
sure, he was all smiles and good wishes
and everything, but underneath he was
just as unfair and petty as anybody
else."
11,TRACY (VO CONT'D),11,"He'll probably tell you how committed
he was to teaching and democracy and
integrity and all. Don't be fooled."
12,JIM (VO),12,"It's hard to remember how the whole
thing started, the whole election mess.
What I do remember is that I loved my
job. I was a teacher, an educator, and I
couldn't imagine doing anything else."
13,VOICE (OS),13,"Hey, Mr. M. Mr. M.!"
14,PAUL,14,Stop daydreaming! Get back to work!
15,JIM (VO),15,"The students knew it wasn't just a job
for me."
16,JIM,16,"C'mon, wolverines!  Defense!  Let's
hold 'em back!"
17,JIM (VO),17,I got involved. And I cared.
18,JIM (VO CONT'D),18,And I think I made a difference.
19,JIM (VO CONT'D),19,"I knew I touched the students' lives
during their difficult young adult
years, and I took that responsibility
seriously."
20,JIM (VO CONT'D),20,"In the twelve years I taught U.S.
History, Civics and current Events at
Millard, I was voted Teacher of the Year
three times - a school record."
21,JIM (VO CONT'D),21,"Standing in front of a room full of
young people, trying to make them think
that's how I wanted to spend the rest
of my life,"
22,JIM,22,"So would this be an ethical situation
or a moral situation? What's the
difference between ethics and morals,
anyway?"
23,JIM (CONT'D),23,Anybody
24,JIM (CONT'D),24,Derek
25,DEREK,25,"Uh, ethics is like when you, uh, do
what society tells you is right and
morals are like, uh..."
26,JIM,26,"You're on the right track,  who can
help him out?"
27,DEREK,27,..morals are when...
28,JIM,28,Michelle?
29,MICHELLE,29,"Morals are like lessons, you know, like
the moral of a story; it's what you
learn from a story or a fable or
something. . ."
30,JIM,30,"Or a life experience.  Good.  And
ethics?"
31,MICHELLE,31,"That's more like, urn... Ethics is how
you use the morals... that you learn
from a story?"
32,JIM,32,"Okay.  But we're still missing
something key here.  What are we
missing?"
33,"TRACY
(hand still raised)",33,I know.
34,"JIM
(finally)",34,Tracy.
35,TRACY,35,Ethics are...
36,JIM (VO),36,"Tracy Flick.  Tracy Flick.  I've never
met anyone quite like Tracy Flick."
37,JIM (VO CONT'D),37,"She first showed up in my life as a
freshman delegate in student council.
I'd seen a lot of ambitious students
come and go over the years, but I could
tell right away Tracy Flick was
different."
38,JIM (VO CONT'D),38,"It wasn't long before everyone knew who
Tracy Flick was.  She made sure of that.
Her drive was astonishing.  Even scary."
39,TRACY (VO CONT'D),39,"Some people say I'm an overachiever,
but I think they're just jealous."
40,TRACY (VO CONT'D),40,"My Mom always tells me I'm different --
you know, special. And if you look at
all the things I've accomplished so far,
I think you'd have to agree."
