,character,line #,line
0,REED,0,"High open space, exposed structural
elements.  Obviously aimed at first
time visitors to create feelings of...
smallness, inadequacy."
1,BEN,1,"Good thing it ain't workin... Reed,
what are we doing here?  This guy's
fast-food, strip-mall science --"
2,REED,2,"This wasn't our first stop, in case
you forgot NASA.  And Victor's not
that bad.  He's just a little..."
3,REED,3,Larger than life.
4,REED,4,"He's financed some of the biggest
breakthroughs of this century."
5,BEN,5,You'd never know it.
6,BEN (CONT'D),6,Jesus.  That too?
7,REED,7,Reed Richards and Ben Grimm to see --
8,FEMALE RECEPTIONIST,8,"Executive elevator, top floor."
9,BEN,9,What's the price for a smile round here?
10,REED (O.S.),10,"My research suggests that exposure to
a high-energy cosmic storm born on
solar winds might have triggered the
evolution of early planetary life."
11,REED (CONT'D),11,"In six weeks another cloud with the
same elemental profile will pass
Earth's orbit.  A study in space could
advance our knowledge about the
structure of the human genome, and
help cure countless diseases, extend
human life --"
12,REED (CONT'D),12,"Give kids the chance to be stronger,
healthier, less prone to --"
13,SHADOWED FIGURE,13,Turn it off.  Please.
14,REED,14,But I haven't fully explained my --
15,SHADOWED FIGURE,15,"Yes you have... Imagination.
Creativity.  Passion.  Those were
always your trademarks."
16,VICTOR,16,"But dreams don't pay the bills, do
they?"
17,VICTOR,17,"Same old Reed, the hopeless optimist.
Still reaching for the stars, with the
world on your back."
18,REED,18,"You remember in school we talked about
working together.  That's what I was
about to explain..."
19,VICTOR,19,"So it's not my money you want.  It's
my toys... Tell me: if NASA doesn't
trust you, why should I?"
20,VICTOR (CONT'D),20,"That's my job.  To stay a step ahead.
To know what other men don't."
21,BEN,21,I can't take this.
22,REED,22,Ben.  This is business.  Just work.
23,SUE (O.S.),23,"He's right, Ben."
24,SUE (CONT'D),24,It's just business.
25,VICTOR,25,"I think you both know my Director of
Genetic Research, Susan Storm."
26,BEN,26,Heya Susie.
27,BEN,27,One more thing he's got.
28,SUE,28,"Ben, it's been too long."
29,REED,29,"You're, you've, I mean, how have you
bee--"
30,SUE,30,Never better.
31,VICTOR,31,"This isn't going to be a problem, is
it?"
32,REED,32,Not at all.
33,SUE,33,Ancient history.
34,VICTOR,34,"Good.  Then you're just in time to
hear the great Reed Richards ask me
for help."
35,VICTOR,35,"You know, you made a lot of folks at
MIT feel like a junior high science
fair.  So you'll excuse me if I savor
the moment."
36,REED,36,"You back this mission, and I'll sign
over a fair percentage of any
applications or --"
37,VICTOR,37,"The number's seventy-five.  And it's
applications and patents."
38,BEN,38,What about his first born?
39,REED,39,"Ben, the money's not important.  We
could save lives."
40,VICTOR,40,"Twenty-five percent of a billion is
enough to keep the lights on, isn't
it?  Maybe even pay off your fourth
mortgage on the Baxter Building."
41,VICTOR (CONT'D),41,Deal...?
42,VICTOR (CONT'D),42,"Well then, to our future.  Together."
43,VICTOR (CONT'D),43,"Funny how things turn out, isn't it?"
44,REED,44,Hilarious.
45,VICTOR,45,"If Reed's right, then this little trip
will double our stock offering."
46,LEONARD,46,And if he's not...?
47,VICTOR,47,"Reed's always right.  Good thing he
doesn't always know what he's got..."
48,BEN,48,"He knew about NASA.  What if he made
the call to shut us down --"
49,REED,49,"Ben, think about all the people we can
help if this works --"
50,BEN,50,"Maybe you should think about yourself
for once.  You always let this guy
push you round --"
51,REED,51,"We got what we wanted.  That's
enough."
52,BEN,52,"I know, I know.  I'm just worried
about what he wants... Speaking of
which..."
53,SUE,53,"You sure about this, Reed?"
54,REED,54,"Those solar winds are flaring, but I
factored them into my coordinates and --"
55,SUE,55,"I was talking about us.  Working
together."
56,REED,56,"Well, uh, based on our history...you
can handle the biogenetics, and I'll
focus on the molecular physics.  Or,
uhm, maybe I should take the biotech,
you work the microscopes, since you
have some background in electropho--"
57,SUE,57,Right.  That's exactly what I meant.
58,BEN,58,Way to not overthink it.
59,BEN,59,So when do we leave?
60,SUE,60,"I'll schedule the launch.  Call me in
the morning to talk about resources
and crew."
61,REED,61,"I, uh, think I remember the number."
62,SUE,62,It's been changed.
63,REED,63,"As far as crew, I was hoping Ben could
pilot the mission --"
64,SUE,64,"Well, he's welcome to ride shotgun,
but we already have a pilot on our
payroll.  You remember my brother
Johnny..."
65,BEN,65,Can't do it.  I cannot do it.
66,REED,66,"External SRBs, orbital system engines.
Its just like the shuttles you flew
in --"
67,BEN,67,"No.  I cannot take orders from that
underwear model.  That wingnut washed
out of NASA for sneaking two Victoria
Secret wannabes into a flight
simulator."
68,REED,68,Youthful high spirits.
69,BEN,69,"They crashed it into a wall.  A flight
simulator."
70,REED,70,I'm sure he's matured since then.
71,REED (CONT'D),71,"When have I asked you to do something
you absolutely said you could not do?"
72,BEN,72,Five times.
73,REED,73,I had it at four.
74,BEN,74,This makes five.
75,JOHNNY (O.S.),75,Captain on the bridge!
76,JOHNNY (CONT'D),76,"Digital camera: $254.  Memory stick:
$59.  The look on your hard-ass former
CO's grill when he finds out he's your
junior officer: priceless."
77,BEN,77,"I can handle the ship.  I can even
handle Mr. Blonde Ambition.  But I
don't know if I should be flying or
playing Vegas in these suits.  Who the
hell came up with them?"
78,SUE,78,Victor did.
79,SUE (CONT'D),79,"The synthetics act as a second skin,
adapting to your individual needs to --"
80,JOHNNY,80,"Keep the hot side hot, and the cool
side cool!"
81,REED,81,Wow.  Fantastic.
82,REED (CONT'D),82,"Material made from self-regulating
unstable molecules.  I've been working
on a formula for this."
83,SUE,83,Great minds think alike.
84,VICTOR (O.S.),84,Guess some think faster than others.
85,VICTOR (CONT'D),85,"I hired Armani to design the pattern.
These colors will look great on
camera."
86,LEONARD,86,"They're ready for you, sir."
87,VICTOR,87,Showtime.
88,LEONARD,88,"Our numbers are through the roof.  The
IPO's tracking at fifty, sixty a
share.  The bank's five times
oversubscribed --"
89,VICTOR,89,"It's not just the money.  I could make
money in my sleep."
90,LEONARD,90,Then what is it?
91,VICTOR,91,"History, Leonard.  History.
Everything else is conversation..."
92,VICTOR,92,How's the other matter?
93,LEONARD,93,Harry Winston sends his regards.
94,VICTOR,94,"Today we stand on the edge of a new
frontier.  In the furthest depths of
outer space...we will find the secrets
to inner space.  The final key to
unlocking our genetic code lies in a
cosmic storm..."
95,BEN,95,Isn't that your speech?
96,REED,96,He's made a few changes.
97,BEN,97,"This is your dream, Reed.  You should
be the one up there."
98,REED,98,Victor's better at these things.
99,BEN,99,I'll be watching over you.
100,DEBBIE,100,"Just get back soon, or I start looking
for a new groom."
101,BEN,101,"Soon as I'm back, I'm gonna trade that
in for a bigger rock."
102,DEBBIE,102,"I don't care about rocks, I care about
you."
103,DEBBIE,103,"You bring him back in one piece, or
you can forget being Best Man."
104,BEN,104,"What the hell you smiling at?  Just
keep your mouth shut, and your mind on
those SMBs --"
105,JOHNNY,105,"Actually, the engines are SMEs.
Hydrogenbase, carbon propellant.
Couple generations past your last
ride."
106,JOHNNY,106,I'm not as dumb as you look.
107,VICTOR,107,"Think of a world without genetic flaws
-- no asthma, allergies, baldness,
breast cancer..."
108,BEN,108,What's wrong with being bald...?
109,VICTOR,109,"Darwin discovered evolution.  Now we --
I -- will define it.  Only in America
could..."
110,VICTOR (V.O.) (CONT'D),110,"...a little country boy from Latveria
build one of the biggest companies in
the world, and truly reach the stars.
Now if you'll excuse me, history
awaits..."
111,JOHNNY,111,"If you behave, maybe next time
daddy'll let you drive."
112,BEN,112,"Keep talking, there won't be a next
time."
113,SUE,113,"Long way from the projection booth at
the Hayden Planetarium, isn't it?"
114,REED,114,Yes.  Yes it is.
115,VICTOR,115,"Leonard, how's the feed?"
116,LEONARD (V.O.),116,"Recording, sir.  We see you perfectly."
117,SUE,117,"We can monitor the cloud's approach
and observe the tests from here."
118,BEN,118,Is it safe?
119,REED,119,"The shields on the station should
protect us."
120,BEN,120,Should?
121,VICTOR,121,"What's wrong, Ben?  Eighty-million
dollars worth of equipment not enough
for you?"
122,REED,122,"Let's start loading those samples.
Get your suit ready, Ben."
123,VICTOR,123,So you still do all the heavy lifting?
124,VICTOR (CONT'D),124,"Maybe you should have stayed back in
the lab.  Field work never suited you."
125,BEN,125,"He does the talking.  I do the
walking.  Got it?"
126,VICTOR,126,"Got it.  So take a walk, Ben...I'm
going to borrow Susan for a second."
127,REED,127,Sure.
