,character,line #,line
0,CLERK,0,"And how are you today, sir?"
1,MAN,1,"Real good now.  I'm checking in
- Mr. Anderson."
2,CLERK,2,"Okay, Mr. Anderson, and you're
still planning on staying with
us just the night, then?"
3,ANDERSON,3,You bet.
4,NEWS ANCHOR,4,"- whether they will go to summer
camp at all.  Katie Jensen has
more."
5,KATIE,5,"It was supposed to be a project
funded by the city council;  it
was supposed to benefit those
Fargo-Moorehead children who
would otherwise not be able to
afford to attend a lakeshore
summer camp.  But nobody consulted
city controller Stu Jacobson..."
6,WAITRESS,6,Can I warm that up for ya there?
7,ANDERSON,7,You bet.
8,ANDERSON,8,"I'm, uh, Jerry Lundegaard -"
9,YOUNGER MAN,9,You're Jerry Lundegaard?
10,JERRY,10,"Yah, Shep Proudfoot said -"
11,YOUNGER MAN,11,"Shep said you'd be here at 7:30.
What gives, man?"
12,JERRY,12,Shep said 8:30.
13,YOUNGER MAN,13,"We been sitting here an hour.
I've peed three times already."
14,JERRY,14,"I'm sure sorry.  I - Shep told
me 8:30.  It was a mix-up, I
guess."
15,YOUNGER MAN,15,Ya got the car?
16,JERRY,16,"Yah, you bet.  It's in the lot
there.  Brand-new burnt umber
Ciera."
17,YOUNGER MAN,17,"Yeah, okay.  Well, siddown then.
I'm Carl Showalter and this is
my associate Gaear Grimsrud."
18,JERRY,18,"Yah, how ya doin'.  So, uh, we
all set on this thing, then?"
19,YOUNGER MAN,19,"Sure, Jerry, we're all set.  Why
wouldn't we be?"
20,JERRY,20,"Yah, no, I'm sure you are.  Shep
vouched for you and all.  I got
every confidence in you fellas."
21,JERRY,21,"...  So I guess that's it, then.
Here's the keys -"
22,CARL,22,"No, that's not it, Jerry."
23,JERRY,23,Huh?
24,CARL,24,"The new vehicle, plus forty
thousand dollars."
25,JERRY,25,"Yah, but the deal was, the car
first, see, then the forty
thousand, like as if it was the
ransom.  I thought Shep told you -"
26,CARL,26,"Shep didn't tell us much, Jerry."
27,JERRY,27,"Well, okay, it's -"
28,CARL,28,"Except that you were gonna be
here at 7:30."
29,JERRY,29,"Yah, well, that was a mix-up, then."
30,CARL,30,"Yeah, you already said that."
31,JERRY,31,"Yah.  But it's not a whole pay-
in-advance deal.  I give you a
brand-new vehicle in advance and -"
32,CARL,32,"I'm not gonna debate you, Jerry."
33,JERRY,33,Okay.
34,CARL,34,"I'm not gonna sit here and debate.
I will say this though:  what Shep
told us didn't make a whole lot
of sense."
35,JERRY,35,"Oh, no, it's real sound.  It's
all worked out."
36,CARL,36,You want your own wife kidnapped?
37,JERRY,37,Yah.
38,CARL,38,"...  You - my point is, you pay
the ransom - what eighty thousand
bucks? -  I mean, you give us
half the ransom, forty thousand,
you keep half.  It's like robbing
Peter to play Paul, it doesn't
make any -"
39,JERRY,39,"Okay, it's - see, it's not me
payin' the ransom.  The thing is,
my wife, she's wealthy - her dad,
he's real well off.  Now, I'm in
a bit of trouble -"
40,CARL,40,"What kind of trouble are you in,
Jerry?"
41,JERRY,41,"Well, that's, that's, I'm not go
inta, inta - see, I just need
money.  Now, her dad's real
wealthy -"
42,CARL,42,"So why don't you just ask him
for the money?"
43,GRIMSRUD,43,"Or your fucking wife, you know."
44,CARL,44,"Or your fucking wife, Jerry."
45,JERRY,45,"Well, it's all just part of this -
they don't know I need it, see.
Okay, so there's that.  And even
if they did, I wouldn't get it.
So there's that on top, then.  See,
these're personal matters."
46,CARL,46,Personal matters.
47,JERRY,47,"Yah.  Personal matters that
needn't, uh -"
48,CARL,48,"Okay, Jerry.  You're tasking us
to perform this mission, but you,
you won't, uh, you won't - aw,
fuck it, let's take a look at
that Ciera."
49,JERRY,49,Hon?  Got the growshries.
50,VOICE,50,"Thank you, hon.  How's Fargo?"
51,JERRY,51,"Yah, real good."
52,VOICE,52,Dad's here.
53,JERRY,53,"How ya doin', Wade?"
54,WADE,54,"Yah, pretty good."
55,JERRY,55,Whatcha watchin' there?
56,WADE,56,Norstars.
57,JERRY,57,...  Who they playin'?
58,WADE,58,OOOoooh!
59,JERRY,59,"Is he stayin' for supper, then?"
60,WIFE,60,"Yah, I think so...  Dad, are you
stayin' for supper?"
61,WADE,61,Yah.
62,SCOTTY,62,May I be excused?
63,JERRY,63,"Sure, ya done there?"
64,SCOTTY,64,Uh-huh.  Goin' out.
65,WIFE,65,Where are you going?
66,SCOTTY,66,Just out.  Just McDonald's.
67,JERRY,67,Back at 9:30.
68,SCOTTY,68,Okay.
69,WADE,69,"He just ate.  And he didn't finish.
He's going to McDonald's instead
of finishing here?"
70,WIFE,70,"He sees his friends there.  It's
okay."
