,character,line #,line
0,FATHER'S VOICE (TOM),0,Where's my wallet?!
1,SEVEN YEAR OLD BOY (TODD),1,YOU IDIOT!!
2,TWELVE YEAR OLD GIRL (KIMBERLY),2,MOM!
3,TODD,3,SHUT-UP!
4,EIGHTEEN YEAR OLD GIRL (JEANIE),4,I NEED A TOWEL!!
5,TOM,5,JOYCE!
6,KIMBERLY,6,"When you turn ten, your head's going
to swell up real big like a watermelon
and we're going to have to put you
to sleep like they do with a dog."
7,TODD,7,MOM!
8,TOM,8,JOYCE!!
9,JEANIE,9,WHO PISSED ON THE TOILET SEAT!? MOTHER!!
10,TOM,10,Where's Mom?
11,TODD,11,Is my head going to swell up?
12,TOM,12,What?!
13,JEANIE,13,"OH, MY GOD! THE TOILET PAPER'S ALL WET!!!"
14,MOTHER (JOYCE),14,TOM!
15,TODD,15,What's that?
16,KIMBERLY,16,Wait! Hold still!
17,TODD,17,What?!
18,KIMBERLY,18,You heads starting to swell up!!
19,TOM,19,What's the matter?
20,JOYCE,20,It's Ferris!
21,TOM,21,What's wrong?
22,JOYCE,22,"What's wrong? For Christ's sake!
Look at him!"
23,TOM,23,Ferris?
24,JOYCE,24,"He doesn't have a fever. But he says
his stomach hurts and he's seeing spots."
25,TOM,25,"What's the matter, Ferris?"
26,JOYCE,26,Feel his hands. They're cold and clammy.
27,TOM,27,Should you call the doctor?
28,JOYCE,28,He doesn't want me to.
29,TOM,29,"Why don't you want Mom to call
the doctor?"
30,TOM,30,What?
31,FERRIS,31,Don't make a fuss. I'm fine. I'll get up.
32,FERRIS,32,"I have a test today. I have to take it.
I want to get into a good college
so I can have a fruitful life..."
33,JOYCE,33,"You're not going to school like
this."
34,JOYCE,34,"Maybe I should call the office and
tell them I won't be in."
35,FERRIS,35,"I'm okay, Mom. I feel perfectly...Oh, God!"
36,JEAN,36,"Oh, fine. What's this? What's his problem?"
37,JOYCE,37,He doesn't feel well.
38,JEAN,38,"Yeah, right. Dry that one out
and you can fertilize the lawn."
39,TOM,39,"That's enough, Jeanie."
40,JEANIE,40,"You're not falling for this, are you?
Tell me you're not falling for this."
41,FERRIS,41,"Is that Jeanie? I can't see that
far. Jeanie?"
42,JEANIE,42,"Pucker up and squat, Ferris."
43,JOYCE,43,"Thank you, Jeanie. Get to school."
44,JEANIE,44,"You're really letting him stay home?
I can't believe this. If I was bleeding
out my eyes, you guys'd make me go to
school. It's so unfair."
45,FERRIS,45,"Please don't be upset with me, Jeanie.
Be thankful that you're fit and have
your health. Cherish it."
46,JEANIE,46,"Oh, I wanna puke."
47,KIMBERLY,47,Myocardial infarction?
48,JOYCE,48,"Get your stuff. Daddy'll be right
down."
49,KIMBERLY,49,"Syphilitic meningitus? That would be
a huge family embarrassment."
50,TOM,50,Get downstairs!
51,KIMBERLY,51,"If he dies, I got dibs on his stereo."
52,TODD,52,Dad? Does my head look alright?
53,JOYCE,53,Get downstairs! Now!
54,TODD,54,"Just answer me one question! Is it
swelling up? Kim said it was going
to get as big as..."
55,KIMBERLY (OC),55,A WATERMELON!
56,TODD,56,Shut-up!
57,JOYCE,57,Get downstairs! NOW!
58,FERRIS,58,"I'll be okay. I'll just sleep.
Maybe I'll have an aspirin around
noon."
59,JOYCE,59,"I'm showing houses to the family
from California today but I'll be in
the area. My office'll know where
I am, if you need me."
60,TOM,60,"I'll check it with you, too."
61,FERRIS,61,"It's nice to know I have such
loving, caring parents. You're
both very special people."
62,JOYCE,62,"I hope you feel better, pumpkin."
63,TOM,63,Get some rest.
64,JOYCE (OC),64,"We love you, sweetie."
65,TOM (OC),65,Call if you need us.
66,FERRIS,66,They bought it.
67,FERRIS,67,"Incredible! One of the worst performances
of my career and they never doubted it
for a second."
68,FERRIS,68,What a beautiful day!
69,FERRIS,69,"Parents always fall for the clammy hands.
It's physical evidence of illness. It's
a good, non-specific symptom. Parents are
generally pretty hip to the fever scams.
And to make them work you have to go a hundred
and one, hundred and two. You get a nervous
mother and you end up in a doctor's office
and that's worse than school."
70,FERRIS,70,"Fake a stomach cramp and when you're
doubled over, moaning and wailing, just
lick your palms. It's a little stupid
and childish but then so if high school.
Right?"
71,FERRIS,71,"This is my ninth sick day with semester.
If I go for ten, I'm probably going to
have to barf up a lung. So, I absolutely
must make this one count."
72,FERRIS,72,"I don't care if you're fifty five
or seven, everybody needs a day off
now and then. It's a beautiful day.
How can I be expected to handle
high school?"
73,FERRIS,73,"I do actually have a test. That wasn't
bullshit."
74,FERRIS,74,That I care about it was.
75,FERRIS,75,"It's on European socialism. I mean,
really. What's the point? I'm not
European. I don't plan to be European.
So, who gives a shit if they're socialists?
They could be fascist anarchists and it
still wouldn't change the fact that I
don't own a car."
76,FERRIS,76,"WELL SHAKE IT UP, BABY,
TWIST AND SHOUT..."
77,FERRIS,77,"Not that I condone fascism. Or
and ""isms"". ""Isms"", in my opinion
are not good. A person should not
believe in an ""ism"". He should
believe in himself. John Lennon
said it on his first solo album.
""I don't believe in Beatles, I
just believe in me."" A good point
there. Afterall, he was the Walrus."
78,FERRIS,78,"I could be the Walrus and I'd still
have to bum rides off people."
79,FERRIS (OC),79,"I'm not very political? Let me
put that into perspective..."
