,character,line #,line
0,COMMODUS,0,Do you think he's really dying?
1,LUCILLA,1,He's been dying for ten years.
2,COMMODUS,2,I think he's really dying this time.
3,COMMODUS,3,He has to be bled every night now.
4,LUCILLA,4,How do you know that?
5,COMMODUS,5,I've been so informed.
6,COMMODUS,6,"If he weren't really dying he
wouldn't have sent for us."
7,LUCILLA,7,Maybe he just misses us.
8,COMMODUS,8,"And the Senators.  He wouldn't have
summoned them if --"
9,LUCILLA,9,"Peace, Commodus.  After two weeks on
the road your incessant scheming is
hurting my head."
10,COMMODUS,10,"The first thing I shall do is honor
him with games worthy of his
majesty."
11,LUCILLA,11,"The first thing I shall do is have a
hot bath."
12,COMMODUS,12,Why have we stopped?
13,PRAETORIAN GUARD MEMBER,13,"We're here, sir."
14,COMMODUS,14,Where is my father?
15,SOLDIER #1,15,"He's at the front, sir."
16,COMMODUS,16,Is the battle won?
17,SOLDIER #1,17,"Don't know, sir.  They've been gone
for eight days."
18,COMMODUS,18,"My sister wants a bath, take her to
the camp."
19,COMMODUS,19,Take me to my father.
20,LUCILLA,20,"Civilization at last.  Gods preserve
us."
21,TITUS,21,"You would do as well to read the
mind of a rhinoceros."
22,QUINTUS,22,"These barbarians would rather drown
in blood than yield an inch.  If I
didn't hate them so much I would
admire them."
23,TITUS,23,They simply will not surrender.
24,MAXIMUS,24,"A people should know when they are
conquered."
25,MAXIMUS,25,"At the first signal release the
catapults.  We'll use the cavalry to
cut off the retreat."
26,QUINTUS,26,"General, I don't recommend that.
Our cavalry might be caught in the
flames."
27,MAXIMUS,27,"I hope not, because I'm going to be
leading them."
28,MAXIMUS,28,"Why don't they know they're already
dead?"
29,QUINTUS,29,Now!
30,MAXIMUS,30,Hold steady... steady...
31,MAXIMUS,31,Steady...
32,MAXIMUS,32,Brothers -- I salute you!  For Rome!
33,MAXIMUS,33,Caesar.
34,MARCUS,34,"Maximus, you prove your valor again.
Let us hope for the final time here."
35,MAXIMUS,35,"I don't think there's anyone left to
fight."
36,MARCUS,36,"There are always people left to
fight..."
37,MARCUS,37,"But this night, at least, Germania
is at last defeated... What will you
do now, my friend?"
38,MAXIMUS,38,"Should Caesar permit, I'll go home.
I've been away too long.  I've
forgotten my wife's face and I
barely know my son."
39,GERMAN PRISONER,39,"THIS BLOOD MEANS NOTHING, CONQUEROR!"
40,MARCUS,40,Stop...
41,MARCUS,41,... You speak our language?
42,GERMAN PRISONER,42,"You have been in my homeland for
twelve years.  Of course I speak
your language.  So did my son, who
you murdered.  So did my daughter,
who you raped."
43,MAXIMUS,43,"Come, Caesar..."
44,MARCUS,44,No.  Let him speak...
45,MARCUS,45,"... I am Rome, what would you say to
me?"
46,GERMAN PRISONER,46,"You are that sun, Rome, and your
time is over... You can slit a
thousand throats here, and you can
put a thousand babies to the sword,
but it will always be our home."
47,MARCUS,47,Now it is Rome.
48,GERMAN PRISONER,48,"It will never be Rome.  Not as long
as one German breathes."
49,MARCUS,49,"No... Release him.  Give him safe
passage.  Let him go to his family."
50,MARCUS,50,"Tell me again, Maximus, why are we
here?"
51,MAXIMUS,51,"For the glory of the empire, sire."
52,MARCUS,52,Yes.  I remember.
53,MAXIMUS,53,"They honor you, Caesar."
54,MARCUS,54,"I don't think they're standing for
me, Maximus.  They honor you."
55,COMMODUS,55,Have I missed it?
56,COMMODUS,56,Have I missed the battle?
57,MARCUS,57,"You've missed the war.  We're done
here."
58,COMMODUS,58,"Father.  Congratulations.  I shall
sacrifice a thousand doves to honor
your triumph."
59,MARCUS,59,"Spare the doves and honor Maximus,
he won the battle."
60,COMMODUS,60,"General, Rome salutes you and I
embrace you as a brother."
61,MAXIMUS,61,Highness.
62,COMMODUS,62,"Your Spaniards seem invincible.  May
the Gods favor the Felix Regiment
now and always..."
63,COMMODUS,63,"Here, Father, take my arm."
64,MARCUS,64,Where's your sister?
65,COMMODUS,65,"She's at the camp.  She had no
desire to see the gore of the
battlefield."
66,MARCUS,66,"Lucilla would eat every corpse here
if it brought her one step closer to
the throne."
67,MAXIMUS,67,"Caesar, you do the lady injustice."
68,MARCUS,68,"It's a foolish old cobra who doesn't
recognize his own off-spring..."
69,MARCUS,69,I think... I should ride now.
70,MARCUS,70,So much for the glory of Rome.
71,COMMODUS,71,He's dying.
72,COMMODUS,72,Poor old man.
73,MAXIMUS,73,"If you'll excuse me, Highness."
74,MAXIMUS,74,"What, Gallus, losing your other
hand?"
75,GALLUS,75,"Aye, General, they're going to make
a bronze one for it.  Long fingers
this time."
76,MAXIMUS,76,"And the women of your village will
crave your touch even more."
77,GALLUS,77,"Ah, then you know the women of my
village."
