,character,line #,line
0,MARIA,0,Hey.     Are you okay?
1,MARIA,1,Peter?    What's the matter?
2,MARIA,2,"Standing in the middle of the rush-hour pedestrian traffic is
KAREN (20s, American). She faces upstream, looking for
someone. The flow threatens to carry her away in a
heartbeat. She looks fragile, intimidated by the madness."
3,DOUG (O.S.),3,"Karen!
She turns to see her boyfriend DOUG (20s, American)
approaching. With a reassuring smile he takes her hand --
-- and together, they force their way through the throng,
trying to escape the flow. They're jostled and crushed by
the crowd, and Doug protectively pulls Karen closer."
4,KAREN,4,I'll never get used to this.
5,DOUG,5,"Maybe we should find a different
train station.
He abruptly stops, right in the middle of traffic, still
holding Karen's hand. She turns, wondering what's going on.
She sees the smile on his lips a moment before --
-- he sweeps Karen into his arms and kisses her. As if the
crowd of businessmen surging around them isn't there at all.
It's tender and loving, and she responds... at first.   But
then she pulls away, shy."
6,KAREN,6,"A public display of affection is
considered rude in Japan.
There's an opening ahead into a SIDE STREET.   Doug and Karen
deftly slip out of the traffic --"
7,KAREN,7,OMITTED
8,KAREN,8,"-- and walk hand-in-hand down the much quieter street, away
from the crowded thoroughfare.
Doug smiles as they pass by two JAPANESE HIGH SCHOOL COUPLES,
making out on the street corner. He turns to give Karen a
sarcastic look --"
9,KAREN,9,What's that?
10,DOUG,10,"We walk past this temple every day,
Karen --"
11,KAREN,11,"Yeah, but I've never seen this
before."
12,KAREN,12,"It's a Buddhist ritual. The
incense smoke carries the prayers
to the spirits of his ancestors, to
help them remain at peace."
13,DOUG,13,"It's amazing. You're like this
infinite storehouse of wisdom. Or
trivia. I'm not sure which."
14,KAREN,14,"It's not trivia. It's what they
believe. And it's far better, by
the way, than your little pollution
ritual."
15,KAREN,15,What?
16,"Revisions (Blue) -- 1/26/04      2B.
DOUG",16,"Nothing. I just -- I like that
about you. You seem to be able to
remember everything that's really
important."
17,DOUG,17,Except the time.
18,KAREN,18,"Oh, crap --"
19,KAREN,19,"C'mon, you're gonna be late."
20,KAREN,20,"An international college in Tokyo. The autumn chill doesn't
deter the students from enjoying the beautiful day.
Karen and Doug, still holding hands, enter the campus."
21,KAREN,21,"Karen and Doug approach the doors of a NURSING CARE CENTER.
She pulls him to the side just as he's stepping under a
WORKMAN'S LADDER by the doors."
22,KAREN,22,Uh-uh. Seven years of bad luck.
23,KAREN,23,"And I might have a vested interest
in those years."
24,DOUG,24,Is that right?
25,KAREN,25,"Maybe.
Doug smiles, kissing her romantically.   Then:"
26,DOUG,26,Will I see you tonight?
27,KAREN,27,"I'll call you when I get home.
With a flourish, Doug SWINGS HIMSELF back under the ladder."
28,DOUG,28,Fourteen.    I hate odd numbers.
29,DOUG,29,"Through the front doors, we see Doug kiss Karen again.   They
finally separate, and Doug walks off."
30,Revisions (Blue) -- 1/26/04     5.,30,Karen!
31,Revisions (Blue) -- 1/26/04     5.,31,Are you free this afternoon?
32,KAREN,32,"I just came by to pick up some
books I left here. I'm not
scheduled to work today --"
33,KAREN,33,"I know. But are you free?    Do you
have class?"
34,KAREN,34,"(shaking her head:)
Just a test to study for.   Why?"
35,KAREN,35,Your wish has been granted.
36,KAREN,36,"It's Yoko's case, but she didn't
show up for work this morning, and
I can't reach her at home. She
must be sick, or something. And
she has the damn house key."
37,KAREN,37,What's this phrase?
38,KAREN,38,"""Mild dementia with severe
lethargy."" Apparently she sleeps
through most of the day. Her
daughter-in-law doesn't work, so
she'll probably be there."
39,KAREN,39,"You're the one who's been bugging
me about getting out there on your
own. Besides, it's an English-only
house."
40,KAREN,40,"Here's the address. Use the wall
chart if you need help -- and don't
forget to bring a map."
41,KAREN,41,"Karen looks at THE ADDRESS -- a string of thirty numbers and
Japanese characters. She glances up at
THE WALL CHART: a color-coded diagram shows how the long
address string is broken down into Postal Code, Prefecture,
City, Ward, District, Block, Sub-Block and House Number."
42,KAREN,42,"Don't worry Karen, you're ready.
Karen nods.   But she's not quite as confident."
43,KAREN,43,"People rush madly around Karen as she studies A LARGE MAP on
the wall. It's the Tokyo rail system -- daunting, at best."
44,KAREN,44,OMITTED
45,KAREN,45,"Karen sits uncomfortably on the crowded transit car, squeezed
in tightly by the people around her. The LOUD CRYING of a
baby adds to her discomfort."
46,KAREN,46,"The transit car pulls to a stop and a handful of people get
out. Karen is one of them, shouldering her backpack."
47,KAREN,47,"Karen walks down the populated sidewalk, weaving through
STREET VENDORS, and passing a large GROCERY STORE.
She pauses, looking at the address on her card. She
approaches a WOMAN and her DAUGHTER (6) and speaks to them in
Japanese. The woman nods, pointing towards a small ALLEY.
Karen gives the daughter a smile;   the girl hides behind her
mother's leg."
48,KAREN,48,"Karen exits the alley, entering a quiet, narrow street.
She's still not sure if she's in the right place.
But then her eyes fix on something. She begins to walk
towards it, her gaze never leaving it --"
49,KAREN,49,"-- it's THE HOUSE.   Cozy and shaded, nestled into the dead
end of the street.   Large by Tokyo standards.
She double-checks the address and opens the gate, walking
around a BICYCLE leaning against the wall and following the
stepping-stone path to the front door. She knocks. No
answer. She tries again. Nothing.
Then, an afterthought, she tries the handle.   It's unlocked."
50,KAREN,50,Karen pokes her head inside the genkan (entry hall).
51,KAREN,51,"Hello?   Mrs. Williams?
Nothing. She tentatively steps inside, and the door closes
behind her. It's dark and musty -- the blinds are drawn."
52,KAREN,52,"Is anyone here?
She turns and LOCKS THE FRONT DOOR."
53,KAREN,53,"Karen stands in the doorway, surveying the room.   The place
is in a complete state of disarray.
A SCRAPING sound grabs Karen's attention.
HER POV: at the far end of the room, a FROSTED-GLASS PANELED
DOOR leads to an adjacent room.
A HAND is visible on the other side, clawing at the glass.
Karen runs over and slides open the door, revealing --"
54,KAREN,54,"EMMA (60s, American). The older woman in the picture from
Karen's file. She's lying on her stomach on a stained
mattress, feebly looking up at Karen."
55,KAREN,55,"Oh my God... are you alright? --
Karen immediately kneels down next to the infirm woman,
helping her sit up. Emma looks dazed and disoriented.
Karen's eyes sweep the room.   It reeks of neglect."
56,KAREN,56,"Emma sits on the back porch, staring vacantly. But her
expression isn't simply blank - there's an odd sadness there."
57,KAREN,57,"Okay, Emma. Let's try again: my
name is Karen. Do you remember?
I'm from the Health Center. I'm
substituting for Yoko, just for
today.
Emma doesn't respond -- and there's no indication that she
remembers Karen introducing herself before.
Kneeling in front of Emma, Karen notices a BAND-AID around
one of her fingers. Blood has soaked through it."
58,KAREN,58,"Looks like you need a new Band-Aid.
How'd this happen, Emma?"
59,KAREN,59,"Would you like a bath? Maybe that
will help you feel better.
Emma doesn't even turn towards her."
60,KAREN,60,"Karen turns on the water, puts the stopper over the drain."
61,KAREN,61,"Karen supports Emma's weight as she leads the old woman
slowly down the hallway to the bathroom entrance --
-- Emma stops at the doorway.    Eyes fixed on THE TUB."
62,KAREN,62,"It's okay, Emma.
She takes Emma's hand and walks inside. But Emma doesn't
budge. Her free hand TIGHTLY CLUTCHES the door frame.
Her eyes are wide.   Staring at the bathtub."
63,KAREN,63,"Karen uses a sponge to bathe Emma, her robe rolled to her
waist. Emma stares absently at the sky."
64,KAREN,64,"With Emma back in bed, Karen steps out of the back room and
slides the door shut. Leans against it for a moment. A
tough first day on the job."
65,KAREN,65,"Karen has straightened up the room, and is vacuuming the
floor. Something under the couch catches in the vacuum
intake, jamming it.
She turns off the vacuum and feels underneath, pulling out A
CRUMPLED PHOTO -- ripped into pieces, compressed in a ball."
66,KAREN,66,"Karen sits at the kitchen table, flattening and taping
together the pieces of the photograph. She finishes.
ON THE PHOTO: a grinning JAPANESE BOY holds a cute BLACK
CAT. His MOTHER and FATHER stand beside him. They're all
beaming at the camera -- a perfect, happy family.
But there's a piece missing.   The MOTHER'S FACE.
Karen walks back into the Living Room. She looks underneath
the couch for the missing piece. Can't see anything.
She lays down and sticks her arm under the couch, feeling
around. Nothing.
Karen sticks her arm in deeper, to the shoulder, straining...
She suddenly jerks her arm back, wincing.   She has a small
cut on her finger.
Karen looks under the couch for what cut her --
-- a small FURNITURE NAIL sticks out underneath."
67,KAREN,67,"Nice one, Karen.
She gets to her feet, folding up the incomplete picture and
stuffing it into her pocket."
68,KAREN,68,"Karen steps into the foyer with the vacuum cleaner. She
looks up at A RAILING overhead. Some trash is visible
sticking over the edge. Karen shakes her head:"
69,KAREN,69,How did you get up there?
70,KAREN,70,"She gathers up the vacuum and heads up to the SECOND FLOOR
HALLWAY. There's a nearby door, closed (the FRONT ROOM), and
an open door at the end (the REAR ROOM).
As she looks for an outlet, she hears a SCRATCHING SOUND.
Karen stands there for a moment, listening.    Silence.
Then she walks towards the open door at the end of the hall."
71,KAREN,71,"Karen steps inside. MOVING BOXES are stacked against the
wall, next to a desk. It's an unfinished room.
She listens.   No scratching.   Nothing unusual here.   Except --
Karen notices a lone object sitting on an otherwise empty
shelf. It's a BLACK CERAMIC CAT. Facing the wall. Strange.
And then Karen hears the SCRATCHING SOUND again."
72,KAREN,72,"Karen steps into the hallway and listens.   There it is again,
and this time there's no doubt --
The sounds are coming from the room by the stairs.
Karen walks to the door. She pauses, disturbed by the eerie
sounds from inside. Then she reaches for the doorknob.
THUD. THUD. Karen hesitates. The strange rhythmic THUDDING
continues, coming from beyond the door."
73,KAREN,73,"Hello?
Karen takes a breath.   And turns the doorknob."
74,KAREN,74,"The sounds immediately stop as Karen enters the MASTER
BEDROOM. It's dark, thick blinds covering the windows. A
frosted window, overlooking the foyer, isn't helping much.
She stands there for a moment, listening.   Silence.
Then --"
75,KAREN,75,"SCRATCH SCRATCH. Startled, she gasps and turns towards THE
CLOSED CLOSET DOORS. That's where the sound is coming from.
And then she notices something strange about the closet door:
It's been sealed shut with duct tape.
The SCRATCHING quickens, as if sensing a presence nearby.
And then there's a muffled MEOW.   There's a cat in there?
Karen pulls off the duct tape. She reaches for the door
handle, slowly sliding it open a crack and peering inside --
The closet seems empty, except for a large BOOK on a shelf.
Karen reaches inside and picks it up.
Then she sees, in the darkened far corner of the closet, a
SMALL BLACK CAT. It's sitting on something, watching her.
Karen slides the door the rest of the way open --
-- revealing A YOUNG JAPANESE BOY (age 7) sitting in the
corner, staring at Karen. The cat is curled up on his lap.
Startled, Karen drops the book and falls backwards."
76,KAREN,76,Karen is on her cell phone:
77,KAREN (INTO PHONE),77,"Yes, he was shut in a closet!
There was tape around the -- No,
they're not home yet. I don't
know, Emma hasn't said a word to me
-- He's still upstairs -- yes, I'm
sure he's Japanese -- But -- Yes,
alright, Alex. Just please get
here as soon as you can.
Karen hangs up, putting the phone down on the kitchen table.
She leans against the counter, exasperated.
Then her attention turns to THE BOOK she found in the closet.
Karen can't resist.   She opens it.
THE BOOK is a large journal, filled with elegant Japanese
writing. Karen flips through it, stopping on --"
78,KAREN (INTO PHONE),78,"A PHOTOGRAPH.   A handsome young man, smiling at the camera.
We recognize him.   It's PETER, from the opening scene."
79,KAREN (INTO PHONE),79,"Karen walks to the front door, reaching out to unlock it --
-- but she pauses, realizing something.
She reaches into her pocket, pulling out THE PHOTO she found.
It only takes a second to verify --
-- THE BOY in the photo is the one she found in the closet.
Karen lowers the photo, bewildered.    Then she looks up,
startled by --
THE BOY. He's kneeling on the second floor landing above,
watching her through the bars of the metal railing. Creepy.
Karen takes a step forward, forcing a smile."
80,KAREN (IN JAPANESE),80,"Hello there.
Really creepy.
The boy just stares at her."
81,KAREN (IN JAPANESE),81,My name is Karen. What's yours?
82,KAREN (IN JAPANESE),82,"Toshio.
Before she can respond --
RING! RING!   The phone in the next room startles her."
83,KAREN (IN JAPANESE),83,"Karen enters the room as the ANSWERING MACHINE picks up, the
voices of a happy couple on the GREETING (in English):"
84,MATTHEW & JENNIFER (ON MACHINE),84,"""Konnichiwa! Matt and Jennifer
aren't around, leave a message."""
85,SUSAN (ON MACHINE),85,"""Hey, guys, it's Susan. Matt, are
you there? Pick up..."
86,(MORE),86,"Okay, well, I'm leaving work now so
you can try my cell, or just call
me at home later.""
The caller pauses. Karen steps closer to the phone base,
curious, listening:"
87,SUSAN (ON MACHINE),87,"""I just wanted to make sure Mom is
okay. Yesterday was... a bit
weird, and -- I'm just a little
worried.""
Karen, reluctant but realizing she should pick up, reaches
for the phone...
...but the PHONE BASE is empty.   The cordless is missing.
As Karen tries to figure out how to answer with the base:"
88,SUSAN (ON MACHINE),88,"""Listen, just give me a call when
you can, okay?""
CLICK.   Too late -- the caller hangs up.
Silence returns to the room... but not completely.     Karen
hears the soft sound of WHISPERING from nearby.
Beyond her, we see a PALE FACE (KAYAKO) pressed against the
frosted window of the sliding door of the TATAMI ROOM.
The face pulls away from the glass just before Karen turns
towards it. But the sound of WHISPERING continues.
As she slowly walks to the door, we can make out some words:"
89,SUSAN (ON MACHINE),89,"...I've told them over and over...
I've told them over and over...
Karen listens for a moment, then slides the door open."
90,SUSAN (ON MACHINE),90,"It's very dark in the room -- the lights have been turned
off. Emma, sitting up in bed, turns towards Karen."
91,KAREN,91,"Emma, who were you talking to?"
92,KAREN,92,"That's when Karen notices THE INDENTATION in the mattress,
across from where Emma is sitting. Where someone else would
be, if the old woman was having a conversation.
Emma looks up at Karen with pleading eyes."
93,EMMA,93,"I just want her to leave me alone.
Karen sits down next to her."
94,KAREN,94,"You should get some rest, Emma.
She helps Emma lie back --
-- but as the old woman's eyes move to the ceiling, they
suddenly grow wide, her mouth opening in fear --
-- Karen follows her gaze, looking up --
-- and she SCREAMS, falling off the mattress, backing away --
A MURKY BLACKNESS is lowering from the ceiling. Formless at
first, but flowing and shifting... like a FIGURE draped with
black silk. Drifting down until the shadowy ""head"" is only
inches from Emma's terrified face.
And then the ""head"" slowly turns, rotating towards Karen.
In the midst of the blackness are TWO DISEMBODIED EYES.
Filled with an intense rage. Focused directly on Karen.
Off Karen's NERVE-SHATTERING SCREAM, we..."
95,KAREN,95,"MATTHEW and his wife JENNIFER are in bed. He sleeps soundly,
she doesn't. She's staring at the ceiling, listening to --
-- SOUNDS coming in through the open bedroom door. Someone
moving downstairs, fumbling around, bumping into things.
Jennifer, frustrated, lets out a sigh."
96,KAREN,96,"Matthew comes downstairs, dressed in a business suit.    He
pauses to pick up some of the RUBBISH on the stairs."
97,KAREN,97,"Jennifer watches the last drops of coffee fall into the pot.
She pours herself a mug, takes a big sip. Looks exhausted.
Matthew enters, surprised to see her."
98,KAREN,98,You're up?
99,KAREN,99,"Mmmmmm.
Matthew glances into the back room through another sliding
door -- the windows on this one are clear, not frosted like
the living room.
HIS POV:   Emma is asleep on her mattress."
100,KAREN,100,"I wonder if Mom's okay. She's been
sleeping ever since we got here."
101,KAREN,101,"Not at night.
Matthew turns to her, surprised."
102,KAREN,102,"I told you, Matthew, you can sleep
through anything.
Matthew comes over, kisses her."
103,KAREN,103,"I'm sorry, sweetheart. It was
probably just the move -- I'm sure
she'll get back on schedule.
Jennifer nods, not convinced."
104,KAREN,104,You seen my travel mug?
105,KAREN,105,"I didn't unpack it yet.
Matthew kneels down next to a pair of MOVING BOXES in the
corner -- `KITCHEN' written on the side. He explores it."
106,KAREN,106,"Maybe you should say something to
the helper, what's her name?"
107,JENNIFER,107,Yoko.
108,JENNIFER,108,"Who knows? Maybe there's something
she can suggest."
109,JENNIFER,109,Yeah.     Maybe.
110,JENNIFER,110,I miss seeing this every morning.
111,JENNIFER,111,"Hey, kiddo. You okay?"
112,JENNIFER,112,"I went for a walk yesterday. Just
to explore. I got lost and
couldn't find anyone who could
speak English, who could help me.
I felt so... stupid."
113,JENNIFER,113,"This will get easier soon, for Mom,
for all of us. I promise."
114,JENNIFER,114,Or else?
115,JENNIFER,115,"Or else I'll tell the company it's
just not working out, and that
we're going back to the States with
or without my old job. They can
get someone else to crunch their
numbers."
116,MATTHEW,116,"But until then -- promise me you'll
give it a good try, okay Jen?"
117,JENNIFER,117,Deal.
118,JENNIFER,118,"The door opens and Matthew walks outside, stopping to look at
a familiar BICYCLE, leaning against the house near the door."
119,MATTHEW,119,Is this Yoko's bike?
120,JENNIFER,120,I think so.
121,MATTHEW,121,"It's been here all night.
Matthew rolls the bike from the porch to the gate, leaning it
against the wall (where we saw it earlier).
He turns back to Jennifer, giving her a kiss."
122,MATTHEW,122,"I'll probably be home late, maybe
around nine or so.
Jennifer gives him a look."
123,JENNIFER,123,"I knew you'd forget.
Matthew pauses, looks back blankly.    Jennifer just smiles."
124,JENNIFER,124,"Dinner, your sister?    At seven?"
125,MATTHEW,125,Oh yeah.   Right.
126,JENNIFER,126,You were going to cook.
127,MATTHEW,127,"I have a big conference.    They
usually run long.
Jennifer rolls her eyes."
128,JENNIFER,128,"I'll do the shopping. Just call me
if you're going to be late.
She goes back inside, closes the door."
129,JENNIFER,129,"Jennifer stands by a cart, looking pale under the stark
fluorescent lighting. She also looks shell-shocked.
HER POV: before her is a WALL OF JAPANESE PRODUCTS. Barely
a lick of English on any of the brightly-colored packages.
Jennifer is, in a word, clueless. She looks around for
assistance -- but she's lost in a whirl of Japanese faces.
She tentatively reaches towards a bowl-shaped package.
Studies the Japanese writing.
Stealing a glance around her, she quietly tears open a corner
of the bowl. Peeks inside. Sniffs it. She smiles."
130,JENNIFER,130,"CLOSE ON the same package, a microwaveable soup bowl, now
open with a spoon sticking out of it. Resting, with a glass
of water, atop the kotatsu table.
PAN TO REVEAL a pair of feet on the lip of a MOVING BOX next
to the table. It's Jennifer, asleep on the couch.
A CLATTERING sound wakes her, followed by the sound of
FOOTSTEPS running away. We PULL BACK as Jennifer sees her
bowl, and the glass next to it, have been knocked over.
She sits up, looking into the TATAMI ROOM. Emma sits on the
edge of her mattress, staring blankly at her.
Jennifer gets up, sternly walks over."
131,JENNIFER,131,"If you need something, all you have
to do is say so --
She stops short as she sees...
FOOTPRINTS. Formed from the broth, and noodles, of her
spilled soup. They're the footprints of a child.
And they lead away from the back room, down the main hallway."
132,JENNIFER,132,Jennifer looks back up to see Emma watching her.
133,JENNIFER,133,"Jennifer follows the DAMP FOOTPRINTS. They're getting
lighter, and cease altogether in the foyer.
She stands there for a moment, bewildered. Then she tenses,
as if sensing she's being watched. She slowly turns to see --
-- A BLACK CAT. Sitting on the first landing of the stairs.
Staring at her with bright yellow eyes.
As Jennifer takes a step towards it --
TWO CHILD'S HANDS reach around the corner, and pick up the
cat, pulling it out of view.
Jennifer freezes."
134,JENNIFER,134,"Who's -- who's there?
No response. She walks up the stairs and looks around the
corner. Nothing there.
She takes a deep breath, and starts to climb."
135,JENNIFER,135,"Reaching the top, Jennifer catches a glimpse of a familiar
BOY running into the FRONT ROOM.
She slowly walks towards the open door -- we can't see inside
the room from the hallway. But she pauses as she hears --
THUD.   THUD.   The same rhythmic thumping that Karen heard.
After a moment, Jennifer steps inside the room, disappearing
from our sight.
We hear her suddenly draw a GASP.
A beat. As we DRIFT CLOSER to the doorway, we notice
something strange: the room appears to be growing darker.
A SHARP BREATHING can be heard from inside... quick, panicked
gulps of air. Growing faster.
Just as we reach the doorway, the harsh breathing stops."
136,Revisions (Blue) -- 1/26/04   20A.,136,"Matthew enters from work, jacket slung over his shoulder."
137,MATTHEW,137,"Sorry I'm late, it took awhile to
wrap things up.
He leaves his briefcase by the door and turns to the hall --
-- noticing the house is completely DARK."
138,MATTHEW,138,Jen?   Susan?
139,MATTHEW,139,"Matthew turns on the lights. The room has reverted to its
messy state, even worse than before.
He looks down at A PICTURE, formerly hanging on the wall, now
lying on the ground. The glass is broken."
140,MATTHEW,140,"What the hell? --
He quickly goes to the BACK ROOM. Emma sits on the edge of
her bed, dazed and staring. In the darkness."
141,MATTHEW,141,"Mom?   Are you alright?
No answer.    He kneels down next to her."
142,MATTHEW,142,"Where's Jennifer, Mom?
Still nothing.      He surveys the mess in the room.   Angrily:"
143,MATTHEW,143,"Did Yoko come today, Mom?
Remember? The pretty girl?
He gets to his feet, looking at the SPILLED SOUP in the
living room, now hardened and crusty."
144,MATTHEW,144,"OVER THE RAILING:     Matthew re-enters the foyer, looking up."
145,MATTHEW,145,"Jen?   Are you up there?
He climbs up the stairs, walking to --"
146,MATTHEW,146,"Matthew stands in the doorway of the dark room.   He tries the
light switch. Nothing happens."
147,MATTHEW,147,"Dammit.
He slowly enters, feeling his way through the room. We can
barely make him out in the darkness... we see the shape of
THE BED by a window...
Matthew feels his way to a table next to the bed.   Switches
on a small lamp --
-- JENNIFER IS RIGHT NEXT TO HIM. Lying in bed, staring wide-
eyed at the ceiling. Matthew, startled, falls backwards."
148,MATTHEW,148,"Jennifer?    What is it --
Matthew rushes to her, shaking her. She's unresponsive. The
only sign she's alive is that HER FEARFUL EYES slowly fix on
him. Her mouth opens, as if she's trying to speak."
149,MATTHEW,149,"What's wrong? What happened???
She tries harder to form words, but can only produce a CROAK."
150,MATTHEW,150,I'll... I'll call an ambulance...
151,MATTHEW,151,"Matthew runs into the kitchen grabbing A LARGE BOOK on one of
the moving boxes. The Japanese equivalent of a YELLOW PAGES.
He whips it open -- hardly a word of English in it."
152,MATTHEW,152,"A stack of BOOKS sit on the very top of a tall bookshelf.
Scissors and a roll of DUCT TAPE rest atop them.
Matthew pushes everything aside to get at a JAPANESE/ENGLISH
DICTIONARY underneath. The DUCT TAPE falls to the floor.
He tears across the room to THE PHONE BASE -- but the
cordless phone is missing."
153,MATTHEW,153,Dammit!
154,MATTHEW,154,"Matthew re-enters, out of breath. He sits next to Jennifer,
who hasn't moved. Puts a hand on her chest to make sure
she's still breathing. She is."
155,MATTHEW,155,"Jesus Christ...
He looks through the dictionary, finding the word he needs:"
156,MATTHEW,156,"`Ambulance'... ""kyukyusha"".
Then he quickly rips open the Yellow Pages --
-- seeing, in plain English, `EMERGENCY' on the first page.
Below that: `FIRE/AMBULANCE -- DIAL 119'.
He drops the book and reaches across the bed for a phone, on
a table at the far side --
-- THE BOY (TOSHIO) stands up, between Matthew and the phone.
But he looks different from before: his skin is discolored,
his lips and eyes are ringed and sullen."
157,MATTHEW,157,"Who are you? What -- what are you
doing here?
Toshio makes a STRANGE SOUND. Looks at Jennifer, then turns
to Matthew, SNARLING at him like a CAT.
Matthew, shocked, falls backwards off the bed, hitting the
table with the lamp. It drops to the ground --"
158,MATTHEW,158,"-- and TOSHIO'S SHADOW, cast by the fallen light, begins to
STRETCH AND GROW across the ceiling. The shadow creeps over
Jennifer, shifting and coming towards Matthew --
-- Matthew grabs the lamp.    He reaches it, holding it up --
At first, it looks like both Jennifer and Toshio have
disappeared. But then --
-- Jennifer, suddenly back on the bed, SITS UPRIGHT, jerkily,
as if she's been yanked up and forward. Her mouth is wide
and gasping --
-- and then she falls back onto the bed.     Dead.
Matthew, stunned, backs away from the bed, against the
closet. Terrified, he doesn't notice --
-- the THUD THUD sound growing around him.     Then --
-- TOSHIO'S HEAD comes into frame behind him. Matthew hears
a GROWLING SOUND and turns, seeing Toshio right there! --"
159,MATTHEW,159,"The DOORBELL rings.   Then a few more times.
SUSAN (American, late 20s) enters, with two bottles of wine."
160,SUSAN,160,"Hello?
She kicks off her shoes."
161,SUSAN,161,You guys in the kitchen?
162,SUSAN,162,"Susan walks in, puts the wine on the table.     Looks around."
163,SUSAN,163,"I thought you guys were gonna cook!
She goes into the BACK ROOM.    Sits next to Emma."
164,SUSAN,164,"Hi, Mom.    How are you feeling?
Emma turns to her with her usual vacant look."
165,SUSAN,165,"I guess I came at a bad time, huh?"
166,SUSAN,166,"Twisting a corkscrew into a wine bottle, Susan leans into the
foyer, yelling upstairs:"
