,character,line #,line
0,MAN (O.S.),0,Billy Boy!
1,J.D.,1,"Get your ass ready! It's almost five
o'clock and this bad boy needs to get his
drink on!"
2,J.D.,2,"Oh God. Give me that.     I'm burning it
once and for all."
3,BILLY,3,Don't!
4,J.D.,4,"Dude, it's been six months.    You have to
move on."
5,J.D.,5,"You know what'll cheer you up? Some hot
chick riding your jock all night long."
6,BILLY,6,"You're such a romantic, J.D."
7,J.D.,7,It would help get your mind off of Sarah.
8,BILLY,8,"Whatever. Even if I wanted to meet other
women, I wouldn't even know what to do.
I've been out of the game so long."
9,J.D.,9,"Billy, you come out with me tonight, and
I promise you'll get laid."
10,BILLY,10,"Sounds tempting, but I can't. Berenson
needs me to update the financial models
for his meeting with the foreign
investors."
11,J.D.,11,"So what? It's Friday!      You have all
weekend to do that."
12,BILLY,12,"No I don't. The Germans are taking an
earlier flight back, so the meeting's
been moved to tomorrow."
13,J.D.,13,"Well, why don't you just get somebody
else to do your work then?"
14,BILLY,14,Who?
15,BILLY,15,"Harold, listen, I need you to update
these models for me."
16,HAROLD,16,But aren't you supposed to...
17,BILLY,17,"I know, but something came up. I have to
meet with some clients tonight, so I
won't be able to get to it. It's your
responsibility now. Okay?"
18,J.D.,18,"And make sure it's in tomorrow by nine
o'clock sharp."
19,J.D. (cont'd),19,"With all the downsizing going on around
here, we wouldn't want to have to tell
Berenson that you've been slacking. He's
just dying to figure out who he should
fire next."
20,HAROLD,20,Uh...okay...no problem...
21,BILLY,21,Wow!   I can't believe how easy that was!
22,J.D.,22,"Dude, how do you think I get all my shit
done? I'm telling you -- those Asian
guys love crunching numbers. You
probably just made his weekend."
23,J.D.,23,"Now get ready. It's time we embark
on...Operation Get Some!"
24,HAROLD,24,Fuck.
25,KUMAR,25,"Mononucleosis or mono is an infection
caused by the Epstein-Barr virus.
Symptoms may include fever, sore throat,
headaches, white patches on the back of
your throat, swollen glands, sluggishness
and loss of appetite."
26,DR. WOODRUFF,26,"Excellent, Kumar. I have to say you're
one of the best applicants I've ever
interviewed. Not that it's a surprise.
Your father is very respected in his
field. You know he and I had some pretty
wild times when we were in med school."
27,KUMAR,27,Really?
28,DR. WOODRUFF,28,"Yeah. We started our own basketball team--
the Hemoglobin Trotters..."
29,DR. WOODRUFF,29,"Yeah, we were crazy."
30,DR. WOODRUFF,30,Anyway-- just one more question.
31,DR. WOODRUFF,31,"What are some potential symptoms of
pancreatitis?"
32,KUMAR,32,"Let's see. There might be epigastric
tenderness, diffuse abdominal
tenderness..."
33,KUMAR,33,I'm sorry. Can you hold on one second?
34,KUMAR,34,Kumar's phone. Kumar speaking.
35,KUMAR,35,"Oh, hey."
36,KUMAR,36,Nothing important. I can talk. What's up?
37,HAROLD,37,"I'm not gonna be able to partake in our
usual Friday night ritual. I've gotta
stay late at the office."
38,KUMAR,38,Fuck that shit! We had plans!
39,HAROLD,39,"I know, but I gotta get this work done."
40,KUMAR,40,"Oh come on! When has getting high ever
prevented you from finishing your work?"
41,HAROLD (O.S.),41,"Listen, I'd love to go home, but..."
42,KUMAR,42,"No fucking buts! I just bought a quarter
of the finest herb in New York City, and
I'm not smoking it alone."
43,KUMAR (cont'd),43,"So you're just gonna have to chill the
fuck out, bring your work home, and
prepare to get blazed, because in a
couple of hours I expect both of us to be
blitzed out of our skulls. Got it?...Okay
good. See you later."
44,KUMAR,44,"Okay, where was I? Oh yes. More
symptoms of pancreatitis. Um...decreased
bowel sounds, possibly fever,
dehydration, and sometimes even shock."
45,DR. WOODRUFF,45,"Mr. Patel. This is supposed to be a
proper interview. Do you actually believe
after the way you've behaved that I would
ever even consider recommending you for
admission?"
46,KUMAR,46,No.    I'd actually be pretty surprised.
47,KUMAR,47,"Look, I'm just interviewing so my dad
will keep paying for my apartment. I'm
not really planning on going to med
school."
48,DR. WOODRUFF,48,But...you have perfect MCAT scores!
49,KUMAR,49,"Well, I'm not an idiot."
50,KUMAR,50,Wow!    Is this your daughter?
51,HAROLD,51,Yes!   Right in front...
52,HAROLD,52,Those assholes.
53,COLE,53,"This is America, dude! Learn how to
drive!"
54,EXTREME SPORTS PUNK #1,54,Better ruck tomorrow!
55,HAROLD,55,"Okay, be yourself. Don't be nervous."
56,HAROLD,56,"So Maria, what's been going on?"
57,MARIA,57,"Oh, nothing. It's just been a long week.
How about you?"
58,HAROLD,58,"My week was great. Work wasn't too bad. I
caught up on some sleep. Plus, the guy
who works next to me decided to bathe for
a change."
59,MARIA,59,Really?
60,"HAROLD
(deadpan)",60,"Oh wait, I meant the exact opposite of
that. Work sucked. I barely slept. And
the guy next to me still smells like
crap. But a man can dream, right?"
61,HAROLD,61,So what are you up to tonight?
62,MARIA,62,"Actually, I'm probably gonna work out a
little bit, clean up the apartment, and
then go over to my boyfriend's place.
He's cooking me a really nice dinner."
63,HAROLD,63,Really?
64,MARIA,64,"Oh wait, I meant the exact opposite of
that."
65,MARIA,65,"I'll actually probably just sit on my
ass, eat a pint of Hagaan Daz, and watch
Blind Date."
66,HAROLD,66,That sounds awful.
67,HAROLD,67,"Well, if you want some company, maybe you
could sit on your ass at my place."
68,MARIA,68,Maybe.
69,MARIA,69,Bye.
70,HAROLD,70,Bye.
71,HAROLD,71,Kumar?
72,KUMAR (O.C.),72,"Yeah, I'm in here!"
73,HAROLD,73,Kumar?
74,KUMAR (O.C.),74,In here...
75,HAROLD,75,"Kumar, what the hell are you doing!"
76,KUMAR,76,I'm trimming my pubes.
77,HAROLD,77,Why aren't you doing this in your room!
78,KUMAR,78,The mirror's in here.
79,KUMAR,79,"Hey, check it out! It looks like a Bonsai
tree!"
80,HAROLD,80,I'm gonna puke. Get your clothes on.
