,character,line #,line
0,CLERK,0,What you working on?
1,CHRIS,1,"Drillin' some post holes into
concrete ..."
2,CLERK,2,"With that you can ream solid
steel. Check, charge, or cash?"
3,CHRIS,3,"Cash. Put ""Jack's Fencing"" on
the receipt."
4,CLERK,4,$788.   30
5,CLERK,5,"...that a good racket? I ought
to get out from behind this
counter..."
6,CHRIS,6,Yeah.
7,CHRIS,7,Take it easy.
8,CERRITO,8,Wrap this here up.
9,CLERK,9,"Yessir. You're going to have a
happy little girl."
10,CERRITO,10,Two.   I got two girls.
11,CLERK,11,That's nice.
12,CERRITO,12,"Yeah. And gimme those three
masks there."
13,CERRITO,13,"Gimme Donald Duck, too"
14,CLERK,14,A little early for Halloween?
15,CERRITO,15,"Yeah. Halloween's coming early
this year. What do I owe you?"
16,JUSTINE,16,... taking me out to breakfast?
17,HANNA,17,Can't. Bosko's waiting..
18,LAUREN,18,"Hi Vincent. Mom, where's my
barrettes?"
19,HANNA,19,"Hi, sweetie."
20,JUSTINE,20,I saw them on the kitchen
21,JUSTINE,21,Want me to make coffee?
22,HANNA,22,No school today?
23,LAUREN (O.S.),23,"Daddy's picking me up! We're
going to see the new site and
then shopping and lunch."
24,LAUREN (O.S.),24,They're not on the table.
25,JUSTINE,25,Then I don't know...
26,JUSTINE,26,He's already half an hour late.
27,HANNA,27,"He gonna show? Or the son of a
bitch gonna stand her up like
last time?"
28,JUSTINE,28,Want the coffee?
29,HANNA,29,I'm out of time...
30,JUSTINE,30,"Falls back on the pillow,
disappointed. It's as if she'd
been stood-up. The bed sheet
falls half off of her. She's
exposed, vulnerable. She looks
out the window, occluded by light
muslin, away from us and exhales."
31,CERRITO,31,You Waingro?
32,WAINGRO,32,Yeah.
33,WAINGRO,33,You're Cerrito huh?
34,WAINGRO,34,What kinda guy is this Neil?
35,CERRITO,35,Okay.
36,WAINGRO,36,You guys always work together?
37,CERRITO,37,All the time.
38,WAINGRO,38,"Real tight crew, huh?"
39,CERRITO,39,That's right.
40,WAINGRO,40,"This works good, maybe I could
go again?"
41,CERRITO,41,"Yeah.   Stop talking, slick..."
42,NEIL (V.O.),42,You ready if I need you?
43,TOWNER,43,Yeah.
44,NEIL (V.O.),44,Got their air?
45,TOWNER,45,Yeah.
46,RADIO ANNOUNCER,46,"...Daddio's jazz patio on KDCA.
Brought to you this fine day,
which is A-okay, by Twister.
Hey, mister, go out and buy a
bottle of that
Twister...Wiiiiiine..."
47,NEIL,47,Turn it off.
48,CERRITO,48,Time.
49,CHRIS,49,Their response time?
50,NEIL,50,"Two minutes, fifty seconds."
51,NEIL (V.O.),51,"We ought to be down the chute
into the escape route in 2:20."
52,NEIL (V.O.),52,Here we go...
53,GUARD #1,53,211! We're being taken down!
54,DISPATCHER (V.O.),54,"Car 74, what's your ETA to the
211 in progress Hoover and 14th?
Over."
55,CAR 74 (V.O.),55,Car 74. Three minutes. Over.
56,DISPATCHER (V.O.),56,"Car 74. Take it. Car 37, you're
back-up. Car..."
57,TOWNER,57,There's the call. Three minutes.
58,WATCH:,58,"28, 29, 30, 31, 32..."
59,NEIL,59,"Next one blows you up!    Out!
Now..."
60,NEIL,60,Now!
61,NEIL,61,Up against the wall!
62,NEIL,62,8o seconds left.    Move it.
63,WAINGRO,63,Flatten - up against it!    Higher!
64,GUARD TWO,64,...you didn't have that gun..
65,WAINGRO,65,What?!
66,CERRITO,66,"That's true, slick, cause you're
a real tough guy. But he has
the gun. And me, too. So shut
the fuck up."
67,NEIL,67,Move out!
68,NEIL,68,38 seconds left!
69,WAINGRO (O.S.),69,"...hadda mouth off? In front of
them?"
70,NEIL,70,Ten. Nine.
71,NEIL,71,Blew the margin. Here we come.
72,TOWNER,72,One on your tail.
73,NEIL,73,Here we come.
74,NATE,74,"A million, six at 40 cents onna
dollar's 640. Here's a hundred
forty thou front money. Get you
the rest, 2-3 days."
75,NATE,75,What happened out there?
76,NEIL,76,I don't want to talk about it.
77,NATE,77,Wait a minute.
78,NEIL,78,What's the matter?
79,NATE,79,You know who these belong to?
80,NEIL,80,"""Malibu Securities ..."
81,NATE,81,You know John Van Zant?
82,NEIL,82,No.
83,NATE,83,"Malibu Securities is a brokerage
he controls. Planned
bankruptcies, made out during
the S&L's, money laundering..."
84,NATE,84,"You ripped off his Treasury
Certificates."
85,NEIL,85,So what?
86,NATE,86,"That's the point. On top of
collecting his insurance, maybe
he wants to buy back his bonds.
From him I can get you 60 cents
on the dollar instead of 40.
Means an extra 320 to you."
87,NEIL,87,Try it on.
88,NATE,88,You know Cezar Kelso?
89,NEIL,89,By reputation.
90,NATE,90,"He's got this score he's putting
out and wants you to look at."
91,NEIL,91,"What do I need look at his score
for? I got my own."
92,NATE,92,"He said you'll get near eight
figures. Very clean."
93,NEIL,93,9:00a.M. tomorrow.
94,NATE,94,Take it easy.
95,HANNA (O.S.),95,Where's the ambulance?
96,HEINZ (O.S.),96,"They dumped it four blocks from
here..."
97,HEINZ,97,"Masks, guns, radios - all left
behind. No prints."
98,HANNA,98,"What about the crash, the white
towtruck."
99,HEINZ,99,"Hasn't turned up. Got a witness:
janitor next door."
100,HANNA,100,"I.D. anybody? Plate?
Description?"
101,HEINZ,101,Shhaaapes ...
102,HEINZ,102,"One big. One thin.    He heard
it..."
103,HANNA,103,What about them?
104,DRUCKER,104,"According to the janitor, he..."
105,DRUCKER,105,"Started mouthing off to one of
the gunmen."
106,HANNA,106,"Oh, that was smart."
107,DRUCKER,107,I figure the other went for...
108,DRUCKER,108,"... that gun when the shooting
started. One guy called a guard
""slick."""
109,HANNA,109,"""Slick?"""
110,DRUCKER,110,"Yeah.   And they ignored the loose
cash."
111,HANNA,111,"'Cause they had no time, cause
they knew our response time,
cause they were on our air."
112,HEINZ,112,You recognize their m.o.?
113,HANNA,113,"Yeah. Their m.o. is that they
are good. Once it escalated
into a Murder One beef for all
of them after they killed the
first two, they popped guard
number three 'cause it didn't
rake any difference anymore, so
why leave a living witness?
Drop of a hat? They'll rock and
roll. Also: the way they went
into the side indicates they are
equipped to go in on the prowl.
So also start looking for recent
highline burgularies that have
'mystified' us."
114,HANNA,114,"Run the ""slick"" bit to the FBI
and see what it kicks out."
115,DRUCKER,115,I called it in already.
116,HANNA,116,"Split the fences. I'll take
Cuzomano and Torena. You take
the East side. Go through the
tapes of who we been listening
to."
117,HANNA,117,"Hang in with Forensics on all
physical evidence."
118,HANNA,118,"How'd they know the route of the
van and what it was carrying?
Does Gage print the day's routes?
What do they do with the
printouts? Who collects their
trash? Run makes on all their
middlemanagement. Did someone
give this score up?"
119,HANNA,119,"Check the three guards. See if
one of them was a tipster."
120,BOSKO,120,"What's the vibe: home-grown or
out-of-town?"
121,HANNA,121,"Out-of-town. Frankly, I hope
they are scoring once and passing
through. And I doubt it."
