,character,line #,line
0,CHIEF CAVEMAN,0,"Me see beast today. Beast scary.
Beast danger for caveman."
1,CHIEF CAVEMAN,1,"If caveman kill beast? Caveman
safe. Caveman have food."
2,CHIEF CAVEMAN,2,Who kill beast?
3,CHIEF CAVEMAN,3,Grob kill beast. Good Grob.
4,CHIEF CAVEMAN,4,Loser want kill beast?
5,CHIEF CAVEMAN,5,Loser kill nothing!
6,CAVEMAN #1,6,Look at Loser cave! So small!
7,CAVEMAN #2,7,Loser dumb!
8,CAVEMAN #3,8,Fuck that guy!
9,CHIEF CAVEMAN,9,The beast! It dead!
10,CAVEMAN #2,10,"Hey, look at loser! He almost die!
Look he scared!"
11,CHIEF CAVEMAN,11,"Loser, what happen?"
12,LOSER CAVEMAN,12,"The Beast, it came at me. It smash
my cave."
13,LOSER CAVEMAN,13,Hold on one minute!
14,LOSER CAVEMAN,14,Loser wasn't finished.
15,LOSER CAVEMAN,15,"After beast smash cave, Loser look
at beast and say, ""not on Loser's
watch."" Loser grab rock on ground,
lift above head and smash it
down... right onto motherfucker's
head."
16,LOSER CAVEMAN,16,Loser kill beast.
17,LOSER CAVEMAN,17,"Now fuck off, Loser going back to
sleep."
18,CHIEF CAVEMAN,18,"Loser kill beast! Loser caveman
hero!"
19,NARRATOR,19,"The world's first lie. A monumental
occasion in the history of mankind."
20,NARRATOR,20,"That lowly caveman who stumbled
upon the ability to lie went on to
become chief of his village,
married dozens of cavewomen, and
passed on the lying gene to
hundreds of newborn cave-children."
21,NARRATOR,21,"Over time lying spread throughout
the world, sparking the eventual
birth of imagination itself, story-
telling, religion, and the oh-so-
important polite lie, as in, ""Oh
Patty, have you lost weight? You
look fantastic."""
22,NARRATOR,22,"The world would be a very different
place if events had gone otherwise
on that prolific, Paleolithic eve.
If not for that night, man would
have never acquired the ability to
lie to himself and to others."
23,NARRATOR,23,"A world without lying would be a
world without dreams. A world
without pretense. A world without
fiction. A world without flattery.
A world very unlike our own."
24,CHIEF CAVEMAN,24,"Loser, what happen?"
25,LOSER CAVEMAN,25,"The Beast, it came at me. It smash
my cave."
26,LOSER CAVEMAN,26,"Rock fall on beast. Loser do
nothing. I think Loser even soil
bear pants."
27,LOSER CAVEMAN,27,Loser smell bad.
28,CHIEF CAVEMAN,28,"Loser biggest loser ever! Caveman,
throw rocks at loser!"
29,JENNIFER,29,"Hi. You're early. I was just
masturbating."
30,MARK,30,"That makes me think of your vagina.
I'm Mark, how are you?"
31,JENNIFER,31,"A little frustrated at the moment.
Also equally depressed and
pessimistic about our date tonight.
I'm Jennifer."
32,MARK,32,I hope this date ends in sex.
33,JENNIFER,33,"Not me. I don't find you
attractive. Come on in."
34,JENNIFER,34,"I need to finish getting ready.
While doing that I might realize
I'm still horny and try to finish
masturbating without you hearing."
35,MARK,35,"I feel awkward and I regret being
early."
