,character,line #,line
0,LEOPOLD,0,"You dance like a herd of cattle,
Miss Fairchild. You are a rare woman
who lights up the room... simply by
leaving it."
1,UNCLE OTTO,1,"Tell me Leopold, do you plan to join
us downstairs after completing this
one-sided flash of wit?"
2,LEOPOLD,2,"I despise affairs of this sort, Uncle
Otto. No one really listens to anyone
else. If you attempt it, you will
see why."
3,UNCLE OTTO,3,"You judge everything too severely. I
wonder what would happen if you were
to cast that critical eye inward?"
4,LEOPOLD,4,"You do not wonder at all. You merely
ask in order to state your own
opinion."
5,UNCLE OTTO,5,We are all concerned about you.
6,LEOPOLD,6,"Ahh, here it comes."
7,UNCLE OTTO,7,"Your life does not seem to have any
direction. At the age of 25 a man is
too young to do anything well. At 35
he is too old. Now is your time to
take action. Tell me, what is it you
want to DO with your life?"
8,LEOPOLD,8,I do not know.
9,UNCLE OTTO,9,Your ignorance cramps my conversation.
10,UNCLE OTTO,10,"Wake up! This is your one and only
life. Every man has the chance to
make a difference. DO something!"
11,LEOPOLD,11,"I am most grateful for your
surveillance and for your sympathy.
I assure you there is no need for
concern. I am as effectual and
attentive... as my position allows."
12,UNCLE OTTO,12,"Life is not position, Leopold. It is
action."
13,UNCLE OTTO,13,"I will see you downstairs promptly.
In the appropriate frame of mind."
14,THE VALET,14,Go spread joy.
15,LEOPOLD,15,"You dance like an angel, Miss
Fairchild. You light up the room. I
thank you."
16,LEOPOLD,16,"Good evening. I do not believe I
have had the pleasure."
17,CARLSON,17,...Julia Carlson.
18,CARLSON,18,I'm sorry. Will you excuse me?
19,LEOPOLD,19,"You are not from the area, are you?"
20,CARLSON,20,Are you?
21,LEOPOLD,21,This is my estate.
22,CARLSON,22,Really?
23,CARLSON,23,Well it's not home but it's much...
24,LEOPOLD,24,Shocking! The TA-RA-RA-BOOM-DE-AY.
25,CARLSON,25,"The? Oh, that's from Paris, isn't
it?"
26,LEOPOLD,26,It is a scandal nonetheless.
27,LEOPOLD,27,"Miss Carlson, do me the honor?"
28,CARLSON,28,I'm afraid I'm not much of a dancer.
29,LEOPOLD,29,"Truly I would be in your debt. Any
admonition would be erased simply by
presenting a partner as lovely as
yourself."
30,CARLSON,30,"No, no. Really, I..."
31,LEOPOLD,31,"I suppose we really ought to sing
along."
32,CARLSON,32,"Oh, golly."
33,CARLSON,33,"Thank you for the dance. It was
lovely. I hope it wasn't too awful
for you."
34,LEOPOLD,34,Not at all. It was most enlightening.
35,CARLSON,35,I really must be going.
36,LEOPOLD,36,I won't hear of it.
37,CARLSON,37,"No, I'm quite late as it is."
38,LEOPOLD,38,I shall see you to the door...
39,CARLSON,39,"You're very sweet. I had a wonderful
time."
40,CARLSON,40,Goodbye.
41,LEOPOLD,41,Miss Carlson?
