,character,line #,line
0,NARRATOR (V.O.),0,"Legend tells of a legendary warrior
whose Kung Fu skills were the stuff
of legend.
The warrior, his identity hidden beneath his flowing robe and
wide-brimmed hat, gnaws on a staff of bamboo."
1,NARRATOR (V.O.) (CONT'D),1,"He traveled the land in search of
worthy foes."
2,NARRATOR (V.O.) (CONT'D),2,"The warrior sits at a table drinking tea and gnawing on his
bamboo. The door BLASTS open. The MANCHU GANG rushes in and
surrounds him."
3,GANG BOSS,3,I see you like to CHEW!
4,GANG BOSS,4,"Maybe you should chew on my FIST!!
The Boss punches the table."
5,NARRATOR (V.O.),5,"The warrior said nothing for his
mouth was full. Then, he swallowed.
He swallows."
6,NARRATOR (V.O.) (CONT'D),6,"And then, he spoke."
7,WARRIOR,7,"Enough talk. Let's FIGHT!
SHASHABOOEY!
WHAM! The warrior delivers a punch and the whole gang goes
flying."
8,NARRATOR (V.O.),8,"He was so deadly in fact that his
enemies would go blind from
overexposure to pure awesomeness."
9,NARRATOR (V.O.),9,The gang members blindly flail about.
10,NINJA CAT,10,MY EYES!
11,GATOR,11,"HE'S TOO AWESOME!
ONLOOKERS swoon."
12,SMITTEN BUNNY,12,And ATTRACTIVE!
13,GRATEFUL BUNNY,13,How can we repay you??
14,WARRIOR,14,"There is no charge for awesomeness,
or attractiveness.
ONE HUNDRED ASSASSINS appear and surround the warrior."
15,WARRIOR,15,"The entire bar swells, packed to the rafters with ninjas."
16,WARRIOR,16,KABLOOEY!
17,WARRIOR,17,"The roof EXPLODES and a cloud of ninjas erupts into the sky.
Like a tornado, the warrior spins and knocks them all down."
18,NARRATOR (V.O.),18,"It mattered not how many foes he
faced. They were no match for his
bodacity.
The warrior beats up a thousand ninjas, delivering his final
blow while doing a split between two trees.
The warrior stands amongst a field of vanquished foes as god-
rays shine down upon him."
19,NARRATOR (V.O.) (CONT'D),19,"Never before had a panda been so
feared... and so loved."
20,NARRATOR (V.O.) (CONT'D),20,"Even the most heroic heroes in all
of China, the Furious Five, bowed
in respect to this great master."
21,MONKEY,21,We should hang out.
22,WARRIOR,22,"Agreed.
As the Five salute the warrior, he turns to see more bandits
approaching. The Five strike an attack pose. The warrior
brandishes a shiny green sword and leaps off the mountain
into the sea of bandits."
23,NARRATOR (V.O.),23,"But hanging out would have to wait.
`Cause when you're facing the ten
thousand demons of Demon Mountain,
there's only one thing that
matters. And that's--
In mid air, the Five talk to the warrior in a strange voice."
24,MONKEY,24,Po! Get up!
25,TIGRESS,25,You'll be late for work!
26,PO,26,Whu?
27,PO,27,"Po lands hard on the floor. He tries to clear his head and
wake up."
28,PO'S DAD (O.S.),28,"Po! Get up!
We see his room is filled with various kung fu posters
(including a poster featuring all of the Five) and souvenirs,
and a wooden version of the Sword of Heroes (the green
sword).
Po SIGHS.
He attempts to kick himself to his feet but alas, his belly
is too worthy a foe."
29,PO'S DAD (O.S.) (CONT'D),29,Po! What are you doing up there?
30,PO,30,"Uh, nothing!
Po hops to his feet, imitating his Kung Fu action figures."
31,PO (CONT'D),31,"Monkey! Mantis! Crane! Viper!
Tigress! Rowrrrr...
OUTSIDE on the balcony of the neighboring house, a pig
watering flowers stares at Po. Po tries to play it cool and
then quickly ducks out of sight."
32,PO'S DAD (O.S.),32,Po! Let's go! You're late for work!
33,PO,33,"Coming!
He takes a ninja star from his floor and chucks it at the
wall. It bounces off.
He throws the star again, but it bounces off again. He picks
it up and heads downstairs. He trips and falls the rest of
the way."
34,PO,34,"Po falls flat on his face on the kitchen floor. A panda-
shaped shadow looms over Po."
35,PO,35,"Sorry, Dad."
36,PO'S DAD,36,"Sorry doesn't make the noodles.
Reveal that the shadow is actually caused by a basket being
carried by a small DUCK. This is PO'S DAD. Po gets to work,
which is not easy since the kitchen's not really made for a
panda his size."
37,PO'S DAD (CONT'D),37,"What were you doing up there? All
that noise."
38,PO,38,"Oh, nothing. Just had a crazy
dream.
He gets back to work."
39,PO'S DAD,39,About what?
40,PO,40,Huh?
41,PO'S DAD,41,"The dream. What were you dreaming
about?"
42,PO,42,"What was I... eh, I was dreaming
about uh... heh...
Push in on Po -- is he going to admit his dream? He hides his
throwing star behind his back."
43,PO (CONT'D),43,"Noodles.
THOK. Dad stops chopping vegetables."
44,PO'S DAD,44,"Noodles. You were really dreaming
about noodles?"
45,PO,45,"Uh, yeah. What else would I be
dreaming about?
Po hands a noodle bowl to a customer, then realizes his
throwing star is sitting in it."
46,PO (CONT'D),46,"Careful, that soup is... sharp!"
47,PO'S DAD,47,"Oh, happy day! My son, finally
having the noodle dream!
He throws his arms around Po."
48,PO'S DAD (CONT'D),48,"You don't know how long I have been
waiting for this moment.
When Dad pulls out of the hug, Po is now wearing a noodle
apron."
49,PO'S DAD (CONT'D),49,"This is a sign, Po!"
50,PO'S DAD (CONT'D),50,"Po looks at the apron nervously -- what has he gotten himself
into?"
51,PO,51,Uh...a sign of what?
