,character,line #,line
0,MIA,0,"...and I swear to God, she was wrecked.
It was pure insanity."
1,MIA (CONT'D),1,"Pure lunacy. Oh God, I know..."
2,CUSTOMER #1,2,This doesn't taste like almond milk.
3,MIA,3,"Don't worry, it is. I know sometimes it --"
4,CUSTOMER #1,4,Can I see the carton?
5,CUSTOMER #1 (CONT'D),5,I'll have a black coffee.
6,WOMAN,6,"Cappuccino, please."
7,MANAGER,7,On us.
8,WOMAN,8,"No, I insist."
9,MIA,9,Shit.
10,MANAGER,10,Where do you think you're going?
11,MIA,11,It's -- five past...
12,MANAGER,12,You'd better be here early tomorrow.
13,MIA,13,Ok.
14,MIA (CONT'D),14,"And I swear to God, she was wrecked. It
was pure lunacy. Oh God, I know..."
15,MIA (CONT'D),15,"No, no, Turner's fine. So you -- are you
waiting `til Denver to tell her...?"
16,MIA (CONT'D),16,Oh. I see...
17,MIA (CONT'D),17,"No, you're right. I understand."
18,MIA (CONT'D),18,Ok... I just... Oh...
19,MIA (CONT'D),19,"No, I'm happy for you... I -- I just --"
20,CASTING DIRECTOR,20,One second.
21,CASTING DIRECTOR (CONT'D),21,"...I'll call her back. Tell her I'm almost
done in here."
22,CASTING DIRECTOR (CONT'D),22,"You know what? I think we're good. Thanks
for coming in."
23,TRACY,23,Holy Mother of God.
24,TRACY (CONT'D),24,Ever heard of a vent?
25,MIA,25,I wanted to give you an entrance.
26,ALEXIS,26,Mia! How'd it go?
27,MIA,27,Eh...
28,ALEXIS,28,Same here. Was Jen there? Or Rachel?
29,MIA,29,I don't know who Jen and Rachel are.
30,ALEXIS,30,They're the worst.
31,MIA,31,I don't know if they were there.
32,ALEXIS,32,I bet they were.
33,CAITLIN,33,Why is there a convention in the bathroom?
34,TRACY,34,"Two minutes, people! Mia you're coming,
right?"
35,MIA,35,Can't. Working.
36,MIA,36,What?
37,MIA,37,"Did she say ""working""?"
38,MIA,38,Yes?
39,TRACY,39,"Look, I know things didn't go well today.
There are four things in my inbox that
you're perfect for and I will submit you.
But right now -- you're coming."
40,TRACY (CONT'D),40,It'll be fun.
41,MIA,41,"It'll be a bunch of social climbers packed
into one of those glass houses."
42,TRACY,42,Exactly. Fun.
43,TRACY (CONT'D)                        MIA,43,back!
44,ALEXIS,44,"Come on, Mia. When else do you get to
see every Hollywood cliché crammed
into a single home?"
45,TRACY,45,"Lex! I'm disappointed in you. There's
nothing to make fun of. This party will
be humanity at its finest."
46,TRACY,46,No...
47,MIA (CONT'D),47,No...
48,MIA (CONT'D),48,You gotta stop breaking into my home.
49,MIA (CONT'D),49,"You think Mom or Dad would call this a
home?"
50,MIA (CONT'D),50,Please don't sit on that.
51,MIA (CONT'D),51,Are you serious?
52,MIA (CONT'D),52,"Yes. Hoagy Carmichael sat on that stool.
The Baked Potato was gonna throw it away."
53,MIA (CONT'D),53,I wonder why.
54,MIA (CONT'D),54,I brought you this. It's a throw rug.
55,MIA (CONT'D),55,Don't need it.
56,MIA (CONT'D),56,"Yeah? What if I told you Miles Davis
pissed on it?"
57,MIA (CONT'D),57,That's almost insulting...
58,MIA (CONT'D),58,Did he?
59,MIA (CONT'D),59,When are you going to unpack these boxes?
60,MIA (CONT'D),60,When I unpack them in my club.
61,MIA (CONT'D),61,"Oh my God. It's like a girl broke up with
you and you're stalking her."
62,MIA (CONT'D),62,"You're not still going by there, are you?"
63,MIA (CONT'D),63,No.
64,MIA (CONT'D),64,"They've turned it into a tapas-samba
place. You believe that?"
65,MIA (CONT'D),65,Seb --
66,MIA (CONT'D),66,Who wants to tapas while they samba?
67,MIA (CONT'D),67,I have someone I want you to meet.
68,MIA (CONT'D),68,I don't want to meet anyone.
69,MIA (CONT'D),69,You'll like her.
70,MIA (CONT'D),70,Uh-huh. Does she like jazz?
71,MIA (CONT'D),71,Probably not.
72,MIA (CONT'D),72,Then what are we gonna talk about?
73,MIA (CONT'D),73,You'll talk about the weather.
74,MIA (CONT'D),74,"Ok. Then I have someone I'd like you to
meet. He's got a face tattoo, but a heart
of gold."
75,Revision                      12.,75,Sebastian --
76,Revision                      12.,76,How long's it been?
77,Revision                      12.,77,"You need to get serious. You live like a
hermit. You're driving without insurance."
78,Revision                      12.,78,"I am serious. I had a very serious plan
for my future. It's not my fault I got
Shanghai'ed."
79,Revision                      12.,79,"You did not get ""Shanghai'ed"", you got
ripped off."
80,Revision                      12.,80,What's the difference?
81,Revision                      12.,81,It's not as romantic as that.
82,Revision                      12.,82,"And everyone knew that guy was shady
except for you."
83,Revision                      12.,83,"Why do you say romantic like it's a dirty
word?"
84,Revision                      12.,84,Unpaid bills are not romantic. Call her.
85,Revision                      12.,85,"You're acting like life's got me on the
ropes -- what you don't understand is, I
want to be on the ropes. I'm letting life
hit me `til it gets tired. Then I'm gonna
make my move. It's a classic rope-a-dope."
86,Revision                      12.,86,I love you. Unpack your boxes.
87,Revision                      12.,87,I'm changing the locks.
88,Revision                      12.,88,You can't afford it.
89,Revision                      12.,89,I'm a phoenix rising from the ashes!
90,Revision                      12.,90,Seb.
91,Revision                      12.,91,Bill. Thanks for having me back.
92,Revision                      12.,92,Your welcome. Stick to the set list.
93,SEBASTIAN,93,Of course.
94,SEBASTIAN,94,"Though I don't think they care what I
play."
95,BOSS,95,"I do, and I don't want to hear the free
jazz."
96,SEBASTIAN,96,"How `bout one for you, one for me? Or two
for you, one for me?"
97,SEBASTIAN,97,"Or all for you, none for me? Ok, that
works. Good deal."
98,WAITRESS,98,Well... Welcome back.
99,SEBASTIAN,99,There's a nice way to say that.
100,BOSS,100,...every goddamned night.
101,SEBASTIAN,101,"I'll stick to the set list, I promise --"
102,BOSS,102,Too late. You're done.
103,SEBASTIAN,103,"You're not gonna find a better player. You
know that."
104,BOSS,104,Do you think anyone here gives a shit?
105,MIA,105,"I just wanted to say -- I saw your
playing, and I --"
106,MIA (CONT'D),106,"I don't like the fissure on the GT scan.
Did you test for achromatopsia?"
107,MIA (CONT'D),107,"D.O.A. on 23rd, perp laughing his face off
at P.D. Damn Miranda Rights."
108,MIA (CONT'D),108,"This is my classroom. You don't like it,
the door's to my left."
109,READER (O.S.),109,Lady why you be trippin' like that?
110,MIA,110,"No, Jamal. You be trippin'."
111,TRACY,111,"There you are! You need to meet someone!
Carlo, this is Mia. Mia, Carlo's a writer.
CARLO                           TRACY"
112,TRACY,112,town.
113,CARLO,113,They say I have a knack for world-building.
114,MIA,114,Congratulations. I have to grab a drink...
115,SINGER,115,"Alright, one more for y'all before we
break. Do I hear any requests?"
116,MIA,116,"""I Ran""."
117,SINGER,117,"""I Ran"" it is."
118,SINGER,118,"Wanna start us off, piano-man?"
119,SINGER (CONT'D),119,I walked along the avenue...
120,SEBASTIAN,120,Ok. I remember you.
121,SEBASTIAN (CONT'D),121,And I'm sorry if I was curt that night.
122,MIA,122,"""Curt""?"
123,SEBASTIAN,123,Ok I was an asshole. I can admit that.
124,MIA,124,Ok.
125,SEBASTIAN,125,"But requesting ""I Ran"" from a serious
musician -- it's too far."
126,MIA,126,"My God. Did you just call yourself ""a
serious musician""?"
127,SEBASTIAN,127,I don't think so.
128,MIA,128,Can I borrow what you're wearing?
129,SEBASTIAN,129,Why?
130,MIA,130,"Because I have an audition next week. I'm
playing a serious fire-fighter."
131,SEBASTIAN,131,"So you're an actress. That makes sense.
Have I seen you in anything?"
132,MIA,132,"Uh... The coffee shop on the Warner
Brothers lot. That's a classic."
133,SEBASTIAN,133,"Oh, you're a barista. Well now I see how
you can look down on me from all the way
up there."
134,SINGER,134,Sebastian. Second set.
135,SEBASTIAN,135,He doesn't tell me what to do.
136,MIA,136,He just told you what to do.
137,SEBASTIAN,137,I let him.
138,SEBASTIAN (CONT'D),138,What's your name?
139,MIA,139,Mia.
140,SEBASTIAN,140,Mia. Guess I'll see you in the movies.
141,SINGER,141,"Never seen you lookin' so lovely as you
did tonight..."
142,CARLO,142,"...Goldilocks from the point of view of
the bears. Home-invasion thriller. Fox
and Warners are going crazy for it."
143,CARLO (CONT'D),143,"...We're going after Charlize. For the
bear. We're flipping it. Feels like a
franchise. But the thing is it's grounded."
144,MIA,144,George Michael!
145,SEBASTIAN,145,You again.
146,MIA,146,Did you just get your keys?
147,SEBASTIAN,147,...Yeah.
148,MIA,148,Can you grab mine?
149,SEBASTIAN,149,...Which one is it?
150,MIA,150,The Prius.
151,MIA (CONT'D),151,The one with the green ribbon.
152,MIA (CONT'D),152,Shit...
153,SEBASTIAN,153,Those look comfortable.
154,MIA,154,They are...n't.
155,MIA (CONT'D),155,Thank you for saving the day back there.
156,SEBASTIAN,156,You didn't give me much of a choice.
157,MIA,157,"Strange that we keep running into each
other."
158,SEBASTIAN,158,It is strange. Maybe it means something.
159,MIA,159,I doubt it.
160,SEBASTIAN,160,Yeah I don't think so either.
161,SEBASTIAN (CONT'D),161,Put the clicker under your chin.
162,MIA,162,What?
163,SEBASTIAN,163,"It turns your head into an antenna.
Probably gives you cancer, but you find
your car more quickly."
164,MIA,164,Uh-huh.
165,SEBASTIAN,165,"You don't live as long, but you get
things done faster, so it all evens out."
166,MIA,166,Oh my God.
167,MIA (CONT'D),167,Eh.
168,SEBASTIAN,168,Not much to look at.
169,MIA,169,Agreed. I've seen better.
170,MIA (CONT'D),170,"Hey... Greg...? Can you hear me...? Yeah,
I'm just leaving now... K, see you soon..."
171,MIA (CONT'D),171,"Ah. Great... Well... Do you want a ride
to your car?"
172,SEBASTIAN,172,"No, that's fine... Thanks..."
173,MIA,173,...Ok...
174,MIA (CONT'D),174,Night.
175,MIA (CONT'D),175,Are these pastries gluten-free?
176,MIA,176,No...
177,MIA,177,What?? I want a refund.
178,MANAGER,178,You're closing up Friday.
179,MIA,179,I have an audition. Remember?
180,MANAGER,180,Do I look like I care? Reschedule it.
181,MIA,181,But you said --
182,MANAGER,182,And fix your apron.
183,MIA,183,...Hi.
184,MIA,184,What are you doing here?
185,SEBASTIAN,185,Meetings. Studio heads.
186,MIA,186,Uh-huh. How'd you get on the lot?
187,SEBASTIAN,187,Piece of cake.
188,SEBASTIAN (CONT'D),188,"Actually it took me four hours and I
ended up running. We probably have twenty
minutes before the guy finds me. You got
a break coming up?"
189,MIA,189,I'm off in ten.
190,SEBASTIAN,190,Great. I'll hide in the bathroom.
191,MIA,191,"That's the window Ingrid Bergman and
Humphrey Bogart looked out of in
Casablanca."
192,SEBASTIAN,192,What's your Bogart's name...?
193,SEBASTIAN,193,Is it Greg?
194,MIA,194,Yeah. Greg.
195,SEBASTIAN,195,How long have...?
196,MIA,196,"We've been seeing each other for a few
months."
197,MIA (CONT'D),197,"I love this stuff. Makes coming to work
easier."
198,SEBASTIAN,198,"I know what you mean. I get breakfast
five miles out of the way just to sit
outside a jazz club."
199,MIA,199,Oh yeah?
200,SEBASTIAN,200,"It was called Van Beek. The swing bands
played there. Count Basie. Chick Webb."
201,SEBASTIAN,201,It's a samba-tapas place now.
202,MIA,202,A what?
203,SEBASTIAN,203,"Samba-tapas. It's... Exactly. The joke's on
history."
204,SEBASTIAN (CONT'D),204,"Anyway, that's L.A. They worship everything
and they value nothing."
205,SEBASTIAN (CONT'D),205,Clear the frame!
206,MIA,206,We need to wait here.
207,SEBASTIAN,207,"I know. They shoot movies on my street.
""C-stands."" ""Apple box."" ""Don't forget to
sign out."""
208,SEBASTIAN,208,Quiet on set!
209,SEBASTIAN,209,How'd you get into all this?
