,character,line #,line
0,GENERAL PUTKIN,0,Boone?
1,LIEUTENANT BOONE,1,Yes General?
2,GENERAL PUTKIN,2,I'm going into the next office.
3,LIEUTENANT BOONE,3,Yes sir.
4,GENERAL PUTKIN,4,Damn it!
5,GENERAL PUTKIN (O.S.),5,"I have been having ideas,
gentlemen. Challenging ideas. And
when I thought about these ideas I
thought about who in the U.S Army
would be most receptive to my
challenging ideas."
6,"GENERAL PUTKIN (CONT'D) (O.S.)
(CONT'D)",6,"Which section of the military is
always straining to reach the peak
of their physical and mental
capabilities?"
7,GENERAL PUTKIN,7,"You are, gentlemen. Special
Forces."
8,GENERAL PUTKIN (CONT'D),8,"I want to talk to you about Mind
Wars, gentlemen. War...With...
MINDS..."
9,GENERAL PUTKIN (CONT'D),9,"How'd you like to be able to do
this? What if you could teach
soldiers to do this? Would you be
interested?"
10,GENERAL PUTKIN (CONT'D),10,"Or, or let's say you have a unit
operating outside the protection
of mainline units. What happens if
someone gets hurt? How do you deal
with that?"
11,GENERAL PUTKIN (CONT'D),11,"Psychic healing! Protect the unit
with hands-off healing. Using the
mind to heal."
12,GENERAL PUTKIN (CONT'D),12,"Let's talk about time! What if
time is not a point but a space
and at any one instant we can be
anywhere in that space! (Laughing)
Physicists go nuts when I say
that!"
13,GENERAL PUTKIN (CONT'D),13,"Animals! Stopping the hearts of
animals! This is the idea I'm
coming to you with. You have
access to animals right?"
14,MAJOR HOLTZ,14,"No sir. We don't have access to
animals."
15,BOB (V.O.),15,"In 1983, when Special Forces told
General Putkin that they weren't
interested in his ideas...that was
a lie."
16,BOB (V.O.),16,"And when they told him they didn't
have access to animals...that was
also a lie."
17,BOB (V.O.),17,"The hundred goats in the disused
hospital building had been
secretly flown in from Central
America so as to avoid customs.
Special Forces weren't worried
about the General hearing the
goats because they'd been de-
bleated."
18,BOB (V.O.) (CONT'D),18,This is the story of those goats.
19,BOB (V.O.),19,"My name is Bob Wilton. Imagine me
back in Michigan, where I was born
and raised. I studied journalism
at Western in Kalamazoo and then I
got a job at the Ann Arbor Daily
Telegram. I wrote a lot of stories
about competitive food eating
contests."
20,BOB (CONT'D) (V.O.) (CONT'D),20,"Look at me. So young. ""The past is
a different country. They...do
things there."""
21,BOB (CONT'D) (V.O.) (CONT'D),21,This is Ron.
22,BOB (CONT'D) (V.O.) (CONT'D),22,He's the man who died.
23,BOB (V.O.),23,"My wife, Debora, told me later
that Ron's death had been like a
wake-up call for her - what people
used to call a memento mori."
24,BOB (CONT'D) (V.O.) (CONT'D),24,"That massive coronary had reminded
her that life was too short to
waste any chance of true
happiness."
25,BOB (CONT'D) (V.O.) (CONT'D),25,"A week after the funeral she left
me for my editor."
26,BOB (V.O.),26,"It seemed like such a tragedy at
the time. We couldn't see beyond
our little lives to the great
events of history unfolding out
there in the world."
27,BOB (CONT'D) (V.O.) (CONT'D),27,"I was like a child. Or a Hobbit,
safe in the Shire."
28,BOB (CONT'D) (V.O.) (CONT'D),28,"Or a blonde farm boy on a distant,
desert planet, unaware that he was
already taking the first steps on
the path that will lead him
inexorably towards the heart of a
conflict between the forces of
Good and Evil."
29,PRESIDENT BUSH,29,"Americans are a resolute people,
who have risen to every test of
our time. Adversity has revealed
the character of our country, to
the world, and to ourselves..."
