,character,line #,line
0,ANATOLY,0,"Kasimov, Kasimov, good that you called
us."
1,KASIMOV,1,"I don't remember what happened!  We were
at the bar, drinking, laughing -- having
fun."
2,KASIMOV,2,"I don't even know how I got here.
I swear, Anatoly, I never touched her!  I
didn't lay a finger on her."
3,ANATOLY,3,Kasimov.  Don't flounder.
4,JACK,4,"Jesus, she's been under too long.  Come
on, come on!"
5,KASIMOV,5,You're the only one who can help me.
6,ANATOLY,6,"C'mon, c'mon, tell the truth...c'mon."
7,KASIMOV,7,They'll kill me.
8,ANATOLY,8,"You asked for my help.  You
asked
for
my
help...come on..."
9,KASIMOV,9,"You're right, of course."
10,JACK,10,The name pal...give us the name.
11,KASIMOV,11,"The contact in Minsk..the contact in
Minsk..works in a travel agency."
12,JACK,12,Come on!
13,ANATOLY,13,Come on!
14,KASIMOV,14,His name is.....Dimitri Miediev.
15,ANATOLY,15,Dimitri Miediev...Dimitri Miediev...
16,JACK,16,Got him.
17,ANATOLY,17,"Now, we drink."
18,ANATOLY (CONT'D),18,To friends.
19,KASIMOV,19,"Yes, Anatoly, yes."
20,JACK,20,Cheers.
21,JACK,21,"and tears away a mask of flesh
.  He's no middle aged"
22,ETHAN,22,Get rid of this scum.
23,CLAIRE,23,Did we get it?
24,ETHAN,24,We got it.  On your feet.
25,CLAIRE,25,I want to sleep.  Can I sleep here.
26,ETHAN,26,"Walk, just walk.  Start walking."
27,CLAIRE,27,I'm walking.
28,ETHAN,28,"Talking's good, walking's better."
29,CLAIRE,29,Sleeping's better.
30,CLAIRE,30,"Are
you
all right Ethan.  What's wrong
with you?"
31,ETHAN,31,"If you're gonna do this again Claire,
It's not gonna be on my watch."
32,CLAIRE,32,Oh yeah?
33,JACK,33,Claire.
34,ETHAN,34,Jack.
35,ETHAN,35,"IS THERE ANY PARTICULAR REASON WE'RE NOT
OUT OF HERE YET?!"
36,JACK,36,"Just waiting for you, tubs."
37,VOICE (O.S.),37,"Ladies and gentlemen, we have leveled off
at our cruising altitude of thirty-eight
thousand feet-and we should be arriving
in Prague right on schedule."
38,FLIGHT ATTENDANT,38,Would you like to watch a movie Mr Rosen?
39,"FLIGHT ATTENDANT
(CONT'D)",39,"Would you like to watch a movie Mr
Phelps?"
40,PHELPS,40,"No, I prefer the theatre."
41,FLIGHT ATTENDANT,41,"Would you consider the cinema of the
Ukraine?"
42,PHELPS,42,Perhaps you'd choose one for me.
43,KITTRIDGE,43,"Good morning, Mr. Phelps.  The man you're
about to see is Aleksander Golitsyn --"
44,KITTRIDGE (O.S.),44,"-- a former KGB Line X officer now
working the international black market
selling intelligence.  This morning, we
learned that Golitsyn has stolen one half
of a CIA NOC list, the list of our non-
official cover agents working in Eastern
Europe."
45,KITTRIDGE (O.S.),45,"For security reasons, the NOC list is
divided into two encoded halves.
Golitsyn already has the cryptonym
portion, which contains agent code names
and targeting areas.  This portion is
useless unless combined with the second
half -- the true name list that is kept
in the CIA station in our Embassy in Prague."
46,KITTRIDGE (O.S.),46,"We believe Golitsyn plans to steal the
true name list at an Embassy function
tomorrow night.  Your mission, should you
decide to accept it, is to obtain
photographic proof of the theft, apprehend
those involved, and return the stolen
list.  I don't have to stress the
importance of this matter, Jim.  We're
keeping it internally black. Because of
its urgency, I've already sent to Prague
a team selected from your usual group."
47,KITTRIDGE (O.S.),47,"Ethan Hunt will of course be your point
man, as usual.  He's in Kiev; we're
getting word to him now."
48,KITTRIDGE (O.S.),48,"As always, should you or any member of
your IM force be caught or killed, the
Secretary will disavow all knowledge of
your actions.  This tape will self-
destruct in five seconds.  Good luck,
Jim!"
49,JACK,49,"Look to your right, then back to me.
There's a camera built right into the
bridge.  Whatever you see it sees and
transmits it back here.  Can you hear me?"
50,SARAH,50,Of course I can hear you.
51,JACK,51,"No, in your...ear piece. You have a
lovely smile (eyes). Can you hear me
now?"
52,SARAH,52,Loud and clear.
53,JACK,53,What's going on?
54,SARAH,54,I don't know.
55,JACK,55,Why don't you take a look?
56,SARAH,56,Jack...that's spying.
57,JACK,57,That's what we do isn't it?
58,SARAH,58,Jack you're so wicked.
59,JACK,59,Too wicked to have a drink later?
60,SARAH,60,I think I might just take that look.
61,ETHAN,61,"Yeah, well, Jim, fact is I've got more
than ninety days leave coming."
62,PHELPS,62,"A hundred and sixty-seven, I think it is.
Take it all, if you want.
After
this one."
63,ETHAN,63,I thought I'd take some now.
64,PHELPS,64,"What the hell's made you decide to take
your leave at the worst possible time?
Claire's in a weird mood too."
65,ETHAN,65,Oh?  What's the problem?
66,PHELPS,66,"I don't know, I had to go to Chicago
again.  You were in Kiev.  You tell me."
67,ETHAN,67,Tell you what?
68,PHELPS,68,"When you started noticing your short term
memory loss.  What
the problem was
you
and Claire had in Kiev?"
69,ETHAN,69,What problem?
70,PHELPS,70,"Ah, God, forget it.  What are we talking
burnout here?"
71,ETHAN,71,I guess.
72,PHELPS,72,"Ethan, you
can't
burn out."
73,ETHAN,73,Why not?
74,PHELPS,74,"Because I can't afford it. And because
you'd burn up before you'd burn out."
75,ETHAN,75,How was Chicago?
76,PHELPS,76,"Wonderful.  Ran into a convention of auto
dealers at the Drake Hotel.  You hear the
one about the astronaut who comes back
from the first manned flight to Mars
after two years?  His wife's got a year
old kid.  So he says ""All right.  Who was
it?  My friend Harry?""  She says no. ""Oh,
it was my friend Sammy.""  She says it
wasn't Sammy.  ""Oh, I suppose it was my
friend Lou.""  ""No, what's the matter,
don't you think I have any friends of my
own?!"""
77,PHELPS (CONT'D),77,"Boy, you really are grim. Come here,
take a look."
78,PHELPS (CONT'D),78,"Beyond Charles Bridge there is our
Embassy.  See it?  Tomorrow night, if
anything goes wrong, this guy will steal
the names of our agents in every country
all over Eastern Europe.  Up for grabs to
the highest bidders -- third world
terrorists, arms dealers, drug lords --
any and everybody who'd love to get rid
of long term coverts like us, and some
very dear friends among them.  If they're
exposed, they'll be executed.  Come over
here.  Take a lock at this."
79,SENATOR WALTZER,79,"I'll go you one further.  I say the CIA
and all its shadow organizations have
become irrelevant at best and
unconstitutional at worst.  It's time we
throw a little light on the whole concept
of the Pentagon's ""black budget.""  These
covert agency subgroups have confidential
funding, they report to no one --
who are
these people
?!  We
were
living in a
democracy the last time I checked."
80,ETHAN,80,You're going to use Walter?
81,PHELPS,81,He's our guy.
82,ETHAN,82,Isn't he chairing the Armed Services hearing?
83,PHELPS,83,"Not this week. This week he's flyfishing
at the Oughterard Slough in County
Kildare, with one of our best Irish guides."
84,ETHAN,84,He won't be back in a hurry?
85,PHELPS,85,"No, not in a hurry.  What do you think?
You think the plot'll work?"
86,ETHAN,86,Sure.  If the main character does.
87,PHELPS,87,"If you were me, Ethan, who would
you
trust to make him believable?"
88,JACK,88,"Sorry, am I interrupting?"
89,ETHAN,89,Always.
90,JACK,90,"Stick of gum. If you come up against a
lock you can't pick --"
91,JACK (CONT'D),91,"Red light.  Green light.  Mash them
together, asta lasagna.  Don't get any on
you -- you have five seconds."
92,PHELPS,92,Are you gonna take it?
93,ETHAN,93,Give me the God damn gum.
94,JACK,94,Just don't chew it.
95,PHELPS,95,Thank you.
96,PHELPS,96,"a gray metal box
, protruding from the wall one floor up."
97,PHELPS,97,"Ethan.  Jack's inside.  Window's open by
twenty-three hundred."
98,DIPLOMAT,98,"How do you do, Senator, I'm Rand Housman,
the Ambassador's aide.  If I could just
steer you through the reception line here"
99,DIPLOMAT (CONT'D),99,"Allow me to introduce Jaroslav Reid, the
director of the National Gallery -- Petr
Brandl, the mayor of Prague --"
100,SARAH,100,"I bet you don't remember me, do you, Senator?"
101,SENATOR WALTZER,101,"Of course I do.  How are you, Miss
Norman?"
102,SARAH,102,He's in pocket.  Under the archway behind me.
103,PHELPS,103,"Sarah, mark the package and go to two."
104,SARAH,104,"Your advance team mentioned you'd want a
tour of the facility, so I've gone ahead
and set that up for you --"
105,SENATOR WALTZER,105,Terrific.  Let's get going.
106,SENATOR WALTZER,106,Will you excuse us?
107,DIPLOMAT,107,"Uh, sir?"
108,JACK,108,Great.  Come on.
109,PHELPS,109,Hannah.  He's marked.  Lets go.
110,HANNAH,110,En route.
111,PHELPS (O/S),111,"Hannah, pull the shade (or - Hannah go to
night vision)."
112,JACK,112,Governor's in position.  We have the elevator.
113,GUARD,113,"Excuse me, can I help you?"
114,SARAH,114,"-- which leads directly to the Denied
Area, the only limited access area in the
whole facility."
115,SARAH (CONT'D),115,"As you can see. this area has both a
Marine guard and video surveillance, and
is strictly monitored at all times."
116,SARAH (CONT'D),116,"Senator, don't you have a young man on
your staff named"
117,ETHAN,117,"Jack
?  I believe we did have a young man
named
Jack
.  Not a reliable man, as I
recall.  Constantly late or behind in his
work."
118,GUARD,118,"Excuse me, let me see that ID again!"
119,PHELPS (O.S.),119,"Jack's pinned down Sarah.  Should be a
second.  Keep dancing."
120,ETHAN (O.S.),120,"We were forced to tie him to my best
stallion and drag him around the barn a
few times."
121,JACK,121,"Relax your crack, Foghorn, I'm workin' on
it."
122,GUARD,122,"Oh. Sorry, sir."
123,JACK,123,"The drink (date) with Sarah is definitely
off."
124,PHELPS,124,Hannah -- I'm blind again.  Hannah.
125,HANNAH,125,He's heading to the denied area.
126,ETHAN,126,Higher.  Higher.
127,SARAH,127,Higher.
128,ETHAN,128,"Right, right.  Good."
129,PHELPS,129,"Get moving, Ethan.  He's rolling to you."
130,ETHAN,130,Jack we're in position.
131,ETHAN,131,Jack.  Jack.
132,JACK,132,I didn't touch it.
133,PHELPS,133,"He's in the box, Ethan, he's in the box!"
134,ETHAN,134,"OK.  Taking Golitsyn's exit.  Jack, open
the doors."
135,SARAH,135,What about my coat?  I'll freeze.
136,JACK (O.S.),136,I don't have it.
137,PHELPS,137,Opening the doors.  Go under.
138,ETHAN,138,He's got it.  Saved your ass again Jack.
139,JACK (O.S.),139,"Give me a break, Pops."
140,SARAH,140,Such a nice ass.
141,JACK (O.S.),141,And a lonely ass.
142,ETHAN,142,"Sarah's reconsidering.  Claire, transport
in five minutes."
143,CLAIRE (O.S.),143,Roger that.
144,ETHAN,144,"In position.  Jack open the door, let the
package roll."
145,JACK (O.S.),145,Roger that.  Opening doors now.
146,ETHAN,146,"Stairway, youíre wrapped, go to
transport."
147,HANNAH,147,En route.
148,JACK,148,Hey.
149,PHELPS,149,"Jack, what are you doing?!"
150,JACK,150,"Iím not doing anything!  (I donít have it
either)."
151,PHELPS,151,"I donít have it --
I donít have
control"
152,JACK,152,Uh -- then I have a problem.
153,ETHAN,153,"Cut the power.  Cut the power Jack.  Do
you hear me."
154,ETHAN (O.S.),154,"Come on, Jack, come on."
155,ETHAN (O.S.),155,and heís crushed to death against the roof
156,ETHAN,156,Jack.  Jack.
157,PHELPS,157,"Man down.  Stay where you are.  Iím on my
way."
158,PHELPS,158,"who now has the disk
, jabs again and again at the"
159,PHELPS,159,En route.
160,SARAH,160,The package is in the open.
161,ETHAN,161,Jim.  Jim.  Heís in the open.
162,PHELPS (O.S.),162,Iíve got a shadow.
163,ETHAN,163,Can you lose him?
164,PHELPS (O.S.),164,No.  Abort.
165,SARAH,165,Ethan.  Heís out of pocket.
166,ETHAN,166,Jim we canít.
167,PHELPS (O.S.),167,Abort.  Thatís an order.
168,ETHAN,168,"Negative
, Golitsynís on the move."
169,PHELPS (O.S.),169,"No, damn it, no, I said ABORT!"
170,ETHAN,170,"Sarah eye on the package.  Jim, Iím
coming to you."
171,SARAH,171,"Jim gave an abort, we should walk
away."
172,ETHAN,172,"No, weíre going to recover the disk,
understand?!  Now move!"
173,PHELPS (O.S.),173,Where are you?
174,ETHAN,174,About two hundred yards from the bridge.
175,PHELPS (O.S.),175,"Theyíre covering this frequency, Ethan.
Cut all radio communications.  Repeat.
Cut all radio communications."
176,PHELPS (O.S.),176,"the barrel of a gun
is visible,"
177,ETHAN,177,JIM!
178,ETHAN,178,the car explodes and bursts into flames
179,ETHAN,179,CLAIRE!
180,ETHAN,180,"pulls him towards him
.  Sensing something wrong,"
181,FLAT VOICE (O.S.),181,Satcom seven.
182,ETHAN,182,Central Europe.  Unsecured.
183,FLAT VOICE (O.S.),183,Designator?
184,ETHAN,184,Bravo Echo one one.
185,FLAT VOICE (O.S.),185,Switching.
186,KITTRIDGE (O.S.),186,This is Kittridge.
187,ETHAN,187,Go secure.
188,KITTRIDGE (O.S.),188,Go ahead.
189,ETHAN,189,Theyíre dead.
190,KITTRIDGE (O.S.),190,Whoís dead?
191,ETHAN,191,"My team.  Claire, Jack, even Jim -
- Hannah, maybe, I -- donít know"
192,KITTRIDGE (O.S.),192,Are you damaged?
193,ETHAN,193,"They knew we were coming.  Golitsynís
dead too.  The disk is gone."
194,KITTRIDGE (O.S.),194,Are you intact
195,ETHAN,195,"Do you read me?
The list is in the open"
196,KITTRIDGE (O.S.),196,"Let's just bring you in safely, and then
we'll worry about that, okay?  Were you
followed?"
197,ETHAN,197,I donít think so.
198,KITTRIDGE (O.S.),198,"Donít
think
, be
sure
.  Are you clean?"
199,ETHAN,199,Yes.
200,KITTRIDGE (O.S.),200,"Location green.  One hour.  Iíll be there
myself."
201,ETHAN,201,Youíre in Prague?
202,KITTRIDGE (O.S.),202,"Heard a lot about you, Hunt.  Donít
disappoint me."
203,ETHAN,203,No sir.
204,KITTRIDGE (O.S.),204,One hour.
205,KITTRIDGE,205,"I can't tell you how sorry I am.  I know
how much Jim in particular meant to you,
Ethan.  Personally as well as professionally."
206,ETHAN,206,Yeah.
207,KITTRIDGE,207,"Passport, visas - you know the drill.
We'll work the exfiltration thru Canada,
debrief you at Langley.  Throw the Prague
police a bone, you know toss them a few
suspects.  Follow me?"
208,ETHAN,208,Yeah.  I follow you.
209,KITTRIDGE,209,We've lost enough agents for one night.
210,ETHAN,210,"You mean
I've
lost enough agents for one
night."
211,KITTRIDGE,211,"You seem hell bent on blaming yourself,
Ethan."
212,ETHAN,212,Who else is left?
213,KITTRIDGE,213,Yes.  I see your point.
214,ETHAN,214,Why was there another team?
215,KITTRIDGE,215,What?
216,ETHAN,216,Of IMF agents.  At the Embassy.  Tonight.
217,KITTRIDGE,217,I don't quite follow you.
218,ETHAN,218,"Let's see if you can follow me around
this room."
219,ETHAN,219,"The drunk Russians on the embankment at 7
and 8 o'clock...The couple waltzing
around me at the Embassy at 9 and 11.
The waiter behind Hannah at the top of
the staircase - Bowtie, 12 o'clock. The
other IMF team.  You're worried about me.
Why"
220,KITTRIDGE,220,"You're right.  Maybe this'll save some
time."
221,KITTRIDGE (CONT'D),221,"For a little over two years now we've
been spotting serious blowback in IMF
operations.  We have a penetration.  The
other day we decoded a message on the
Internet from a Czech we know as ""Max."""
222,ETHAN,222,The arms dealer.
223,KITTRIDGE,223,"That's right.  Max, it seems, has two
unique gifts -- a capacity for anonymity
and for corrupting susceptible agents.
This time he's gotten to someone on the
inside - he's put himself in a position
to buy our NOC list. An operation he
referred to as ""Job 314"".  The job he
thought Golitsyn was doing tonight."
224,ETHAN,224,But the list Golitsyn stole was a decoy.
225,KITTRIDGE,225,"Correct the actual list is safe at
Langley.  ""Golitsyn"" was a lightning rod,
one of ours."
226,ETHAN,226,This whole operation was a molehunt.
227,KITTRIDGE,227,"Yes, the mole's deep inside. And -- like
you said.  You survived."
228,KITTRIDGE (CONT'D),228,"I want to show you something, Ethan."
229,KITTRIDGE (CONT'D),229,"Since your father's death, your family's
farm has been in sub-chapter S and now,
suddenly, they're flush with over a
hundred and twenty grand in the bank.
Dad's illness was supposed to have wiped
out the bank account -- dying slowly in
America after all, can be a very
expensive proposition Ethan.  So, why
don't we go quietly out of here onto the
plane..."
230,ETHAN,230,"How about if we just go quietly into the
bathroom and I wash your mouth out with
soap - you pathetic button down
bureaucratic asshole."
231,KITTRIDGE (CONT'D),231,"Ethan, I can understand you're very
upset."
232,ETHAN,232,"Kitteridge, you've never seen me very
upset."
233,KITTRIDGE,233,"All right, enough is  enough Hunt. You've
bribed, cajoled, killed - and relied on
intimate loyalties to get away with it.
You're determined to shake hands with the
devil and I'm going to make sure you do
it in hell."
234,KITTRIDGE,234,SELECT USENET GROUP
235,KITTRIDGE,235,job 314
