,character,line #,line
0,ADA (VO - Scs 2 to 7),0,"The voice you hear is not my
speaking voice, but my mind's
voice.
I have not spoken since I was
six years old. No one knows
why, not even me. My father
says it is a dark talent and
the day I take it into my head
to stop breathing will be my
last.
Today he married me to a man
I've not yet met. Soon my
daughter and I shall join him
in his own country. My husband
said my muteness does not
bother him. He writes and hark
this: God loves dumb creatures,
so why not he!
Were good he had God's patience
for silence affects everyone in
the end. The strange thing is I
don't think myself silent, that
is, because of my piano. I
shall miss it on the journey."
1,SEAMEN,1,"Hold still you smutt! Blast the
boat!
Look up! Look up!
Lay to! Lay to.
Up with it you buggerers, hold
hard!
Damn me won't you hold?!
Etc."
2,SEAMEN,2,"It's a little rough out there.
Could be they can't get through
to you in this weather. Maybe
they'll come over land."
3,SEAMEN,3,Have you things for shelter?
4,SEAMEN,4,What things have you?
5,FLORA,5,"She says, ""thank you""."
6,SEAMEN,6,"Does your mother prefer to come
on with us to Nelson?"
7,FLORA,7,"She says, No. She says she'd
rather be boiled alive by
natives than get back in your
tub."
8,SEAMEN,8,"(stunned) You be damn fortuned
I don't smack your puppy gob,
missy. Damn lucky."
9,FLORA,9,"(hand signaling) Mother... I'm
thinking"
10,FLORA,10,"(speaking) I'm not going to
call him Papa.  I'm not going
to call HIM anything. I'm not
even going to look at HIM."
11,BAINES,11,"Are we stopping?... Do you want
to stop?"
12,BAINES,12,Shall we stop?
13,BAINES,13,"Tai hoa! Me tatari tatou .., me
tutatou I konei.
(Wait! We are stopping.. we're
stopping.)"
14,STEWART,14,We must get on.
15,TAME,15,"Aue tepatupsiarehe!
(The fairy people, what can you
expect?)"
16,STEWART,16,"Miss McGrath, Alisdair Stewart.
You'll have to wake yourself.
I've got men here to carry your
things."
17,STEWART,17,"Aut he anahera enci?
(Are they angels, they look
like angels.)"
18,SUBTITLED,18,"Te monohi hoki!
(So small!)"
19,STEWART,19,"I see you have a good many
boxes, I'd like to know what is
in each."
20,STEWART,20,CAN - YOU - HEAR - ME?
21,STEWART,21,"Well that is good, yes that is
good, good."
22,STEWART,22,What's in here?
23,STEWART,23,"Ohh, yes so it is, written
there, crockery."
24,STEWART,24,And this one?
25,STEWART,25,"You're small. I never thought
you'd be small."
26,STEWART,26,What's here?
27,STEWART,27,"What's in here then, lead?"
28,FLORA,28,"(gravely) It's my mother's
piano."
29,STEWART,29,A piano?
30,STEWART,30,"Tell them to carry in pairs.
Those three and those two the
black and the red, then the
suitcases."
31,STEWART,31,What do you think?
32,BAINES,32,She looks tired.
33,STEWART,33,"She's stunted, that's one
thing."
34,BAINES,34,"Anei nga pouaka - ko era e
toro.
Me era e raa.
(Here are the boxes, those
three and those two.)"
35,HONE,35,E Hoal
36,STEWART,36,"Oh no, it can't come now."
37,FLORA,37,It must come.
38,FLORA,38,She wants it to come.
