,character,line #,line
0,GENERAL BRAT,0,When did it start?
1,SCIENTIST,1,At 05:00. We're seven minutes in.
2,SCIENTIST,2,"Private Miller, we are now going to ask
you several questions. How do you feel?"
3,PRIVATE MILLER,3,"Uh, I feel a little queer sir. But...
It's good. Good queer."
4,PRIVATE MILLER,4,"Sir. Good queer, Sir."
5,PRIVATE MILLER (CONT'D),5,"But...uh...even though I feel queer, Sir,
I should mention that I'm also feeling
quite gay...so, a little queer, but
mostly gay."
6,SCIENTIST,6,"Private Miller. When you think of your
superiors, what emotions do you feel?"
7,PRIVATE MILLER,7,This went out...Sir.
8,SCIENTIST,8,"We will send someone in. Now answer the
question."
9,SCIENTIST (CONT'D) (O.S),9,Private Miller? Answer the question.
10,PRIVATE MILLER,10,Oh...um...what was the question again?
11,SCIENTIST (O.S.),11,"What are your emotions towards your
superiors?"
12,PRIVATE MILLER,12,COUGH   COUGH  Fucking shit.
13,PRIVATE MILLER,13,"Well, now that I think of it, it's
strange that they are called my
`superiors'. Does that make me their
`inferior'? I mean, that's pretty fucked
up."
14,GENERAL BRAT,14,"I've seen enough. Shut it down. Bury the
hatch, sell the land, and dispose of him.
This never happened."
15,PRIVATE MILLER,15,"Hey! What the...what are you guys doing!
Let go of me!"
16,PRIVATE MILLER,16,Sir!!! Sir!!! Help me!!!
17,GENERAL,17,"This is General Brat. We've reached a
final conclusion on Item 9."
18,GENERAL,18,Illegal.
19,TALK RADIO DJ,19,"Well, let's look at the facts.
Financially, coins are better because
they're cheaper, and environmentally,
forget-about-it, coins win hands down.
For those just joining us, we're with
caller Dale Denton discussing if America
should lose the paper dollar bill."
20,DALE,20,"Of course not! Who wants a pocket full of
coins? Seriously. Weighs down your pants,
clangs around. With all this unnecessary
new security everywhere, we'll be setting
off alarms left and right!"
21,TALK RADIO DJ,21,"We certainly do, Mr. Denton. Crude, but
to the point. Next caller!"
22,WOMAN,22,"Um, I didn't order a pizza."
23,DALE,23,"Excuse me, miss? Are you Sandra Danby"
24,WOMAN,24,Uh...yea-
25,DALE,25,"Sorry, miss, but you've failed to show up
to your divorce proceedings 4 times under
court order. You've been served."
26,WOMAN,26,"Oh great! Thanks a lot asshole! Real
clever! Go fuck yourself!"
27,TALK RADIO DJ 2,27,"...forget about Area 51, Roswell
sightings, Atlantis and the Boogie Man,
let's talk about real threats, threats to
our home and security..."
28,DALE,28,Fuckin' eh.
29,DALE (CONT'D),29,Nice! Hot Steppa!
30,DALE (CONT'D),30,"You think you know, chico/I know what Bo,
don't know/touch them up and go - uh oh!/
Chi-chi-ching-chang!!!"
31,SECRETARY,31,Can I help you?
32,DALE,32,Just here to check out some units.
33,WALTER (O.S.),33,Come in.
34,WALTER (CONT'D),34,"Oh! Hey there. Are you here to fix the
fax machines?"
35,DALE,35,Nope.
36,DALE (CONT'D),36,"You owe American Express $4068 dollars.
Sorry, but you've been served."
37,RADIO DJ 3,37,What gives you the right to say that?
38,DALE,38,"Everything! They should be able to
collect garbage TWICE a week. Why not?"
39,DALE (CONT'D),39,"As a tax payer, can't I say that? Come
get my garbage a bit more! Is that so f-
ing crazy? I'm not asking for free beer
Tuesday's or anything. And the whole city
would be more aesthetically pleasing and
smell better. And don't pretend you can't
smell it. Ever been to New York? Great
place, smells like piss, though."
40,DALE (CONT'D),40,"Twice a week,  cough  might fix that."
41,DALE (CONT'D),41,Hold on one sec.
42,DALE,42,"I need Dr. Terrence, immediately."
43,RECEPTIONIST,43,Of course. One moment.
44,DR. TERRENCE,44,"Hi there, I don't think we've met, I'm-"
