,character,line #,line
0,GARDNER,0,That what I think it is?
1,SOLDIER 1,1,I guess so ...
2,SERGENT,2,"Okay, let's go ..."
3,VETERANS,3,"Well I'll be dipped in shit - new meat!  Sorry bout
that boys - 'sin loi' buddy ... you gonna love the
Nam, man, for-fucking-ever."
4,BARNES,4,"What are you waiting for?  He ain't gonna bite you.
Move out."
5,HARRIS,5,"Bravo Two, Six.  What's the delay up there, move it
out on point.  We've got a link up at Phase Line
Whiskey at One Eight Zero Zero, over."
6,LIEUTENANT WOLFE,6,"Two Bravo, Two move it out.  Six says we're jamming
'em up back there.  Over."
7,BARNES,7,"Tell that dipshit to get fucked.  Get that other
freshmeat up here.  Gardner."
8,BARNES (CONT'D),8,"What the hell's the matter with you Taylor!  You a
sorry ass motherfucker.  Fall back."
9,DOC,9,You okay?
10,CHRIS,10,Ants.  I got ants on my neck ...
11,DOC,11,"Yeah, black ants are killers, you look sick man.  You
need a little salt."
12,ELIAS,12,"You're humping way too much, troop, don't need half
this shit.  I'll haul it for you but next time you
check it out with me okay?"
13,KING,13,You're a sick mother Bunny.
14,ELIAS,14,Hold it up.
15,CHRIS,15,I'm okay ... I'm okay.
16,FRANCIS,16,"Shit, King, it ain't d-e-r-e man, it's d-e-a-r, and
Sara don't have no two r's in it, fool.  Shame on
you."
17,KING,17,"Don't matter, she knows what it means ... an she
don't read too good nohow ..."
18,LERNER,18,"Mumm, any time sweetheart."
19,ELIAS,19,"Lerner, you'd choke to death on it."
20,CAPTAIN HARRIS,20,"Sky Six reports a fresh company of NVA moving across
from Cambodia to this blue line."
21,CAPTAIN HARRIS,21,"We got a good chance to light 'em up tonight.  All
platoons will set squad-size ambushes before full
dark.  Lt. Wolfe"
22,CAPTAIN HARRIS,22,"You 'bush in this area near that ol' Buddhist temple
we passed on the hump in.  Lt. Hawkins, you take this
area in the rubber plantation..."
23,LIEUTENANT WOLFE,23,No problem sir ...
24,JUNIOR,24,"Hey Big Harold, gimme your peaches for the fruitcake
man."
25,BIG HAROLD,25,Fuck you bitch.
26,JUNIOR,26,"C'mon man, didn't I do you right that time I give you
the turkey loaf for the ham and lima beans shit."
27,BIG HAROLD,27,"Tricky bitch, reason you gimme dat turkey loaf is
nobody else can eat that shit 'cept me so don't start
your game playing with me Junior."
28,JUNIOR,28,"Youse a pig man.  I hope Manny get dat laundry gig
for' you do."
29,BIG HAROLD,29,"De fool think he's gonna get it but he ain't known
for his thinking."
30,JUNIOR,30,"He's a fool alright but you a bigger fool.  Hey,
whiteboy, watcha waiting for - dat hole ain't gonna
dig itself ..."
