,character,line #,line
0,VOICE,0,"In a time of great strife, a
legendary interdimensional being
known as Zordon, came to the city
of Angel Grove to establish a
vanguard in the never ending
struggle against evil.  with the
aid of his trusted assistant,
Alpha 5, the noble master sought
out six extraordinary teenagers
and gave them the power to
transform into an unstoppable
fighting force.  In time of great
need, the young heroes could now
call upon colossal assault
vehicles known as ""Zords"".  while
the identity of the six remained
a guarded secret, their
courageous exploits soon became
the stuff of Legend, earning them
the title...  The Mighty Morphin
Power Rangers."
1,ROCKY,1,YeeeoowwWWWWW!!!
2,ROCKY,2,We're OUTTA here!!
3,KIMBERLY,3,"Easy, Rock."
4,TOMMY,4,"Once we hit the target zone we've
got fifteen seconds to make the
drop."
5,BULK  (0 . S .),5,"Step aside, pinheads."
6,BULK,6,"The Stealth Eagle is about to
fly."
7,SKULL,7,Ditto for the Swooping Swallow.
8,AISHA,8,"Lead on, flyboys."
9,SKULL,9,Bulk... where'd the earth go?
10,BILLY,10,Five seconds to the target zone!
11,TOMMY,11,Aisha  you' re  on !
12,ROCKY,12,Stylin!
13,ADAM,13,On your tail!
14,BILLY,14,All systems
15,TOMMY,15,Surf's up!
16,KIMBERLY,16,Catch you on the flipside.
17,BULK,17,Be the eagle.  Be the eagle.
18,SKULL,18,"Be the swallow.  Be the
swallow..."
19,BULK AND SKULL,19,Aaaaaahhhhhhhh!!!
20,BULK AND SKULL,20,YEAAAAAAHHHHHH!!
21,TOMMY,21,Let's BREAK!!
22,MR. KELMAN,22,"Okay, so the firemen landed four
out of six inside the target --"
23,BOWLER,23,How `bout a show tune?!
24,MR. KELMAN,24,"Somebody wanna keep chose bowlers
in line."
25,FRED,25,"Hey dad, get with the program!"
26,MR. KELMAN,26,"Ladies and gentlemen, it's Angel
Grove High"
27,MR. KELMAN,27,"And that's one!  A perfect
landing!"
28,MR. KELMAN,28,Three for three.  Look at `em go!
29,MR. KELMAN,29,"That's five perfect landings!
Now it's all up to Tommy Oliver."
30,TOMMY,30,Touch down.
31,FRED,31,Looking good up there.
32,TOMMY,32,"Thanks, man."
33,MR. KELMAN,33,"Congratulations - the
Observatory's got a new lease on
life."
